Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.5011046,0.5731256,0.3774312,0.61637664,0.6642649,0.45068222,0.29174066,0.44108883,0.48169464,0.58207077,0.45686096,0.6698305,0.4612373,0.3466691,0.67741144,0.5671964,0.5527734,0.37619668,0.44112244,0.5232544,0.42731965,0.52229244,0.472767,0.49351192,0.8045801,0.48531953,0.22462037,0.41299438,0.57112294
0.5011046,1.0,0.26273054,0.5611657,0.3393948,0.42850786,0.6520713,0.305639,0.5215055,0.3661195,0.37798083,0.5467386,0.5042092,0.72665614,0.25869176,0.7802807,0.33275047,0.41638455,0.5305486,0.27407596,0.32696885,0.36353797,0.39514974,0.4645735,0.2592019,0.4452846,0.43802553,0.24543357,0.6098299,0.30586246
0.5731256,0.26273054,1.0,0.28785843,0.4241811,0.47564536,0.43087482,0.43156046,0.31435573,0.3238929,0.51507425,0.37390292,0.54598343,0.27081117,0.2733109,0.36051863,0.47394407,0.49156433,0.27267873,0.40607306,0.51957154,0.47153723,0.5393536,0.42847526,0.3354262,0.550074,0.526497,0.2321386,0.2774979,0.5639748
0.3774312,0.5611657,0.28785843,1.0,0.31268215,0.25440648,0.34185183,0.37651014,0.56844896,0.25431967,0.32780787,0.57289225,0.41567114,0.6731497,0.40210122,0.47644627,0.14605258,0.3087253,0.48259902,0.27356142,0.25853676,0.33231878,0.31309548,0.5772208,0.13060689,0.263718,0.37427405,0.52961314,0.6634312,0.31176305
0.61637664,0.3393948,0.4241811,0.31268215,1.0,0.5481214,0.32689226,0.13263991,0.5413312,0.56142735,0.45728216,0.5511856,0.5254346,0.3683872,0.48902363,0.47013623,0.6026902,0.40816876,0.3244937,0.6543427,0.4310065,0.19678287,0.44946188,0.52182025,0.6158071,0.6281636,0.37801754,0.2074098,0.32682747,0.5882538
0.6642649,0.42850786,0.47564536,0.25440648,0.5481214,1.0,0.42844328,0.23345457,0.46052986,0.47838676,0.6283036,0.49342626,0.6592635,0.42634875,0.37803325,0.5816611,0.5392007,0.39354935,0.5866155,0.46983534,0.5294465,0.35159945,0.45129603,0.4746368,0.42746544,0.6764564,0.54324573,0.17388685,0.35251075,0.49090195
0.45068222,0.6520713,0.43087482,0.34185183,0.32689226,0.42844328,1.0,0.39842382,0.4583983,0.42774564,0.3702078,0.52419186,0.4842172,0.5716282,0.29794756,0.58602023,0.40016246,0.44127178,0.36975402,0.3016575,0.42322934,0.46923545,0.39356166,0.40202954,0.26280272,0.40355957,0.46374208,0.23201439,0.45345524,0.36843604
0.29174066,0.305639,0.43156046,0.37651014,0.13263991,0.23345457,0.39842382,1.0,0.17974444,0.25708252,0.3073237,0.23161568,0.45081854,0.3551613,0.12935898,0.3482256,0.1300994,0.41902426,0.25574493,0.13004784,0.32601827,0.3443915,0.48537105,0.33228564,-0.0022141226,0.20621382,0.31334057,0.33530068,0.3909026,0.1838953
0.44108883,0.5215055,0.31435573,0.56844896,0.5413312,0.46052986,0.4583983,0.17974444,1.0,0.402865,0.35235018,0.67775816,0.42665917,0.60390025,0.65040886,0.51697683,0.46985823,0.3741336,0.5428556,0.51927996,0.43383652,0.36297503,0.2995029,0.5047803,0.42803177,0.39336476,0.46019247,0.4246429,0.51705194,0.51140827
0.48169464,0.3661195,0.3238929,0.25431967,0.56142735,0.47838676,0.42774564,0.25708252,0.402865,1.0,0.3764106,0.41456857,0.34445596,0.4161045,0.4300632,0.39726648,0.60931236,0.48040116,0.24380946,0.49599487,0.38241777,0.13003938,0.30992508,0.35857865,0.56728804,0.40883154,0.29086003,0.15692344,0.30438563,0.40551466
