Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.48035347,0.57733244,0.38017264,0.59861195,0.7110108,0.4992429,0.30602062,0.4347146,0.5236073,0.63221776,0.42321092,0.65852714,0.4720707,0.36809343,0.7497288,0.6243844,0.60559124,0.42561948,0.41563505,0.5632931,0.48746717,0.56315017,0.5216472,0.488904,0.7767792,0.45517007,0.2888525,0.42969868,0.5811568
0.48035347,1.0,0.28293547,0.5536603,0.39420676,0.4479181,0.73750806,0.3141706,0.5850093,0.40796795,0.43337616,0.6292676,0.477646,0.8049648,0.35619453,0.6515028,0.41732353,0.4373454,0.6199203,0.29350683,0.39376342,0.4390156,0.37705415,0.47617638,0.3188157,0.5038493,0.49786067,0.27370992,0.6239862,0.3925534
0.57733244,0.28293547,1.0,0.32609442,0.46523428,0.4671451,0.46780276,0.41163284,0.29163834,0.32150874,0.5422629,0.41953257,0.56027937,0.3360181,0.30898836,0.4088288,0.5118064,0.53970486,0.35547715,0.3619409,0.52059615,0.57524,0.5993239,0.47568098,0.3129533,0.5375395,0.55763686,0.2345866,0.3171413,0.6343565
0.38017264,0.5536603,0.32609442,1.0,0.4271344,0.2809581,0.4076541,0.31564394,0.58890027,0.2794819,0.35588467,0.60067296,0.40704495,0.6626221,0.5031991,0.43033674,0.23534775,0.41069973,0.5800005,0.30705905,0.3459679,0.39453435,0.29893968,0.5222801,0.1611754,0.3609104,0.3999005,0.63538235,0.7265475,0.4307533
0.59861195,0.39420676,0.46523428,0.4271344,1.0,0.49439365,0.37898713,0.15979683,0.5986996,0.5835905,0.4434696,0.6180734,0.4653812,0.4103946,0.55872536,0.46782416,0.62452805,0.49956894,0.44660485,0.6885752,0.4434294,0.35397273,0.5658423,0.51050067,0.6628578,0.6570704,0.39381155,0.32054943,0.4011248,0.6208525
0.7110108,0.4479181,0.4671451,0.2809581,0.49439365,1.0,0.46897066,0.3115378,0.43342626,0.52325106,0.6609283,0.4398132,0.66183376,0.43849683,0.39154154,0.6437192,0.54978204,0.47374886,0.6124501,0.41037458,0.6101549,0.4573437,0.43420038,0.53184456,0.43200082,0.6571665,0.5452484,0.24145308,0.4090864,0.50947857
0.4992429,0.73750806,0.46780276,0.4076541,0.37898713,0.46897066,1.0,0.45031163,0.50784576,0.47609633,0.47176915,0.6054925,0.50004053,0.69606435,0.35784012,0.54465413,0.5177977,0.5175044,0.4905163,0.31456584,0.51576805,0.56065154,0.43470806,0.46682674,0.34680587,0.4976336,0.5367432,0.27210367,0.5123756,0.5051999
0.30602062,0.3141706,0.41163284,0.31564394,0.15979683,0.3115378,0.45031163,1.0,0.15435381,0.27564025,0.38363624,0.23886496,0.39735055,0.36555153,0.17699791,0.33624917,0.19897318,0.47962242,0.34493315,0.08911182,0.35368186,0.43586284,0.39814538,0.31617108,0.040136307,0.22840178,0.3998064,0.28289688,0.39071125,0.31025335
0.4347146,0.5850093,0.29163834,0.58890027,0.5986996,0.43342626,0.50784576,0.15435381,1.0,0.44502223,0.31265092,0.7339833,0.35771278,0.62228054,0.6544062,0.434825,0.5713502,0.47783643,0.63737524,0.5691787,0.48184317,0.44633257,0.37123513,0.43810862,0.5254099,0.52217245,0.42683563,0.47901362,0.55927175,0.60898584
0.5236073,0.40796795,0.32150874,0.2794819,0.5835905,0.52325106,0.47609633,0.27564025,0.44502223,1.0,0.4153158,0.46641207,0.3385408,0.41688985,0.49499354,0.4036651,0.6256894,0.5407238,0.3364781,0.47847658,0.4311555,0.2656259,0.36043245,0.44039685,0.58147013,0.4195609,0.3367179,0.22638355,0.30736518,0.45985717
