Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.69046354,0.61747056,0.61395377,0.6723051,0.75691557,0.60669446,0.5136878,0.4985467,0.64862967,0.6873288,0.5850413,0.749631,0.6350737,0.5283518,0.7447969,0.66150093,0.59912366,0.5934136,0.5504641,0.6284907,0.62169343,0.57502306,0.66078115,0.5549147,0.8283191,0.6010144,0.36030877,0.59345585,0.6840848
0.69046354,1.0,0.41535312,0.6742798,0.5379632,0.59902656,0.7573225,0.48380476,0.5875237,0.5849094,0.61953276,0.64142776,0.6486,0.7602961,0.5214788,0.78473306,0.5981647,0.5140572,0.63828117,0.50053275,0.5347212,0.5711446,0.46742845,0.6495523,0.45544392,0.64949775,0.5951534,0.3403639,0.61244154,0.58550817
0.61747056,0.41535312,1.0,0.44111925,0.54118633,0.4830864,0.44716227,0.49070856,0.38968378,0.48194632,0.54658926,0.5104176,0.5481511,0.36332494,0.46013322,0.4158317,0.54626423,0.4792571,0.41627336,0.46128595,0.4802173,0.5836128,0.5814879,0.5080562,0.432373,0.5565311,0.5336622,0.26675484,0.3497178,0.59618175
0.61395377,0.6742798,0.44111925,1.0,0.62717944,0.48513347,0.5140998,0.40339378,0.6233629,0.5355253,0.49270582,0.6135771,0.57011235,0.76645696,0.5993535,0.5696171,0.44286048,0.42930886,0.597598,0.52378637,0.532106,0.48342872,0.48063648,0.6210273,0.38570696,0.5593424,0.47833866,0.57681084,0.7080554,0.6256772
0.6723051,0.5379632,0.54118633,0.62717944,1.0,0.62776667,0.52895623,0.46223295,0.7148397,0.6597904,0.54844254,0.7551997,0.5915953,0.6810714,0.67690504,0.4934523,0.62562996,0.5085032,0.6363045,0.7472391,0.5747293,0.53310466,0.5802379,0.65693235,0.6551613,0.69335496,0.5277972,0.50934654,0.62925404,0.6917964
0.75691557,0.59902656,0.4830864,0.48513347,0.62776667,1.0,0.5680635,0.49336028,0.548026,0.6045667,0.6824249,0.5502721,0.7322773,0.5912434,0.595211,0.5973596,0.6157233,0.5042465,0.76099217,0.53357923,0.5917868,0.5680902,0.4639966,0.6640362,0.47677898,0.7219169,0.64493585,0.3693544,0.5492466,0.619383
0.60669446,0.7573225,0.44716227,0.5140998,0.52895623,0.5680635,1.0,0.54698145,0.560347,0.6208383,0.5021147,0.6531638,0.5631053,0.63705814,0.5529351,0.6161526,0.64078057,0.53313947,0.6239048,0.5195747,0.5140701,0.7278469,0.44812375,0.55752945,0.49417752,0.5821131,0.624609,0.3610122,0.52968776,0.5936762
0.5136878,0.48380476,0.49070856,0.40339378,0.46223295,0.49336028,0.54698145,1.0,0.39690417,0.5284086,0.49262083,0.49337667,0.5734334,0.48730546,0.46681023,0.4555043,0.4439428,0.5531914,0.4802863,0.42190528,0.48353297,0.5852784,0.46211517,0.49421334,0.33671656,0.43768045,0.55393445,0.35139513,0.5044338,0.47555256
0.4985467,0.5875237,0.38968378,0.6233629,0.7148397,0.548026,0.560347,0.39690417,1.0,0.54893184,0.41721487,0.7515211,0.4695291,0.7282512,0.79627144,0.42317775,0.5343228,0.40548804,0.7126064,0.7601985,0.57050556,0.55695087,0.46670455,0.6286458,0.52145195,0.5528163,0.51836973,0.49445033,0.6454543,0.70602167
0.64862967,0.5849094,0.48194632,0.5355253,0.6597904,0.6045667,0.6208383,0.5284086,0.54893184,1.0,0.52237356,0.57976806,0.5452233,0.62318075,0.5889521,0.53046936,0.6692058,0.61668575,0.57688725,0.55356795,0.61834043,0.5662199,0.4323719,0.54163516,0.55398667,0.567732,0.5050394,0.3819852,0.5492504,0.6634703
0.6873288,0.61953276,0.54658926,0.49270582,0.54844254,0.6824249,0.5021147,0.49262083,0.41721487,0.52237356,1.0,0.5237049,0.72362244,0.5438972,0.48740864,0.66035026,0.51311433,0.52146345,0.56393576,0.49188125,0.6069237,0.51403445,0.39315522,0.7124258,0.46938407,0.65807164,0.6203294,0.3091405,0.558593,0.5203602
0.5850413,0.64142776,0.5104176,0.6135771,0.7551997,0.5502721,0.6531638,0.49337667,0.7515211,0.57976806,0.5237049,1.0,0.57201934,0.71531,0.7092251,0.56396055,0.6662463,0.47759414,0.6877687,0.70287406,0.5178497,0.5921463,0.5415046,0.6362185,0.6164297,0.62996244,0.55564475,0.4538601,0.6124294,0.7099159
0.749631,0.6486,0.5481511,0.57011235,0.5915953,0.7322773,0.5631053,0.5734334,0.4695291,0.5452233,0.72362244,0.57201934,1.0,0.6245213,0.505604,0.6444689,0.5570597,0.4938857,0.58743906,0.5167433,0.5734197,0.5737793,0.5200083,0.65148574,0.41165453,0.7537106,0.66039336,0.36486828,0.6149239,0.62248087
0.6350737,0.7602961,0.36332494,0.76645696,0.6810714,0.5912434,0.63705814,0.48730546,0.7282512,0.62318075,0.5438972,0.71531,0.6245213,1.0,0.67298347,0.59885424,0.54977274,0.47488487,0.7003275,0.6243328,0.57136613,0.5409257,0.45621645,0.7055981,0.48559415,0.5717104,0.5850847,0.5881505,0.79870176,0.632444
0.5283518,0.5214788,0.46013322,0.5993535,0.67690504,0.595211,0.5529351,0.46681023,0.79627144,0.5889521,0.48740864,0.7092251,0.505604,0.67298347,1.0,0.45284677,0.5525154,0.4456616,0.70180476,0.71102166,0.58109194,0.57808065,0.42383066,0.633988,0.57260716,0.5188215,0.56023073,0.47993433,0.606574,0.68215585
0.7447969,0.78473306,0.4158317,0.5696171,0.4934523,0.5973596,0.6161526,0.4555043,0.42317775,0.53046936,0.66035026,0.56396055,0.6444689,0.59885424,0.45284677,1.0,0.5184218,0.48854148,0.55742013,0.40842283,0.51357955,0.53655994,0.4075868,0.6658355,0.39876103,0.63398063,0.51355207,0.27417946,0.50866234,0.515729
0.66150093,0.5981647,0.54626423,0.44286048,0.62562996,0.6157233,0.64078057,0.4439428,0.5343228,0.6692058,0.51311433,0.6662463,0.5570597,0.54977274,0.5525154,0.5184218,1.0,0.5630728,0.5640853,0.5912076,0.56452894,0.6515825,0.48582882,0.52999705,0.693746,0.6399254,0.5680908,0.2890898,0.4575765,0.72917604
0.59912366,0.5140572,0.4792571,0.42930886,0.5085032,0.5042465,0.53313947,0.5531914,0.40548804,0.61668575,0.52146345,0.47759414,0.4938857,0.47488487,0.4456616,0.48854148,0.5630728,1.0,0.47944403,0.46645868,0.5705901,0.5889732,0.5538753,0.46444854,0.45208937,0.4768331,0.4206975,0.36027977,0.43860084,0.5827397
0.5934136,0.63828117,0.41627336,0.597598,0.6363045,0.76099217,0.6239048,0.4802863,0.7126064,0.57688725,0.56393576,0.6877687,0.58743906,0.7003275,0.70180476,0.55742013,0.5640853,0.47944403,1.0,0.59215343,0.5387535,0.6140022,0.4807116,0.655373,0.47573763,0.60015446,0.6221608,0.44656458,0.6374175,0.6465815
0.5504641,0.50053275,0.46128595,0.52378637,0.7472391,0.53357923,0.5195747,0.42190528,0.7601985,0.55356795,0.49188125,0.70287406,0.5167433,0.6243328,0.71102166,0.40842283,0.5912076,0.46645868,0.59215343,1.0,0.5840243,0.5726657,0.49124002,0.59810096,0.71705335,0.61703455,0.5007285,0.3960582,0.5931765,0.7066467
0.6284907,0.5347212,0.4802173,0.532106,0.5747293,0.5917868,0.5140701,0.48353297,0.57050556,0.61834043,0.6069237,0.5178497,0.5734197,0.57136613,0.58109194,0.51357955,0.56452894,0.5705901,0.5387535,0.5840243,1.0,0.5845705,0.44934845,0.6354756,0.45779008,0.59043723,0.54102826,0.37928018,0.5663798,0.685977
0.62169343,0.5711446,0.5836128,0.48342872,0.53310466,0.5680902,0.7278469,0.5852784,0.55695087,0.5662199,0.51403445,0.5921463,0.5737793,0.5409257,0.57808065,0.53655994,0.6515825,0.5889732,0.6140022,0.5726657,0.5845705,1.0,0.44187647,0.5568479,0.5033619,0.58921707,0.68441284,0.35858732,0.4511233,0.7678632
0.57502306,0.46742845,0.5814879,0.48063648,0.5802379,0.4639966,0.44812375,0.46211517,0.46670455,0.4323719,0.39315522,0.5415046,0.5200083,0.45621645,0.42383066,0.4075868,0.48582882,0.5538753,0.4807116,0.49124002,0.44934845,0.44187647,1.0,0.49656516,0.40912405,0.5886798,0.41032463,0.33291692,0.40199834,0.5293577
0.66078115,0.6495523,0.5080562,0.6210273,0.65693235,0.6640362,0.55752945,0.49421334,0.6286458,0.54163516,0.7124258,0.6362185,0.65148574,0.7055981,0.633988,0.6658355,0.52999705,0.46444854,0.655373,0.59810096,0.6354756,0.5568479,0.49656516,1.0,0.40236327,0.577541,0.62123275,0.48323345,0.5943322,0.6016715
0.5549147,0.45544392,0.432373,0.38570696,0.6551613,0.47677898,0.49417752,0.33671656,0.52145195,0.55398667,0.46938407,0.6164297,0.41165453,0.48559415,0.57260716,0.39876103,0.693746,0.45208937,0.47573763,0.71705335,0.45779008,0.5033619,0.40912405,0.40236327,1.0,0.5724348,0.45301226,0.22654645,0.45053715,0.5972447
0.8283191,0.64949775,0.5565311,0.5593424,0.69335496,0.7219169,0.5821131,0.43768045,0.5528163,0.567732,0.65807164,0.62996244,0.7537106,0.5717104,0.5188215,0.63398063,0.6399254,0.4768331,0.60015446,0.61703455,0.59043723,0.58921707,0.5886798,0.577541,0.5724348,1.0,0.5917983,0.32738692,0.55002016,0.7101076
0.6010144,0.5951534,0.5336622,0.47833866,0.5277972,0.64493585,0.624609,0.55393445,0.51836973,0.5050394,0.6203294,0.55564475,0.66039336,0.5850847,0.56023073,0.51355207,0.5680908,0.4206975,0.6221608,0.5007285,0.54102826,0.68441284,0.41032463,0.62123275,0.45301226,0.5917983,1.0,0.2893311,0.516669,0.59937215
0.36030877,0.3403639,0.26675484,0.57681084,0.50934654,0.3693544,0.3610122,0.35139513,0.49445033,0.3819852,0.3091405,0.4538601,0.36486828,0.5881505,0.47993433,0.27417946,0.2890898,0.36027977,0.44656458,0.3960582,0.37928018,0.35858732,0.33291692,0.48323345,0.22654645,0.32738692,0.2893311,1.0,0.6440658,0.43081516
0.59345585,0.61244154,0.3497178,0.7080554,0.62925404,0.5492466,0.52968776,0.5044338,0.6454543,0.5492504,0.558593,0.6124294,0.6149239,0.79870176,0.606574,0.50866234,0.4575765,0.43860084,0.6374175,0.5931765,0.5663798,0.4511233,0.40199834,0.5943322,0.45053715,0.55002016,0.516669,0.6440658,1.0,0.577765
0.6840848,0.58550817,0.59618175,0.6256772,0.6917964,0.619383,0.5936762,0.47555256,0.70602167,0.6634703,0.5203602,0.7099159,0.62248087,0.632444,0.68215585,0.515729,0.72917604,0.5827397,0.6465815,0.7066467,0.685977,0.7678632,0.5293577,0.6016715,0.5972447,0.7101076,0.59937215,0.43081516,0.577765,1.0
