Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,-0.1505508,0.02638954,-0.14133635,-0.13320556,0.3514266,-0.13075009,-0.01000138,-0.11831615,0.051392786,0.20011228,0.050460465,0.23783594,-0.029934166,-0.012340924,0.3955037,0.059742983,-0.05118892,-0.1624824,0.034470562,0.13164282,-0.021620873,-0.06594133,0.028926307,-0.12137629,0.2395618,0.10264772,-0.13454291,0.015977588,-0.06415527
-0.1505508,1.0,0.2067264,0.3630609,0.22420464,0.14341705,0.3206048,0.37158865,-0.1531104,0.13900968,0.025174312,0.35469145,0.11526488,0.09389582,0.026042469,-0.24492519,-0.02997411,0.111949675,-0.09103191,0.25280344,0.13518398,0.2181246,0.1264183,-0.34189233,0.3034648,-0.055727553,0.33950245,-0.023425996,0.2577334,-0.19734088
0.02638954,0.2067264,1.0,0.23552099,0.26684016,0.17243232,0.08382124,0.39299577,-0.31210598,0.09774172,0.215033,0.14567465,0.47613072,0.038169473,0.048032515,0.02263105,-0.100173414,0.31570482,-0.32808462,0.3868129,0.22295119,0.61418635,0.25038165,-0.47652406,0.24373865,0.036162674,0.60602784,-0.17301415,0.23810151,-0.3308847
-0.14133635,0.3630609,0.23552099,1.0,0.27285007,-0.012219606,0.14462,0.3385436,-0.25038823,0.18317251,0.018912919,0.25812668,0.10747152,0.1296226,0.24621311,-0.0756356,-0.13381404,0.08555206,-0.10178372,0.3437364,-0.14918208,0.25452763,0.0068583004,-0.41767704,0.16923082,-0.21939611,0.3602024,-0.20945647,0.00025366247,-0.08453437
-0.13320556,0.22420464,0.26684016,0.27285007,1.0,-0.0030125957,0.20766777,0.30274022,-0.3534116,0.2134431,0.046033166,0.38877213,0.23032399,0.11162193,-0.044655584,-0.15878293,0.22954786,0.1773167,-0.14486912,0.3722118,-0.082078084,0.28035077,0.2895818,-0.46736354,0.40192538,-0.3963741,0.27352458,-0.13520992,0.23654386,-0.1215885
0.3514266,0.14341705,0.17243232,-0.012219606,-0.0030125957,1.0,0.048475094,0.009754501,-0.21875894,0.022847194,0.3780738,0.25265616,0.053322047,-0.02488471,-0.21449435,0.12797147,0.028702483,0.060094234,-0.2222502,0.015753513,0.23611748,0.083893836,-0.05447807,-0.111331075,-0.025615228,0.2526492,0.20729867,0.02833382,-0.009654815,-0.2524454
-0.13075009,0.3206048,0.08382124,0.14462,0.20766777,0.048475094,1.0,0.27182254,-0.1151686,0.15498534,-0.08967379,0.278226,0.18009898,0.13706826,-0.059861787,-0.22231367,0.22961128,0.14126417,-0.03793012,0.067952335,-0.011223209,0.0018047951,0.14216389,-0.27454022,0.16104753,-0.059680663,0.08354977,0.043686558,0.20603949,-0.026889313
-0.01000138,0.37158865,0.39299577,0.3385436,0.30274022,0.009754501,0.27182254,1.0,-0.23622972,0.32700905,-0.076446846,0.3272833,0.3450173,0.2731298,0.17122062,-0.08181179,0.04993266,0.2978634,-0.14719614,0.38539946,0.073064804,0.3511764,0.23805484,-0.4702372,0.3390382,-0.24831286,0.32627624,-0.051499926,0.29414088,-0.19343594
-0.11831615,-0.1531104,-0.31210598,-0.25038823,-0.3534116,-0.21875894,-0.1151686,-0.23622972,1.0,-0.21029943,-0.3917895,-0.49588692,-0.23993962,0.19565755,0.30922592,-0.24146137,-0.122966506,0.12024307,0.58975077,-0.534666,0.028794467,-0.50669765,-0.019830445,0.4815465,-0.14624658,0.15111807,-0.42561775,0.26351628,-0.033355966,0.5271629
0.051392786,0.13900968,0.09774172,0.18317251,0.2134431,0.022847194,0.15498534,0.32700905,-0.21029943,1.0,-0.12143721,0.35160798,0.14656323,0.116911516,-0.010242532,0.0009672092,-0.15997201,0.120023325,-0.03694364,0.30028653,-0.030243257,0.113644704,0.12377418,-0.16439277,0.12784383,-0.24238929,0.03210756,-0.0605829,0.09140568,-0.05997243
