Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,-0.43127638,-0.24207851,-0.4354297,-0.4515838,0.5373005,-0.20545122,-0.3189712,-0.07887554,-0.20155916,0.58865297,-0.044960834,0.09553707,-0.3428201,-0.27929324,0.53163195,0.13389051,-0.33706525,-0.28523636,0.016292555,0.24315836,-0.03483857,-0.23769975,0.110761136,-0.21590193,0.51001287,-0.3005407,-0.30761462,0.0037016794,0.007927193
-0.43127638,1.0,0.4669363,0.5515144,0.49983096,-0.18408468,0.6603729,0.60250705,-0.0025582025,0.3455164,-0.49277347,0.45088,0.35949135,0.63906866,0.3334548,-0.39020157,0.032711655,0.46617225,-0.051398437,0.20797119,0.07473892,0.32651436,0.6317122,-0.421191,0.3734728,-0.3437218,0.61908704,0.097792834,0.40717453,-0.12143971
-0.24207851,0.4669363,1.0,0.38518536,0.35615036,0.12784709,0.5073168,0.5690792,-0.4591782,0.33090305,-0.070948794,0.32996458,0.5152029,0.46332318,0.118355066,0.035559,-0.16243814,0.45556688,-0.31124398,0.3585924,0.38194683,0.70743096,0.65395015,-0.4709879,0.014580131,-0.09963463,0.72121495,-0.102893874,0.110897556,-0.4586811
-0.4354297,0.5515144,0.38518536,1.0,0.37585765,-0.36631995,0.40689996,0.49475622,-0.18524002,0.45757252,-0.35450235,0.27591103,0.34114283,0.70283973,0.41565487,-0.1902766,-0.18067165,0.36425537,-0.036045894,0.34224224,-0.08129834,0.31056595,0.3990597,-0.43515828,0.05305884,-0.41524133,0.5746155,0.017072735,0.12758914,-0.1062164
-0.4515838,0.49983096,0.35615036,0.37585765,1.0,-0.2738546,0.28752944,0.31878227,-0.043776684,0.4903768,-0.44441932,0.27828062,0.271786,0.487702,0.48629254,-0.25694048,0.08909014,0.23180719,0.065020725,0.45902905,-0.20704989,0.17758875,0.518584,-0.31746265,0.39689273,-0.6050543,0.308689,-0.021657092,0.12089962,0.082865134
0.5373005,-0.18408468,0.12784709,-0.36631995,-0.2738546,1.0,0.110927336,-0.15387596,-0.3116752,-0.17160471,0.60935736,0.2930381,0.17795894,-0.31367922,-0.422241,0.4144804,0.2202349,-0.123553395,-0.41428488,0.07681595,0.55922854,0.30217713,0.009954633,-0.068306535,-0.08061226,0.6264696,-0.015573851,-0.20407194,-0.044891413,-0.4300597
-0.20545122,0.6603729,0.5073168,0.40689996,0.28752944,0.110927336,1.0,0.50594354,-0.17314172,0.28288797,-0.23245795,0.562809,0.47185636,0.5767851,0.08142511,-0.107442245,0.29626587,0.48446593,-0.22277214,0.29208753,0.40881288,0.5185643,0.60017705,-0.4451856,0.1247527,-0.03323778,0.6209066,0.009410832,0.35820085,-0.3827065
-0.3189712,0.60250705,0.5690792,0.49475622,0.31878227,-0.15387596,0.50594354,1.0,-0.09805329,0.33551878,-0.35136747,0.30998528,0.4192014,0.55884326,0.30481052,-0.26059628,0.0091037,0.5540103,-0.08262428,0.25713316,0.17072494,0.41514522,0.5810974,-0.5436703,0.23811531,-0.20686285,0.5511631,0.014501996,0.28144675,-0.15169537
-0.07887554,-0.0025582025,-0.4591782,-0.18524002,-0.043776684,-0.3116752,-0.17314172,-0.09805329,1.0,-0.20712775,-0.4234602,-0.25369084,-0.12704805,-0.08676943,0.29180193,-0.46714818,0.14096105,0.009380896,0.51871234,-0.3810119,-0.21258855,-0.58925647,-0.16100253,0.30957413,0.325112,-0.014371362,-0.44388726,0.29121125,0.27078843,0.60771304
-0.20155916,0.3455164,0.33090305,0.45757252,0.4903768,-0.17160471,0.28288797,0.33551878,-0.20712775,1.0,-0.29719144,0.29437572,0.3520609,0.49354136,0.3288304,0.09322631,-0.19503686,0.17456275,-0.1232384,0.5116281,-0.14236128,0.24286997,0.36188862,-0.2745988,0.110793814,-0.36955547,0.3153608,-0.17013101,0.09516971,-0.055126697
0.58865297,-0.49277347,-0.070948794,-0.35450235,-0.44441932,0.60935736,-0.23245795,-0.35136747,-0.4234602,-0.29719144,1.0,-0.055609994,-0.14122374,-0.4445703,-0.38011777,0.5595252,0.037158042,-0.4352779,-0.34136036,-0.027516335,0.39629334,0.16749433,-0.30413777,0.10395053,-0.34439144,0.5398847,-0.122660965,-0.35434246,-0.24787185,-0.32692093
-0.044960834,0.45088,0.32996458,0.27591103,0.27828062,0.2930381,0.562809,0.30998528,-0.25369084,0.29437572,-0.055609994,1.0,0.46604225,0.38436943,-0.05213723,-0.08763591,0.24889499,0.32818082,-0.20389426,0.43589354,0.27029872,0.41384342,0.473808,-0.4111292,0.17992634,-0.038726028,0.3330139,-0.10746454,0.1709005,-0.35550854
0.09553707,0.35949135,0.5152029,0.34114283,0.271786,0.17795894,0.47185636,0.4192014,-0.12704805,0.3520609,-0.14122374,0.46604225,1.0,0.49561203,0.21643533,0.033600736,0.09512398,0.35503626,-0.29617965,0.4589453,0.32131076,0.40909982,0.5422318,-0.4739723,0.0983308,-0.02184406,0.3816475,-0.17658088,0.32706237,-0.11834936
-0.3428201,0.63906866,0.46332318,0.70283973,0.487702,-0.31367922,0.5767851,0.55884326,-0.08676943,0.49354136,-0.4445703,0.38436943,0.49561203,1.0,0.35682157,-0.18457863,0.0034499322,0.5789854,0.026237072,0.33892447,-0.026315734,0.3379869,0.5694035,-0.37950838,0.11503059,-0.36888224,0.5531944,0.10818206,0.40550065,-0.091381416
-0.27929324,0.3334548,0.118355066,0.41565487,0.48629254,-0.422241,0.08142511,0.30481052,0.29180193,0.3288304,-0.38011777,-0.05213723,0.21643533,0.35682157,1.0,-0.26203433,-0.07227955,0.07205389,0.18440421,0.17883737,-0.19855154,-0.07745181,0.27819353,-0.24367654,0.33472526,-0.4243419,0.13113964,-0.13520673,0.1376679,0.37030193
0.53163195,-0.39020157,0.035559,-0.1902766,-0.25694048,0.4144804,-0.107442245,-0.26059628,-0.46714818,0.09322631,0.5595252,-0.08763591,0.033600736,-0.18457863,-0.26203433,1.0,-0.09879133,-0.34699428,-0.3093257,0.14044088,0.18956181,0.21226597,-0.23379949,0.12566039,-0.4226432,0.38421863,-0.017558217,-0.30370566,-0.2157849,-0.28849778
0.13389051,0.032711655,-0.16243814,-0.18067165,0.08909014,0.2202349,0.29626587,0.0091037,0.14096105,-0.19503686,0.037158042,0.24889499,0.09512398,0.0034499322,-0.07227955,-0.09879133,1.0,0.086177304,0.0042994744,0.20145908,0.175751,0.09171558,0.12598926,-0.15668538,0.35185924,0.17903793,-0.05450512,0.014013598,0.092862904,-0.14232132
-0.33706525,0.46617225,0.45556688,0.36425537,0.23180719,-0.123553395,0.48446593,0.5540103,0.009380896,0.17456275,-0.4352779,0.32818082,0.35503626,0.5789854,0.07205389,-0.34699428,0.086177304,1.0,0.04040711,0.11210544,0.076385096,0.37683824,0.5091872,-0.3008918,0.08175647,-0.15177713,0.435079,0.3851305,0.39229825,-0.23405051
-0.28523636,-0.051398437,-0.31124398,-0.036045894,0.065020725,-0.41428488,-0.22277214,-0.08262428,0.51871234,-0.1232384,-0.34136036,-0.20389426,-0.29617965,0.026237072,0.18440421,-0.3093257,0.0042994744,0.04040711,1.0,-0.35903,-0.29894373,-0.49691725,-0.23664427,0.2550353,0.13405643,-0.061985526,-0.34068644,0.35430866,0.10302043,0.33196002
0.016292555,0.20797119,0.3585924,0.34224224,0.45902905,0.07681595,0.29208753,0.25713316,-0.3810119,0.5116281,-0.027516335,0.43589354,0.4589453,0.33892447,0.17883737,0.14044088,0.20145908,0.11210544,-0.35903,1.0,0.02951007,0.5131902,0.3782155,-0.5278311,0.23147781,-0.2141152,0.33302933,-0.35006782,-0.13324691,-0.28369766
0.24315836,0.07473892,0.38194683,-0.08129834,-0.20704989,0.55922854,0.40881288,0.17072494,-0.21258855,-0.14236128,0.39629334,0.27029872,0.32131076,-0.026315734,-0.19855154,0.18956181,0.175751,0.076385096,-0.29894373,0.02951007,1.0,0.36428428,0.2821979,-0.2442024,-0.1862786,0.4701065,0.25392985,-0.15032835,0.19798543,-0.40748703
-0.03483857,0.32651436,0.70743096,0.31056595,0.17758875,0.30217713,0.5185643,0.41514522,-0.58925647,0.24286997,0.16749433,0.41384342,0.40909982,0.3379869,-0.07745181,0.21226597,0.09171558,0.37683824,-0.49691725,0.5131902,0.36428428,1.0,0.47303727,-0.44356948,-0.008281788,0.09954156,0.75205696,-0.25066203,-0.060062483,-0.73741615
-0.23769975,0.6317122,0.65395015,0.3990597,0.518584,0.009954633,0.60017705,0.5810974,-0.16100253,0.36188862,-0.30413777,0.473808,0.5422318,0.5694035,0.27819353,-0.23379949,0.12598926,0.5091872,-0.23664427,0.3782155,0.2821979,0.47303727,1.0,-0.48942277,0.22111806,-0.33637536,0.55997217,-0.017749071,0.30549332,-0.16389893
0.110761136,-0.421191,-0.4709879,-0.43515828,-0.31746265,-0.068306535,-0.4451856,-0.5436703,0.30957413,-0.2745988,0.10395053,-0.4111292,-0.4739723,-0.37950838,-0.24367654,0.12566039,-0.15668538,-0.3008918,0.2550353,-0.5278311,-0.2442024,-0.44356948,-0.48942277,1.0,-0.19228348,0.13848893,-0.5011584,0.20990044,-0.043856733,0.21112022
-0.21590193,0.3734728,0.014580131,0.05305884,0.39689273,-0.08061226,0.1247527,0.23811531,0.325112,0.110793814,-0.34439144,0.17992634,0.0983308,0.11503059,0.33472526,-0.4226432,0.35185924,0.08175647,0.13405643,0.23147781,-0.1862786,-0.008281788,0.22111806,-0.19228348,1.0,-0.1994274,0.021920945,-0.027048774,0.034801926,0.13132614
0.51001287,-0.3437218,-0.09963463,-0.41524133,-0.6050543,0.6264696,-0.03323778,-0.20686285,-0.014371362,-0.36955547,0.5398847,-0.038726028,-0.02184406,-0.36888224,-0.4243419,0.38421863,0.17903793,-0.15177713,-0.061985526,-0.2141152,0.4701065,0.09954156,-0.33637536,0.13848893,-0.1994274,1.0,-0.15021987,-0.09962909,-0.035418883,-0.3332605
-0.3005407,0.61908704,0.72121495,0.5746155,0.308689,-0.015573851,0.6209066,0.5511631,-0.44388726,0.3153608,-0.122660965,0.3330139,0.3816475,0.5531944,0.13113964,-0.017558217,-0.05450512,0.435079,-0.34068644,0.33302933,0.25392985,0.75205696,0.55997217,-0.5011584,0.021920945,-0.15021987,1.0,-0.095092624,0.10377729,-0.46411896
-0.30761462,0.097792834,-0.102893874,0.017072735,-0.021657092,-0.20407194,0.009410832,0.014501996,0.29121125,-0.17013101,-0.35434246,-0.10746454,-0.17658088,0.10818206,-0.13520673,-0.30370566,0.014013598,0.3851305,0.35430866,-0.35006782,-0.15032835,-0.25066203,-0.017749071,0.20990044,-0.027048774,-0.09962909,-0.095092624,1.0,0.27966556,0.13109371
0.0037016794,0.40717453,0.110897556,0.12758914,0.12089962,-0.044891413,0.35820085,0.28144675,0.27078843,0.09516971,-0.24787185,0.1709005,0.32706237,0.40550065,0.1376679,-0.2157849,0.092862904,0.39229825,0.10302043,-0.13324691,0.19798543,-0.060062483,0.30549332,-0.043856733,0.034801926,-0.035418883,0.10377729,0.27966556,1.0,0.14673713
0.007927193,-0.12143971,-0.4586811,-0.1062164,0.082865134,-0.4300597,-0.3827065,-0.15169537,0.60771304,-0.055126697,-0.32692093,-0.35550854,-0.11834936,-0.091381416,0.37030193,-0.28849778,-0.14232132,-0.23405051,0.33196002,-0.28369766,-0.40748703,-0.73741615,-0.16389893,0.21112022,0.13132614,-0.3332605,-0.46411896,0.13109371,0.14673713,1.0
