Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.03551072,0.11689366,0.1335647,0.046779633,0.10642481,-0.08649431,-0.034807067,-0.30592442,-0.012487378,0.14399621,0.11594625,0.18173262,-0.0033159861,0.14311916,0.37275428,-0.022584125,-0.010095822,-0.23247984,0.100352824,0.064136975,0.32847586,0.16199557,-0.2953031,-0.019223358,0.02530213,0.24217534,-0.2304886,-0.08158453,-0.05920525
0.03551072,1.0,0.16524598,0.22571656,0.1576298,0.24090727,0.1517976,0.08561516,-0.16941532,0.08843722,0.015694011,0.20025265,0.06937764,0.10358682,0.07903963,-0.11806853,-0.2844776,0.06700832,-0.15340894,0.18011002,0.083755344,0.24948105,0.29054442,-0.060186956,0.20320995,-0.13240412,0.34745604,-0.10250442,0.16085553,-0.1718024
0.11689366,0.16524598,1.0,0.0724591,0.20103344,0.1939857,0.22504711,0.227209,-0.24808657,0.15972608,0.059130274,0.19087213,0.3996417,0.08288073,0.08856428,-0.026875116,-0.18150905,0.080973774,-0.20127743,0.26304638,0.18646267,0.3829397,0.18403071,-0.2037329,0.29639968,0.15983716,0.4126516,-0.20979266,0.04228571,-0.19131207
0.1335647,0.22571656,0.0724591,1.0,0.17440724,0.10143037,0.10342242,0.13959108,-0.08407012,0.23028469,0.020936657,-0.07713197,0.056959145,0.23559272,0.18669616,0.0897374,-0.17820935,0.0064785196,-0.10444589,0.209505,0.038354322,0.18231478,0.20631354,-0.36955845,0.19601066,-0.050164565,0.27004507,-0.33720547,-0.1790629,0.0007517929
0.046779633,0.1576298,0.20103344,0.17440724,1.0,0.1571825,0.06632966,0.16617718,-0.22046384,0.2222817,-0.035692837,0.23943797,0.17542024,0.16439311,0.07125507,-0.025552774,-0.03891983,0.03715213,0.09529102,0.22253335,0.043901563,0.016483998,0.24056265,-0.20878075,0.2796479,-0.18835542,0.028124586,-0.06730214,0.038263038,0.015888877
0.10642481,0.24090727,0.1939857,0.10143037,0.1571825,1.0,-0.13405846,0.017612923,-0.007777308,0.050938934,0.12884584,0.14047535,0.11773929,0.017330542,0.07193685,0.002322374,-0.12398756,-0.010373072,-0.07657306,0.08694448,0.04866334,0.048162922,0.07837945,-0.24493703,0.048785783,0.08501564,0.08411056,-0.11053065,0.050391432,0.018535854
-0.08649431,0.1517976,0.22504711,0.10342242,0.06632966,-0.13405846,1.0,0.25837415,-0.11081651,0.153916,-0.1653634,0.23865381,0.16292027,0.1643747,-0.05127623,-0.032728482,0.04041057,0.06217529,-0.08108066,0.050022773,0.26874864,0.025818018,0.27471876,-0.07308152,0.13727002,-0.017498927,0.18295732,-0.019741647,0.09143415,-0.059401087
-0.034807067,0.08561516,0.227209,0.13959108,0.16617718,0.017612923,0.25837415,1.0,-0.11248123,0.25010863,-0.15889809,0.20078582,0.19046235,0.2937979,0.21074894,-0.0033679444,-0.017705787,0.17751816,-0.13279948,0.08914061,0.23620608,0.13985972,0.33086228,-0.17192268,0.23762712,-0.07410974,0.2026554,0.00874614,0.077374645,0.042526018
-0.30592442,-0.16941532,-0.24808657,-0.08407012,-0.22046384,-0.007777308,-0.11081651,-0.11248123,1.0,0.0010355935,-0.23400113,-0.26281363,-0.16615592,0.07374979,-0.059258405,-0.31315234,0.05791062,0.0574959,0.49419856,-0.33499837,-0.18744342,-0.43096724,-0.1627227,0.2858047,-0.04199436,0.059178922,-0.3498416,0.22783428,0.18045838,0.33336937
-0.012487378,0.08843722,0.15972608,0.23028469,0.2222817,0.050938934,0.153916,0.25010863,0.0010355935,1.0,-0.19858631,0.21028896,0.13707772,0.30968034,-0.055216562,-0.023043899,-0.14366516,0.20710196,0.03809369,0.23591612,0.025306942,0.14982486,0.259033,-0.108664304,0.17105079,-0.078872815,0.09592779,-0.050363168,0.16246372,-0.13769716
0.14399621,0.015694011,0.059130274,0.020936657,-0.035692837,0.12884584,-0.1653634,-0.15889809,-0.23400113,-0.19858631,1.0,-0.089363575,-0.17170246,-0.09392533,0.0026827604,0.21079049,-0.00278843,-0.31415612,-0.16296917,0.10197437,0.053332523,0.3075876,-0.03710058,-0.06472758,-0.22979994,0.18401405,0.23693588,-0.13254344,-0.26690623,-0.40242717
0.11594625,0.20025265,0.19087213,-0.07713197,0.23943797,0.14047535,0.23865381,0.20078582,-0.26281363,0.21028896,-0.089363575,1.0,0.30694753,0.1548903,-0.116565205,-0.093054384,0.044545494,0.2254626,-0.08793391,0.26031715,0.16333994,0.18283467,0.2550724,-0.084728435,0.21203038,-0.025942866,0.16642816,0.01751475,0.121300876,-0.15991357
0.18173262,0.06937764,0.3996417,0.056959145,0.17542024,0.11773929,0.16292027,0.19046235,-0.16615592,0.13707772,-0.17170246,0.30694753,1.0,0.09151767,0.05812712,0.015866065,-0.0015188642,0.16088012,-0.09857045,0.2087115,0.3618278,0.14834905,0.1502737,-0.2865581,0.21944064,0.07705655,0.2572564,-0.08831228,0.02017961,0.04737553
-0.0033159861,0.10358682,0.08288073,0.23559272,0.16439311,0.017330542,0.1643747,0.2937979,0.07374979,0.30968034,-0.09392533,0.1548903,0.09151767,1.0,-0.07386478,0.024621075,0.11426138,0.2132603,0.10506399,0.08326178,0.055869795,0.07544451,0.2808878,-0.26765028,0.047852904,-0.03434719,0.09079325,-0.04840664,0.20122464,-0.0038869057
0.14311916,0.07903963,0.08856428,0.18669616,0.07125507,0.07193685,-0.05127623,0.21074894,-0.059258405,-0.055216562,0.0026827604,-0.116565205,0.05812712,-0.07386478,1.0,0.088311866,-0.017819235,0.066608116,-0.091507725,-0.019317577,0.08885354,0.05587702,0.13038696,-0.12532803,0.12955438,-0.10978609,0.06268642,-0.18405148,-0.07110024,0.06818357
0.37275428,-0.11806853,-0.026875116,0.0897374,-0.025552774,0.002322374,-0.032728482,-0.0033679444,-0.31315234,-0.023043899,0.21079049,-0.093054384,0.015866065,0.024621075,0.088311866,1.0,-0.018734422,-0.13859725,-0.15482515,0.07895305,0.10089353,0.27329364,-0.04831515,-0.14298844,-0.14899528,0.16910228,0.012723935,-0.12141484,-0.26397824,-0.12032252
-0.022584125,-0.2844776,-0.18150905,-0.17820935,-0.03891983,-0.12398756,0.04041057,-0.017705787,0.05791062,-0.14366516,-0.00278843,0.044545494,-0.0015188642,0.11426138,-0.017819235,-0.018734422,1.0,-0.085580885,0.020018727,-0.10159584,-0.0565781,-0.10587129,0.009752842,-0.007468857,-0.017734345,0.07314397,-0.07928683,0.070186526,-0.05519957,0.021242812
-0.010095822,0.06700832,0.080973774,0.0064785196,0.03715213,-0.010373072,0.06217529,0.17751816,0.0574959,0.20710196,-0.31415612,0.2254626,0.16088012,0.2132603,0.066608116,-0.13859725,-0.085580885,1.0,-0.0063678715,0.0050377976,0.048710823,0.023003962,0.20809972,-0.12183154,0.2107369,-0.057797246,0.04626655,0.114177585,0.23658314,-0.07606504
-0.23247984,-0.15340894,-0.20127743,-0.10444589,0.09529102,-0.07657306,-0.08108066,-0.13279948,0.49419856,0.03809369,-0.16296917,-0.08793391,-0.09857045,0.10506399,-0.091507725,-0.15482515,0.020018727,-0.0063678715,1.0,-0.24222133,-0.29573554,-0.3276661,-0.12250492,0.16747229,0.0024980493,0.00858907,-0.39492494,0.1351195,0.12413221,0.18400313
