Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.37607706,0.50304854,0.2782688,0.53751725,0.61836016,0.39696956,0.22348571,0.31137326,0.46812397,0.52425194,0.34897995,0.5576753,0.37376484,0.29159582,0.67906207,0.5859461,0.46949202,0.24085471,0.329821,0.45969415,0.357678,0.50284064,0.3974589,0.4264605,0.71157813,0.36147484,0.24957211,0.31435722,0.4923476
0.37607706,1.0,0.16045018,0.48829025,0.32932478,0.3455451,0.7027803,0.25255013,0.5429274,0.3422526,0.29039785,0.5779397,0.4076708,0.7627419,0.32273045,0.56736386,0.31702086,0.3228873,0.47990498,0.18174194,0.30887443,0.3012829,0.33005798,0.34919837,0.22689936,0.41101006,0.34921795,0.31964353,0.5754511,0.2718196
0.50304854,0.16045018,1.0,0.21460322,0.4005559,0.36557758,0.3957027,0.3546171,0.16501498,0.22121978,0.4337908,0.30837518,0.46352643,0.19671865,0.22063097,0.31183416,0.4322624,0.41396233,0.22917338,0.28877714,0.4729551,0.4970099,0.5632325,0.33873886,0.20624523,0.44309595,0.48076546,0.23514518,0.21689875,0.56294537
0.2782688,0.48829025,0.21460322,1.0,0.2958277,0.16792566,0.33271638,0.18585156,0.4608075,0.1848932,0.19616374,0.4767661,0.2748402,0.5536863,0.384428,0.32418495,0.10956584,0.25315994,0.4210987,0.18013284,0.24527594,0.29032165,0.16144839,0.35809296,0.043559782,0.2535379,0.26966923,0.5789062,0.59813803,0.2784261
0.53751725,0.32932478,0.4005559,0.2958277,1.0,0.39319098,0.33111635,0.14910805,0.46824664,0.5040955,0.3631754,0.49710065,0.37792197,0.3266245,0.42718792,0.39138728,0.5319425,0.35166317,0.29651758,0.6035324,0.37485808,0.18976104,0.50758135,0.3829673,0.5635723,0.6038524,0.278923,0.31088528,0.3671329,0.4702721
0.61836016,0.3455451,0.36557758,0.16792566,0.39319098,1.0,0.37334514,0.23224056,0.34814847,0.41344145,0.56885767,0.39137197,0.60646546,0.35183898,0.31866825,0.53560543,0.47167438,0.3623032,0.56922317,0.35191426,0.538738,0.36079016,0.4004627,0.46302828,0.35560873,0.60874474,0.49548975,0.2340672,0.3408945,0.38340637
0.39696956,0.7027803,0.3957027,0.33271638,0.33111635,0.37334514,1.0,0.39845538,0.45869228,0.40496868,0.35387588,0.53326017,0.43209508,0.6341278,0.32674792,0.4319441,0.4349892,0.41369224,0.36816084,0.20667353,0.44091523,0.45923227,0.38756573,0.3323729,0.24500352,0.40257424,0.449273,0.31416896,0.47135735,0.3981435
0.22348571,0.25255013,0.3546171,0.18585156,0.14910805,0.23224056,0.39845538,1.0,0.073329054,0.19637594,0.32786813,0.093195505,0.36835787,0.25536168,0.06836476,0.25590652,0.12629133,0.3528883,0.22074406,0.048598178,0.2810328,0.30424765,0.32944548,0.16282058,-0.027590172,0.18070228,0.30018532,0.22498891,0.30389363,0.18478562
0.31137326,0.5429274,0.16501498,0.4608075,0.46824664,0.34814847,0.45869228,0.073329054,1.0,0.34823507,0.16733193,0.6370877,0.22233054,0.557649,0.5590278,0.28862,0.4724962,0.32868782,0.55826145,0.4668765,0.38044304,0.3306471,0.2670913,0.28769118,0.42097473,0.43513268,0.32603168,0.4424641,0.5005851,0.47168106
0.46812397,0.3422526,0.22121978,0.1848932,0.5040955,0.41344145,0.40496868,0.19637594,0.34823507,1.0,0.29505697,0.37612486,0.22541733,0.34471864,0.418635,0.29027528,0.5703871,0.4513269,0.17571008,0.35009557,0.32183895,0.11063969,0.28810683,0.2799303,0.50413203,0.33223462,0.17702511,0.25318778,0.23374566,0.3263779
