Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.92806447,0.92400897,0.9132447,0.94303,0.9541273,0.9290397,0.90188766,0.9135203,0.93191946,0.9415165,0.9199084,0.94483453,0.9241114,0.9111973,0.95377815,0.9502926,0.9271531,0.93186605,0.91964483,0.92095757,0.9233589,0.92273813,0.927217,0.9248489,0.9668213,0.9175222,0.89282113,0.92211026,0.9372621
0.92806447,1.0,0.89823055,0.9374844,0.92074496,0.9139582,0.9575827,0.8988061,0.93275833,0.90400887,0.925151,0.94825524,0.9216637,0.9692636,0.9073262,0.9508119,0.92277646,0.8959681,0.94446695,0.90621734,0.88936865,0.91602135,0.9066714,0.9325614,0.900815,0.9255922,0.9208946,0.88677794,0.9401219,0.91616356
0.92400897,0.89823055,1.0,0.8882898,0.9216807,0.8946077,0.912253,0.8974221,0.8907815,0.8965451,0.9214961,0.9082381,0.9168056,0.89088047,0.8921766,0.90187097,0.92932606,0.9053457,0.90563655,0.90341294,0.9012968,0.91789824,0.9361723,0.9110917,0.8986517,0.9187309,0.9181993,0.8764303,0.8778564,0.9276251
0.9132447,0.9374844,0.8882898,1.0,0.9292133,0.88759965,0.92016804,0.88452613,0.94448936,0.90155447,0.89767617,0.93295276,0.8958543,0.9517689,0.9240205,0.90349126,0.8935465,0.8805204,0.93908525,0.9064746,0.8875005,0.90820396,0.89352447,0.9135891,0.88948286,0.9086399,0.8943453,0.9323238,0.9466512,0.9203367
0.94303,0.92074496,0.9216807,0.9292133,1.0,0.9224247,0.92292535,0.8928465,0.95042586,0.9503592,0.9269678,0.9488127,0.9195761,0.93396854,0.94932425,0.9247545,0.94825625,0.9151652,0.942148,0.95800674,0.92151153,0.9151883,0.9301371,0.93567395,0.95158964,0.9517058,0.9222468,0.9150287,0.92098475,0.952459
0.9541273,0.9139582,0.8946077,0.88759965,0.9224247,1.0,0.9089786,0.88146347,0.898731,0.91901785,0.934176,0.90464306,0.9471444,0.9131875,0.9049245,0.93296504,0.9363279,0.8894731,0.94399214,0.90193415,0.91472447,0.8992883,0.8918229,0.92282736,0.90008044,0.93848646,0.91213113,0.87561846,0.906016,0.9150168
0.9290397,0.9575827,0.912253,0.92016804,0.92292535,0.9089786,1.0,0.9257051,0.9333731,0.9237725,0.917503,0.9447541,0.91438,0.9502566,0.92231524,0.92499775,0.9381033,0.9203551,0.9486238,0.9132971,0.90952075,0.9483391,0.9196063,0.9286411,0.9118138,0.9229831,0.9277669,0.90594363,0.92518467,0.93175673
0.90188766,0.8988061,0.8974221,0.88452613,0.8928465,0.88146347,0.9257051,1.0,0.88251865,0.8905494,0.8935523,0.890659,0.8926449,0.8961582,0.8865434,0.87780935,0.8922115,0.9145309,0.91434264,0.8790116,0.8798765,0.921126,0.921003,0.8861009,0.86975884,0.8878094,0.897059,0.8966123,0.90271485,0.8930577
0.9135203,0.93275833,0.8907815,0.94448936,0.95042586,0.898731,0.9333731,0.88251865,1.0,0.91918373,0.89792085,0.9571799,0.8873354,0.9550501,0.965084,0.9038156,0.92338073,0.8957397,0.9577888,0.94842124,0.9086391,0.92536485,0.9037455,0.9266547,0.92816734,0.9177426,0.9074123,0.9202425,0.93648434,0.95080316
0.93191946,0.90400887,0.8965451,0.90155447,0.9503592,0.91901785,0.9237725,0.8905494,0.91918373,1.0,0.9106766,0.91528904,0.8987354,0.9150522,0.9258963,0.90961456,0.9404949,0.92139703,0.92106354,0.9297954,0.91530335,0.9010081,0.90148926,0.90549207,0.93832564,0.9253393,0.901968,0.8967042,0.9021664,0.93377066
