Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.9646642,0.95350397,0.9431364,0.96465826,0.9474603,0.9589597,0.9411839,0.9574942,0.9678986,0.9589777,0.96223533,0.96856844,0.96038675,0.94447803,0.98083246,0.967287,0.9645319,0.94655097,0.9512136,0.9652752,0.93763494,0.95207834,0.9607234,0.95064676,0.9745632,0.94651747,0.93130374,0.96083474,0.9591119
0.9646642,1.0,0.9447078,0.9468193,0.95242727,0.94039476,0.9721718,0.9340724,0.9604434,0.9605491,0.9607502,0.96920514,0.9634341,0.976305,0.9381408,0.97129625,0.9538119,0.95936406,0.96629566,0.94907904,0.94961226,0.9502107,0.9428284,0.95659226,0.9468311,0.96133524,0.953156,0.92432404,0.96066916,0.9540891
0.95350397,0.9447078,1.0,0.929693,0.95031327,0.92515707,0.9510156,0.9473537,0.9486332,0.95362777,0.95147943,0.9511168,0.95433635,0.93956625,0.93803656,0.9484887,0.9526322,0.9519521,0.9422425,0.9427445,0.9536911,0.9521593,0.9618351,0.9548814,0.9423278,0.949169,0.9591186,0.9238938,0.9490216,0.96357226
0.9431364,0.9468193,0.929693,1.0,0.9428348,0.9037218,0.9333166,0.9316237,0.9470632,0.94260097,0.93922734,0.9454735,0.945661,0.96046156,0.93415296,0.94434726,0.9214126,0.95254004,0.94429314,0.9295105,0.92689955,0.930589,0.9410636,0.9565367,0.90486145,0.93853986,0.92655295,0.9542862,0.95823634,0.9346893
0.96465826,0.95242727,0.95031327,0.9428348,1.0,0.91204715,0.951154,0.934659,0.9632802,0.96978563,0.94724035,0.9708322,0.9630184,0.95368314,0.9607082,0.9577068,0.957013,0.96582556,0.95468545,0.972015,0.96360576,0.94015706,0.9485693,0.9587649,0.9631864,0.9761889,0.949473,0.93019927,0.95416725,0.96798754
0.9474603,0.94039476,0.92515707,0.9037218,0.91204715,1.0,0.92634887,0.90633744,0.9165584,0.926878,0.9542419,0.91420984,0.94136107,0.9104438,0.908872,0.94132084,0.93260235,0.92238677,0.93724895,0.89888936,0.92358327,0.9264816,0.92186004,0.913509,0.92325497,0.93139833,0.930043,0.88426536,0.9079364,0.9251288
0.9589597,0.9721718,0.9510156,0.9333166,0.951154,0.92634887,1.0,0.95640033,0.95207644,0.9679189,0.9483986,0.96534187,0.95785165,0.95860195,0.942274,0.9636929,0.95653534,0.96816516,0.9556762,0.94961154,0.9554961,0.9635961,0.9559833,0.95416003,0.95236766,0.9550565,0.9542658,0.93653655,0.95668346,0.95813465
0.9411839,0.9340724,0.9473537,0.9316237,0.934659,0.90633744,0.95640033,1.0,0.9276877,0.94559085,0.9309253,0.9389916,0.9470959,0.93487394,0.92994463,0.94128644,0.9249232,0.951782,0.92799693,0.9240341,0.93469006,0.9506153,0.9637844,0.93944967,0.9142467,0.925066,0.9410355,0.94796467,0.94748735,0.9343753
0.9574942,0.9604434,0.9486332,0.9470632,0.9632802,0.9165584,0.95207644,0.9276877,1.0,0.95806146,0.94337606,0.9805884,0.9482024,0.9741709,0.9766238,0.9568044,0.9508803,0.9531648,0.9679258,0.9666412,0.95920175,0.9474988,0.9360782,0.97337204,0.95243573,0.9568969,0.9488852,0.9477131,0.96721905,0.96812665
0.9678986,0.9605491,0.95362777,0.94260097,0.96978563,0.926878,0.9679189,0.94559085,0.95806146,1.0,0.95529556,0.9686357,0.962601,0.9548087,0.9545426,0.96352756,0.9674666,0.9722403,0.9514156,0.9638437,0.9619553,0.95080024,0.9482933,0.9593222,0.9617764,0.96325225,0.9526006,0.94054425,0.9583008,0.9684566
