Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.444457,0.50157046,0.34963453,0.34404665,0.4934799,0.29997817,0.2604296,0.26214293,0.503252,0.42581165,0.3296994,0.38694018,0.31842834,0.31384248,0.5931102,0.41151452,0.33595556,0.32966483,0.28195733,0.31165063,0.31862456,0.41741988,0.28388864,0.3136019,0.5859514,0.45255584,0.09398429,0.27518633,0.3528492
0.444457,1.0,0.3805291,0.3617834,0.106786124,0.292,0.4107194,0.29167306,0.34273434,0.24427226,0.36170337,0.33527082,0.29327965,0.4412378,0.21728787,0.52584815,0.34488225,0.2933275,0.33818752,0.16601492,0.1819163,0.20227003,0.3043819,0.28018072,0.22133592,0.28966284,0.3224515,0.14325017,0.3839432,0.27344334
0.50157046,0.3805291,1.0,0.25155216,0.30480283,0.3870201,0.3174408,0.25797567,0.2835191,0.40451056,0.41630203,0.32490456,0.36408725,0.25441664,0.26180255,0.38636684,0.4154951,0.2844894,0.2581159,0.278643,0.327295,0.36311147,0.3768427,0.27724594,0.36172593,0.44315463,0.4972516,0.13981378,0.1864472,0.4323812
0.34963453,0.3617834,0.25155216,1.0,0.2058126,0.23744494,0.29084444,0.31538045,0.5052025,0.18619841,0.26881364,0.29236978,0.29276818,0.3796484,0.25449327,0.28462002,0.22871506,0.21524799,0.29920572,0.11297321,0.18425359,0.13373516,0.19517788,0.3659157,0.1494296,0.17953527,0.28812882,0.15998504,0.43733552,0.3134173
0.34404665,0.106786124,0.30480283,0.2058126,1.0,0.31322396,0.1931571,0.17971891,0.34904665,0.46687508,0.14472643,0.2973327,0.25393924,0.22138613,0.41042984,0.17649543,0.42366678,0.21320476,0.15498099,0.52679497,0.4219703,0.13847274,0.26280177,0.31215835,0.5277809,0.29239237,0.28687632,0.042353645,0.13994756,0.4473385
0.4934799,0.292,0.3870201,0.23744494,0.31322396,1.0,0.33741802,0.21473245,0.38411808,0.44406888,0.44208938,0.28263596,0.38914096,0.38801968,0.31453228,0.42704242,0.40825444,0.15305677,0.5040017,0.22794357,0.35552573,0.30614156,0.3039742,0.3582943,0.37929177,0.44483563,0.45181233,0.19145006,0.35268402,0.3436552
0.29997817,0.4107194,0.3174408,0.29084444,0.1931571,0.33741802,1.0,0.29309964,0.4052008,0.28548753,0.30780917,0.36663085,0.36812502,0.47354835,0.39455253,0.27465653,0.40426156,0.33793932,0.3953493,0.24489115,0.27606115,0.39418954,0.20569006,0.33580017,0.19244744,0.24873671,0.3638904,0.20178047,0.30815893,0.3591546
0.2604296,0.29167306,0.25797567,0.31538045,0.17971891,0.21473245,0.29309964,1.0,0.3360906,0.21847874,0.21494785,0.3094773,0.32231802,0.34272683,0.22540757,0.31235123,0.20507154,0.23363712,0.19078872,0.24219401,0.21945027,0.31164065,0.24179715,0.2752112,0.1214802,0.12252179,0.21207267,0.15900576,0.39297378,0.22732139
0.26214293,0.34273434,0.2835191,0.5052025,0.34904665,0.38411808,0.4052008,0.3360906,1.0,0.2570718,0.25471124,0.51315945,0.29795432,0.4646815,0.5269881,0.28010625,0.33800614,0.21471067,0.2986798,0.2636928,0.37547863,0.15586424,0.15051278,0.4133473,0.25404486,0.1968323,0.22621548,0.18507738,0.44278806,0.36347774
0.503252,0.24427226,0.40451056,0.18619841,0.46687508,0.44406888,0.28548753,0.21847874,0.2570718,1.0,0.31286907,0.2713074,0.27472937,0.2590391,0.33303916,0.33558342,0.4655277,0.3162011,0.23839037,0.33223122,0.28608868,0.27229387,0.23039459,0.23424923,0.38395098,0.34470916,0.30682665,0.14043029,0.19182198,0.33097434
