Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,-0.26011175,0.15180984,-0.18285672,-0.20743926,0.38676745,-0.077452,-0.07638867,-0.18853718,0.08189073,0.4636993,0.08223693,0.28919524,-0.1110573,-0.07636425,0.65787977,0.0902369,-0.06724206,-0.3144047,0.2330698,0.13438946,0.137485,0.02706049,-0.14202814,-0.2743702,0.22906247,0.04525651,-0.28578755,-0.037288778,-0.14071271
-0.26011175,1.0,0.2182092,0.41563326,0.41422787,0.11021966,0.3197118,0.37140113,-0.15474233,0.25887048,-0.3078052,0.38424975,0.18148944,0.45738238,0.22615728,-0.36224708,-0.02625566,0.25728038,-0.053012066,0.23491205,-0.013284846,0.18266483,0.41207173,-0.24872552,0.33516625,-0.20519981,0.419344,0.067207485,0.24150567,-0.022022638
0.15180984,0.2182092,1.0,0.08943686,0.22563747,0.24800053,0.28221527,0.3590416,-0.2716243,0.17951383,0.28143406,0.19745821,0.58065814,0.15603682,0.18684989,0.11942572,-0.041853637,0.1911534,-0.24222729,0.4361925,0.26943156,0.58698386,0.3716153,-0.39094728,-0.017477058,0.047813702,0.593009,-0.14979231,0.15259254,-0.24578482
-0.18285672,0.41563326,0.08943686,1.0,0.30781376,-0.24697717,0.11438767,0.3606,-0.08606155,0.332923,-0.14952774,0.22519004,0.14367229,0.4504341,0.4369825,-0.2395995,-0.09218304,0.05675575,-0.044486143,0.2775268,-0.15484378,0.15475953,0.2153314,-0.41898024,0.15881822,-0.30956823,0.32960302,-0.1420528,0.0032242415,0.12855764
-0.20743926,0.41422787,0.22563747,0.30781376,1.0,-0.0544175,0.12217492,0.27954164,-0.13699636,0.23947585,-0.18244584,0.2616411,0.28075862,0.36017627,0.46434993,-0.2840843,0.2544273,0.21263157,0.052180752,0.45223656,-0.11451857,0.107285485,0.37572232,-0.42385465,0.50566685,-0.43226883,0.18377066,-0.0015120842,0.20791204,0.17181036
0.38676745,0.11021966,0.24800053,-0.24697717,-0.0544175,1.0,0.14170276,-0.11493896,-0.30558848,-0.032172028,0.42601562,0.2907532,0.26317596,-0.15253815,-0.20469007,0.35978973,0.09250963,-0.105857655,-0.17354968,0.20859694,0.3142305,0.13956061,0.13875288,-0.12886815,-0.11337784,0.33643258,0.16392449,-0.0611658,-0.013215205,-0.29083765
-0.077452,0.3197118,0.28221527,0.11438767,0.12217492,0.14170276,1.0,0.27132225,-0.20612451,0.16503528,-0.030163657,0.35289887,0.321998,0.3239789,-0.04493037,-0.12214133,0.34304124,0.29563534,-0.11206762,0.24949592,0.29996684,0.23029685,0.44905216,-0.36592227,0.087276965,0.089558,0.3591833,0.023701554,0.18742752,-0.14559641
-0.07638867,0.37140113,0.3590416,0.3606,0.27954164,-0.11493896,0.27132225,1.0,-0.25161126,0.25993264,-0.031939566,0.22982505,0.32865185,0.40064776,0.2942213,-0.17716688,0.020612434,0.31378105,-0.18136404,0.29143146,0.0058360593,0.40492553,0.49333054,-0.3474404,0.12997906,-0.22280195,0.48132068,-0.0084691625,0.2158384,-0.020731077
-0.18853718,-0.15474233,-0.2716243,-0.08606155,-0.13699636,-0.30558848,-0.20612451,-0.25161126,1.0,-0.28877547,-0.37869224,-0.4745794,-0.2543984,-0.115731716,0.15968105,-0.34727412,0.049679626,-0.0119590685,0.50811386,-0.4051362,-0.15534239,-0.51142514,-0.2851758,0.2585508,0.18303035,0.11454989,-0.4484731,0.11696323,-0.015947955,0.46955115
0.08189073,0.25887048,0.17951383,0.332923,0.23947585,-0.032172028,0.16503528,0.25993264,-0.28877547,1.0,-0.014560176,0.3561266,0.26482695,0.2762323,0.16671634,-0.025551055,-0.044801556,0.18215278,-0.25406903,0.43571794,-0.0019766316,0.20878555,0.3178355,-0.22895266,0.10481648,-0.24359553,0.19481865,-0.16517042,0.13304631,-0.15691316
