Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,-0.17478803,0.09855801,-0.17376274,-0.06589308,0.27287507,-0.119748145,-0.0112071745,-0.06497647,-0.0151323695,0.31876823,-0.10910521,0.06990142,-0.124883786,-0.04242073,0.35376966,-0.0031328443,-0.07224665,-0.094267376,-0.08858037,0.16831228,-0.089235425,-0.07950455,0.02754666,-0.1327412,0.3270657,-0.034309264,-0.0321508,0.04307362,-0.040093653
-0.17478803,1.0,-0.0145326825,0.24069339,0.16856804,-0.120431736,0.34438086,0.13791957,0.13420424,0.05940131,-0.0831189,0.16726607,0.1145695,0.2965722,0.10654884,-0.073624745,0.07242582,0.10477887,0.07741509,0.16400956,-0.060396142,0.17009334,0.07254094,-0.02113655,0.08613974,-0.15287812,0.29999724,0.010264527,0.13547435,-0.06551281
0.09855801,-0.0145326825,1.0,-0.04634351,0.009460352,0.12170659,0.012364557,0.07529604,-0.13204083,-0.08260396,0.1585457,0.010083012,0.13876277,-0.0081262905,-0.071906954,0.025501462,-0.029303074,0.09082118,-0.17714116,0.06080405,0.10225326,0.27128786,0.023942787,-0.0562098,-0.020047884,0.16278738,0.11348595,-0.13041851,0.0777787,-0.2846618
-0.17376274,0.24069339,-0.04634351,1.0,0.18213351,-0.10380436,0.11878511,0.103961304,-0.0025638905,0.035987087,0.03415717,0.10540925,0.027802564,0.26975977,0.1940767,-0.10617016,0.054838415,0.12995394,-0.03117492,0.1579556,-0.050614707,0.09284048,0.047302067,-0.08239229,0.07611742,-0.18259013,0.33525947,-0.10277683,-0.031777382,0.03785287
-0.06589308,0.16856804,0.009460352,0.18213351,1.0,-0.07913197,0.044127807,0.039936144,0.035993773,0.10982409,0.14323628,0.20344526,0.014752362,0.15665223,0.13175423,0.0031308634,0.23900631,0.114842325,0.019946054,0.42135066,-0.10058756,0.04720942,0.22509883,-0.18875936,0.009406948,-0.17720228,0.23697388,-0.16817404,0.016450174,0.10779066
0.27287507,-0.120431736,0.12170659,-0.10380436,-0.07913197,1.0,-0.100306585,-0.043032616,-0.14242311,-0.020465098,0.32799017,-0.060430657,0.055978585,-0.12748806,-0.15699285,0.20552002,0.024805592,-0.06701082,-0.22654614,-0.0887161,0.19026092,0.1227713,-0.12916146,-0.07856844,-0.060534198,0.28085175,0.11195926,-0.070745334,-0.103724934,-0.16975757
-0.119748145,0.34438086,0.012364557,0.11878511,0.044127807,-0.100306585,1.0,0.110032044,0.010390617,0.031904053,-0.13814159,0.13401173,0.099517226,0.13359317,0.096083984,-0.08072716,0.07265418,0.1485756,0.02388139,0.081910595,-0.0465897,0.0944363,0.07235563,-0.0019240007,0.103351995,-0.12462275,0.078797765,-0.02271258,0.095281914,-0.07959205
-0.0112071745,0.13791957,0.07529604,0.103961304,0.039936144,-0.043032616,0.110032044,1.0,-0.03355282,0.013642984,-0.046565033,0.12759604,0.020160975,0.14223573,0.059366215,-0.06001228,-0.034860205,0.14725175,-0.053676564,0.07662351,0.0035880841,0.02008241,0.16794035,-0.044230364,0.034307748,0.0024972297,0.075242355,0.07511322,0.040639266,-0.0017015431
-0.06497647,0.13420424,-0.13204083,-0.0025638905,0.035993773,-0.14242311,0.010390617,-0.03355282,1.0,0.06992507,-0.19128872,-0.046639673,0.010303263,0.19981426,0.33417106,-0.0779845,-0.050035328,-0.012905326,0.4940271,-0.023208868,-0.079016164,-0.25070626,-0.00822659,0.3007639,0.10616196,-0.011317521,-0.13923712,0.034301516,0.17228116,0.26532352
-0.0151323695,0.05940131,-0.08260396,0.035987087,0.10982409,-0.020465098,0.031904053,0.013642984,0.06992507,1.0,-0.0677148,0.046645034,0.051777463,0.06384966,0.14079997,0.019898215,0.088843964,-0.12586743,0.068821885,0.124091476,-0.077498436,0.038861427,-0.015286569,0.020696666,0.1456981,-0.030719094,-0.014373617,-0.1535794,-0.022189692,0.11378695
0.31876823,-0.0831189,0.1585457,0.03415717,0.14323628,0.32799017,-0.13814159,-0.046565033,-0.19128872,-0.0677148,1.0,-0.09409897,-0.11924371,-0.10382613,-0.056027386,0.3684641,0.12456673,-0.08984539,-0.25593516,0.14431252,0.20730272,0.116764784,0.01952766,-0.1915271,-0.1837819,0.3091445,0.37677568,-0.14917207,-0.05918427,-0.18955186
-0.10910521,0.16726607,0.010083012,0.10540925,0.20344526,-0.060430657,0.13401173,0.12759604,-0.046639673,0.046645034,-0.09409897,1.0,0.09277426,0.13350299,0.026368462,-0.23042932,0.14778103,0.12844288,-0.051982503,0.2594582,-0.02836563,0.01722703,0.11283369,-0.20009264,0.11818703,-0.1674266,-0.03681819,-0.04340654,0.08409536,0.06959997
0.06990142,0.1145695,0.13876277,0.027802564,0.014752362,0.055978585,0.099517226,0.020160975,0.010303263,0.051777463,-0.11924371,0.09277426,1.0,0.1728425,0.0052139526,0.025725,0.058906633,0.0515094,0.0059207305,0.10425836,0.078955874,0.08491337,-0.022150157,0.019421475,-0.006452324,-0.098126404,0.06113558,-0.0231947,0.034519866,0.06171471
-0.124883786,0.2965722,-0.0081262905,0.26975977,0.15665223,-0.12748806,0.13359317,0.14223573,0.19981426,0.06384966,-0.10382613,0.13350299,0.1728425,1.0,0.22642154,-0.06683867,0.047282673,0.061126225,0.14208731,0.12231908,-0.060832735,0.020322004,0.025937904,0.098944366,0.10974102,-0.12257564,0.19540656,-0.019384447,0.13193688,0.08765519
-0.04242073,0.10654884,-0.071906954,0.1940767,0.13175423,-0.15699285,0.096083984,0.059366215,0.33417106,0.14079997,-0.056027386,0.026368462,0.0052139526,0.22642154,1.0,-0.096378505,0.01766899,-0.006395171,0.24059829,0.10488045,-0.1641008,-0.09113808,-0.002820305,0.120241016,0.22462124,-0.0938991,0.051021274,-0.09296637,0.09245328,0.1751928
0.35376966,-0.073624745,0.025501462,-0.10617016,0.0031308634,0.20552002,-0.08072716,-0.06001228,-0.0779845,0.019898215,0.3684641,-0.23042932,0.025725,-0.06683867,-0.096378505,1.0,0.005625207,-0.13223654,-0.04535553,0.05427969,0.15505452,0.036083892,-0.028189415,-0.08067253,-0.209628,0.30413175,0.15448688,-0.045859545,-0.015354378,-0.085538775
-0.0031328443,0.07242582,-0.029303074,0.054838415,0.23900631,0.024805592,0.07265418,-0.034860205,-0.050035328,0.088843964,0.12456673,0.14778103,0.058906633,0.047282673,0.01766899,0.005625207,1.0,0.14139596,-0.033973783,0.24993703,-0.044382732,0.11718351,0.07327013,-0.11770564,0.052618477,-0.12848803,0.1720421,-0.1142903,-0.0892306,-0.00027792528
-0.07224665,0.10477887,0.09082118,0.12995394,0.114842325,-0.06701082,0.1485756,0.14725175,-0.012905326,-0.12586743,-0.08984539,0.12844288,0.0515094,0.061126225,-0.006395171,-0.13223654,0.14139596,1.0,0.010982821,0.10224551,-0.024095172,0.047343627,0.1953179,-0.06794983,0.032688394,-0.08129428,0.026158001,0.14816235,0.07648658,-0.023050219
-0.094267376,0.07741509,-0.17714116,-0.03117492,0.019946054,-0.22654614,0.02388139,-0.053676564,0.4940271,0.068821885,-0.25593516,-0.051982503,0.0059207305,0.14208731,0.24059829,-0.04535553,-0.033973783,0.010982821,1.0,0.003298793,-0.12158796,-0.22435766,0.03792018,0.18536666,0.059180953,-0.040576153,-0.10482797,0.1226561,0.21199414,0.285495
-0.08858037,0.16400956,0.06080405,0.1579556,0.42135066,-0.0887161,0.081910595,0.07662351,-0.023208868,0.124091476,0.14431252,0.2594582,0.10425836,0.12231908,0.10488045,0.05427969,0.24993703,0.10224551,0.003298793,1.0,-0.041732658,0.11602805,0.22045189,-0.21447957,0.14325577,-0.1441158,0.19246273,-0.19094935,-0.07198304,0.036001362
0.16831228,-0.060396142,0.10225326,-0.050614707,-0.10058756,0.19026092,-0.0465897,0.0035880841,-0.079016164,-0.077498436,0.20730272,-0.02836563,0.078955874,-0.060832735,-0.1641008,0.15505452,-0.044382732,-0.024095172,-0.12158796,-0.041732658,1.0,0.009404611,0.0140836965,-0.07023444,-0.12470656,0.17016001,0.036396626,0.09136975,0.011705983,-0.08011722
-0.089235425,0.17009334,0.27128786,0.09284048,0.04720942,0.1227713,0.0944363,0.02008241,-0.25070626,0.038861427,0.116764784,0.01722703,0.08491337,0.020322004,-0.09113808,0.036083892,0.11718351,0.047343627,-0.22435766,0.11602805,0.009404611,1.0,0.033161808,-0.07009108,-0.023208821,-0.018307544,0.37821817,-0.082956135,-0.036523942,-0.5447843
-0.07950455,0.07254094,0.023942787,0.047302067,0.22509883,-0.12916146,0.07235563,0.16794035,-0.00822659,-0.015286569,0.01952766,0.11283369,-0.022150157,0.025937904,-0.002820305,-0.028189415,0.07327013,0.1953179,0.03792018,0.22045189,0.0140836965,0.033161808,1.0,-0.13775754,0.011099256,-0.131683,0.068469256,0.16174734,0.019374726,0.06338856
0.02754666,-0.02113655,-0.0562098,-0.08239229,-0.18875936,-0.07856844,-0.0019240007,-0.044230364,0.3007639,0.020696666,-0.1915271,-0.20009264,0.019421475,0.098944366,0.120241016,-0.08067253,-0.11770564,-0.06794983,0.18536666,-0.21447957,-0.07023444,-0.07009108,-0.13775754,1.0,-0.0022158725,0.019405266,-0.18855539,0.05189979,0.06807576,0.07944073
-0.1327412,0.08613974,-0.020047884,0.07611742,0.009406948,-0.060534198,0.103351995,0.034307748,0.10616196,0.1456981,-0.1837819,0.11818703,-0.006452324,0.10974102,0.22462124,-0.209628,0.052618477,0.032688394,0.059180953,0.14325577,-0.12470656,-0.023208821,0.011099256,-0.0022158725,1.0,-0.13813478,-0.023427213,-0.052740034,0.017589869,0.057212163
0.3270657,-0.15287812,0.16278738,-0.18259013,-0.17720228,0.28085175,-0.12462275,0.0024972297,-0.011317521,-0.030719094,0.3091445,-0.1674266,-0.098126404,-0.12257564,-0.0938991,0.30413175,-0.12848803,-0.08129428,-0.040576153,-0.1441158,0.17016001,-0.018307544,-0.131683,0.019405266,-0.13813478,1.0,-0.011922012,-0.017718693,0.06625706,-0.1690341
-0.034309264,0.29999724,0.11348595,0.33525947,0.23697388,0.11195926,0.078797765,0.075242355,-0.13923712,-0.014373617,0.37677568,-0.03681819,0.06113558,0.19540656,0.051021274,0.15448688,0.1720421,0.026158001,-0.10482797,0.19246273,0.036396626,0.37821817,0.068469256,-0.18855539,-0.023427213,-0.011922012,1.0,-0.11750549,-0.054735005,-0.1964359
-0.0321508,0.010264527,-0.13041851,-0.10277683,-0.16817404,-0.070745334,-0.02271258,0.07511322,0.034301516,-0.1535794,-0.14917207,-0.04340654,-0.0231947,-0.019384447,-0.09296637,-0.045859545,-0.1142903,0.14816235,0.1226561,-0.19094935,0.09136975,-0.082956135,0.16174734,0.05189979,-0.052740034,-0.017718693,-0.11750549,1.0,0.15513563,0.04143454
0.04307362,0.13547435,0.0777787,-0.031777382,0.016450174,-0.103724934,0.095281914,0.040639266,0.17228116,-0.022189692,-0.05918427,0.08409536,0.034519866,0.13193688,0.09245328,-0.015354378,-0.0892306,0.07648658,0.21199414,-0.07198304,0.011705983,-0.036523942,0.019374726,0.06807576,0.017589869,0.06625706,-0.054735005,0.15513563,1.0,0.024096435
-0.040093653,-0.06551281,-0.2846618,0.03785287,0.10779066,-0.16975757,-0.07959205,-0.0017015431,0.26532352,0.11378695,-0.18955186,0.06959997,0.06171471,0.08765519,0.1751928,-0.085538775,-0.00027792528,-0.023050219,0.285495,0.036001362,-0.08011722,-0.5447843,0.06338856,0.07944073,0.057212163,-0.1690341,-0.1964359,0.04143454,0.024096435,1.0
