Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,-0.2012654,0.19510475,-0.21234705,-0.1471892,0.36231843,-0.05986274,-0.089173645,-0.12310297,0.1813012,0.41340032,0.051699407,0.27600133,-0.033546302,0.027733717,0.67277,0.16344103,-0.035372414,-0.30413306,0.20401807,0.17467701,0.13709769,0.07599317,-0.11693919,-0.21545792,0.3039233,0.08280849,-0.2807634,-0.014269501,-0.060176693
-0.2012654,1.0,0.18843365,0.3769763,0.386007,0.19925112,0.3125381,0.33721557,-0.22400117,0.22324541,-0.31713995,0.4244823,0.12577067,0.4012617,0.08116404,-0.33381298,-0.076494604,0.24405295,-0.028608315,0.27337176,-0.024642704,0.20550138,0.39668033,-0.23044471,0.28097722,-0.21286055,0.35296297,0.0334576,0.29034942,-0.075404696
0.19510475,0.18843365,1.0,0.0045983046,0.2028871,0.24614432,0.20162824,0.28190762,-0.1690855,0.16599137,0.20852944,0.12850341,0.42973137,0.043949597,0.0807494,0.1275863,-0.06833147,0.13233712,-0.1634487,0.3688534,0.18649518,0.555722,0.252311,-0.23321986,0.02529912,0.07964024,0.48780766,-0.1206788,0.18963134,-0.25035113
-0.21234705,0.3769763,0.0045983046,1.0,0.20247121,-0.19338787,0.034637194,0.2872986,-0.028456485,0.14912078,-0.18761627,0.109373055,-0.04741885,0.31080014,0.29087052,-0.22521207,-0.1302875,0.07703483,0.05849558,0.15994245,-0.18433586,0.07679469,0.14403622,-0.2975629,0.10085202,-0.3023679,0.23471898,-0.110968724,-0.05471623,0.12586208
-0.1471892,0.386007,0.2028871,0.20247121,1.0,0.039701726,0.04432948,0.22761317,-0.17057386,0.16808628,-0.16748978,0.21765158,0.17699817,0.2045247,0.29629886,-0.2111734,0.22850975,0.15688604,0.051436577,0.48184428,-0.15938956,0.109842,0.30895442,-0.38429445,0.4994337,-0.37822735,0.1434488,-0.04967419,0.19926834,0.11192596
0.36231843,0.19925112,0.24614432,-0.19338787,0.039701726,1.0,0.16994663,-0.06854141,-0.2634787,0.09331917,0.3009325,0.385668,0.2959519,0.00036980188,-0.14321327,0.22887935,0.13135913,-0.031167159,-0.113109395,0.20456569,0.32121503,0.11761545,0.16324684,-0.15308955,-0.017785352,0.31983805,0.16221644,0.017794255,0.057124406,-0.22960526
-0.05986274,0.3125381,0.20162824,0.034637194,0.04432948,0.16994663,1.0,0.24049658,-0.24775285,0.16962817,-0.032638825,0.33436367,0.2560104,0.21979913,-0.19925827,-0.15534166,0.2602772,0.2407819,-0.13181102,0.18661349,0.25230885,0.2972013,0.40426534,-0.24544097,0.056499004,0.07982631,0.36136365,0.08596315,0.21601936,-0.22749245
-0.089173645,0.33721557,0.28190762,0.2872986,0.22761317,-0.06854141,0.24049658,1.0,-0.18666548,0.18702641,-0.16331072,0.1880328,0.20379242,0.24852785,0.16124633,-0.20714329,-0.009281671,0.27254853,-0.10988277,0.23903474,-0.07091776,0.3508942,0.39010704,-0.2593832,0.21004102,-0.26546592,0.35695285,-0.009409564,0.23588353,-0.0025902481
-0.12310297,-0.22400117,-0.1690855,-0.028456485,-0.17057386,-0.2634787,-0.24775285,-0.18666548,1.0,-0.27072284,-0.196371,-0.46688718,-0.1383058,-0.10602056,0.2141386,-0.26602018,-0.0052851597,-0.11507743,0.34519112,-0.3349613,-0.14212964,-0.38817108,-0.27660558,0.21638726,0.072861455,0.11517933,-0.3760113,0.07605822,-0.073213056,0.38160104
0.1813012,0.22324541,0.16599137,0.14912078,0.16808628,0.09331917,0.16962817,0.18702641,-0.27072284,1.0,0.014984321,0.27904576,0.250317,0.16408104,0.03780078,0.07963422,-0.030499926,0.15255338,-0.23649049,0.3855907,0.0714374,0.1965541,0.2862814,-0.14962168,0.0546754,-0.14011611,0.12261061,-0.12524271,0.18207541,-0.12727483
0.41340032,-0.31713995,0.20852944,-0.18761627,-0.16748978,0.3009325,-0.032638825,-0.16331072,-0.196371,0.014984321,1.0,-0.026308857,0.095939286,-0.1658685,-0.101448305,0.4278489,0.03654781,-0.31399,-0.18468516,0.07983315,0.26973003,0.15666601,0.025795694,0.09808503,-0.39818,0.3631608,0.17413285,-0.13770668,-0.081699066,-0.26284307
0.051699407,0.4244823,0.12850341,0.109373055,0.21765158,0.385668,0.33436367,0.1880328,-0.46688718,0.27904576,-0.026308857,1.0,0.23744944,0.23322342,-0.19902003,-0.029399874,0.144039,0.23296204,-0.1781743,0.34085834,0.05438283,0.24342135,0.31767,-0.2216965,0.06009423,-0.0913283,0.1376255,0.030040286,0.09887417,-0.23904422
0.27600133,0.12577067,0.42973137,-0.04741885,0.17699817,0.2959519,0.2560104,0.20379242,-0.1383058,0.250317,0.095939286,0.23744944,1.0,0.12505193,0.12874883,0.08396954,0.16045675,0.13673668,-0.14157489,0.38463223,0.28246412,0.15501964,0.3114764,-0.33799982,0.1252873,0.10192478,0.20298922,0.019759692,0.24510401,0.03946954
-0.033546302,0.4012617,0.043949597,0.31080014,0.2045247,0.00036980188,0.21979913,0.24852785,-0.10602056,0.16408104,-0.1658685,0.23322342,0.12505193,1.0,0.116143666,-0.18355633,0.15822536,0.25791168,0.1211513,0.1004859,0.046271898,0.1580786,0.3451439,-0.20238495,0.10919795,-0.13439289,0.17079863,0.096714035,0.3178571,0.07771665
0.027733717,0.08116404,0.0807494,0.29087052,0.29629886,-0.14321327,-0.19925827,0.16124633,0.2141386,0.03780078,-0.101448305,-0.19902003,0.12874883,0.116143666,1.0,-0.05703671,-0.009588294,0.022506645,0.06570868,0.1196358,-0.15472665,-0.04757158,0.087438084,-0.18230164,0.17018682,-0.16702309,0.10830282,-0.10178335,0.042267486,0.3477568
0.67277,-0.33381298,0.1275863,-0.22521207,-0.2111734,0.22887935,-0.15534166,-0.20714329,-0.26602018,0.07963422,0.4278489,-0.029399874,0.08396954,-0.18355633,-0.05703671,1.0,0.021894075,-0.16417824,-0.30211645,0.110246636,0.15822177,0.1490139,-0.09839465,-0.01923636,-0.2811991,0.32824513,0.05121803,-0.25063768,-0.15129375,-0.17650494
0.16344103,-0.076494604,-0.06833147,-0.1302875,0.22850975,0.13135913,0.2602772,-0.009281671,-0.0052851597,-0.030499926,0.03654781,0.144039,0.16045675,0.15822536,-0.009588294,0.021894075,1.0,0.17851524,0.044595532,0.27869457,-0.045320608,-0.009167943,0.2868993,-0.34832773,0.23986642,0.07477403,-0.023298876,-0.035355814,0.0034858128,-0.018983299
-0.035372414,0.24405295,0.13233712,0.07703483,0.15688604,-0.031167159,0.2407819,0.27254853,-0.11507743,0.15255338,-0.31399,0.23296204,0.13673668,0.25791168,0.022506645,-0.16417824,0.17851524,1.0,0.02830502,0.16343305,-0.05765015,0.2819646,0.26595867,-0.25597,0.16049455,-0.0692105,0.13066679,0.1571643,0.09330108,-0.13841511
-0.30413306,-0.028608315,-0.1634487,0.05849558,0.051436577,-0.113109395,-0.13181102,-0.10988277,0.34519112,-0.23649049,-0.18468516,-0.1781743,-0.14157489,0.1211513,0.06570868,-0.30211645,0.044595532,0.02830502,1.0,-0.15670907,-0.049260914,-0.24263799,-0.12334229,0.10964589,0.09415969,0.12786591,-0.27892125,0.20990387,-0.01972495,0.08513157
0.20401807,0.27337176,0.3688534,0.15994245,0.48184428,0.20456569,0.18661349,0.23903474,-0.3349613,0.3855907,0.07983315,0.34085834,0.38463223,0.1004859,0.1196358,0.110246636,0.27869457,0.16343305,-0.15670907,1.0,-0.006806098,0.36359495,0.3699245,-0.5496884,0.2921129,-0.1378701,0.2966509,-0.21477059,0.07718416,-0.17617974
0.17467701,-0.024642704,0.18649518,-0.18433586,-0.15938956,0.32121503,0.25230885,-0.07091776,-0.14212964,0.0714374,0.26973003,0.05438283,0.28246412,0.046271898,-0.15472665,0.15822177,-0.045320608,-0.05765015,-0.049260914,-0.006806098,1.0,-0.0034971014,0.20177716,0.06314798,-0.21453401,0.32190377,0.12636729,0.111683995,0.23626244,-0.17920464
0.13709769,0.20550138,0.555722,0.07679469,0.109842,0.11761545,0.2972013,0.3508942,-0.38817108,0.1965541,0.15666601,0.24342135,0.15501964,0.1580786,-0.04757158,0.1490139,-0.009167943,0.2819646,-0.24263799,0.36359495,-0.0034971014,1.0,0.28349,-0.2794931,-0.020854209,0.016994864,0.5979799,-0.15681066,0.002456965,-0.46561563
0.07599317,0.39668033,0.252311,0.14403622,0.30895442,0.16324684,0.40426534,0.39010704,-0.27660558,0.2862814,0.025795694,0.31767,0.3114764,0.3451439,0.087438084,-0.09839465,0.2868993,0.26595867,-0.12334229,0.3699245,0.20177716,0.28349,1.0,-0.3136363,0.114684984,-0.14620419,0.36727715,-0.041520134,0.25886625,-0.12390256
-0.11693919,-0.23044471,-0.23321986,-0.2975629,-0.38429445,-0.15308955,-0.24544097,-0.2593832,0.21638726,-0.14962168,0.09808503,-0.2216965,-0.33799982,-0.20238495,-0.18230164,-0.01923636,-0.34832773,-0.25597,0.10964589,-0.5496884,0.06314798,-0.2794931,-0.3136363,1.0,-0.24326025,0.16129065,-0.2930795,0.20717269,0.011286551,0.022971762
-0.21545792,0.28097722,0.02529912,0.10085202,0.4994337,-0.017785352,0.056499004,0.21004102,0.072861455,0.0546754,-0.39818,0.06009423,0.1252873,0.10919795,0.17018682,-0.2811991,0.23986642,0.16049455,0.09415969,0.2921129,-0.21453401,-0.020854209,0.114684984,-0.24326025,1.0,-0.2756682,-0.00347488,0.016588196,0.035563983,0.10342113
0.3039233,-0.21286055,0.07964024,-0.3023679,-0.37822735,0.31983805,0.07982631,-0.26546592,0.11517933,-0.14011611,0.3631608,-0.0913283,0.10192478,-0.13439289,-0.16702309,0.32824513,0.07477403,-0.0692105,0.12786591,-0.1378701,0.32190377,0.016994864,-0.14620419,0.16129065,-0.2756682,1.0,0.01512354,0.010181032,-0.03820104,-0.2676607
0.08280849,0.35296297,0.48780766,0.23471898,0.1434488,0.16221644,0.36136365,0.35695285,-0.3760113,0.12261061,0.17413285,0.1376255,0.20298922,0.17079863,0.10830282,0.05121803,-0.023298876,0.13066679,-0.27892125,0.2966509,0.12636729,0.5979799,0.36727715,-0.2930795,-0.00347488,0.01512354,1.0,-0.14007187,0.11799497,-0.21776363
-0.2807634,0.0334576,-0.1206788,-0.110968724,-0.04967419,0.017794255,0.08596315,-0.009409564,0.07605822,-0.12524271,-0.13770668,0.030040286,0.019759692,0.096714035,-0.10178335,-0.25063768,-0.035355814,0.1571643,0.20990387,-0.21477059,0.111683995,-0.15681066,-0.041520134,0.20717269,0.016588196,0.010181032,-0.14007187,1.0,0.31790358,0.04641913
-0.014269501,0.29034942,0.18963134,-0.05471623,0.19926834,0.057124406,0.21601936,0.23588353,-0.073213056,0.18207541,-0.081699066,0.09887417,0.24510401,0.3178571,0.042267486,-0.15129375,0.0034858128,0.09330108,-0.01972495,0.07718416,0.23626244,0.002456965,0.25886625,0.011286551,0.035563983,-0.03820104,0.11799497,0.31790358,1.0,0.13068071
-0.060176693,-0.075404696,-0.25035113,0.12586208,0.11192596,-0.22960526,-0.22749245,-0.0025902481,0.38160104,-0.12727483,-0.26284307,-0.23904422,0.03946954,0.07771665,0.3477568,-0.17650494,-0.018983299,-0.13841511,0.08513157,-0.17617974,-0.17920464,-0.46561563,-0.12390256,0.022971762,0.10342113,-0.2676607,-0.21776363,0.04641913,0.13068071,1.0
