Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,-0.22750106,0.09918391,-0.30620733,-0.23278752,0.65819937,-0.12867962,-0.24857745,-0.13557705,-0.0094809355,0.29076204,-0.03501252,0.2920796,-0.23111954,-0.35005316,0.47714525,0.12169741,-0.14531296,-0.2009065,0.022483848,0.4792058,0.003991225,-0.083373375,-0.048751663,-0.34852454,0.39039066,-0.0040656305,-0.09451558,0.0023049698,-0.1061784
-0.22750106,1.0,0.21041876,0.43197805,0.35580286,-0.21612042,0.4051445,0.49809653,-0.05476436,0.29068708,-0.15804487,0.46247327,0.13881703,0.45067102,0.224834,-0.24404769,-0.08528288,0.28815925,-0.09815171,0.17937505,-0.1016006,0.19138896,0.4666893,-0.26886004,0.37282747,-0.31956849,0.24238792,0.012413205,0.34629345,-0.08574978
0.09918391,0.21041876,1.0,0.49235046,0.5370798,0.1426068,0.29706502,0.38930035,-0.6995568,0.27023318,0.56508714,0.28000885,0.5031224,0.21517411,0.06794118,0.4464504,0.0900576,-0.2239786,-0.70321274,0.7618269,0.22878641,0.7934302,0.38234803,-0.74003786,0.18776304,0.017936792,0.7772297,-0.66307366,-0.25777113,-0.6318515
-0.30620733,0.43197805,0.49235046,1.0,0.63396597,-0.39788264,0.18692186,0.44388103,-0.53502446,0.2909116,0.3554759,0.22242054,0.057238292,0.42429948,0.4302063,0.17698875,-0.11319246,-0.25766814,-0.47379038,0.6406912,-0.2669184,0.6307398,0.21754506,-0.60308564,0.25622088,-0.3601287,0.6909684,-0.55064434,-0.27468586,-0.46716934
-0.23278752,0.35580286,0.5370798,0.63396597,1.0,-0.2913642,0.26047164,0.41425443,-0.5225314,0.26827097,0.26679954,0.34297854,0.23766053,0.44636917,0.34042412,0.1322166,0.21678242,-0.20311901,-0.4435058,0.6682586,-0.21883422,0.57924306,0.4368344,-0.6463344,0.48684448,-0.47172278,0.6174076,-0.4942761,-0.14769758,-0.3851836
0.65819937,-0.21612042,0.1426068,-0.39788264,-0.2913642,1.0,-0.114850774,-0.33841515,-0.17621233,-0.09698117,0.34974778,0.008655949,0.28178927,-0.39004213,-0.50078297,0.43267387,0.11867992,-0.17441893,-0.23972559,0.0067613022,0.58610076,-0.025179794,-0.124214195,-0.054461446,-0.3509786,0.5231833,-0.049961127,-0.09047014,-0.09379619,-0.14774746
-0.12867962,0.4051445,0.29706502,0.18692186,0.26047164,-0.114850774,1.0,0.43707263,-0.032469194,0.18994872,-0.1695801,0.5070094,0.39386755,0.49101895,0.0765418,-0.17986058,0.25999016,0.22049099,-0.08175905,0.1829655,0.052965455,0.14651859,0.4914118,-0.31177124,0.37711346,-0.14160566,0.17189398,0.022847276,0.25961316,0.034724593
-0.24857745,0.49809653,0.38930035,0.44388103,0.41425443,-0.33841515,0.43707263,1.0,-0.103788555,0.3919523,-0.08852668,0.39400965,0.29894593,0.5886797,0.4606081,-0.12380265,0.08650233,0.34060085,-0.09559784,0.24285012,-0.09566318,0.29579872,0.6598888,-0.39997756,0.4506153,-0.3393737,0.28792852,-0.049223248,0.288403,-0.06373052
-0.13557705,-0.05476436,-0.6995568,-0.53502446,-0.5225314,-0.17621233,-0.032469194,-0.103788555,1.0,-0.10527202,-0.8098929,-0.14206643,-0.1720218,-0.002357887,0.14490475,-0.66914934,-0.037896622,0.57062256,0.87742484,-0.85497624,-0.116207026,-0.86391973,-0.07282212,0.7036891,0.040502887,0.0076859463,-0.84547883,0.8337346,0.5819293,0.85376
-0.0094809355,0.29068708,0.27023318,0.2909116,0.26827097,-0.09698117,0.18994872,0.3919523,-0.10527202,1.0,-0.02384258,0.39889023,0.25935668,0.48231632,0.1715578,0.059511874,-0.08258998,0.22127572,-0.08248606,0.25063944,0.0029523708,0.1768838,0.3729335,-0.19574058,0.19707991,-0.20791943,0.15975052,-0.1053855,0.09986439,-0.064056695
0.29076204,-0.15804487,0.56508714,0.3554759,0.26679954,0.34974778,-0.1695801,-0.08852668,-0.8098929,-0.02384258,1.0,-0.07891491,0.046062283,-0.18013936,-0.14337915,0.7687868,0.030503167,-0.6324435,-0.7480599,0.66474485,0.29550508,0.7235038,-0.089674965,-0.5152652,-0.29290932,0.2765925,0.70732653,-0.74648243,-0.59162205,-0.774822
-0.03501252,0.46247327,0.28000885,0.22242054,0.34297854,0.008655949,0.5070094,0.39400965,-0.14206643,0.39889023,-0.07891491,1.0,0.3513224,0.5605501,-0.0071624652,-0.11703952,0.20115614,0.22684658,-0.09743803,0.24073155,-0.022255993,0.18002374,0.49094522,-0.33138266,0.26905262,-0.20094705,0.13900538,-0.017013606,0.21450284,-0.06488197
0.2920796,0.13881703,0.5031224,0.057238292,0.23766053,0.28178927,0.39386755,0.29894593,-0.1720218,0.25935668,0.046062283,0.3513224,1.0,0.29549164,0.018152993,0.17011726,0.26256692,0.093753375,-0.19441381,0.24322852,0.31502193,0.16302118,0.33803132,-0.43181473,0.18182184,0.025301006,0.16883025,-0.12675107,0.25220755,-0.0004626792
