Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.5102146,0.5794444,0.4330322,0.61756283,0.6905906,0.46576947,0.33404142,0.43305266,0.5846994,0.58093625,0.48040894,0.52503663,0.41563377,0.4058553,0.722133,0.58198255,0.47136986,0.54203784,0.40951484,0.4933266,0.4973743,0.6127885,0.47207746,0.50556695,0.8021555,0.47676682,0.27675307,0.46463034,0.6322702
0.5102146,1.0,0.38767493,0.55068344,0.4205029,0.4479543,0.674155,0.34033725,0.57239485,0.3645274,0.48812836,0.6460093,0.46903712,0.78052235,0.32594845,0.63552284,0.4490346,0.4557642,0.58415616,0.41162908,0.3876971,0.4320527,0.41927484,0.51014936,0.35930163,0.4615295,0.425499,0.20272374,0.57497644,0.46484882
0.5794444,0.38767493,1.0,0.32990286,0.48338747,0.5236352,0.46733388,0.47714484,0.37962842,0.4850124,0.5624158,0.44734508,0.50583047,0.36086595,0.3511523,0.4416389,0.49924597,0.42012066,0.46250302,0.41542065,0.5229945,0.5480819,0.58474225,0.43846828,0.3842114,0.56278,0.5374547,0.22739737,0.3712269,0.6376438
0.4330322,0.55068344,0.32990286,1.0,0.4342211,0.3096698,0.41203308,0.30805057,0.51896214,0.35457647,0.4342031,0.46559688,0.39812127,0.6148751,0.35722864,0.40286386,0.24896702,0.34953338,0.5095348,0.2784935,0.33713955,0.4040978,0.29680166,0.56342196,0.16768181,0.2949245,0.35943836,0.5353878,0.62529135,0.4603158
0.61756283,0.4205029,0.48338747,0.4342211,1.0,0.4766798,0.45038646,0.3134567,0.5901327,0.56116503,0.45756567,0.6007427,0.3846783,0.4536009,0.58145237,0.45174208,0.53957903,0.457663,0.5594896,0.6161951,0.4667533,0.44066325,0.55660534,0.463422,0.6372886,0.57400346,0.4153844,0.21116951,0.40881395,0.65851986
0.6905906,0.4479543,0.5236352,0.3096698,0.4766798,1.0,0.47413522,0.36348552,0.362849,0.5372336,0.6739572,0.4470021,0.6136295,0.38036847,0.433226,0.5845339,0.52219474,0.3623873,0.6870109,0.36103895,0.5586747,0.48914653,0.48227626,0.522354,0.42996573,0.65446556,0.5485162,0.24851711,0.46643662,0.54782987
0.46576947,0.674155,0.46733388,0.41203308,0.45038646,0.47413522,1.0,0.502462,0.5376729,0.51899904,0.47931293,0.6390085,0.43975878,0.60191995,0.44781876,0.4984519,0.44737184,0.4868223,0.592759,0.42302698,0.5049768,0.65041983,0.43857366,0.49324808,0.39123714,0.43148503,0.52575016,0.24633986,0.5308505,0.5156191
0.33404142,0.34033725,0.47714484,0.30805057,0.3134567,0.36348552,0.502462,1.0,0.31901592,0.36935496,0.3476686,0.4241305,0.39777055,0.3934095,0.33070666,0.25931525,0.29621613,0.37634468,0.39537096,0.31229514,0.38110143,0.4992424,0.4152009,0.3829269,0.2036571,0.29635173,0.4703715,0.29707664,0.42792296,0.33534563
0.43305266,0.57239485,0.37962842,0.51896214,0.5901327,0.362849,0.5376729,0.31901592,1.0,0.45552182,0.33690614,0.694538,0.32258794,0.6604426,0.7153363,0.39140067,0.38038486,0.34337622,0.58092886,0.6160586,0.4415754,0.45840928,0.3845024,0.47431064,0.5170857,0.38899004,0.35592622,0.35345125,0.5579458,0.57640535
0.5846994,0.3645274,0.4850124,0.35457647,0.56116503,0.5372336,0.51899904,0.36935496,0.45552182,1.0,0.54105854,0.49288163,0.342741,0.4393896,0.49530596,0.46976346,0.56756043,0.52983266,0.47985226,0.5345459,0.5270249,0.44647533,0.3762833,0.44765553,0.54022974,0.47061655,0.37708223,0.30629024,0.44275522,0.55957574
