Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.96466434,0.953504,0.9431362,0.96465826,0.9474604,0.95895976,0.94118404,0.95749414,0.96789855,0.9589776,0.96223533,0.96856844,0.9603867,0.94447803,0.9808325,0.96728706,0.9645319,0.94655097,0.9512135,0.96527517,0.93763494,0.95207834,0.9607235,0.95064676,0.97456324,0.9465176,0.93130374,0.9608347,0.9591118
0.96466434,1.0,0.94470775,0.94681925,0.9524273,0.9403949,0.9721719,0.9340726,0.96044326,0.9605491,0.9607502,0.96920514,0.963434,0.976305,0.9381408,0.9712963,0.95381194,0.95936406,0.96629566,0.94907904,0.94961214,0.9502107,0.9428284,0.9565923,0.94683117,0.9613352,0.953156,0.92432415,0.96066916,0.95408916
0.953504,0.94470775,1.0,0.929693,0.9503133,0.925157,0.95101583,0.9473539,0.9486332,0.9536278,0.9514794,0.9511169,0.9543363,0.93956625,0.93803656,0.9484886,0.9526322,0.951952,0.94224244,0.9427445,0.95369107,0.9521593,0.96183515,0.9548814,0.94232774,0.949169,0.9591186,0.9238938,0.9490214,0.9635722
0.9431362,0.94681925,0.929693,1.0,0.9428346,0.90372187,0.9333166,0.93162376,0.9470631,0.94260097,0.9392272,0.9454734,0.9456608,0.9604615,0.93415284,0.94434714,0.9214126,0.9525399,0.9442931,0.9295105,0.92689943,0.93058896,0.9410636,0.95653653,0.9048614,0.93853974,0.92655283,0.9542862,0.9582363,0.9346893
0.96465826,0.9524273,0.9503133,0.9428346,1.0,0.91204727,0.9511542,0.9346591,0.9632802,0.96978563,0.94724035,0.9708321,0.9630184,0.953683,0.96070814,0.9577068,0.957013,0.96582556,0.95468533,0.972015,0.96360576,0.9401572,0.94856936,0.9587649,0.9631864,0.9761889,0.94947314,0.93019927,0.9541671,0.96798736
0.9474604,0.9403949,0.925157,0.90372187,0.91204727,1.0,0.92634904,0.9063375,0.9165584,0.926878,0.9542419,0.91420984,0.94136083,0.91044384,0.9088721,0.9413209,0.9326024,0.92238677,0.93724895,0.89888936,0.9235833,0.92648166,0.9218601,0.913509,0.923255,0.93139833,0.930043,0.88426536,0.90793645,0.92512894
0.95895976,0.9721719,0.95101583,0.9333166,0.9511542,0.92634904,1.0,0.95640063,0.95207644,0.96791875,0.9483987,0.96534204,0.95785165,0.9586021,0.94227415,0.963693,0.95653546,0.9681653,0.9556763,0.94961166,0.95549613,0.9635962,0.9559833,0.9541601,0.95236766,0.95505655,0.95426595,0.93653667,0.9566835,0.9581348
0.94118404,0.9340726,0.9473539,0.93162376,0.9346591,0.9063375,0.95640063,1.0,0.92768776,0.9455911,0.93092537,0.9389918,0.947096,0.9348741,0.92994475,0.9412865,0.9249233,0.9517821,0.92799705,0.9240341,0.93469006,0.9506155,0.9637845,0.9394498,0.9142468,0.9250661,0.9410356,0.94796485,0.9474873,0.93437535
0.95749414,0.96044326,0.9486332,0.9470631,0.9632802,0.9165584,0.95207644,0.92768776,1.0,0.95806134,0.94337595,0.9805883,0.94820225,0.9741708,0.9766237,0.9568044,0.95088017,0.9531648,0.96792567,0.96664107,0.9592018,0.9474988,0.9360782,0.97337216,0.9524355,0.9568968,0.94888514,0.9477129,0.967219,0.96812654
0.96789855,0.9605491,0.9536278,0.94260097,0.96978563,0.926878,0.96791875,0.9455911,0.95806134,1.0,0.95529544,0.96863556,0.96260095,0.95480865,0.9545425,0.96352756,0.9674666,0.97224027,0.95141554,0.9638437,0.96195513,0.95080024,0.94829327,0.9593222,0.9617762,0.9632521,0.9526004,0.9405441,0.9583007,0.9684566
