Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.63868374,0.51762223,0.5832993,0.648659,0.7267125,0.54844546,0.37391067,0.4192399,0.5550108,0.50242394,0.5156004,0.6593757,0.56970966,0.24383493,0.66021204,0.6608027,0.47924417,0.63803273,0.6144724,0.5026617,0.5480959,0.45284703,0.6106397,0.58898324,0.8651399,0.5504978,0.40284938,0.68321574,0.6365383
0.63868374,1.0,0.33757454,0.58899516,0.49642015,0.5620571,0.6518743,0.40146434,0.44278285,0.5091127,0.4789856,0.5878472,0.5689384,0.65901804,0.23265317,0.69711787,0.5976052,0.4699835,0.5088644,0.48034835,0.41775167,0.48491102,0.431587,0.58260155,0.48122078,0.5846696,0.5562695,0.34797463,0.6345277,0.5402708
0.51762223,0.33757454,1.0,0.4158041,0.4679452,0.5508711,0.45692816,0.3771007,0.31660014,0.4498949,0.43063888,0.39338255,0.52935797,0.39312103,0.17472686,0.32004753,0.5308827,0.4046477,0.49110836,0.41957086,0.38280943,0.51868004,0.4268616,0.452148,0.40043837,0.5059374,0.45580506,0.35181332,0.4218322,0.5724455
0.5832993,0.58899516,0.4158041,1.0,0.5114712,0.47536206,0.45703888,0.38610858,0.51525366,0.4545131,0.32179242,0.5087685,0.5133984,0.6820188,0.31215042,0.43172523,0.46413353,0.34209022,0.503278,0.43039602,0.3581123,0.41993868,0.34858435,0.5947191,0.30268338,0.52113676,0.46482265,0.4713268,0.64218247,0.49067318
0.648659,0.49642015,0.4679452,0.5114712,1.0,0.63159233,0.46795797,0.28743833,0.6313108,0.46078968,0.41455168,0.594164,0.5762634,0.65122896,0.53184104,0.4725414,0.59203005,0.39715546,0.68740714,0.8121184,0.45739254,0.39678246,0.45077997,0.65937924,0.6086762,0.68813044,0.50610536,0.4089955,0.6740643,0.5076663
0.7267125,0.5620571,0.5508711,0.47536206,0.63159233,1.0,0.52393353,0.3557617,0.43288076,0.5682327,0.53631026,0.4949532,0.7459115,0.5459456,0.29932487,0.5202099,0.71525776,0.46570677,0.6954354,0.6083641,0.45649675,0.5019676,0.44084832,0.5472897,0.57316184,0.7417412,0.590841,0.38799605,0.5902409,0.62014514
0.54844546,0.6518743,0.45692816,0.45703888,0.46795797,0.52393353,1.0,0.4570591,0.37616992,0.67345136,0.4226145,0.5082104,0.5715296,0.62017363,0.15750138,0.4522015,0.67766726,0.6075583,0.59435016,0.44036883,0.451451,0.70263845,0.5759342,0.5496769,0.3901946,0.5456467,0.54064476,0.49888307,0.5830575,0.5345184
0.37391067,0.40146434,0.3771007,0.38610858,0.28743833,0.3557617,0.4570591,1.0,0.3086838,0.49904388,0.33645913,0.33827063,0.4092002,0.42809582,0.21666232,0.30668604,0.3537552,0.49831218,0.38150775,0.310246,0.26997748,0.5501086,0.4544258,0.46619767,0.20675582,0.29482475,0.4789969,0.32861143,0.5032419,0.3881807
0.4192399,0.44278285,0.31660014,0.51525366,0.6313108,0.43288076,0.37616992,0.3086838,1.0,0.3850735,0.19223335,0.55870706,0.38354367,0.64439154,0.7340366,0.22006708,0.36605245,0.23155993,0.5626919,0.5574782,0.39238244,0.3224514,0.2491022,0.60764146,0.27373177,0.3792253,0.43584135,0.32492518,0.6531682,0.438087
0.5550108,0.5091127,0.4498949,0.4545131,0.46078968,0.5682327,0.67345136,0.49904388,0.3850735,1.0,0.38434553,0.46978047,0.52900094,0.63301194,0.21478157,0.37887627,0.66378427,0.6165923,0.57355005,0.45246857,0.4079048,0.5917647,0.45308632,0.5066676,0.51184714,0.52983725,0.44830883,0.3950759,0.56984025,0.5335845
