Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.42495418,0.51756346,0.2984345,0.5581275,0.5588815,0.4237824,0.2315244,0.33270162,0.4253325,0.46289295,0.38655415,0.5626,0.37324297,0.27286702,0.60331184,0.5227402,0.47192293,0.20704278,0.36097813,0.4414901,0.3524611,0.47017822,0.35082453,0.43895125,0.73326373,0.33482897,0.19348258,0.29900068,0.5277323
0.42495418,1.0,0.18656522,0.549372,0.36328936,0.37598062,0.67967,0.28595,0.5650921,0.37824404,0.24892493,0.5775171,0.469155,0.71494734,0.34175667,0.7229249,0.2960056,0.3567124,0.4539591,0.22059762,0.30417162,0.26677692,0.40612078,0.41559976,0.214885,0.3518598,0.33136994,0.27982962,0.60327625,0.28564888
0.51756346,0.18656522,1.0,0.16546974,0.43309277,0.4094708,0.4027574,0.36879545,0.23608673,0.27940166,0.44486213,0.32867748,0.48899332,0.18023169,0.28286245,0.30349845,0.44634533,0.4197893,0.19898148,0.38141888,0.49770027,0.41723394,0.5042268,0.35031167,0.31231868,0.4864948,0.4477867,0.23092404,0.19188327,0.5504122
0.2984345,0.549372,0.16546974,1.0,0.28687882,0.15565899,0.32404155,0.26133978,0.5192783,0.23807248,0.19860709,0.49852818,0.3339218,0.6217761,0.38520852,0.4206361,0.06368858,0.20361987,0.39187717,0.18860734,0.22172165,0.26390514,0.22406292,0.480114,0.0527373,0.1580864,0.25722364,0.4915657,0.59071773,0.18969995
0.5581275,0.36328936,0.43309277,0.28687882,1.0,0.50650024,0.39782283,0.23898229,0.4685107,0.52027476,0.45845747,0.4895913,0.54654706,0.37528825,0.4319377,0.47781724,0.52363133,0.39001554,0.23330013,0.5555142,0.4508013,0.15351455,0.445027,0.4713748,0.47090298,0.55760896,0.30756223,0.23948283,0.38372388,0.50745034
0.5588815,0.37598062,0.4094708,0.15565899,0.50650024,1.0,0.4256626,0.18169568,0.40241358,0.44663477,0.53143954,0.47509497,0.594712,0.36991268,0.35663825,0.5192271,0.51347566,0.32673198,0.49191904,0.42997086,0.46947965,0.27536982,0.42076403,0.4180796,0.37635484,0.6124891,0.45493877,0.17399567,0.28604656,0.4263047
0.4237824,0.67967,0.4027574,0.32404155,0.39782283,0.4256626,1.0,0.386429,0.48555127,0.48199606,0.3060646,0.58372116,0.48179713,0.5749921,0.38303074,0.5860377,0.40092787,0.4153068,0.31030896,0.26822144,0.41511354,0.36723512,0.4561721,0.38843074,0.22485319,0.35366726,0.3844748,0.2501107,0.44479913,0.40238017
0.2315244,0.28595,0.36879545,0.26133978,0.23898229,0.18169568,0.386429,1.0,0.19177613,0.22571991,0.28772366,0.18601143,0.4775357,0.3047023,0.17860886,0.32326472,0.119089425,0.3072659,0.23067823,0.09446791,0.33330077,0.24818729,0.4602757,0.23376365,-0.014472514,0.2073501,0.2655616,0.34624106,0.31424314,0.15771559
0.33270162,0.5650921,0.23608673,0.5192783,0.4685107,0.40241358,0.48555127,0.19177613,1.0,0.37788534,0.2583106,0.604107,0.35891086,0.610415,0.5809525,0.45745045,0.40638798,0.32364833,0.52843755,0.44116887,0.39392737,0.33114886,0.27402323,0.46811673,0.32393914,0.33373576,0.4386707,0.44590974,0.5460727,0.40858084
0.4253325,0.37824404,0.27940166,0.23807248,0.52027476,0.44663477,0.48199606,0.22571991,0.37788534,1.0,0.2895922,0.38356352,0.30000806,0.413676,0.43744504,0.33856213,0.564034,0.48106813,0.14847799,0.4188052,0.32859898,0.051125936,0.3098514,0.2793233,0.4882831,0.32173103,0.156363,0.25227427,0.30657512,0.38424778
0.46289295,0.24892493,0.44486213,0.19860709,0.45845747,0.53143954,0.3060646,0.28772366,0.2583106,0.2895922,1.0,0.32674837,0.6308922,0.33166033,0.29824752,0.46782047,0.406758,0.34419057,0.27447167,0.40617272,0.5330275,0.20353696,0.3388809,0.41473484,0.3119423,0.50765634,0.392668,0.18636765,0.32743496,0.36105877
0.38655415,0.5775171,0.32867748,0.49852818,0.4895913,0.47509497,0.58372116,0.18601143,0.604107,0.38356352,0.32674837,1.0,0.493797,0.6496674,0.51285756,0.5825192,0.41623518,0.29090235,0.4728685,0.41166222,0.35501125,0.26264012,0.36500674,0.5727749,0.305606,0.4072088,0.32698792,0.25544637,0.47944403,0.47948614
0.5626,0.469155,0.48899332,0.3339218,0.54654706,0.594712,0.48179713,0.4775357,0.35891086,0.30000806,0.6308922,0.493797,1.0,0.51802784,0.29013154,0.6340591,0.3875344,0.35576987,0.36310023,0.34919855,0.5602038,0.32838392,0.5639206,0.5044199,0.21695876,0.62178653,0.4987522,0.28810146,0.50609004,0.36980498
0.37324297,0.71494734,0.18023169,0.6217761,0.37528825,0.36991268,0.5749921,0.3047023,0.610415,0.413676,0.33166033,0.6496674,0.51802784,1.0,0.37568206,0.5881273,0.2840139,0.23498888,0.47677737,0.31313986,0.30862248,0.20895854,0.3400793,0.5174788,0.21654864,0.33800352,0.35962784,0.36450407,0.80689776,0.23565385
0.27286702,0.34175667,0.28286245,0.38520852,0.4319377,0.35663825,0.38303074,0.17860886,0.5809525,0.43744504,0.29824752,0.51285756,0.29013154,0.37568206,1.0,0.39474618,0.40974206,0.3661353,0.3158178,0.4556537,0.4118028,0.27235755,0.24371259,0.3750421,0.32481587,0.26329863,0.21174076,0.39684197,0.28720692,0.45263147
0.60331184,0.7229249,0.30349845,0.4206361,0.47781724,0.5192271,0.5860377,0.32326472,0.45745045,0.33856213,0.46782047,0.5825192,0.6340591,0.5881273,0.39474618,1.0,0.360614,0.37392467,0.3782034,0.315284,0.44616273,0.3380734,0.49896953,0.5458514,0.20738636,0.5536892,0.43075937,0.23841585,0.4622267,0.36702275
0.5227402,0.2960056,0.44634533,0.06368858,0.52363133,0.51347566,0.40092787,0.119089425,0.40638798,0.564034,0.406758,0.41623518,0.3875344,0.2840139,0.40974206,0.360614,1.0,0.52587867,0.15831439,0.63340724,0.49362645,0.26871014,0.3114853,0.32808438,0.6857132,0.51537865,0.39459044,0.14084506,0.16193654,0.572916
0.47192293,0.3567124,0.4197893,0.20361987,0.39001554,0.32673198,0.4153068,0.3072659,0.32364833,0.48106813,0.34419057,0.29090235,0.35576987,0.23498888,0.3661353,0.37392467,0.52587867,1.0,0.20109409,0.35953698,0.5577007,0.34162652,0.4356424,0.23679629,0.38504803,0.34168774,0.2742595,0.20602158,0.23782647,0.50984013
0.20704278,0.4539591,0.19898148,0.39187717,0.23330013,0.49191904,0.31030896,0.23067823,0.52843755,0.14847799,0.27447167,0.4728685,0.36310023,0.47677737,0.3158178,0.3782034,0.15831439,0.20109409,1.0,0.24803269,0.32710916,0.3707778,0.28114176,0.30561963,0.21155554,0.33013344,0.37981886,0.33801168,0.43413296,0.23663941
0.36097813,0.22059762,0.38141888,0.18860734,0.5555142,0.42997086,0.26822144,0.09446791,0.44116887,0.4188052,0.40617272,0.41166222,0.34919855,0.31313986,0.4556537,0.315284,0.63340724,0.35953698,0.24803269,1.0,0.4489997,0.29288575,0.252253,0.48956838,0.6977842,0.40880167,0.28460336,0.22801802,0.26902983,0.4759791
0.4414901,0.30417162,0.49770027,0.22172165,0.4508013,0.46947965,0.41511354,0.33330077,0.39392737,0.32859898,0.5330275,0.35501125,0.5602038,0.30862248,0.4118028,0.44616273,0.49362645,0.5577007,0.32710916,0.4489997,1.0,0.3705923,0.46631715,0.29617777,0.35691875,0.45540598,0.36146462,0.34157223,0.32361424,0.5023148
0.3524611,0.26677692,0.41723394,0.26390514,0.15351455,0.27536982,0.36723512,0.24818729,0.33114886,0.051125936,0.20353696,0.26264012,0.32838392,0.20895854,0.27235755,0.3380734,0.26871014,0.34162652,0.3707778,0.29288575,0.3705923,1.0,0.2997181,0.2904235,0.18421996,0.3183921,0.48041177,0.2815755,0.16038689,0.4780338
0.47017822,0.40612078,0.5042268,0.22406292,0.445027,0.42076403,0.4561721,0.4602757,0.27402323,0.3098514,0.3388809,0.36500674,0.5639206,0.3400793,0.24371259,0.49896953,0.3114853,0.4356424,0.28114176,0.252253,0.46631715,0.2997181,1.0,0.32214773,0.16518964,0.4484681,0.32683927,0.267673,0.34413683,0.36338788
0.35082453,0.41559976,0.35031167,0.480114,0.4713748,0.4180796,0.38843074,0.23376365,0.46811673,0.2793233,0.41473484,0.5727749,0.5044199,0.5174788,0.3750421,0.5458514,0.32808438,0.23679629,0.30561963,0.48956838,0.29617777,0.2904235,0.32214773,1.0,0.22205581,0.3512922,0.41373593,0.2454668,0.42552438,0.32404053
0.43895125,0.214885,0.31231868,0.0527373,0.47090298,0.37635484,0.22485319,-0.014472514,0.32393914,0.4882831,0.3119423,0.305606,0.21695876,0.21654864,0.32481587,0.20738636,0.6857132,0.38504803,0.21155554,0.6977842,0.35691875,0.18421996,0.16518964,0.22205581,1.0,0.4588717,0.16118334,0.10149075,0.12584096,0.50370145
0.73326373,0.3518598,0.4864948,0.1580864,0.55760896,0.6124891,0.35366726,0.2073501,0.33373576,0.32173103,0.50765634,0.4072088,0.62178653,0.33800352,0.26329863,0.5536892,0.51537865,0.34168774,0.33013344,0.40880167,0.45540598,0.3183921,0.4484681,0.3512922,0.4588717,1.0,0.3919204,0.152933,0.3138523,0.46737778
0.33482897,0.33136994,0.4477867,0.25722364,0.30756223,0.45493877,0.3844748,0.2655616,0.4386707,0.156363,0.392668,0.32698792,0.4987522,0.35962784,0.21174076,0.43075937,0.39459044,0.2742595,0.37981886,0.28460336,0.36146462,0.48041177,0.32683927,0.41373593,0.16118334,0.3919204,1.0,0.2419891,0.32793084,0.28830463
0.19348258,0.27982962,0.23092404,0.4915657,0.23948283,0.17399567,0.2501107,0.34624106,0.44590974,0.25227427,0.18636765,0.25544637,0.28810146,0.36450407,0.39684197,0.23841585,0.14084506,0.20602158,0.33801168,0.22801802,0.34157223,0.2815755,0.267673,0.2454668,0.10149075,0.152933,0.2419891,1.0,0.48603284,0.18277144
0.29900068,0.60327625,0.19188327,0.59071773,0.38372388,0.28604656,0.44479913,0.31424314,0.5460727,0.30657512,0.32743496,0.47944403,0.50609004,0.80689776,0.28720692,0.4622267,0.16193654,0.23782647,0.43413296,0.26902983,0.32361424,0.16038689,0.34413683,0.42552438,0.12584096,0.3138523,0.32793084,0.48603284,1.0,0.16018371
0.5277323,0.28564888,0.5504122,0.18969995,0.50745034,0.4263047,0.40238017,0.15771559,0.40858084,0.38424778,0.36105877,0.47948614,0.36980498,0.23565385,0.45263147,0.36702275,0.572916,0.50984013,0.23663941,0.4759791,0.5023148,0.4780338,0.36338788,0.32404053,0.50370145,0.46737778,0.28830463,0.18277144,0.16018371,1.0
