Anxiety,Friendliness,Imagination,Trust,Self-Efficacy,Anger,Gregariousness,Artistic Interests,Morality,Orderliness,Depression,Assertiveness,Emotionality,Altruism,Dutifulness,Self-Consciousness,Activity Level,Adventurousness,Cooperation,Achievement-Striving,Immoderation,Excitement-Seeking,Intellect,Modesty,Self-Discipline,Vulnerability,Cheerfulness,Liberalism,Sympathy,Cautiousness
1.0,0.8526685,0.8188524,0.808581,0.83716464,0.8869816,0.7898371,0.76123416,0.7878964,0.81639826,0.8234968,0.807364,0.86116314,0.82238257,0.78832567,0.87428916,0.8540881,0.8147116,0.83124614,0.79994625,0.8015885,0.791849,0.8117498,0.8062073,0.81935096,0.93225217,0.7993722,0.77089137,0.8265751,0.8481895
0.8526685,1.0,0.78036106,0.84854054,0.78474545,0.8427726,0.83154804,0.7660355,0.81874454,0.7500602,0.809019,0.8632704,0.83062136,0.89066017,0.77492225,0.9250316,0.82080334,0.78345996,0.83892,0.79475653,0.75279367,0.7952883,0.812581,0.8470371,0.7707964,0.82342553,0.7997271,0.7441665,0.8436877,0.798317
0.8188524,0.78036106,1.0,0.7825851,0.7895157,0.800657,0.7927178,0.77765316,0.7725358,0.75665957,0.8021382,0.79153585,0.8265695,0.78618044,0.78282464,0.8096975,0.82422805,0.7930982,0.7994133,0.7952967,0.79104435,0.800459,0.8339769,0.8077378,0.78799874,0.80961454,0.81669116,0.7728811,0.7590549,0.8403301
0.808581,0.84854054,0.7825851,1.0,0.7835551,0.77915096,0.800646,0.7787505,0.87437856,0.74258184,0.7737309,0.8437415,0.80374956,0.88468933,0.83490634,0.83799464,0.7539048,0.7733735,0.8206217,0.78965235,0.7420552,0.80240035,0.7828406,0.83987445,0.755146,0.7769387,0.7826204,0.8406582,0.85517,0.82178056
0.83716464,0.78474545,0.7895157,0.7835551,1.0,0.818319,0.7611606,0.71331376,0.8193803,0.83030343,0.8137269,0.8413872,0.80690336,0.8096089,0.8386562,0.82617545,0.8310931,0.741007,0.8125622,0.8585437,0.7964616,0.7382128,0.7732409,0.8134145,0.84656596,0.84063584,0.7882958,0.75680995,0.77895755,0.832078
0.8869816,0.8427726,0.800657,0.77915096,0.818319,1.0,0.76876205,0.7501451,0.7875366,0.81154674,0.8244204,0.8185677,0.86855674,0.82003725,0.81514883,0.8462742,0.86014605,0.77779394,0.9057541,0.8023428,0.8164765,0.7840315,0.7812706,0.810947,0.80857813,0.8808594,0.81371784,0.7527671,0.80472875,0.83486354
0.7898371,0.83154804,0.7927178,0.800646,0.7611606,0.76876205,1.0,0.78902376,0.78534275,0.7731649,0.7615462,0.81465507,0.8138442,0.82577425,0.7681455,0.81427443,0.80032885,0.7949932,0.8309007,0.74747485,0.7883295,0.86683565,0.8047473,0.81408983,0.7518074,0.77934635,0.8191933,0.77668047,0.7698497,0.79409945
0.76123416,0.7660355,0.77765316,0.7787505,0.71331376,0.7501451,0.78902376,1.0,0.7247889,0.7348929,0.7533307,0.73051715,0.7803408,0.7583311,0.7230897,0.7624042,0.7327132,0.8028299,0.7646593,0.7401302,0.7273198,0.8264582,0.8353666,0.77694225,0.692513,0.7315898,0.74226236,0.8082919,0.79340285,0.74429405
0.7878964,0.81874454,0.7725358,0.87437856,0.8193803,0.7875366,0.78534275,0.7247889,1.0,0.7517918,0.75195885,0.8646968,0.78001565,0.8736627,0.89279795,0.81018555,0.8036002,0.7592443,0.8327051,0.84254336,0.77700824,0.7745223,0.7607207,0.8572335,0.7897278,0.77186644,0.7890059,0.79938114,0.8462312,0.852663
0.81639826,0.7500602,0.75665957,0.74258184,0.83030343,0.81154674,0.7731649,0.7348929,0.7517918,1.0,0.772506,0.76231503,0.7638614,0.7805699,0.8003756,0.77826893,0.8070674,0.7834274,0.7897957,0.7930931,0.8071635,0.73141253,0.7456517,0.7467201,0.8367979,0.7942815,0.7599358,0.7382751,0.7648145,0.8038299
