Facet,item1,sign1,item2,sign2,item3,sign3,item4,sign4,item5,sign5,item6,sign6,item7,sign7,item8,sign8,item9,sign9,item10,sign10
N1 Anxiety,Worry about things.,+,Fear for the worst.,+,Am afraid of many things.,+,Get stressed out easily.,+,Get caught up in my problems.,+,Am not easily bothered by things.,-,Am relaxed most of the time.,-,Am not easily disturbed by events.,-,Don't worry about things that have already happened.,-,Adapt easily to new situations.,-
N2 Anger,Get angry easily.,+,Get irritated easily.,+,Get upset easily.,+,Am often in a bad mood.,+,Lose my temper.,+,Rarely get irritated.,-,Seldom get mad.,-,Am not easily annoyed.,-,Keep my cool.,-,Rarely complain.,-
N3 Depression,Often feel blue.,+,Dislike myself.,+,Am often down in the dumps.,+,Have a low opinion of myself.,+,Have frequent mood swings.,+,Feel desperate.,+,Feel that my life lacks direction.,+,Seldom feel blue.,-,Feel comfortable with myself.,-,Am very pleased with myself.,-
N4 Self-Consciousness,Am easily intimidated.,+,Am afraid that I will do the wrong thing.,+,Find it difficult to approach others.,+,Am afraid to draw attention to myself.,+,Only feel comfortable with friends.,+,Stumble over my words.,+,Am not embarrassed easily.,-,Am comfortable in unfamiliar situations.,-,Am not bothered by difficult social situations.,-,Am able to stand up for myself.,-
N5 Immoderation,Often eat too much.,+,Don't know why I do some of the things I do.,+,Do things I later regret.,+,Go on binges.,+,Love to eat.,+,Rarely overindulge.,-,Easily resist temptations.,-,Am able to control my cravings.,-,Never spend more than I can afford.,-,Never splurge.,-
N6 Vulnerability,Panic easily.,+,Become overwhelmed by events.,+,Feel that I'm unable to deal with things.,+,Can't make up my mind.,+,Get overwhelmed by emotions.,+,Remain calm under pressure.,-,Can handle complex problems.,-,Know how to cope.,-,Readily overcome setbacks.,-,Am calm even in tense situations.,-
E1 Friendliness,Make friends easily.,+,Warm up quickly to others.,+,Feel comfortable around people.,+,Act comfortably with others.,+,Cheer people up.,+,Am hard to get to know.,-,Often feel uncomfortable around others.,-,Avoid contacts with others.,-,Am not really interested in others.,-,Keep others at a distance.,-
E2 Gregariousness,Love large parties.,+,Talk to a lot of different people at parties.,+,Enjoy being part of a group.,+,Involve others in what I am doing.,+,Love surprise parties.,+,Prefer to be alone.,-,Want to be left alone.,-,Don't like crowded events.,-,Avoid crowds.,-,Seek quiet.,-
E3 Assertiveness,Take charge.,+,Try to lead others.,+,Can talk others into doing things.,+,Seek to influence others.,+,Take control of things.,+,Wait for others to lead the way.,-,Keep in the background.,-,Have little to say.,-,Don't like to draw attention to myself.,-,Hold back my opinions.,-
E4 Activity level,Am always busy.,+,Am always on the go.,+,Do a lot in my spare time.,+,Can manage many things at the same time.,+,React quickly.,+,Like to take it easy.,-,Like to take my time.,-,Like a leisurely lifestyle.,-,Let things proceed at their own pace.,-,React slowly.,-
E5 Excitement Seeking ,Love excitement.,+,Seek adventure.,+,Love action.,+,Enjoy being part of a loud crowd.,+,Enjoy being reckless.,+,Act wild and crazy.,+,Willing to try anything once.,+,Seek danger.,+,Would never go hang gliding or bungee jumping.,-,Dislike loud music.,-
E6 Cheerfulness ,Radiate joy.,+,Have a lot of fun.,+,Express childlike joy.,+,Laugh my way through life.,+,Love life.,+,Look at the bright side of life.,+,Laugh aloud.,+,Amuse my friends.,+,Am not easily amused.,-,Seldom joke around.,-
O1 Imagination,Have a vivid imagination.,+,Enjoy wild flights of fantasy.,+,Love to daydream.,+,Like to get lost in thought.,+,Indulge in my fantasies.,+,Spend time reflecting on things.,+,Seldom daydream.,-,Do not have a good imagination.,-,Seldom get lost in thought.,-,Have difficulty imagining things.,-
O2 Artistic interests ,Believe in the importance of art.,+,Like music.,+,See beauty in things that others might not notice.,+,Love flowers.,+,Enjoy the beauty of nature.,+,Do not like art.,-,Do not like poetry.,-,Do not enjoy going to art museums.,-,Do not like concerts.,-,Do not enjoy watching dance performances.,-
O3 Emotionality ,Experience my emotions intensely.,+,Feel others' emotions.,+,Am passionate about causes.,+,Enjoy examining myself and my life.,+,Try to understand myself.,+,Seldom get emotional.,-,Am not easily affected by my emotions.,-,Rarely notice my emotional reactions.,-,Experience very few emotional highs and lows.,-,Don't understand people who get emotional.,-
O4 Adventurousness ,Prefer variety to routine.,+,Like to visit new places.,+,Interested in many things.,+,Like to begin new things.,+,Prefer to stick with things that I know.,-,Dislike changes.,-,Don't like the idea of change.,-,Am a creature of habit.,-,Dislike new foods.,-,Am attached to conventional ways.,-
O5 Intellect ,Like to solve complex problems.,+,Love to read challenging material.,+,Have a rich vocabulary.,+,Can handle a lot of information.,+,Enjoy thinking about things.,+,Am not interested in abstract ideas.,-,Avoid philosophical discussions.,-,Have difficulty understanding abstract ideas.,-,Am not interested in theoretical discussions.,-,Avoid difficult reading material.,-
O6 Liberalism ,Tend to vote for liberal political candidates.,+,Believe that there is no absolute right or wrong.,+,Believe that criminals should receive help rather than punishment.,+,Believe in one true religion.,-,Tend to vote for conservative political candidates.,-,Believe that too much tax money goes to support artists.,-,Believe laws should be strictly enforced.,-,Believe that we coddle criminals too much.,-,Believe that we should be tough on crime.,-,Like to stand during the national anthem.,-
A1 Trust ,Trust others.,+,Believe that others have good intentions.,+,Trust what people say.,+,Believe that people are basically moral.,+,Believe in human goodness.,+,Think that all will be well.,+,Distrust people.,-,Suspect hidden motives in others.,-,Am wary of others.,-,Believe that people are essentially evil.,-
A2 Morality ,Would never cheat on my taxes.,+,Stick to the rules.,+,Use flattery to get ahead.,-,Use others for my own ends.,-,Know how to get around the rules.,-,Cheat to get ahead.,-,Put people under pressure.,-,Pretend to be concerned for others.,-,Take advantage of others.,-,Obstruct others' plans.,-
A3 Altruism ,Make people feel welcome.,+,Anticipate the needs of others.,+,Love to help others.,+,Am concerned about others.,+,Have a good word for everyone.,+,Look down on others.,-,Am indifferent to the feelings of others.,-,Make people feel uncomfortable.,-,Turn my back on others.,-,Take no time for others.,-
A4 Cooperation ,Am easy to satisfy.,+,Can't stand confrontations.,+,Hate to seem pushy.,+,Have a sharp tongue.,-,Contradict others.,-,Love a good fight.,-,Yell at people.,-,Insult people.,-,Get back at others.,-,Hold a grudge.,-
A5 Modesty ,Dislike being the center of attention.,+,Dislike talking about myself.,+,Consider myself an average person.,+,Seldom toot my own horn.,+,Believe that I am better than others.,-,Think highly of myself.,-,Have a high opinion of myself.,-,Know the answers to many questions.,-,Boast about my virtues.,-,Make myself the center of attention.,-
A6 Sympathy ,Sympathize with the homeless.,+,Feel sympathy for those who are worse off than myself.,+,Value cooperation over competition.,+,Suffer from others' sorrows.,+,Am not interested in other people's problems.,-,Tend to dislike soft-hearted people.,-,Believe in an eye for an eye.,-,Try not to think about the needy.,-,Believe people should fend for themselves.,-,Can't stand weak people.,-
C1 Self-Efficacy ,Complete tasks successfully.,+,Excel in what I do.,+,Handle tasks smoothly.,+,Am sure of my ground.,+,Come up with good solutions.,+,Know how to get things done.,+,Misjudge situations.,-,Don't understand things.,-,Have little to contribute.,-,Don't see the consequences of things.,-
C2 Orderliness ,Like order.,+,Like to tidy up.,+,"Want everything to be ""just right.",+,Love order and regularity.,+,Do things according to a plan.,+,Often forget to put things back in their proper place.,-,Leave a mess in my room.,-,Leave my belongings around.,-,Am not bothered by messy people.,-,Am not bothered by disorder.,-
C3 Dutifulness ,Try to follow the rules.,+,Keep my promises.,+,Pay my bills on time.,+,Tell the truth.,+,Listen to my conscience.,+,Break rules.,-,Break my promises.,-,Get others to do my duties.,-,Do the opposite of what is asked.,-,Misrepresent the facts.,-
C4 Achievement-striving,Go straight for the goal.,+,Work hard.,+,Turn plans into actions.,+,Plunge into tasks with all my heart.,+,Do more than what's expected of me.,+,Set high standards for myself and others.,+,Demand quality.,+,Am not highly motivated to succeed.,-,Do just enough work to get by.,-,Put little time and effort into my work.,-
C5 Self-Discipline,Get chores done right away.,+,Am always prepared.,+,Start tasks right away.,+,Get to work at once.,+,Carry out my plans.,+,Find it difficult to get down to work.,-,Waste my time.,-,Need a push to get started.,-,Have difficulty starting tasks.,-,Postpone decisions.,-
C6 Cautiousness,Avoid mistakes.,+,Choose my words with care.,+,Stick to my chosen path.,+,Jump into things without thinking.,-,Make rash decisions.,-,Like to act on a whim.,-,Rush into things.,-,Do crazy things.,-,Act without thinking.,-,Often make last-minute plans.,-
