,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
N1_Anxiety,1,0.49565995,0.30501968,0.62682974,0.25463673,0.71075416,0.35064584,0.25557086,0.25628206,0.47538698,0.27677566,0.32650644,0.32933646,0.13703805,0.33708596,0.24887288,0.42408988,0.09447104,0.1940883,0.16513897,0.214878,0.2889312,0.22201781,0.21132773,0.41904873,0.46317005,0.122125514,0.18663935,0.3858009,0.44105405
N2_Anger,0.49565995,1,0.4510464,0.41519126,0.27417547,0.47450525,0.27181393,0.26965135,0.1887115,0.42019874,0.22013111,0.3320682,0.27113795,0.11561328,0.4560951,0.16887186,0.3094502,0.13504049,0.1204121,0.09572217,0.23445857,0.49659908,0.36023593,0.25974703,0.18768933,0.3568412,0.115064345,0.12647797,0.26568624,0.32081568
N3_Depression,0.30501968,0.4510464,1,0.45492017,0.4431038,0.36288506,0.34311467,0.28408182,0.21441968,0.29856354,0.24434584,0.3553969,0.3682796,0.13212709,0.4420391,0.3244313,0.29366565,0.12914301,0.29002053,0.121652104,0.31686676,0.23991993,0.48301935,0.35285485,0.18872473,0.34479028,0.14132184,0.26864192,0.25273213,0.27420962
N4_SelfConsciousness,0.62682974,0.41519126,0.45492017,1,0.28452212,0.5634955,0.52780455,0.43337172,0.34151292,0.39202428,0.17895643,0.30298787,0.26034164,0.14550994,0.3180887,0.20551555,0.39492434,0.16117448,0.25874594,0.20519555,0.3413916,0.36702877,0.4894622,0.33337587,0.2759459,0.3258788,0.09227339,0.22455305,0.2882071,0.2719759
N5_Immoderation,0.25463673,0.27417547,0.4431038,0.28452212,1,0.2721424,0.21532395,0.2560668,0.21356782,0.23815468,0.21924283,0.17849293,0.33477032,0.14440745,0.319318,0.28829956,0.2346134,0.14390363,0.18458986,0.2708897,0.14657263,0.20438707,0.3308793,0.24539489,0.19695996,0.3222503,0.25538146,0.31498706,0.2758354,0.35393083
N6_Vulnerability,0.71075416,0.47450525,0.36288506,0.5634955,0.2721424,1,0.27221665,0.2581075,0.22249995,0.45307362,0.14728707,0.2369878,0.34115297,0.11193564,0.5397984,0.081517555,0.401059,0.09927093,0.07843255,0.12564117,0.18371376,0.28948832,0.27074072,0.23134047,0.43520552,0.3506921,0.13729684,0.25282943,0.39783973,0.36142582
E1_Friendliness,0.35064584,0.27181393,0.34311467,0.52780455,0.21532395,0.27221665,1,0.53727674,0.4378298,0.30455354,0.1946773,0.30119035,0.20383894,0.27295336,0.28423095,0.25639755,0.27376062,0.09995114,0.4176875,0.25761905,0.6550499,0.36352363,0.34215784,0.39591777,0.09549612,0.13629241,0.054983296,0.11223934,0.15676811,0.2306873
E2_Gregariousness,0.25557086,0.26965135,0.28408182,0.43337172,0.2560668,0.2581075,0.53727674,1,0.4240738,0.25690603,0.44454813,0.29329348,0.25413573,0.2933944,0.3076265,0.26009497,0.23482753,0.14635608,0.20716046,0.20083255,0.39338845,0.27689397,0.37799042,0.2822055,0.10679779,0.34554002,0.14577727,0.18309522,0.16655505,0.19935128
E3_Assertiveness,0.25628206,0.1887115,0.21441968,0.34151292,0.21356782,0.22249995,0.4378298,0.4240738,1,0.3355155,0.25238878,0.20434193,0.22090107,0.28692007,0.17386395,0.25126612,0.19567761,0.17441167,0.34181333,0.3876484,0.5530907,0.35893968,0.3917719,0.29381168,0.32114992,0.25165713,0.41277766,0.35055798,0.33074036,0.39882916
E4_Activity_level,0.47538698,0.42019874,0.29856354,0.39202428,0.23815468,0.45307362,0.30455354,0.25690603,0.3355155,1,0.22611354,0.33776957,0.35242057,0.12737173,0.27470955,0.3010223,0.3393463,0.057808764,0.10917927,0.16860889,0.20016402,0.2713733,0.20833242,0.11391553,0.38162178,0.34980875,0.17598641,0.29250097,0.42844713,0.40312976
