,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
N1_Anxiety,1,0.743813874,0.65709334,0.775741286,0.63515386,0.848100558,0.669116004,0.619255564,0.620040668,0.693948542,0.594430968,0.60573039,0.667053926,0.52144616,0.735454562,0.65035484,0.649162264,0.499948128,0.610946078,0.58985752,0.630817786,0.639443542,0.647594956,0.6287026,0.702147554,0.620122768,0.517253572,0.60501438,0.63474265,0.726785064
N2_Anger,0.743813874,1,0.712242216,0.689402858,0.642301158,0.756476806,0.606445336,0.582020774,0.619034552,0.689116172,0.558864152,0.66177408,0.630494678,0.47407425,0.757896658,0.576621114,0.59068889,0.45727866,0.498016548,0.57926569,0.58913706,0.756792392,0.64426272,0.57729239,0.645210948,0.610777172,0.53370647,0.602877736,0.610962598,0.659549118
N3_Depression,0.65709334,0.712242216,1,0.680081358,0.663806454,0.678324868,0.573047922,0.549100018,0.552158184,0.59518615,0.509290428,0.624581916,0.622204816,0.509008012,0.742978886,0.593270416,0.52832847,0.465808496,0.517733996,0.484487952,0.562982954,0.608530908,0.682706198,0.591267228,0.598975856,0.535998128,0.485682894,0.58447385,0.525274488,0.585068884
N4_SelfConsciousness,0.775741286,0.689402858,0.680081358,1,0.629647206,0.74297054,0.796817632,0.656430774,0.681161094,0.60735428,0.57617767,0.60708378,0.547600202,0.51084642,0.726340318,0.609838542,0.620749722,0.50443186,0.636629538,0.591365836,0.693469184,0.70276216,0.73790366,0.654544554,0.625629868,0.555159752,0.52561732,0.562010422,0.541175172,0.64085163
N5_Immoderation,0.63515386,0.642301158,0.663806454,0.629647206,1,0.639184328,0.522023072,0.582938868,0.514352462,0.642315258,0.560848594,0.557604912,0.620364376,0.508425246,0.651705604,0.671698846,0.580962462,0.505082216,0.49296573,0.584559344,0.519198004,0.6279613,0.572740504,0.566329854,0.59646798,0.5609235,0.543202266,0.60033307,0.543310718,0.65732052
N6_Vulnerability,0.848100558,0.756476806,0.678324868,0.74297054,0.639184328,1,0.628160552,0.60064017,0.626091178,0.68577793,0.575072156,0.601338416,0.64435238,0.47172991,0.77428655,0.571630914,0.655511552,0.485116484,0.541931518,0.560691574,0.60198118,0.676731698,0.618565188,0.61673552,0.727543368,0.57387823,0.514854624,0.606665372,0.629243904,0.692453906
E1_Friendliness,0.669116004,0.606445336,0.573047922,0.796817632,0.522023072,0.628160552,1,0.73965008,0.699453494,0.59397977,0.570536846,0.61637364,0.495991076,0.52147545,0.674287114,0.598181848,0.57605202,0.50940987,0.69211076,0.613532084,0.787812354,0.683339786,0.670609732,0.710770598,0.570863124,0.560006856,0.504632678,0.514752896,0.525303016,0.578153846
E2_Gregariousness,0.619255564,0.582020774,0.549100018,0.656430774,0.582938868,0.60064017,0.73965008,1,0.669770902,0.631120018,0.6835978,0.653603472,0.600714706,0.592927548,0.645614286,0.631955316,0.608366274,0.536813198,0.571449442,0.600312016,0.692690192,0.632585514,0.645709252,0.632181294,0.563722122,0.615355794,0.514123478,0.519394866,0.49446521,0.607914292
E3_Assertiveness,0.620040668,0.619034552,0.552158184,0.681161094,0.514352462,0.626091178,0.699453494,0.669770902,1,0.634106214,0.552454502,0.577615568,0.567864908,0.489379298,0.66082539,0.530016346,0.580594544,0.532222896,0.67100572,0.694192648,0.767400718,0.664840652,0.738234674,0.651043094,0.664057366,0.577061716,0.668305816,0.647847156,0.576205846,0.709622186
E4_Activity_level,0.693948542,0.689116172,0.59518615,0.60735428,0.642315258,0.68577793,0.59397977,0.631120018,0.634106214,1,0.56161531,0.63127264,0.625886142,0.448624046,0.640961902,0.680803204,0.59397334,0.440425967,0.449509729,0.588413878,0.575314828,0.589407146,0.589047858,0.514815294,0.663631782,0.679921872,0.553207592,0.692437274,0.751543008,0.712668698
