,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
N1_Anxiety,1,0.5090207,0.43353236,0.61138874,0.4056995,0.70259416,0.39514455,0.3855577,0.3731832,0.46337077,0.32185477,0.30917442,0.4962015,0.22804897,0.54009557,0.4501411,0.45380434,0.19349895,0.3179737,0.36122042,0.3742762,0.28419378,0.36898294,0.29425123,0.5172327,0.37747428,0.2615935,0.3521287,0.39304394,0.54017985
N2_Anger,0.5090207,1,0.5584572,0.46606237,0.45475024,0.5822361,0.30032653,0.34416234,0.44092458,0.44990894,0.26265043,0.4463846,0.40646675,0.1658359,0.6026364,0.33717287,0.37384772,0.14174485,0.10618693,0.39162514,0.32660258,0.58299947,0.451334,0.2698697,0.4154036,0.37444395,0.32081363,0.4229337,0.35958463,0.41496548
N3_Depression,0.43353236,0.5584572,1,0.4534625,0.5232427,0.48863232,0.23941073,0.28229514,0.31283155,0.31766608,0.19113305,0.39968908,0.42182347,0.26142415,0.6403972,0.33591864,0.28311425,0.18242073,0.21024233,0.2769226,0.32893535,0.37397617,0.48529753,0.3371658,0.42399397,0.24808086,0.30501947,0.41062194,0.26288062,0.33226335
N4_SelfConsciousness,0.61138874,0.46606237,0.4534625,1,0.4093246,0.547029,0.70501006,0.5258416,0.5874115,0.3177105,0.31859398,0.4125811,0.26480755,0.2566446,0.6087024,0.3722796,0.4220024,0.23220885,0.447275,0.47572628,0.59635854,0.47625843,0.6077049,0.45345676,0.41067427,0.27969632,0.3837269,0.31655997,0.21183215,0.40379855
N5_Immoderation,0.4056995,0.45475024,0.5232427,0.4093246,1,0.4057181,0.2541311,0.35457692,0.31617552,0.44421092,0.3490516,0.34540534,0.46647525,0.30049282,0.5312234,0.5234692,0.40438947,0.31481478,0.19314672,0.3850004,0.25225994,0.37695706,0.32729504,0.28774998,0.37540188,0.29466256,0.40719014,0.43212083,0.28359517,0.48188102
N6_Vulnerability,0.70259416,0.5822361,0.48863232,0.547029,0.4057181,1,0.3323965,0.34908575,0.40758923,0.4379288,0.28866643,0.35997117,0.45709524,0.18437274,0.62434053,0.3199647,0.48571396,0.15891379,0.17709605,0.34043857,0.3462182,0.39402345,0.3655924,0.3271761,0.549944,0.29522273,0.25867534,0.3821622,0.3855159,0.44745716
E1_Friendliness,0.39514455,0.30032653,0.23941073,0.70501006,0.2541311,0.3323965,1,0.618011,0.53263897,0.27188954,0.26586992,0.34719685,0.15652642,0.26270503,0.4623498,0.34840176,0.34176028,0.2831054,0.5278703,0.5336573,0.6781808,0.47569892,0.44260824,0.5709924,0.31324026,0.30992132,0.3163755,0.20241036,0.19181523,0.26233336
E2_Gregariousness,0.3855577,0.34416234,0.28229514,0.5258416,0.35457692,0.34908575,0.618011,1,0.54886675,0.37222117,0.4093378,0.44985428,0.41480184,0.35631213,0.44850376,0.36536893,0.38910154,0.2603997,0.3067798,0.47972354,0.5309754,0.35072723,0.43889943,0.40767005,0.34075674,0.37750602,0.3580233,0.24269366,0.1841636,0.39940152
E3_Assertiveness,0.3731832,0.44092458,0.31283155,0.5874115,0.31617552,0.40758923,0.53263897,0.54886675,1,0.36027783,0.25822493,0.30298108,0.32226852,0.1858691,0.48114255,0.2577451,0.3462472,0.2756076,0.4746287,0.58749914,0.6282606,0.48587862,0.59635067,0.45915335,0.42168203,0.3318581,0.5128593,0.40829203,0.2692202,0.5045549
E4_Activity_level,0.46337077,0.44990894,0.31766608,0.3177105,0.44421092,0.4379288,0.27188954,0.37222117,0.36027783,1,0.2608046,0.40329006,0.3931846,0.11183454,0.36662546,0.5158862,0.32361037,0.11527798,0.014278052,0.39819604,0.2636264,0.21526015,0.30668172,0.15706937,0.42123026,0.48406032,0.3663606,0.5473957,0.60723317,0.49040866
E5_Excitement_Seeking,0.32185477,0.26265043,0.19113305,0.31859398,0.3490516,0.28866643,0.26586992,0.4093378,0.25822493,0.2608046,1,0.4511331,0.40619183,0.29882777,0.32316622,0.33665472,0.3136989,0.23584808,0.26902714,0.30778757,0.18980451,0.38961098,0.2771137,0.15862268,0.08709968,0.04619434,0.23894903,0.2959164,0.18934464,0.42483425
E6_Cheerfulness,0.30917442,0.4463846,0.39968908,0.4125811,0.34540534,0.35997117,0.34719685,0.44985428,0.30298108,0.40329006,0.4511331,1,0.43584716,0.22817321,0.47840163,0.30037132,0.35391158,0.22125445,0.21619508,0.40843895,0.3159261,0.3969421,0.4167625,0.29425848,0.27189898,0.1583799,0.22959824,0.269736,0.16030838,0.25536206
O1_Imagination,0.4962015,0.40646675,0.42182347,0.26480755,0.46647525,0.45709524,0.15652642,0.41480184,0.32226852,0.3931846,0.40619183,0.43584716,1,0.32559952,0.4761862,0.3701617,0.4989873,0.23585884,0.17488214,0.24627413,0.16051735,0.21074383,0.37150192,0.19525734,0.393905,0.25872585,0.28179204,0.3479339,0.24959025,0.5046766
O2_Artistic_interests,0.22804897,0.1658359,0.26142415,0.2566446,0.30049282,0.18437274,0.26270503,0.35631213,0.1858691,0.11183454,0.29882777,0.22817321,0.32559952,1,0.42239767,0.27298924,0.3534538,0.3686484,0.26175904,0.21666794,0.29845273,0.24366996,0.2576583,0.26833025,0.18125507,0.24237868,0.1684561,0.08310657,-0.03297327,0.16739565
O3_Emotionality,0.54009557,0.6026364,0.6403972,0.6087024,0.5312234,0.62434053,0.4623498,0.44850376,0.48114255,0.36662546,0.32316622,0.47840163,0.4761862,0.42239767,1,0.32258922,0.5134057,0.29171598,0.3347992,0.36901438,0.5161599,0.44242102,0.5769203,0.49249887,0.47563425,0.26850933,0.2956812,0.36521366,0.20491171,0.3693184
O4_Adventurousness,0.4501411,0.33717287,0.33591864,0.3722796,0.5234692,0.3199647,0.34840176,0.36536893,0.2577451,0.5158862,0.33665472,0.30037132,0.3701617,0.27298924,0.32258922,1,0.37411913,0.2082174,0.19801313,0.32595667,0.21582669,0.25916544,0.27844834,0.22250032,0.2704752,0.44579822,0.35797808,0.33191937,0.35573792,0.45637128
O5_Intellect,0.45380434,0.37384772,0.28311425,0.4220024,0.40438947,0.48571396,0.34176028,0.38910154,0.3462472,0.32361037,0.3136989,0.35391158,0.4989873,0.3534538,0.5134057,0.37411913,1,0.25706145,0.18481797,0.27856135,0.27632037,0.33220497,0.33564657,0.2993855,0.4928485,0.289894,0.23618352,0.25755244,0.16977063,0.38446364
O6_Liberalism,0.19349895,0.14174485,0.18242073,0.23220885,0.31481478,0.15891379,0.2831054,0.2603997,0.2756076,0.11527798,0.23584808,0.22125445,0.23585884,0.3686484,0.29171598,0.2082174,0.25706145,1,0.49254245,0.43882504,0.36610758,0.34189996,0.2152629,0.54395825,0.22850887,0.28170022,0.4151811,0.22571668,0.092858665,0.17915303
A1_Trust,0.3179737,0.10618693,0.21024233,0.447275,0.19314672,0.17709605,0.5278703,0.3067798,0.4746287,0.014278052,0.26902714,0.21619508,0.17488214,0.26175904,0.3347992,0.19801313,0.18481797,0.49254245,1,0.4554205,0.5936321,0.38400623,0.42615715,0.5614455,0.2157364,0.19925335,0.38592565,0.17898871,0.036741197,0.21449292
A2_Morality,0.36122042,0.39162514,0.2769226,0.47572628,0.3850004,0.34043857,0.5336573,0.47972354,0.58749914,0.39819604,0.30778757,0.40843895,0.24627413,0.21666794,0.36901438,0.32595667,0.27856135,0.43882504,0.4554205,1,0.54964596,0.51877207,0.42363453,0.4958363,0.45511353,0.39181417,0.61514854,0.44238257,0.32270968,0.44523317
A3_Altruism,0.3742762,0.32660258,0.32893535,0.59635854,0.25225994,0.3462182,0.6781808,0.5309754,0.6282606,0.2636264,0.18980451,0.3159261,0.16051735,0.29845273,0.5161599,0.21582669,0.27632037,0.36610758,0.5936321,0.54964596,1,0.47294763,0.56115985,0.7545997,0.34336174,0.38414374,0.33971786,0.30284217,0.2204909,0.24951376
A4_Cooperation,0.28419378,0.58299947,0.37397617,0.47625843,0.37695706,0.39402345,0.47569892,0.35072723,0.48587862,0.21526015,0.38961098,0.3969421,0.21074383,0.24366996,0.44242102,0.25916544,0.33220497,0.34189996,0.38400623,0.51877207,0.47294763,1,0.39119038,0.4552725,0.2549858,0.16591735,0.31830153,0.2994664,0.19111885,0.23865278
A5_Modesty,0.36898294,0.451334,0.48529753,0.6077049,0.32729504,0.3655924,0.44260824,0.43889943,0.59635067,0.30668172,0.2771137,0.4167625,0.37150192,0.2576583,0.5769203,0.27844834,0.33564657,0.2152629,0.42615715,0.42363453,0.56115985,0.39119038,1,0.45115903,0.39663222,0.27408734,0.36219102,0.47729573,0.24674384,0.32697728
A6_Sympathy,0.29425123,0.2698697,0.3371658,0.45345676,0.28774998,0.3271761,0.5709924,0.40767005,0.45915335,0.15706937,0.15862268,0.29425848,0.19525734,0.26833025,0.49249887,0.22250032,0.2993855,0.54395825,0.5614455,0.4958363,0.7545997,0.4552725,0.45115903,1,0.3504837,0.27947807,0.28213978,0.2675059,0.1326246,0.14751448
C1_Self-Efficacy,0.5172327,0.4154036,0.42399397,0.41067427,0.37540188,0.549944,0.31324026,0.34075674,0.42168203,0.42123026,0.08709968,0.27189898,0.393905,0.18125507,0.47563425,0.2704752,0.4928485,0.22850887,0.2157364,0.45511353,0.34336174,0.2549858,0.39663222,0.3504837,1,0.50448954,0.4116199,0.5313895,0.46956354,0.44428486
C2_Orderliness,0.37747428,0.37444395,0.24808086,0.27969632,0.29466256,0.29522273,0.30992132,0.37750602,0.3318581,0.48406032,0.04619434,0.1583799,0.25872585,0.24237868,0.26850933,0.44579822,0.289894,0.28170022,0.19925335,0.39181417,0.38414374,0.16591735,0.27408734,0.27947807,0.50448954,1,0.4303257,0.40507284,0.5111871,0.3774319
C3_Dutifulness,0.2615935,0.32081363,0.30501947,0.3837269,0.40719014,0.25867534,0.3163755,0.3580233,0.5128593,0.3663606,0.23894903,0.22959824,0.28179204,0.1684561,0.2956812,0.35797808,0.23618352,0.4151811,0.38592565,0.61514854,0.33971786,0.31830153,0.36219102,0.28213978,0.4116199,0.4303257,1,0.44821426,0.31882694,0.49260142
C4_Achievementstriving,0.3521287,0.4229337,0.41062194,0.31655997,0.43212083,0.3821622,0.20241036,0.24269366,0.40829203,0.5473957,0.2959164,0.269736,0.3479339,0.08310657,0.36521366,0.33191937,0.25755244,0.22571668,0.17898871,0.44238257,0.30284217,0.2994664,0.47729573,0.2675059,0.5313895,0.40507284,0.44821426,1,0.74048066,0.4662538
C5_SelfDiscipline,0.39304394,0.35958463,0.26288062,0.21183215,0.28359517,0.3855159,0.19181523,0.1841636,0.2692202,0.60723317,0.18934464,0.16030838,0.24959025,-0.03297327,0.20491171,0.35573792,0.16977063,0.092858665,0.036741197,0.32270968,0.2204909,0.19111885,0.24674384,0.1326246,0.46956354,0.5111871,0.31882694,0.74048066,1,0.44735345
C6_Cautiousness,0.54017985,0.41496548,0.33226335,0.40379855,0.48188102,0.44745716,0.26233336,0.39940152,0.5045549,0.49040866,0.42483425,0.25536206,0.5046766,0.16739565,0.3693184,0.45637128,0.38446364,0.17915303,0.21449292,0.44523317,0.24951376,0.23865278,0.32697728,0.14751448,0.44428486,0.3774319,0.49260142,0.4662538,0.44735345,1
