,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
N1_Anxiety,1,0.94713223,0.95827484,0.98035884,0.9652523,0.9755449,0.96392846,0.95787126,0.96247935,0.9670308,0.9379295,0.94584876,0.953504,0.9421308,0.9687884,0.9644575,0.95192707,0.9306361,0.94407475,0.9560718,0.9616758,0.9483153,0.9611186,0.9602197,0.96407884,0.96625173,0.9451742,0.9515988,0.9498897,0.95995945
N2_Anger,0.94713223,1,0.95396733,0.93884903,0.9267917,0.9322947,0.94014966,0.92539203,0.9144759,0.93099445,0.92665267,0.9298228,0.9251237,0.9059031,0.9408247,0.9211625,0.9216237,0.88549936,0.9046122,0.9138744,0.91376126,0.9391969,0.91608727,0.9080534,0.9111499,0.92565024,0.9088752,0.90003574,0.92321765,0.92521006
N3_Depression,0.95827484,0.95396733,1,0.96945584,0.95377237,0.96395165,0.959032,0.94887763,0.94765496,0.9516432,0.94807065,0.95909035,0.9507928,0.9302318,0.9739157,0.9569746,0.9430681,0.9254689,0.94032097,0.9398701,0.9477037,0.95812625,0.9631658,0.95186967,0.9457778,0.953372,0.93735605,0.94542295,0.9359658,0.94610906
N4_SelfConsciousness,0.98035884,0.93884903,0.96945584,1,0.95982,0.9770602,0.9709677,0.96257,0.9642526,0.9585244,0.9470509,0.9488043,0.94831586,0.9416166,0.97288483,0.9635274,0.95215064,0.9369648,0.94519144,0.95557463,0.9649055,0.9585938,0.96768504,0.9648401,0.95730585,0.9623774,0.9488763,0.9566218,0.94477046,0.95599765
N5_Immoderation,0.9652523,0.9267917,0.95377237,0.95982,1,0.9641172,0.948683,0.9550459,0.9582497,0.9598265,0.9458962,0.95048934,0.9547597,0.93592376,0.96104145,0.9571945,0.93428123,0.93085825,0.92827076,0.9582929,0.9478341,0.9540039,0.9553874,0.95739233,0.9626942,0.9610617,0.94929135,0.95442206,0.94782907,0.95782995
N6_Vulnerability,0.9755449,0.9322947,0.96395165,0.9770602,0.9641172,1,0.96148497,0.9552509,0.9618022,0.95573235,0.94914013,0.9530428,0.9500746,0.9278686,0.97570646,0.9603342,0.9487872,0.9289928,0.94071084,0.9561446,0.9532952,0.9589413,0.9560658,0.9589816,0.9768614,0.96360457,0.9469893,0.9625567,0.95559126,0.9608744
E1_Friendliness,0.96392846,0.94014966,0.959032,0.9709677,0.948683,0.96148497,1,0.9710516,0.9691097,0.9513696,0.95038444,0.9523485,0.94427186,0.934874,0.96385807,0.9590643,0.943648,0.92643255,0.9499632,0.9596252,0.9781882,0.9667195,0.95861095,0.96007603,0.95243716,0.95933056,0.93865716,0.9491218,0.94623107,0.9538712
E2_Gregariousness,0.95787126,0.92539203,0.94887763,0.96257,0.9550459,0.9552509,0.9710516,1,0.9667599,0.9567454,0.96431,0.956421,0.95085347,0.95730895,0.9584132,0.9696499,0.95686203,0.938433,0.9340469,0.9501874,0.96053296,0.95758814,0.9559864,0.9573812,0.9513748,0.96677023,0.94464064,0.9530872,0.951687,0.9592482
E3_Assertiveness,0.96247935,0.9144759,0.94765496,0.9642526,0.9582497,0.9618022,0.9691097,0.9667599,1,0.96291524,0.9475278,0.9538893,0.95125806,0.93974674,0.9543214,0.9629408,0.94143176,0.9412346,0.9472091,0.9800478,0.9766992,0.9688831,0.9749342,0.96697414,0.97051036,0.9672192,0.9691613,0.97325134,0.9562198,0.9708487
E4_Activity_level,0.9670308,0.93099445,0.9516432,0.9585244,0.9598265,0.95573235,0.9513696,0.9567454,0.96291524,1,0.93759817,0.9515391,0.95157176,0.925634,0.9508646,0.95876336,0.9338283,0.91800094,0.9224092,0.94982356,0.9473405,0.9425729,0.9514241,0.9407449,0.95628846,0.9676373,0.9519696,0.962433,0.9658647,0.9636847
E5_Excitement_Seeking,0.9379295,0.92665267,0.94807065,0.9470509,0.9458962,0.94914013,0.95038444,0.96431,0.9475278,0.93759817,1,0.96421516,0.95191056,0.9501213,0.9468639,0.9558788,0.9499794,0.9384712,0.93146646,0.94575334,0.9403739,0.9611062,0.9463276,0.94376624,0.9396441,0.94979286,0.9365739,0.94188994,0.93676054,0.9595515
E6_Cheerfulness,0.94584876,0.9298228,0.95909035,0.9488043,0.95048934,0.9530428,0.9523485,0.956421,0.9538893,0.9515391,0.96421516,1,0.9583132,0.9415577,0.95993847,0.94929653,0.9430331,0.92460036,0.9277868,0.9453316,0.9484271,0.9634869,0.9580544,0.9538546,0.94792867,0.9516527,0.9451272,0.95118403,0.93614495,0.95594746
O1_Imagination,0.953504,0.9251237,0.9507928,0.94831586,0.9547597,0.9500746,0.94427186,0.95085347,0.95125806,0.95157176,0.95191056,0.9583132,1,0.9479312,0.95520484,0.95176685,0.962099,0.92383856,0.93079805,0.9473847,0.9413962,0.9435776,0.95557135,0.94850415,0.94996154,0.9526832,0.93835264,0.94419926,0.94144785,0.9643848
O2_Artistic_interests,0.9421308,0.9059031,0.9302318,0.9416166,0.93592376,0.9278686,0.934874,0.95730895,0.93974674,0.925634,0.9501213,0.9415577,0.9479312,1,0.9480367,0.9527052,0.96487284,0.94897383,0.9340356,0.92795193,0.9385021,0.9301383,0.9413783,0.94789547,0.9350738,0.9439783,0.9306572,0.9280577,0.91239166,0.93538743
