,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
N1_Anxiety,1,0.7452741,0.5072573,0.6934824,0.53198916,0.86389023,0.65177596,0.55620164,0.51649266,0.67009664,0.52713215,0.5224522,0.51762223,0.3992723,0.6591703,0.4962034,0.51124877,0.38395917,0.59424204,0.4382443,0.55028856,0.6675216,0.58164054,0.6648358,0.6250254,0.49772176,0.2706588,0.5072964,0.57141024,0.71307015
N2_Anger,0.7452741,1,0.55433035,0.61199594,0.5162855,0.7557486,0.57188696,0.5088888,0.48850068,0.72928524,0.49101174,0.5557977,0.53734004,0.35669175,0.7197214,0.46899763,0.48137298,0.36189133,0.4795992,0.41527948,0.51129514,0.72582585,0.53927433,0.5816676,0.61139834,0.51901245,0.31141254,0.48612198,0.5612736,0.6759607
N3_Depression,0.5072573,0.55433035,1,0.5753027,0.52077615,0.53600067,0.49463633,0.41714147,0.31621197,0.5004172,0.38717312,0.423037,0.4320495,0.32225785,0.5492672,0.47600502,0.3391148,0.28584468,0.33752605,0.17356183,0.32840478,0.4816599,0.52582526,0.4563513,0.40298855,0.37136742,0.08931218,0.34407443,0.3717929,0.46721146
N4_SelfConsciousness,0.6934824,0.61199594,0.5753027,1,0.5640542,0.7078411,0.6604024,0.47813627,0.3895565,0.570635,0.39579827,0.378132,0.3717736,0.3251579,0.5410535,0.4819685,0.46391493,0.3405149,0.465655,0.24134643,0.40169108,0.5987266,0.54447556,0.51608425,0.49262896,0.4038329,0.13057546,0.34662494,0.45753455,0.5404414
N5_Immoderation,0.53198916,0.5162855,0.52077615,0.5640542,1,0.58499664,0.40031564,0.48115677,0.24436815,0.51599616,0.37701017,0.33660805,0.41500625,0.30667683,0.47576103,0.5275945,0.41391551,0.3015124,0.38434884,0.38974655,0.3979826,0.61825246,0.4548249,0.57524496,0.48388082,0.4008294,0.17495127,0.4233488,0.41007745,0.5414063
N6_Vulnerability,0.86389023,0.7557486,0.53600067,0.7078411,0.58499664,1,0.60488695,0.5403171,0.4907112,0.6970557,0.52059156,0.48302585,0.49671656,0.331801,0.72923356,0.4257448,0.5142957,0.41990954,0.5259704,0.41923335,0.51572156,0.7075859,0.51549906,0.62629896,0.66128504,0.46019602,0.2803106,0.47103968,0.53670007,0.6970964
E1_Friendliness,0.65177596,0.57188696,0.49463633,0.6604024,0.40031564,0.60488695,1,0.6476868,0.6083737,0.6114016,0.48666263,0.5262143,0.36323878,0.38213122,0.5985251,0.45726213,0.44092962,0.35017607,0.59226066,0.34575817,0.6560377,0.5609155,0.58191043,0.60574526,0.4846573,0.44988105,0.23658575,0.39776567,0.4690802,0.59638405
E2_Gregariousness,0.55620164,0.5088888,0.41714147,0.47813627,0.48115677,0.5403171,0.6476868,1,0.51513344,0.644404,0.69820577,0.53055334,0.4333202,0.5058449,0.5515366,0.5983226,0.56638724,0.453645,0.45684355,0.39751175,0.5797263,0.6324195,0.5624581,0.606693,0.47355816,0.5978743,0.21062605,0.40208715,0.36099645,0.5483044
E3_Assertiveness,0.51649266,0.48850068,0.31621197,0.3895565,0.24436815,0.4907112,0.6083737,0.51513344,1,0.6170616,0.44759062,0.45412028,0.4158496,0.35823426,0.5143256,0.3454701,0.45248732,0.3324717,0.5245973,0.4848067,0.67994326,0.49533594,0.6128275,0.5313163,0.59132344,0.45438534,0.49938568,0.53311014,0.5037886,0.63300633
E4_Activity_level,0.67009664,0.72928524,0.5004172,0.570635,0.51599616,0.6970557,0.6114016,0.644404,0.6170616,1,0.5385725,0.5068894,0.53142846,0.36625963,0.64732355,0.63216406,0.5457333,0.36491707,0.4659912,0.40924737,0.54187787,0.6724953,0.5219333,0.56512207,0.59569234,0.6202859,0.26079783,0.53119487,0.6615554,0.74606764
