,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
N1_Anxiety,1,0.63563114,0.5580505,0.7025756,0.48344737,0.7712592,0.49297175,0.40893272,0.45023963,0.5110566,0.40342352,0.44175097,0.5450593,0.2834534,0.645906,0.5272587,0.5102979,0.22674012,0.38899064,0.42379388,0.4440577,0.45624003,0.5064751,0.39415562,0.5709622,0.44068187,0.3260771,0.416115,0.44230723,0.56675947
N2_Anger,0.63563114,1,0.6476951,0.57461035,0.49764425,0.64137536,0.39294383,0.3661145,0.4623333,0.48084348,0.34008187,0.5374137,0.4642585,0.2076781,0.65319425,0.39146027,0.40139955,0.15816946,0.22044195,0.40094313,0.37890908,0.6361339,0.5119385,0.33271465,0.4676087,0.41905662,0.33543903,0.4323419,0.40790945,0.45402345
N3_Depression,0.5580505,0.6476951,1,0.5714236,0.5306941,0.5765257,0.35581875,0.33309358,0.40871224,0.39132932,0.28308892,0.5087963,0.48944184,0.28481796,0.69968903,0.42755517,0.3270749,0.1996894,0.3267979,0.3037694,0.41165304,0.43332142,0.6025865,0.40877283,0.40370026,0.3242891,0.33204263,0.42869303,0.29573452,0.4076399
N4_SelfConsciousness,0.7025756,0.57461035,0.5714236,1,0.42701477,0.6150902,0.7433736,0.5096636,0.6045628,0.3597317,0.4295823,0.4711238,0.3271298,0.2847566,0.6525681,0.44890204,0.4312602,0.23433335,0.4771621,0.49111244,0.6417368,0.60471547,0.68149865,0.50385916,0.43688986,0.34235927,0.3795206,0.3913738,0.29045963,0.47533095
N5_Immoderation,0.48344737,0.49764425,0.5306941,0.42701477,1,0.44362104,0.26397032,0.34913665,0.31859624,0.46843046,0.3645426,0.37226343,0.47343928,0.27323622,0.51949084,0.57015693,0.3979887,0.25336605,0.21838263,0.40985477,0.25116938,0.37862608,0.36886838,0.2756268,0.3594912,0.35157374,0.39963052,0.4357282,0.2933047,0.5016472
N6_Vulnerability,0.7712592,0.64137536,0.5765257,0.6150902,0.44362104,1,0.42886314,0.3772427,0.4572652,0.4796278,0.35958496,0.42500463,0.51034355,0.18000641,0.6605131,0.3932895,0.522745,0.16052799,0.2771361,0.33541495,0.38386008,0.47370064,0.45163998,0.3636664,0.6062211,0.35585013,0.30265132,0.42045975,0.42835814,0.5063777
E1_Friendliness,0.49297175,0.39294383,0.35581875,0.7433736,0.26397032,0.42886314,1,0.6214962,0.52772385,0.31613797,0.36069304,0.42035165,0.22506428,0.2654646,0.50807,0.43483275,0.3560936,0.24621738,0.53861624,0.44383615,0.7220703,0.56595236,0.51235294,0.5805075,0.3249615,0.32525292,0.25725925,0.24317555,0.24792852,0.27669322
E2_Gregariousness,0.40893272,0.3661145,0.33309358,0.5096636,0.34913665,0.3772427,0.6214962,1,0.49892902,0.37574917,0.48595253,0.51074624,0.41231492,0.35079253,0.45849347,0.42509425,0.34129056,0.24830359,0.34418356,0.39333323,0.5558472,0.39275777,0.45453537,0.41679272,0.28643367,0.35392642,0.2882785,0.25485757,0.2189064,0.33012694
E3_Assertiveness,0.45023963,0.4623333,0.40871224,0.6045628,0.31859624,0.4572652,0.52772385,0.49892902,1,0.38998377,0.3275168,0.38344148,0.36224446,0.23151626,0.5406263,0.32028463,0.38810974,0.32776418,0.5561791,0.5984827,0.6524527,0.527721,0.62687504,0.48220548,0.5003879,0.37850344,0.51983607,0.49152437,0.34738043,0.5865574
E4_Activity_level,0.5110566,0.48084348,0.39132932,0.3597317,0.46843046,0.4796278,0.31613797,0.37574917,0.38998377,1,0.28740534,0.48726824,0.42706674,0.1017847,0.4196258,0.48572206,0.37026533,0.063250445,0.074073955,0.39244002,0.28124157,0.26699382,0.34650427,0.13764353,0.51328605,0.51913744,0.36801603,0.587083,0.6487145,0.48567343
