,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
N1_Anxiety,1,0.8820112,0.8283517,0.89090085,0.78938097,0.9272143,0.8417593,0.7877145,0.7978085,0.8581879,0.7818149,0.8094256,0.8228826,0.75432533,0.86331254,0.8137135,0.81853324,0.7649063,0.80944926,0.7699572,0.82379067,0.840947,0.8197576,0.83005065,0.83343863,0.8184842,0.78276426,0.797933,0.81706214,0.8539564
N2_Anger,0.8820112,1,0.8467611,0.8554966,0.8160341,0.87072927,0.8269197,0.7655462,0.7889383,0.85454875,0.77392405,0.8394516,0.8192844,0.7342624,0.87310654,0.7643123,0.7752005,0.7390883,0.77924246,0.7746063,0.81511724,0.89980584,0.8026795,0.7941566,0.8204942,0.8157226,0.79199195,0.77295536,0.80282766,0.8275859
N3_Depression,0.8283517,0.8467611,1,0.83076215,0.79054695,0.826514,0.8163418,0.76409227,0.7753802,0.81487495,0.7369864,0.83229685,0.81691647,0.7463083,0.8516253,0.76989865,0.7492703,0.73561877,0.77378273,0.72831583,0.7982179,0.7955708,0.8366559,0.80217654,0.8184187,0.78288126,0.76468414,0.7935569,0.7599986,0.77212065
N4_SelfConsciousness,0.89090085,0.8554966,0.83076215,1,0.78802246,0.8678322,0.9043344,0.8059424,0.86002207,0.8301698,0.7898629,0.8247777,0.8259742,0.7460564,0.85649276,0.78251517,0.83442044,0.7781374,0.84786415,0.7930694,0.862654,0.8755165,0.88815415,0.8344825,0.8306504,0.78753287,0.78538734,0.7988716,0.80127907,0.8286896
N5_Immoderation,0.78938097,0.8160341,0.79054695,0.78802246,1,0.79746866,0.7430153,0.7747781,0.7343727,0.82311225,0.7677424,0.7832584,0.7921414,0.7257966,0.7710113,0.7800791,0.7542374,0.7248596,0.7406797,0.7799021,0.746744,0.811967,0.7573268,0.7356352,0.8008718,0.7964901,0.78494805,0.75604546,0.7817472,0.80383813
N6_Vulnerability,0.9272143,0.87072927,0.826514,0.8678322,0.79746866,1,0.8131712,0.7813044,0.81308806,0.858545,0.7573777,0.78564763,0.80753195,0.7346008,0.8816391,0.75882137,0.8060159,0.7572383,0.7887442,0.7522264,0.81081086,0.8494072,0.8040287,0.80755454,0.8434053,0.7945177,0.78564656,0.79710853,0.84005415,0.85046387
E1_Friendliness,0.8417593,0.8269197,0.8163418,0.9043344,0.7430153,0.8131712,1,0.8400048,0.85942125,0.81910014,0.7890742,0.8357569,0.79085404,0.7622024,0.8386326,0.7913483,0.7978286,0.74111795,0.8518434,0.7847836,0.90458477,0.84741265,0.8575661,0.8365318,0.7790194,0.75564843,0.77428573,0.7812911,0.77146006,0.8014874
E2_Gregariousness,0.7877145,0.7655462,0.76409227,0.8059424,0.7747781,0.7813044,0.8400048,1,0.8191654,0.80648035,0.8601829,0.8204425,0.7922831,0.79437923,0.8111244,0.8013409,0.78819,0.7832847,0.8153934,0.78080416,0.8363691,0.82943493,0.81666696,0.7723695,0.76648724,0.780702,0.7690489,0.74424875,0.7565726,0.8024904
E3_Assertiveness,0.7978085,0.7889383,0.7753802,0.86002207,0.7343727,0.81308806,0.85942125,0.8191654,1,0.84029263,0.78141236,0.7936457,0.7877039,0.73153013,0.8137111,0.7636411,0.7746967,0.7840364,0.8524144,0.8201269,0.89964783,0.8463846,0.88018596,0.8155662,0.8363831,0.7533425,0.84028673,0.8330579,0.8044202,0.8531436
E4_Activity_level,0.8581879,0.85454875,0.81487495,0.8301698,0.82311225,0.858545,0.81910014,0.80648035,0.84029263,1,0.78369594,0.8073764,0.82617915,0.73760736,0.8203701,0.81148034,0.7964294,0.7406834,0.77079624,0.7923624,0.8424878,0.84971356,0.8186959,0.7734966,0.8316618,0.8084884,0.8188939,0.8340798,0.87434727,0.87750906
E5_Excitement_Seeking,0.7818149,0.77392405,0.7369864,0.7898629,0.7677424,0.7573777,0.7890742,0.8601829,0.78141236,0.78369594,1,0.8049485,0.7905394,0.8265039,0.79876554,0.8054593,0.7717185,0.7841686,0.79350674,0.7831171,0.7893165,0.8121349,0.7917475,0.7648819,0.7378386,0.7291333,0.7623445,0.75253904,0.72449267,0.80853355
E6_Cheerfulness,0.8094256,0.8394516,0.83229685,0.8247777,0.7832584,0.78564763,0.8357569,0.8204425,0.7936457,0.8073764,0.8049485,1,0.82925,0.7580128,0.8505567,0.75533867,0.76369107,0.742465,0.7883207,0.77888334,0.8277796,0.81031775,0.80637133,0.7774259,0.79837686,0.7719841,0.77345043,0.76864696,0.74083745,0.8080281
O1_Imagination,0.8228826,0.8192844,0.81691647,0.8259742,0.7921414,0.80753195,0.79085404,0.7922831,0.7877039,0.82617915,0.7905394,0.82925,1,0.77270854,0.83096194,0.7889258,0.8301594,0.7553175,0.7776906,0.76288235,0.7721225,0.79105234,0.80829716,0.7613379,0.80470586,0.772531,0.77241355,0.7919811,0.7874922,0.82439566
O2_Artistic_interests,0.75432533,0.7342624,0.7463083,0.7460564,0.7257966,0.7346008,0.7622024,0.79437923,0.73153013,0.73760736,0.8265039,0.7580128,0.77270854,1,0.78432584,0.7994747,0.80290836,0.80697644,0.7768683,0.7308448,0.75707865,0.75705665,0.7777646,0.78480405,0.72100556,0.74359304,0.72284466,0.7331679,0.7006093,0.7440972
O3_Emotionality,0.86331254,0.87310654,0.8516253,0.85649276,0.7710113,0.8816391,0.8386326,0.8111244,0.8137111,0.8203701,0.79876554,0.8505567,0.83096194,0.78432584,1,0.7608442,0.80411285,0.78090996,0.81033516,0.7501255,0.84041286,0.8399644,0.83750373,0.8437484,0.79981995,0.7647659,0.76774,0.7912153,0.76180196,0.80306906
O4_Adventurousness,0.8137135,0.7643123,0.76989865,0.78251517,0.7800791,0.75882137,0.7913483,0.8013409,0.7636411,0.81148034,0.8054593,0.75533867,0.7889258,0.7994747,0.7608442,1,0.79603654,0.76605755,0.7858453,0.7465685,0.7864344,0.79012054,0.7854929,0.76884615,0.7447566,0.7920195,0.7758528,0.783051,0.7871064,0.8421567
