"","prom_load_item_labeled","C_distilroberta","N_distilroberta","O_distilroberta","E_distilroberta","A_distilroberta","C_miniLME_miniLMN_miniLM","O_miniLMA_miniLM","MR1_item_miniLM","MR4_item_miniLM","MR3_item_miniLM","N_mpnet","C_mpnet","A_mpnet","O_mpnet","E_mpnet","N_t5","C_t5","E_t5A_t5","O_t5","MR3_item_t5","C_psych","O_psychE_psych","N_psych","A_psych","MR5_item_psych","N_use_dan","C_use_dan","O_use_danE_use_dan","MR2_item_use_dan","A_use_dan","C_avg_trans","N_avg_trans","A_avg_trans","O_avg_trans","E_avg_trans"
"Imagination",NA,0.024,0.205,0.738,-0.216,-0.01,0.404,0.367,0.175,0.121,0.064,0.273,0.144,-0.097,0.572,-0.178,0.351,0.244,0.029,0.383,0.065,0.243,0.826,-0.028,0.029,-0.144,0.324,0.064,0.543,-0.142,-0.036,0.186,0.182,-0.038,0.698,-0.128
"Artistic.Interests",NA,-0.382,0.059,0.663,0.083,0.124,0.492,0.455,0.06,0.031,0.077,0.033,-0.252,0.188,0.694,0.12,0.163,0.016,0.231,0.609,0.023,-0.223,0.639,0.115,0.19,0.084,-0.118,-0.111,0.72,-0.001,0.144,-0.227,0.078,0.232,0.721,0.06
"Emotionality",NA,-0.135,0.837,0.094,-0.025,0.112,0.392,0.414,0.078,0.198,0.026,0.734,-0.122,0.108,0.165,0.025,0.684,0.028,0.179,0.136,0.013,-0.003,0.331,0.469,0.234,-0.058,0.606,-0.208,0.171,0.052,0.171,-0.061,0.697,0.13,0.194,0.008
"Adventurousness",NA,0.221,0.029,0.569,-0.015,0.072,0.433,0.385,0.166,0.078,0.045,0.073,0.002,0.029,0.627,0.057,0.237,0.29,0.062,0.442,-0.005,0.265,0.452,0.123,0.009,0.131,0.092,0.151,0.38,0.157,-0.107,0.235,0.096,0.057,0.529,0.025
"Intellect",NA,0.133,0.242,0.406,-0.118,0.085,0.442,0.413,0.121,0.078,0.086,0.231,0.182,0.108,0.344,-0.159,0.257,0.201,0.151,0.428,-0.011,0.387,0.746,-0.112,-0.081,-0.044,0.438,0.117,0.23,-0.032,-0.02,0.282,0.103,0.025,0.524,-0.037
"Liberalism",NA,0.01,-0.048,0.1,-0.198,0.806,0.161,0.719,0.128,0.021,0.037,-0.142,-0.149,0.891,0.182,-0.15,0.039,0.237,0.473,0.316,-0.135,0.093,-0.014,-0.078,0.898,-0.114,-0.022,0.117,-0.023,-0.205,0.724,0.056,-0.05,0.864,0.176,-0.208
"Self.Efficacy",NA,0.739,0.23,-0.112,-0.14,0.16,0.339,0.373,0.277,0.087,0.02,0.209,0.629,0.315,-0.032,-0.216,0.258,0.517,0.218,0.074,-0.05,0.879,0.028,0.132,0.022,-0.149,0.21,0.684,-0.041,0,0.005,0.772,0.176,0.149,-0.018,-0.127
"Orderliness",NA,0.57,0.127,-0.006,0.139,-0.102,0.326,0.398,0.244,0.11,0.022,0.092,0.26,0.085,0.314,0.145,0.27,0.468,0.146,0.163,-0.044,0.505,0.04,0.315,-0.08,0.104,0.225,0.443,0.132,-0.066,0.073,0.506,0.194,0.028,0.11,0.082
"Dutifulness",NA,0.563,-0.1,0.025,-0.043,0.381,0.38,0.384,0.287,0.01,-0.019,-0.156,0.512,0.425,0.072,0.055,0.049,0.539,0.369,0.08,0.007,0.619,-0.11,-0.076,0.409,0.113,-0.144,0.747,0.035,-0.104,0.289,0.592,-0.065,0.411,0.01,0
"Achievement.Striving",NA,0.835,0.119,-0.141,-0.143,0.109,0.275,0.409,0.308,0.085,0.008,-0.039,0.842,0.2,-0.047,-0.1,0.17,0.616,0.212,0.037,0.005,0.862,0.104,-0.082,0.178,-0.156,0.015,0.762,-0.113,0.04,0.094,0.853,0.043,0.157,-0.022,-0.109
