"","prom_load_sent_labeled","N_distilroberta","C_distilroberta","A_distilroberta","O_distilroberta","E_distilroberta","C_miniLME_miniLM","N_miniLM","A_miniLM","O_miniLM","MR3_sent_miniLM","N_mpnet","O_mpnetE_mpnet","C_mpnetA_mpnet","MR5_sent_mpnet","MR4_sent_mpnet","C_t5","A_t5","N_t5","O_t5E_t5","MR5_sent_t5","O_psychC_psychE_psych","A_psychN_psych","MR3_sent_psych","MR5_sent_psych","MR4_sent_psych","O_use_danN_use_dan","A_use_dan","MR3_sent_use_dan","C_use_dan","E_use_dan","N_avg_trans","O_avg_transE_avg_trans","C_avg_trans","A_avg_trans","MR5_sent_avg_trans"
"Imagination",NA,0.32,0.085,-0.014,0.599,-0.211,0.3,0.28,0.115,0.329,0.063,0.59,0.276,-0.031,-0.208,0.056,0.306,0.029,0.208,0.408,-0.064,1.043,-0.049,-0.054,-0.058,-0.017,0.514,-0.145,0.051,0.016,0.275,0.039,0.683,0.282,-0.055,-0.067
"Artistic.Interests",NA,-0.024,-0.302,0.194,0.65,0.086,0.114,0.16,0.181,0.58,0.035,-0.13,0.738,0.055,0.004,-0.074,-0.013,0.061,0.06,0.864,0.104,0.816,0.26,-0.085,0.018,-0.159,0.041,0.321,0.174,-0.055,0.098,-0.02,0.889,-0.192,0.16,-0.009
"Emotionality",NA,0.82,-0.165,0.082,0.155,0.009,0.181,0.442,0.223,0.222,-0.017,0.813,0.076,-0.099,0.106,-0.109,0.077,0.116,0.611,0.197,0.013,0.804,0.153,-0.106,0.213,-0.018,0.325,0.285,-0.019,0.082,0.001,0.368,0.41,0.146,-0.125,0.207
"Adventurousness",NA,-0.125,0.288,-0.064,0.641,0.135,0.276,0.263,0.217,0.305,0,-0.319,0.858,-0.144,0.115,0.441,0.331,0.037,0.022,0.555,-0.032,1.034,-0.025,-0.049,-0.057,0.025,-0.011,0.006,0.152,0.019,0.365,0.011,0.737,0.247,-0.052,-0.055
"Intellect",NA,0.282,-0.04,0.046,0.477,-0.003,0.153,0.253,0.143,0.503,0.006,0.044,0.587,-0.046,0.041,0.115,0.109,0.084,0.204,0.579,0.035,1.02,-0.007,-0.088,-0.02,0.017,0.424,0.117,-0.155,0.166,0.049,0.013,0.727,0.141,-0.057,0.065
"Liberalism",NA,-0.175,-0.064,0.713,0.254,-0.155,0.17,0.014,0.43,0.427,0.006,0.179,0.331,0.099,0.048,-0.081,0.125,0.396,-0.025,0.522,0.178,-0.152,0.878,0.236,-0.213,-0.134,-0.159,0.343,0.009,0.055,0.161,0.316,0.224,-0.214,0.565,-0.124
"Self.Efficacy",NA,0.39,0.588,0.111,-0.146,-0.112,0.486,0.197,0.234,0.157,-0.043,0.283,-0.183,0.63,0.052,0.303,0.57,0.247,0.248,-0.062,0.048,0.839,-0.058,0.1,0.039,0.338,0.023,-0.132,0.412,0.71,-0.234,0.044,0.024,0.701,0.136,0.103
"Orderliness",NA,-0.083,0.618,-0.057,0.065,0.241,0.406,0.249,0.187,0.223,-0.011,0.074,0.682,0.065,-0.091,0.16,0.582,0.025,0.175,0.186,0.04,0.468,0.661,0.088,-0.055,0.146,0.321,-0.128,0.145,0.255,0.108,0.302,0.215,0.294,0.177,-0.048
"Dutifulness",NA,-0.111,0.513,0.509,-0.019,-0.15,0.468,0.059,0.343,0.156,0.051,-0.124,-0.165,1.061,-0.272,0.111,0.565,0.51,-0.142,0.058,0.004,0.218,0.496,0.495,0.037,0.145,-0.163,0.039,0.66,0.079,0.164,-0.047,-0.115,0.421,0.769,-0.098
"Achievement.Striving",NA,0.12,0.718,0.156,-0.067,-0.102,0.561,0.103,0.285,0.105,-0.01,0.06,-0.057,0.573,0.081,0.466,0.543,0.376,0.067,0.026,0.074,0.811,0.023,0.115,0.124,0.202,-0.055,0.049,0.141,0.641,-0.089,0.001,0.068,0.694,0.204,0.043
