"","targ_load_item_labeled","N_distilroberta","A_distilroberta","C_distilroberta","E_distilroberta","O_distilroberta","O_miniLM","N_miniLM","E_miniLMA_miniLM","C_miniLM","ML3_item_miniLM","A_mpnet","E_mpnet","C_mpnet","N_mpnet","O_mpnet","C_t5","A_t5","E_t5","N_t5","O_t5","A_psych","C_psych","N_psych","O_psychE_psych","ML1_item_psych","A_use_dan","N_use_dan","C_use_dan","O_use_danE_use_dan","ML1_item_use_dan","A_avg_trans","C_avg_trans","N_avg_trans","E_avg_trans","O_avg_trans"
"Imagination",NA,0.238,-0.164,0.026,0.158,0.597,0.661,0.251,-0.159,0.298,-0.014,-0.229,0.07,0.212,0.361,0.418,0.118,-0.223,0.305,0.271,0.497,-0.029,0.018,0.285,0.743,0.188,-0.098,0.389,0.124,0.416,0.148,-0.2,0.122,0.222,0.186,0.574
"Artistic.Interests",NA,0.074,0.075,-0.355,0.276,0.492,0.81,0.038,0.196,0.094,-0.174,0.107,0.279,-0.126,0.111,0.43,-0.316,0.039,0.317,-0.053,0.966,0.204,-0.269,0.221,0.537,0.431,0.199,0.026,-0.108,0.542,-0.012,0.127,-0.268,0.051,0.33,0.596
"Emotionality",NA,0.734,0.176,-0.11,-0.14,0.361,0.552,0.605,0.086,-0.226,0.029,0.132,-0.089,-0.102,0.669,0.444,-0.195,0.11,-0.054,0.758,0.369,0.235,-0.091,0.566,0.184,0.309,0.266,0.599,-0.134,0.071,0.278,0.141,-0.113,0.685,-0.077,0.335
"Adventurousness",NA,0.092,0.011,0.182,0.298,0.362,0.5,0.167,0.044,0.298,0.055,-0.059,0.322,0.092,0.192,0.256,0.136,-0.184,0.255,0.135,0.624,0.038,0.218,0.237,0.435,0.333,0.02,0.051,0.108,0.487,0.215,-0.037,0.153,0.14,0.332,0.337
"Intellect",NA,0.259,0.006,0.121,0.099,0.357,0.817,0.162,-0.102,0.243,-0.127,0.019,-0.012,0.286,0.334,0.17,0.054,-0.012,0.126,0.185,0.619,-0.096,0.192,0.137,0.73,0.24,-0.032,0.448,0.182,0.176,0.241,-0.073,0.23,0.197,0.253,0.282
"Liberalism",NA,-0.111,0.619,0.151,-0.329,0.435,0.859,-0.378,0.427,0.139,-0.066,0.693,-0.265,0.046,-0.087,0.343,0.173,0.508,-0.385,-0.042,0.715,0.822,0.088,-0.041,-0.026,-0.073,0.593,0.172,0.092,-0.284,-0.208,0.719,0.139,-0.095,-0.292,0.392
"Self.Efficacy",NA,0.232,0.169,0.674,-0.095,0.03,0.296,0.099,-0.039,0.551,0.234,0.26,-0.213,0.637,0.246,0.115,0.638,0.179,-0.124,0.274,0.039,0.018,0.723,0.27,0.06,-0.142,0.043,0.185,0.67,0.009,0.049,0.123,0.726,0.243,-0.093,-0.018
"Orderliness",NA,0.173,0.023,0.459,0.261,-0.141,0.335,0.194,-0.01,0.398,0.21,0.101,0.255,0.27,0.166,0.119,0.488,0.039,0.01,0.255,0.192,-0.013,0.475,0.338,0.075,0.151,0.094,0.284,0.429,0.057,0.023,0.044,0.428,0.236,0.203,0.004
"Dutifulness",NA,-0.103,0.324,0.541,0.007,0.137,0.029,-0.141,0.308,0.64,0.342,0.418,0.133,0.472,-0.202,0.124,0.706,0.373,0.103,-0.128,-0.065,0.448,0.611,-0.076,0.078,-0.076,0.275,-0.066,0.71,-0.037,-0.24,0.383,0.566,-0.149,0.039,0.121
"Achievement.Striving",NA,0.158,0.103,0.784,-0.082,-0.06,0.238,0.037,-0.01,0.601,0.295,0.199,0.061,0.744,-0.06,-0.014,0.8,0.173,0.035,0.112,-0.127,0.159,0.71,0.064,0.166,-0.173,0.195,-0.025,0.682,-0.031,-0.033,0.127,0.796,0.038,-0.033,0.024
"Self.Discipline",NA,0.116,-0.108,0.835,0.222,-0.296,-0.049,0.202,-0.298,0.935,0.436,-0.157,0.221,0.781,0.1,-0.185,0.821,0.005,0.104,0.19,-0.137,-0.142,0.887,0.132,0.102,-0.141,-0.17,0.075,0.852,0.02,0.058,-0.126,0.86,0.119,0.191,-0.159
"Cautiousness",NA,-0.065,-0.038,0.407,0.318,0.376,0.123,0.016,0.036,0.696,0.299,0.027,0.315,0.439,0.018,0.228,0.618,0.028,0.262,-0.004,0.091,0.052,0.474,0.148,0.441,0.042,-0.078,0.157,0.481,0.388,0.08,-0.024,0.458,-0.04,0.275,0.32
"Friendliness",NA,0.054,0.459,-0.15,0.755,-0.287,-0.224,0.344,0.629,0.005,0.456,0.36,0.784,-0.191,0.224,-0.303,-0.301,0.549,0.795,0.115,-0.172,0.163,0.13,0.023,0.537,0.668,0.401,-0.177,-0.162,0.631,0.757,0.341,-0.17,0.113,0.933,-0.28
"Gregariousness",NA,-0.018,0.137,-0.132,0.876,-0.042,0.145,0.157,0.311,0.3,0.215,0.1,0.942,-0.033,-0.111,-0.071,-0.172,0.202,0.857,-0.136,0.233,0.168,0.038,-0.176,0.8,0.726,0.207,-0.153,-0.022,0.783,0.309,0.123,-0.112,-0.11,0.962,0.062
"Assertiveness",NA,-0.173,0.428,0.375,0.414,-0.03,-0.127,-0.068,0.553,0.41,0.444,0.309,0.312,0.491,-0.065,-0.093,0.361,0.442,0.533,-0.096,-0.247,0.396,0.402,-0.183,0.421,0.271,0.341,-0.262,0.426,0.38,0.16,0.376,0.405,-0.153,0.424,-0.065
"Activity.Level",NA,0.157,-0.186,0.591,0.401,-0.044,-0.033,0.413,-0.096,0.515,0.409,-0.203,0.503,0.45,0.145,-0.019,0.43,-0.164,0.354,0.32,0.055,-0.177,0.553,0.113,0.455,0.252,-0.184,0.266,0.394,0.282,0.277,-0.226,0.536,0.141,0.454,0.03
"Excitement.Seeking",NA,-0.028,-0.094,-0.021,0.536,0.449,0.189,0.133,0.226,0.428,0.111,-0.153,0.797,0.066,-0.175,0.368,0.052,-0.037,0.653,-0.186,0.49,0.107,0.076,0.036,0.693,0.332,-0.024,0.019,0.062,0.799,0.043,-0.095,-0.02,-0.182,0.631,0.59
"Cheerfulness",NA,0.195,0.043,-0.083,0.402,0.297,0.136,0.402,0.211,0.189,0.17,0.077,0.382,-0.053,0.151,0.36,0.008,0.002,0.593,0.151,0.216,0.038,0.044,0.057,0.682,0.427,-0.031,0.205,-0.13,0.732,0.157,-0.004,-0.078,0.041,0.542,0.408
"Trust",NA,-0.132,0.819,0.007,-0.088,0.335,0.252,0.055,0.759,-0.135,0.149,0.639,0.04,0.03,0.145,0.079,0.055,0.759,-0.016,-0.013,0.199,0.837,-0.024,-0.012,0.076,0.117,0.72,0.05,-0.111,0.066,0.12,0.778,-0.005,0.003,-0.004,0.171
