"","targ_load_item_rev_labeled","E_distilroberta","N_distilroberta","C_distilroberta","A_distilroberta","O_distilroberta","C_miniLMN_miniLM","A_miniLM","E_miniLM","ML2_item_miniLM","O_miniLM","E_mpnet","O_mpnet","A_mpnet","N_mpnet","C_mpnet","N_t5","A_t5","C_t5","E_t5","O_t5","E_psych","N_psych","C_psych","O_psychA_psych","ML4_item_psych","E_use_dan","C_use_dan","N_use_dan","O_use_dan","A_use_dan","E_avg_trans","N_avg_trans","C_avg_trans","O_avg_transA_avg_trans","ML4_item_avg_trans"
"Imagination",NA,0.229,0.311,0.029,-0.078,0.685,-0.573,0.597,0.181,0.065,0.236,0.144,0.604,0.028,0.429,0.335,0.432,-0.296,0.268,0.393,0.344,0.649,0.161,0.024,0.219,0.216,0.41,0.234,0.073,0.373,-0.297,0.558,0.443,0.136,0.337,0.095
"Artistic.Interests",NA,0.325,-0.187,0.15,-0.039,0.457,0.019,0.268,0.269,0.257,0.567,0.329,0.385,0.12,-0.149,0.353,0.024,0.01,0.427,0.199,0.688,0.435,-0.086,0.122,0.434,0.288,0.178,0.284,0.024,0.385,0.087,0.442,-0.04,0.268,0.499,0.219
"Emotionality",NA,0.17,0.419,0.37,0.074,0.484,-0.113,0.214,0.176,0.447,0.553,0.046,0.698,-0.004,0.209,0.023,0.551,0.453,0.278,0.326,0.443,0.061,0.409,0.384,0.49,0.183,0.049,0.381,0.213,0.609,-0.403,-0.037,0.479,0.406,0.711,0.045
"Adventurousness",NA,0.369,-0.071,0.104,0.318,0.252,0.431,-0.151,-0.13,-0.149,0.401,-0.004,0.732,0.389,0.045,0.09,-0.096,0.196,-0.205,0.07,0.646,0.511,-0.144,-0.186,0.54,0.342,0.205,0.131,-0.184,0.377,0.186,0.362,-0.145,-0.193,0.688,0.336
"Intellect",NA,0.532,0.065,0.173,0.122,0.401,0.22,0.306,0.321,0.097,0.374,0.009,0.447,0.132,-0.083,0.183,0.046,0.079,0.183,0.445,0.622,0.428,0.017,0.296,0.477,0.149,0.395,0.23,0.021,0.286,0.191,0.393,0.007,0.18,0.557,0.103
"Liberalism",NA,0.197,-0.157,-0.239,0.336,0.016,0.378,-0.348,-0.263,-0.109,0.235,0.026,0.053,0.28,0.07,-0.282,-0.206,0.414,-0.31,-0.191,0.242,0.061,-0.329,-0.444,0.299,0.327,0.056,-0.331,-0.249,0.203,0.099,0.072,-0.241,-0.404,0.317,0.255
"Self.Efficacy",NA,0.161,-0.277,0.599,0.061,0.104,-0.371,0.2,0.342,0.237,-0.111,0.234,0.2,-0.173,-0.358,0.304,-0.31,0.046,0.612,0.458,-0.132,0.217,-0.435,0.683,0.022,-0.096,0.078,0.333,-0.018,0.229,0.07,0.234,-0.319,0.644,-0.045,-0.141
"Orderliness",NA,0.266,-0.126,0.307,-0.256,-0.05,0.408,0.134,0.475,0.508,0.355,0.143,0.091,-0.121,-0.286,0.14,0.086,0.069,0.244,0.188,0.378,0.043,-0.066,0.602,-0.065,0.156,0.285,0.185,-0.105,0.213,0.374,0.106,-0.137,0.379,0.233,-0.109
"Dutifulness",NA,-0.311,-0.22,0.64,0.105,0.317,0.104,0.47,-0.192,0.507,0.276,-0.171,0.097,0.352,-0.235,0.551,-0.066,0.366,0.984,-0.494,0.269,-0.23,-0.309,0.582,0.099,0.191,-0.147,0.351,0.061,-0.047,-0.109,-0.291,-0.076,0.767,0.072,0.445
"Achievement.Striving",NA,0.216,0.165,0.515,-0.297,0.118,-0.389,0.215,0.357,0.248,-0.184,0.238,0.064,-0.401,-0.161,0.474,0.064,-0.398,0.305,0.466,-0.131,0.301,0.066,0.771,-0.174,-0.422,0.355,0.126,0.18,0.157,-0.098,0.26,0.058,0.488,-0.074,-0.362
