"","targ_load_sent_labeled","N_distilroberta","A_distilroberta","C_distilroberta","E_distilroberta","O_distilroberta","A_miniLM","C_miniLM","N_miniLM","O_miniLM","E_miniLM","N_mpnet","A_mpnet","C_mpnet","O_mpnet","E_mpnet","C_t5","E_t5","O_t5","A_t5","N_t5","N_psych","E_psych","C_psych","A_psych","O_psych","O_use_danN_use_dan","A_use_dan","C_use_dan","E_use_dan","ML1_item_use_dan","N_avg_trans","A_avg_trans","C_avg_trans","E_avg_trans","O_avg_trans"
"Imagination",NA,0.245,-0.181,0.042,0.06,0.64,-0.124,0.259,0.107,0.491,0.26,0.108,-0.003,0.251,0.397,0.184,0.132,0.195,0.328,0.116,0.443,0.055,-0.051,0.084,0.107,0.509,0.414,-0.161,0.139,0.376,0.247,0.096,-0.095,0.151,0.005,0.649
"Artistic.Interests",NA,-0.04,0.075,-0.346,0.146,0.71,-0.04,-0.03,-0.108,1.073,0.084,-0.149,0.348,-0.072,0.41,0.513,-0.304,0.01,0.881,0.313,0.233,-0.147,0.027,-0.307,0.321,0.835,0.075,0.396,-0.038,0.139,0.106,-0.222,0.188,-0.255,0.161,0.864
"Emotionality",NA,0.674,0.206,-0.14,-0.101,0.329,0.043,-0.055,0.608,0.37,0.029,0.472,0.182,-0.027,0.409,0.086,0.097,0.217,0.52,-0.024,0.382,0.226,0,-0.206,0.297,0.608,0.247,0.255,0.055,0.127,0.274,0.527,0.265,-0.224,-0.11,0.421
"Adventurousness",NA,-0.019,-0.215,0.118,0.463,0.496,0.008,0.201,0.207,0.468,0.114,-0.053,-0.129,0.358,0.298,0.661,0.041,0.203,0.344,0.235,0.374,0.184,0.111,-0.071,-0.007,0.468,0.113,0.021,0.106,0.303,0.128,-0.049,-0.242,0.158,0.405,0.538
"Intellect",NA,0.279,-0.048,-0.112,0.151,0.491,-0.173,0.035,0.132,0.941,0.05,0.042,0.067,0.154,0.355,0.43,-0.147,0.276,0.538,0.183,0.33,0.151,0.028,-0.007,0,0.5,0.38,0.069,0.159,0.005,0.301,0.124,-0.029,-0.011,0.157,0.553
"Liberalism",NA,-0.321,0.506,0.064,-0.063,0.414,0.433,0.111,-0.313,0.735,0.009,0.105,0.285,-0.034,0.346,0.178,0.187,-0.327,0.775,0.531,-0.062,0.064,-0.104,0.005,0.224,0.562,-0.124,0.31,0.005,0.186,0.259,-0.095,0.405,-0.005,-0.088,0.527
"Self.Efficacy",NA,0.335,0.158,0.585,-0.016,-0.101,-0.019,0.616,0.193,0.176,0.031,0.194,0.253,0.632,-0.048,-0.175,0.679,0.062,0.004,0.154,0.287,0.391,0.1,0.567,0.009,-0.138,0.022,-0.055,0.984,-0.282,-0.076,0.341,0.126,0.652,-0.045,-0.188
"Orderliness",NA,0.019,0.012,0.518,0.353,-0.073,-0.072,0.451,0.226,0.301,0.096,-0.088,0.084,0.29,0.476,0.504,0.507,-0.045,0.216,0.074,0.42,0.094,-0.06,0.321,0.026,0.218,0.351,-0.123,0.41,0.07,0.084,-0.06,-0.114,0.452,0.299,0.238
"Dutifulness",NA,-0.176,0.373,0.547,0.022,0.062,0.35,0.636,-0.255,0.022,0.242,-0.344,0.547,0.564,-0.108,-0.278,0.755,-0.065,-0.071,0.581,-0.022,-0.169,-0.047,0.787,0.665,-0.208,-0.11,0.187,0.33,0.344,-0.111,-0.272,0.57,0.722,-0.117,-0.119
"Achievement.Striving",NA,0.038,0.168,0.77,0.068,-0.083,0.134,0.753,-0.01,0.004,0.115,0.075,0.121,0.768,-0.105,-0.027,0.65,0.035,-0.001,0.376,0.115,0.169,0.097,0.566,0.142,-0.085,-0.01,0.005,0.782,-0.201,0.124,0.018,0.075,0.79,0.114,-0.131
