"","O_emp","C_emp","E_emp","A_emp","N_emp","MR1_item_rev_distilroberta","MR3_item_rev_distilroberta","MR2_item_rev_distilroberta","MR5_item_rev_distilroberta","MR4_item_rev_distilroberta","MR1_item_rev_miniLM","MR2_item_rev_miniLM","MR3_item_rev_miniLM","MR4_item_rev_miniLM","MR5_item_rev_miniLM","MR1_item_rev_mpnet","MR2_item_rev_mpnet","MR3_item_rev_mpnet","MR5_item_rev_mpnet","MR4_item_rev_mpnet","MR1_item_rev_t5","MR2_item_rev_t5","MR3_item_rev_t5","MR4_item_rev_t5","MR5_item_rev_t5","MR1_item_rev_psych","MR2_item_rev_psych","MR3_item_rev_psych","MR5_item_rev_psych","MR4_item_rev_psych","MR1_item_rev_use_dan","MR2_item_rev_use_dan","MR5_item_rev_use_dan","MR3_item_rev_use_dan","MR4_item_rev_use_dan","MR1_item_rev_avg_trans","MR2_item_rev_avg_trans","MR3_item_rev_avg_trans","MR4_item_rev_avg_trans","MR5_item_rev_avg_trans"
"Imagination",NA,NA,NA,NA,NA,0.758,0.17,0.23,0.018,-0.108,0.858,0.151,0.078,0.158,-0.059,0.67,0.442,0.27,-0.012,0.272,0.679,0.397,0.226,0.025,0.052,0.707,0.009,0.047,-0.302,-0.175,0.211,0.432,-0.079,0.013,0.223,0.62,0.506,0.291,0.015,-0.214
"Artistic.Interests",NA,NA,NA,NA,NA,0.629,-0.207,-0.112,-0.063,-0.158,-0.066,0.612,0.028,0.172,-0.106,0.305,0.424,-0.135,0.128,0.066,0.028,0.674,-0.081,-0.104,0.258,0.713,-0.115,-0.093,-0.021,-0.008,-0.08,0.326,0.323,0.076,-0.078,0.083,0.674,0.022,0.018,-0.098
"Emotionality",NA,NA,NA,NA,NA,0.593,0.154,0.365,0.169,0.287,0.088,0.648,0.044,-0.066,0.034,0.228,0.643,0,-0.268,-0.033,-0.01,0.458,0.476,0.28,0.137,0.706,0.204,0.315,0.282,-0.021,-0.164,0.745,-0.072,0.121,-0.107,0.042,0.55,0.286,0.469,0.081
"Adventurousness",NA,NA,NA,NA,NA,0.273,0.013,-0.263,-0.016,0.248,-0.932,0.104,-0.015,0.154,0.106,-0.093,0.732,0.085,-0.032,0.111,-0.637,0.585,0.073,-0.175,0.012,0.737,0.013,-0.448,-0.073,-0.018,-0.072,0.198,0.268,-0.169,0.005,-0.452,0.629,0.166,-0.105,0.044
"Intellect",NA,NA,NA,NA,NA,0.53,0.028,-0.072,-0.142,0.253,-0.049,0.389,0.109,0.274,0.065,0.026,0.441,-0.077,-0.039,0.024,0.006,0.73,0.051,0.085,0.04,0.756,-0.044,0.058,0.015,0.104,0.17,0.115,0.468,0.076,0.061,0.048,0.634,0.068,0.048,0.081
"Liberalism",NA,NA,NA,NA,NA,0.003,0.153,-0.451,0.01,0.003,-0.99,0.087,0.027,-0.047,-0.004,-0.354,0.078,0.186,0.136,-0.11,-0.89,0.144,0.015,-0.035,-0.063,0.151,-0.026,-0.666,0.04,-0.053,-0.043,0.064,-0.014,-0.507,-0.142,-0.609,0.182,0.102,-0.195,0.065
"Self.Efficacy",NA,NA,NA,NA,NA,0.158,-0.453,0.032,0.054,0.359,0.906,0.009,-0.212,0.08,0.216,0.224,0.154,-0.344,0.15,-0.187,0.527,0.197,-0.381,0.276,0.137,0.263,-0.555,0.23,0.006,0.228,-0.075,0.116,0.219,0.147,0.148,0.398,0.239,-0.49,0.015,0.114
"Orderliness",NA,NA,NA,NA,NA,0.117,-0.326,0.074,-0.287,0.087,-0.07,0.678,-0.062,-0.025,-0.03,0.074,0.171,-0.335,-0.088,-0.112,0.042,0.513,0.104,-0.204,0.182,0.326,-0.397,0.381,0.054,-0.152,0.086,-0.036,0.531,-0.034,0.037,0.071,0.318,-0.157,0.159,0.092
"Dutifulness",NA,NA,NA,NA,NA,0.426,-0.432,0.218,0.526,-0.022,0.141,0.467,0.396,-0.191,0.145,0.046,0.163,-0.055,0.053,0.556,-0.176,-0.011,-0.357,-0.023,0.683,0.176,-0.484,0.225,0.353,0.021,-0.189,0.102,-0.085,0.362,0.133,-0.157,0.287,-0.177,0.305,-0.433
"Achievement.Striving",NA,NA,NA,NA,NA,0.137,-0.273,0.46,-0.214,0.426,0.965,0.067,-0.119,-0.015,0.014,0.668,0.029,-0.344,-0.084,0.011,0.918,0.141,-0.079,0.07,-0.036,0.185,-0.217,0.647,-0.172,0.254,0.333,0.109,0.153,0.065,0.128,0.701,0.108,-0.255,0.139,0.164
