"","O_emp","C_emp","E_emp","A_emp","N_emp","ML3_item_distilroberta","ML5_item_distilroberta","ML2_item_distilroberta","ML4_item_distilroberta","ML1_item_distilroberta","ML4_item_miniLM","ML5_item_miniLM","ML3_item_miniLM","ML2_item_miniLM","ML1_item_miniLM","ML3_item_mpnet","ML1_item_mpnet","ML4_item_mpnet","ML5_item_mpnet","ML2_item_mpnet","ML5_item_t5","ML4_item_t5","ML2_item_t5","ML3_item_t5","ML1_item_t5","ML5_item_psych","ML3_item_psych","ML2_item_psych","ML4_item_psych","ML1_item_psych","ML3_item_use_dan","ML2_item_use_dan","ML5_item_use_dan","ML1_item_use_dan","ML4_item_use_dan","ML3_item_avg_trans","ML5_item_avg_trans","ML2_item_avg_trans","ML1_item_avg_trans","ML4_item_avg_trans"
"Imagination",NA,NA,NA,NA,NA,0.229,0.311,0.029,-0.078,0.685,-0.575,0.595,0.18,0.066,0.236,0.144,0.604,0.028,0.429,0.335,0.432,-0.296,0.268,0.393,0.344,0.175,0.282,-0.283,-0.017,0.201,0.41,0.234,0.073,0.373,-0.297,0.55,0.45,0.064,0.357,0.038
"Artistic.Interests",NA,NA,NA,NA,NA,0.325,-0.187,0.15,-0.039,0.457,0.018,0.267,0.268,0.258,0.566,0.329,0.385,0.12,-0.149,0.353,0.024,0.01,0.427,0.199,0.688,0.035,0.244,-0.123,0.099,0.408,0.178,0.284,0.024,0.385,0.087,0.471,-0.017,0.243,0.508,0.198
"Emotionality",NA,NA,NA,NA,NA,0.17,0.419,0.37,0.074,0.484,-0.113,0.212,0.176,0.448,0.552,0.046,0.698,-0.004,0.209,0.023,0.551,0.453,0.278,0.326,0.443,-0.04,0.197,0.009,0.112,0.11,0.049,0.381,0.213,0.609,-0.403,0.043,0.473,0.32,0.665,0.117
"Adventurousness",NA,NA,NA,NA,NA,0.369,-0.071,0.104,0.318,0.252,0.43,-0.151,-0.131,-0.149,0.402,-0.004,0.732,0.389,0.045,0.09,-0.096,0.196,-0.205,0.07,0.646,-0.044,0.293,-0.207,0.03,0.568,0.205,0.131,-0.184,0.377,0.186,0.314,-0.119,-0.114,0.647,0.293
"Intellect",NA,NA,NA,NA,NA,0.532,0.065,0.173,0.122,0.401,0.22,0.307,0.32,0.097,0.374,0.009,0.447,0.132,-0.083,0.183,0.046,0.079,0.183,0.445,0.622,0.048,0.192,-0.017,0.007,0.507,0.395,0.23,0.021,0.286,0.191,0.343,0.018,0.189,0.519,0.096
"Liberalism",NA,NA,NA,NA,NA,0.197,-0.157,-0.239,0.336,0.016,0.378,-0.349,-0.263,-0.109,0.234,0.026,0.053,0.28,0.07,-0.282,-0.206,0.414,-0.31,-0.191,0.242,0.146,-0.032,-0.54,0.11,0.666,0.056,-0.331,-0.249,0.203,0.099,0.059,-0.161,-0.371,0.343,0.199
"Self.Efficacy",NA,NA,NA,NA,NA,0.161,-0.277,0.599,0.061,0.104,-0.37,0.2,0.343,0.237,-0.112,0.234,0.2,-0.173,-0.358,0.304,-0.31,0.046,0.612,0.458,-0.132,0.002,0.276,0.594,0.102,0.016,0.078,0.333,-0.018,0.229,0.07,0.174,-0.249,0.621,-0.043,-0.135
"Orderliness",NA,NA,NA,NA,NA,0.266,-0.126,0.307,-0.256,-0.05,0.407,0.136,0.475,0.507,0.356,0.143,0.091,-0.121,-0.286,0.14,0.086,0.069,0.244,0.188,0.378,-0.178,0.027,0.408,0.074,-0.387,0.285,0.185,-0.105,0.213,0.374,0.083,-0.049,0.311,0.249,-0.018
"Dutifulness",NA,NA,NA,NA,NA,-0.311,-0.22,0.64,0.105,0.317,0.104,0.47,-0.192,0.507,0.276,-0.171,0.097,0.352,-0.235,0.551,-0.066,0.366,0.984,-0.494,0.269,-0.027,0.158,0.543,0.55,-0.256,-0.147,0.351,0.061,-0.047,-0.109,-0.147,0.013,0.753,0.019,0.596
"Achievement.Striving",NA,NA,NA,NA,NA,0.216,0.165,0.515,-0.297,0.118,-0.389,0.215,0.358,0.248,-0.184,0.238,0.064,-0.401,-0.161,0.474,0.064,-0.398,0.305,0.466,-0.131,-0.071,0.316,0.535,0.005,-0.006,0.355,0.126,0.18,0.157,-0.098,0.227,0.039,0.437,-0.044,-0.292
