"","O_emp","C_emp","E_emp","A_emp","N_emp","ML5_item_distilroberta","ML4_item_distilroberta","ML2_item_distilroberta","ML3_item_distilroberta","ML1_item_distilroberta","ML4_item_miniLM","ML2_item_miniLM","ML5_item_miniLM","ML1_item_miniLM","ML3_item_miniLM","ML5_item_mpnet","ML4_item_mpnet","ML2_item_mpnet","ML3_item_mpnet","ML1_item_mpnet","ML2_item_t5","ML3_item_t5","ML1_item_t5","ML4_item_t5","ML5_item_t5","ML5_item_psych","ML2_item_psych","ML3_item_psych","ML4_item_psych","ML1_item_psych","ML5_item_use_dan","ML4_item_use_dan","ML2_item_use_dan","ML3_item_use_dan","ML1_item_use_dan","ML5_item_avg_trans","ML4_item_avg_trans","ML2_item_avg_trans","ML3_item_avg_trans","ML1_item_avg_trans"
"Imagination",NA,NA,NA,NA,NA,0.245,-0.181,0.042,0.06,0.64,-0.124,0.259,0.107,0.491,0.26,0.108,-0.003,0.251,0.397,0.184,0.132,0.195,0.328,0.116,0.443,-0.006,0.106,0.503,-0.063,0.589,0.414,-0.161,0.139,0.376,0.247,0.052,-0.238,0.232,0.291,0.599
"Artistic.Interests",NA,NA,NA,NA,NA,-0.04,0.075,-0.346,0.146,0.71,-0.04,-0.03,-0.108,1.073,0.084,-0.149,0.348,-0.072,0.41,0.513,-0.304,0.01,0.881,0.313,0.233,0.131,-0.243,0.569,0.208,0.664,0.075,0.396,-0.038,0.139,0.106,-0.107,0.131,-0.238,0.322,0.817
"Emotionality",NA,NA,NA,NA,NA,0.674,0.206,-0.14,-0.101,0.329,0.043,-0.055,0.608,0.37,0.029,0.472,0.182,-0.027,0.409,0.086,0.097,0.217,0.52,-0.024,0.382,0.177,0.103,0.613,0.169,0.311,0.247,0.255,0.055,0.127,0.274,0.325,0.088,-0.002,0.393,0.256
"Adventurousness",NA,NA,NA,NA,NA,-0.019,-0.215,0.118,0.463,0.496,0.008,0.201,0.207,0.468,0.114,-0.053,-0.129,0.358,0.298,0.661,0.041,0.203,0.344,0.235,0.374,0.026,0.228,0.466,-0.076,0.487,0.113,0.021,0.106,0.303,0.128,-0.004,-0.173,0.173,0.371,0.593
"Intellect",NA,NA,NA,NA,NA,0.279,-0.048,-0.112,0.151,0.491,-0.173,0.035,0.132,0.941,0.05,0.042,0.067,0.154,0.355,0.43,-0.147,0.276,0.538,0.183,0.33,0.08,0.195,0.502,-0.091,0.478,0.38,0.069,0.159,0.005,0.301,0.019,-0.069,0.042,0.423,0.553
"Liberalism",NA,NA,NA,NA,NA,-0.321,0.506,0.064,-0.063,0.414,0.433,0.111,-0.313,0.735,0.009,0.105,0.285,-0.034,0.346,0.178,0.187,-0.327,0.775,0.531,-0.062,0.318,-0.066,-0.34,0.412,0.305,-0.124,0.31,0.005,0.186,0.259,0.18,0.442,-0.052,-0.165,0.357
"Self.Efficacy",NA,NA,NA,NA,NA,0.335,0.158,0.585,-0.016,-0.101,-0.019,0.616,0.193,0.176,0.031,0.194,0.253,0.632,-0.048,-0.175,0.679,0.062,0.004,0.154,0.287,0.091,1.068,0.106,-0.194,-0.177,0.022,-0.055,0.984,-0.282,-0.076,0.051,0.064,0.744,0.252,-0.139
"Orderliness",NA,NA,NA,NA,NA,0.019,0.012,0.518,0.353,-0.073,-0.072,0.451,0.226,0.301,0.096,-0.088,0.084,0.29,0.476,0.504,0.507,-0.045,0.216,0.074,0.42,0.446,0.441,0.001,0.096,0.197,0.351,-0.123,0.41,0.07,0.084,0.253,0.09,0.325,0.108,0.166
"Dutifulness",NA,NA,NA,NA,NA,-0.176,0.373,0.547,0.022,0.062,0.35,0.636,-0.255,0.022,0.242,-0.344,0.547,0.564,-0.108,-0.278,0.755,-0.065,-0.071,0.581,-0.022,-0.189,0.604,-0.091,0.822,-0.11,-0.11,0.187,0.33,0.344,-0.111,-0.204,0.485,0.745,-0.167,-0.013
"Achievement.Striving",NA,NA,NA,NA,NA,0.038,0.168,0.77,0.068,-0.083,0.134,0.753,-0.01,0.004,0.115,0.075,0.121,0.768,-0.105,-0.027,0.65,0.035,-0.001,0.376,0.115,0.007,0.762,0.286,0.117,-0.042,-0.01,0.005,0.782,-0.201,0.124,-0.038,0.079,0.776,0.223,-0.064
