,Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
29,3.2,4.2,4.0,3.0,3.2,3.8,2.8,4.3,3.6,4.7,3.6,3.3,4.3,4.2,4.1,3.6,4.2,3.8,5.2,4.4,4.2,4.2,5.2,4.2
30,4.7,4.4,4.9,3.9,3.6,4.2,5.5,3.9,3.6,4.5,3.9,4.3,4.5,4.3,4.8,4.1,4.9,4.6,4.5,5.1,3.9,4.7,5.0,4.0
31,3.9,3.7,3.6,3.6,3.8,4.0,5.3,3.7,3.7,4.0,3.5,3.6,4.3,3.5,3.7,3.5,4.0,3.8,3.3,4.1,4.2,4.3,3.5,3.7
32,5.8,5.5,5.3,3.8,4.9,4.9,5.1,5.2,5.2,5.7,5.3,4.0,5.9,5.2,4.9,5.4,4.8,5.6,6.1,6.1,5.6,5.5,5.3,5.6
33,4.7,3.8,4.3,3.4,4.0,3.7,2.8,4.0,4.2,4.0,4.1,4.0,3.9,4.2,4.0,3.9,4.1,4.1,5.0,3.7,4.4,4.5,4.9,3.7
34,3.6,3.7,3.1,4.1,3.8,4.2,4.8,4.4,4.4,4.9,3.9,4.9,3.8,4.6,3.5,4.4,4.5,4.9,4.6,4.7,4.2,4.4,5.0,4.0
35,4.6,3.8,3.9,4.4,3.6,4.1,5.1,3.6,4.4,4.1,3.6,3.3,3.5,3.8,3.9,4.0,3.9,4.1,4.8,4.0,3.7,3.5,3.9,4.1
36,2.8,3.3,2.4,3.8,3.9,4.1,3.8,2.5,3.9,4.5,3.6,4.2,3.5,3.4,3.5,3.1,3.9,3.5,3.2,3.2,4.3,4.1,3.8,4.5
37,4.2,4.5,4.4,5.0,4.7,4.8,5.5,3.2,3.3,4.9,4.4,5.0,3.9,5.7,4.7,4.2,4.8,4.2,6.4,5.2,3.8,5.0,5.0,3.8
38,3.7,3.6,4.0,4.6,3.7,4.6,5.3,3.8,4.0,4.4,4.1,3.8,3.3,3.9,4.0,4.5,4.4,4.3,4.6,4.7,3.4,4.0,4.3,3.8
39,3.3,3.8,4.7,4.3,3.7,4.0,2.8,3.8,3.5,3.8,4.4,4.3,4.4,5.0,5.0,3.7,3.8,3.6,4.0,4.6,4.4,4.4,4.1,3.7
40,3.3,3.9,4.0,3.6,3.4,4.3,5.7,4.0,3.7,4.0,3.6,5.0,3.7,3.5,4.0,4.4,4.3,4.1,5.3,5.4,3.6,4.6,4.4,3.8
41,2.3,3.0,4.1,4.3,4.1,4.2,4.6,3.0,3.8,4.8,3.9,3.8,3.4,4.5,4.7,4.2,4.1,4.9,4.8,3.7,4.0,5.3,3.8,3.3
42,2.7,4.0,5.5,5.3,2.8,4.7,5.4,4.3,4.0,4.5,4.6,4.9,4.6,4.1,4.8,4.2,4.0,5.5,6.3,5.7,4.0,4.7,5.9,4.6
43,4.0,3.9,4.6,4.8,4.3,4.1,5.1,3.8,4.3,3.8,4.2,3.4,4.2,3.8,4.9,4.3,4.5,4.9,4.1,4.4,4.2,4.0,4.3,4.1
44,2.0,3.4,2.9,2.2,3.9,3.8,4.9,4.2,4.2,3.9,4.8,5.1,4.3,3.4,4.5,3.7,3.9,3.5,2.8,5.1,4.3,3.1,3.5,4.1
45,4.4,4.2,4.4,4.4,4.5,4.4,4.6,4.9,4.1,4.5,4.4,4.0,4.9,4.4,4.6,4.1,4.9,4.7,5.7,4.4,4.3,3.9,4.3,5.0
46,6.1,4.3,4.9,3.3,4.4,3.7,5.7,3.9,4.4,4.1,4.7,4.9,3.7,5.3,4.8,3.8,4.8,4.8,4.6,4.7,5.0,4.6,5.4,3.6
47,4.2,4.3,3.7,4.3,3.7,4.3,4.8,3.9,4.3,5.0,4.3,2.9,5.4,5.0,5.0,4.0,4.6,5.4,5.3,4.6,4.8,5.1,4.5,4.0
48,4.1,4.6,5.8,4.3,4.0,4.5,3.2,3.9,3.7,4.7,4.1,4.4,5.0,4.9,5.4,4.7,4.6,4.7,5.0,3.4,3.9,4.2,4.3,4.3
49,4.0,5.0,4.3,5.0,4.2,3.9,4.9,3.6,4.5,5.0,3.6,4.2,4.2,5.1,5.2,3.6,4.5,4.8,5.1,3.7,4.1,3.8,3.6,3.6
150,5.7,3.8,3.8,3.7,4.2,4.6,4.4,4.3,4.4,4.9,3.5,4.7,4.2,4.5,4.1,4.9,4.6,4.2,3.9,5.0,3.7,3.9,3.9,4.3
154,4.4,2.9,4.6,4.2,3.1,4.2,4.4,3.3,4.8,4.5,4.4,3.6,3.5,4.5,4.8,4.2,3.9,5.0,5.9,5.3,4.9,5.2,3.6,4.5
155,3.4,3.3,4.3,4.0,3.6,3.5,4.4,3.8,3.6,3.8,3.8,4.1,3.4,4.5,4.1,3.3,3.7,4.4,3.9,3.9,3.4,4.2,3.7,4.0
175,2.2,4.2,4.5,4.2,4.2,4.1,2.9,4.3,3.3,4.3,4.0,4.4,4.1,4.7,3.4,3.7,4.6,4.1,3.4,3.1,4.4,4.5,4.0,3.0
176,2.9,3.6,2.5,4.0,5.2,4.2,3.0,4.1,4.1,4.6,3.9,3.9,3.0,3.2,4.1,4.0,5.5,4.6,4.0,4.0,4.7,5.2,4.4,4.9
177,2.2,3.4,2.0,4.3,4.0,4.8,4.0,4.1,4.4,4.8,3.4,5.5,2.5,4.4,4.1,4.2,4.1,3.7,3.9,4.3,4.5,4.4,5.4,4.5
178,4.7,3.7,4.1,4.5,3.0,3.8,3.8,3.7,4.9,4.3,3.1,3.9,4.5,4.7,4.2,4.2,4.4,4.8,5.0,5.3,4.0,4.4,4.2,4.0
179,3.6,3.3,4.0,3.7,3.1,4.0,5.4,3.9,3.2,4.7,5.0,4.4,4.4,3.3,4.9,4.0,5.1,4.5,5.6,5.1,4.4,4.0,4.4,3.0
180,3.6,4.2,5.7,4.1,3.0,4.0,5.6,3.6,4.0,4.1,3.7,3.5,2.6,4.8,5.3,3.9,4.8,4.8,6.1,4.1,3.7,4.0,4.2,2.5
181,4.4,4.0,3.5,4.0,3.9,5.1,6.0,4.3,4.2,4.1,3.8,3.1,4.8,4.9,5.0,4.7,5.5,5.8,5.8,6.0,4.4,5.2,3.3,4.0
182,5.0,4.1,5.2,3.5,3.4,3.8,5.9,5.0,3.8,3.5,4.2,5.2,4.4,4.3,3.7,3.2,4.3,4.6,4.7,4.3,3.5,4.3,4.2,3.9
183,4.0,3.9,3.8,4.1,3.9,4.0,4.8,4.1,4.1,4.4,4.1,3.9,4.2,3.2,4.5,4.0,5.0,4.3,4.7,4.9,3.9,3.9,4.3,4.5
184,4.2,3.9,3.4,4.0,4.1,4.1,4.9,3.9,4.9,3.8,4.3,4.6,4.5,4.2,4.7,4.4,4.3,4.9,4.5,4.3,4.3,4.4,5.4,4.3
185,5.0,3.6,4.1,3.6,3.4,3.8,3.9,4.0,3.5,4.4,3.9,4.2,4.4,4.5,4.5,3.9,4.2,3.5,3.5,3.8,4.4,4.6,3.8,4.1
186,4.5,3.6,4.1,4.2,3.6,4.7,4.8,3.5,4.4,4.6,3.6,4.6,3.8,3.7,4.2,3.9,4.4,3.7,4.7,3.7,4.0,4.7,4.8,3.9
187,4.0,4.9,3.4,4.5,4.2,4.6,5.0,4.0,3.8,4.2,4.2,4.5,3.9,4.2,4.4,4.2,4.7,4.2,4.4,3.6,4.2,3.9,3.6,4.4
188,3.8,3.8,4.3,3.8,3.9,4.5,4.7,4.4,3.6,3.7,4.5,3.5,4.3,4.4,5.3,4.2,4.1,4.5,4.9,4.6,4.6,4.6,4.5,4.4
189,4.4,3.5,4.4,4.6,4.9,4.9,3.9,4.3,3.8,4.6,3.8,5.2,4.5,5.4,5.9,4.1,4.5,4.9,6.0,4.4,3.7,4.8,4.8,4.1
190,3.7,3.3,2.7,4.1,3.9,4.2,5.3,3.9,4.0,4.9,3.8,4.1,4.2,4.1,4.3,3.8,4.4,4.6,3.8,4.1,3.7,4.7,4.0,3.8
191,3.7,3.6,3.4,3.7,3.1,3.6,2.3,3.5,3.3,3.9,3.6,3.9,3.8,3.6,4.0,3.2,3.5,3.5,3.4,4.0,3.8,4.7,4.3,4.0
192,2.9,4.1,2.6,2.8,3.8,4.6,3.3,3.3,4.3,4.2,3.8,3.4,3.9,3.6,3.3,3.9,4.0,4.1,5.1,3.6,4.4,4.9,4.3,3.8
193,3.2,3.4,3.2,4.0,3.7,4.2,3.9,3.5,4.3,3.9,4.5,3.8,4.2,3.8,3.5,3.9,3.9,4.4,3.3,4.8,4.2,4.6,4.0,3.5
194,4.3,4.6,4.4,4.0,2.5,4.7,5.1,3.7,3.5,4.1,3.6,4.4,5.9,5.7,5.0,3.9,4.7,4.5,5.4,4.2,4.5,4.1,4.8,4.3
