Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.3625058,0.31434816,0.34617484,0.4836583,0.43177354,0.3392169,0.34427848,0.3624385,0.37290943,0.34144297,0.3703894,0.43878746,0.35989875,0.18812591,0.4325614,0.3400203,0.49810869,0.3117087,0.29393718,0.34788,0.46366972,0.13898331,0.21261795
0.3625058,1.0,0.4914186,0.6255007,0.35997182,0.34349874,0.63688254,0.42964813,0.3691236,0.6651249,0.59665406,0.69517505,0.41019627,0.49066,0.31523204,0.3881503,0.19645731,0.586797,0.5740285,0.32525063,0.68175006,0.58007395,0.24891126,0.3409329
0.31434816,0.4914186,1.0,0.63911825,0.39276242,0.5300462,0.59205884,0.4784722,0.50638276,0.5855311,0.6611594,0.60193354,0.58219314,0.6824051,0.3920381,0.38703278,0.52127004,0.76843303,0.49612045,0.4453829,0.5196814,0.59276235,0.4353396,0.43124822
0.34617484,0.6255007,0.63911825,1.0,0.41417038,0.478127,0.62532806,0.40022314,0.4092424,0.75088143,0.58748436,0.6330354,0.52476764,0.7010462,0.43361837,0.44773453,0.34207082,0.6670429,0.63637745,0.3496403,0.7460822,0.6367332,0.40703017,0.33654162
0.4836583,0.35997182,0.39276242,0.41417038,1.0,0.6039121,0.3507591,0.41039565,0.28198534,0.44107208,0.37962186,0.4662192,0.52422786,0.41185293,0.4307112,0.6570904,0.3914755,0.41326517,0.39158154,0.28097153,0.4506627,0.5403206,0.39005148,0.4536936
0.43177354,0.34349874,0.5300462,0.478127,0.6039121,1.0,0.45362785,0.39831364,0.4813123,0.5359606,0.50509953,0.4710961,0.5580238,0.5091468,0.42139813,0.4520489,0.62408173,0.5446415,0.44849563,0.43129194,0.3802771,0.6638527,0.32461625,0.41983777
0.3392169,0.63688254,0.59205884,0.62532806,0.3507591,0.45362785,1.0,0.36198843,0.33600327,0.54573756,0.60959953,0.51828384,0.64360726,0.6655629,0.39049098,0.3502358,0.48954716,0.5837409,0.4521736,0.5926384,0.5885587,0.53578407,0.3724572,0.3315
0.34427848,0.42964813,0.4784722,0.40022314,0.41039565,0.39831364,0.36198843,1.0,0.36629197,0.40198028,0.5169037,0.5864282,0.34812683,0.42306104,0.46613747,0.50714386,0.4328857,0.540804,0.6722671,0.4671026,0.42171073,0.5244999,0.354917,0.38707054
0.3624385,0.3691236,0.50638276,0.4092424,0.28198534,0.4813123,0.33600327,0.36629197,1.0,0.40136743,0.41817904,0.47828287,0.46567744,0.5150657,0.26253396,0.32335424,0.3626386,0.41965246,0.4657414,0.25020206,0.31449145,0.38376686,0.3448104,0.4894297
0.37290943,0.6651249,0.5855311,0.75088143,0.44107208,0.5359606,0.54573756,0.40198028,0.40136743,1.0,0.6725764,0.6324853,0.47752994,0.6564828,0.3877249,0.42028186,0.34241617,0.6834813,0.5415845,0.34737402,0.74729156,0.7003121,0.3566433,0.44701672
0.34144297,0.59665406,0.6611594,0.58748436,0.37962186,0.50509953,0.60959953,0.5169037,0.41817904,0.6725764,1.0,0.62819207,0.49646482,0.59166706,0.35937408,0.40451378,0.5216881,0.6930692,0.5413313,0.46205568,0.6019938,0.64248955,0.4108261,0.50050557
0.3703894,0.69517505,0.60193354,0.6330354,0.4662192,0.4710961,0.51828384,0.5864282,0.47828287,0.6324853,0.62819207,1.0,0.4459815,0.52147686,0.3678273,0.5190065,0.36417237,0.67376626,0.72663236,0.32579333,0.61432636,0.64057064,0.33005732,0.42758974
0.43878746,0.41019627,0.58219314,0.52476764,0.52422786,0.5580238,0.64360726,0.34812683,0.46567744,0.47752994,0.49646482,0.4459815,1.0,0.76186025,0.5063038,0.42647082,0.5277559,0.5897914,0.40350863,0.40469444,0.42891198,0.5434565,0.5859243,0.5035278
0.35989875,0.49066,0.6824051,0.7010462,0.41185293,0.5091468,0.6655629,0.42306104,0.5150657,0.6564828,0.59166706,0.52147686,0.76186025,1.0,0.49613258,0.42874965,0.45645782,0.65359855,0.49755502,0.41751036,0.60654634,0.552564,0.5546713,0.5319985
0.18812591,0.31523204,0.3920381,0.43361837,0.4307112,0.42139813,0.39049098,0.46613747,0.26253396,0.3877249,0.35937408,0.3678273,0.5063038,0.49613258,1.0,0.40349394,0.39328158,0.41487935,0.38162106,0.44915348,0.35343713,0.41143173,0.5960806,0.5754696
