Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.5620434,0.5115444,0.4813316,0.6138584,0.5661714,0.46731,0.5135237,0.5356637,0.58760464,0.45504582,0.5048782,0.6223763,0.5462012,0.4051388,0.5576361,0.45789573,0.61767066,0.4383367,0.41772273,0.50737286,0.56700027,0.32682353,0.43641454
0.5620434,1.0,0.6469596,0.6795728,0.54357725,0.5503072,0.64726853,0.669158,0.5393475,0.7174729,0.61539346,0.7624375,0.5230986,0.5384877,0.5472834,0.52271247,0.40635502,0.69193184,0.6253566,0.41425243,0.70083266,0.6186636,0.44031596,0.52982855
0.5115444,0.6469596,1.0,0.7024059,0.5905673,0.621151,0.6710151,0.61590964,0.63926786,0.7121863,0.7037021,0.69441193,0.70152307,0.72903824,0.54962075,0.511887,0.6115012,0.81677616,0.5772561,0.5546954,0.63157344,0.65968096,0.55505264,0.5628332
0.4813316,0.6795728,0.7024059,1.0,0.5867427,0.5490806,0.6660428,0.5583686,0.52670705,0.8066469,0.6399653,0.6974032,0.5942315,0.70122844,0.6039583,0.58811617,0.45122895,0.70264614,0.70539975,0.4953121,0.82416016,0.7271522,0.5232131,0.48375356
0.6138584,0.54357725,0.5905673,0.5867427,1.0,0.6767929,0.47419012,0.5901434,0.47233543,0.6385156,0.4976556,0.5958018,0.6917436,0.59933734,0.6279458,0.70503795,0.49314758,0.6220642,0.5251241,0.40379542,0.54962283,0.64159966,0.599812,0.61145747
0.5661714,0.5503072,0.621151,0.5490806,0.6767929,1.0,0.5124781,0.56867826,0.59462905,0.6779665,0.54585624,0.5704443,0.6337981,0.554463,0.5556626,0.4844026,0.7036376,0.6405433,0.55568403,0.5105773,0.4787038,0.6242405,0.46031147,0.5140297
0.46731,0.64726853,0.6710151,0.6660428,0.47419012,0.5124781,1.0,0.4659084,0.46207303,0.6724637,0.65052676,0.5761302,0.695426,0.70029515,0.4645095,0.4174555,0.48576194,0.6435937,0.49200112,0.6025468,0.69379514,0.5783057,0.43527794,0.40612572
0.5135237,0.669158,0.61590964,0.5583686,0.5901434,0.56867826,0.4659084,1.0,0.5772576,0.58634555,0.58819395,0.74045426,0.52418655,0.53052646,0.5949103,0.6337416,0.55775046,0.7066195,0.7320038,0.54435587,0.5592308,0.66188323,0.49929246,0.55574536
0.5356637,0.5393475,0.63926786,0.52670705,0.47233543,0.59462905,0.46207303,0.5772576,1.0,0.5813825,0.5770881,0.6041912,0.6273378,0.6214483,0.47580674,0.47212207,0.49554235,0.64838463,0.6005501,0.4299345,0.45531365,0.5131365,0.5085217,0.63142043
0.58760464,0.7174729,0.7121863,0.8066469,0.6385156,0.6779665,0.6724637,0.58634555,0.5813825,1.0,0.69731325,0.67901385,0.6872134,0.7776836,0.6063141,0.60936475,0.5331032,0.7561774,0.6280296,0.5204484,0.78202295,0.7344856,0.53683794,0.6229465
0.45504582,0.61539346,0.7037021,0.6399653,0.4976556,0.54585624,0.65052676,0.58819395,0.5770881,0.69731325,1.0,0.68859017,0.59591085,0.6197333,0.4640612,0.4893933,0.5832462,0.758001,0.6108638,0.530761,0.6525918,0.68483603,0.49480736,0.5105152
0.5048782,0.7624375,0.69441193,0.6974032,0.5958018,0.5704443,0.5761302,0.74045426,0.6041912,0.67901385,0.68859017,1.0,0.54858404,0.57872635,0.529644,0.6141527,0.49594668,0.7614643,0.775968,0.43319172,0.6597964,0.7206117,0.46298957,0.5454396
0.6223763,0.5230986,0.70152307,0.5942315,0.6917436,0.6337981,0.695426,0.52418655,0.6273378,0.6872134,0.59591085,0.54858404,1.0,0.823812,0.6057678,0.5274062,0.577079,0.7251068,0.5093055,0.49847272,0.5440026,0.654111,0.6713809,0.6093172
0.5462012,0.5384877,0.72903824,0.70122844,0.59933734,0.554463,0.70029515,0.53052646,0.6214483,0.7776836,0.6197333,0.57872635,0.823812,1.0,0.5525341,0.54575473,0.5005125,0.69972354,0.5405439,0.5262208,0.68557286,0.61861515,0.6257588,0.5740309
0.4051388,0.5472834,0.54962075,0.6039583,0.6279458,0.5556626,0.4645095,0.5949103,0.47580674,0.6063141,0.4640612,0.529644,0.6057678,0.5525341,1.0,0.53693116,0.53346115,0.5997273,0.51705426,0.48427898,0.49005494,0.5331943,0.67926013,0.69150496
0.5576361,0.52271247,0.511887,0.58811617,0.70503795,0.4844026,0.4174555,0.6337416,0.47212207,0.60936475,0.4893933,0.6141527,0.5274062,0.54575473,0.53693116,1.0,0.4033269,0.52976245,0.54385114,0.38168818,0.63304245,0.5884396,0.5315099,0.52683115
