Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.9843359,0.9831108,0.9852462,0.9850372,0.98433256,0.9862952,0.990422,0.9831463,0.98497987,0.9830643,0.97201276,0.9843048,0.977154,0.9832531,0.98668647,0.9878752,0.9897562,0.9772893,0.98470044,0.9849419,0.9861145,0.98426557,0.9802316
0.9843359,1.0,0.98555183,0.9899653,0.98270285,0.9842608,0.9837176,0.99151933,0.98285437,0.9878073,0.9830784,0.9716588,0.9851322,0.9822049,0.9888318,0.98134506,0.98386496,0.99097306,0.9825814,0.9791522,0.99252564,0.98367965,0.98214245,0.9781455
0.9831108,0.98555183,1.0,0.98739445,0.9832455,0.9855594,0.98317826,0.9849025,0.9884923,0.98819613,0.984275,0.96869826,0.9842658,0.98310536,0.98205423,0.97914964,0.9829865,0.9915054,0.9802401,0.9802636,0.9872422,0.9823409,0.98424834,0.97810876
0.9852462,0.9899653,0.98739445,1.0,0.98973083,0.9872992,0.9873978,0.9882224,0.98233306,0.99145114,0.9849204,0.9802896,0.98773944,0.9805265,0.9883388,0.9867285,0.98274815,0.9903494,0.988345,0.9811702,0.9945822,0.9895508,0.98336846,0.9778935
0.9850372,0.98270285,0.9832455,0.98973083,1.0,0.9881263,0.9808085,0.983302,0.9791955,0.986287,0.9824095,0.9801185,0.9860636,0.972936,0.98842466,0.98818433,0.98033607,0.98745507,0.98062915,0.9760337,0.9846193,0.9851508,0.9870298,0.9851011
0.98433256,0.9842608,0.9855594,0.9872992,0.9881263,1.0,0.98386645,0.9855841,0.98465216,0.9884977,0.9818778,0.9691158,0.9873771,0.97776747,0.98846376,0.9797464,0.9894295,0.99043196,0.97986245,0.9847967,0.98149776,0.98551095,0.9844615,0.98181707
0.9862952,0.9837176,0.98317826,0.9873978,0.9808085,0.98386645,1.0,0.98443025,0.98050433,0.987629,0.9846114,0.9729678,0.9902847,0.98231614,0.9796049,0.9816222,0.98461515,0.9865352,0.97953767,0.98486066,0.98584306,0.9860263,0.97935605,0.9742588
0.990422,0.99151933,0.9849025,0.9882224,0.983302,0.9855841,0.98443025,1.0,0.98532754,0.98605776,0.9860157,0.9722988,0.9837762,0.9798455,0.98764265,0.98586684,0.9902543,0.9919901,0.9846219,0.9888493,0.98915315,0.98754466,0.9839929,0.98067355
0.9831463,0.98285437,0.9884923,0.98233306,0.9791955,0.98465216,0.98050433,0.98532754,1.0,0.9810594,0.9812157,0.95885384,0.9844314,0.98549956,0.9819937,0.9735117,0.9809288,0.9882574,0.9748799,0.97835815,0.98062986,0.97880083,0.98422253,0.9808941
0.98497987,0.9878073,0.98819613,0.99145114,0.986287,0.9884977,0.987629,0.98605776,0.9810594,1.0,0.9858527,0.97688186,0.9892336,0.9841583,0.9844066,0.98522747,0.98379296,0.9908692,0.9846387,0.9813477,0.9910406,0.98765343,0.9825015,0.9815766
0.9830643,0.9830784,0.984275,0.9849204,0.9824095,0.9818778,0.9846114,0.9860157,0.9812157,0.9858527,1.0,0.98305106,0.98069084,0.9752742,0.9780375,0.98229706,0.98235655,0.9915682,0.9837537,0.98112863,0.9861057,0.98738056,0.98277354,0.978457
0.97201276,0.9716588,0.96869826,0.9802896,0.9801185,0.9691158,0.9729678,0.9722988,0.95885384,0.97688186,0.98305106,1.0,0.96699727,0.95030427,0.967678,0.9842149,0.9635205,0.97706974,0.9849265,0.96528816,0.9791741,0.9843341,0.96839976,0.96589196
0.9843048,0.9851322,0.9842658,0.98773944,0.9860636,0.9873771,0.9902847,0.9837762,0.9844314,0.9892336,0.98069084,0.96699727,1.0,0.9889003,0.9856237,0.98028296,0.98330617,0.98658967,0.9792976,0.98016787,0.9844531,0.9838527,0.9841993,0.98087883
0.977154,0.9822049,0.98310536,0.9805265,0.972936,0.97776747,0.98231614,0.9798455,0.98549956,0.9841583,0.9752742,0.95030427,0.9889003,1.0,0.9770658,0.9701793,0.97624505,0.9813949,0.96871686,0.9714482,0.9827201,0.9754446,0.9766712,0.9746017
0.9832531,0.9888318,0.98205423,0.9883388,0.98842466,0.98846376,0.9796049,0.98764265,0.9819937,0.9844066,0.9780375,0.967678,0.9856237,0.9770658,1.0,0.9803766,0.9848212,0.9879276,0.9753001,0.97803867,0.98316497,0.98123044,0.98964727,0.98508376
0.98668647,0.98134506,0.97914964,0.9867285,0.98818433,0.9797464,0.9816222,0.98586684,0.9735117,0.98522747,0.98229706,0.9842149,0.98028296,0.9701793,0.9803766,1.0,0.9766694,0.9833837,0.98280436,0.97644836,0.9865473,0.98644215,0.98271036,0.97748506
0.98787504,0.98386467,0.98298657,0.982748,0.9803357,0.9894295,0.984615,0.9902543,0.98092854,0.98379296,0.9823568,0.96352065,0.98330617,0.97624505,0.9848213,0.97666943,1.0,0.9890032,0.97578084,0.99260545,0.98151433,0.98470604,0.980284,0.97730976
0.9897561,0.99097323,0.9915054,0.99034965,0.98745495,0.9904319,0.9865354,0.99199,0.98825735,0.99086916,0.99156827,0.97706974,0.9865893,0.9813947,0.98792756,0.9833839,0.9890032,1.0,0.98537874,0.9860336,0.9897342,0.9887576,0.98728865,0.98180246
0.9772893,0.98258126,0.98024,0.988345,0.9806293,0.9798622,0.9795376,0.98462194,0.97488,0.9846387,0.9837537,0.9849265,0.97929776,0.9687166,0.9753001,0.9828045,0.97578084,0.98537874,1.0,0.9789556,0.9877543,0.9904523,0.9737507,0.97036123
0.9847002,0.9791522,0.98026353,0.98117024,0.97603375,0.98479664,0.9848608,0.9888493,0.9783579,0.98134744,0.98112845,0.9652879,0.980168,0.97144806,0.97803867,0.9764483,0.99260545,0.9860336,0.9789556,1.0,0.9796964,0.9836555,0.97753584,0.9709661
0.9849421,0.9925256,0.9872422,0.99458206,0.98461926,0.9814976,0.98584294,0.9891528,0.9806298,0.9910407,0.9861058,0.97917426,0.9844532,0.9827201,0.98316514,0.98654735,0.98151433,0.9897342,0.9877543,0.9796964,1.0,0.98843396,0.9797184,0.9744097
0.9861144,0.98367965,0.9823412,0.9895506,0.9851508,0.9855108,0.9860264,0.98754436,0.9788008,0.98765326,0.987381,0.9843339,0.98385286,0.97544456,0.9812305,0.9864422,0.98470604,0.9887576,0.9904523,0.9836555,0.98843396,1.0,0.97966903,0.97469544
0.98426545,0.9821424,0.9842483,0.98336846,0.98702985,0.9844614,0.97935605,0.98399264,0.98422265,0.98250145,0.98277354,0.96839964,0.9841993,0.97667116,0.9896471,0.98271036,0.980284,0.98728865,0.9737507,0.97753584,0.9797184,0.97966903,1.0,0.985904
0.9802315,0.97814524,0.97810864,0.9778936,0.9851011,0.9818173,0.9742591,0.9806737,0.9808942,0.9815767,0.9784573,0.9658918,0.98087883,0.974602,0.9850838,0.9774851,0.97730976,0.98180246,0.97036123,0.9709661,0.9744097,0.97469544,0.985904,1.0
