Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.3644508,0.24298416,0.17555337,0.21702543,0.2735262,0.17239901,0.1281862,0.4097277,0.23182124,0.17913276,0.18195164,0.45921582,0.13362774,0.10547157,0.2325231,0.25611767,0.41360274,0.2571234,0.100721814,0.13221136,0.31190395,0.17418352,0.28066325
0.3644508,1.0,0.25511414,0.1830368,0.3491181,0.1757549,0.443462,0.18016514,0.26921055,0.22486445,0.2506484,0.3538186,0.5133452,0.1783948,0.11477122,0.19335285,0.15976517,0.21920884,0.22789353,0.16614495,0.16608414,0.21469955,0.18246365,0.23398247
0.24298416,0.25511414,1.0,0.18093348,0.20615807,0.28336555,0.20397547,0.23369677,0.47379747,0.12619202,0.58965486,0.20396379,0.17615339,0.13764024,0.10022355,0.10952696,0.14392643,0.73849726,0.38280138,0.13961208,0.18314312,0.25174004,0.11426765,0.11994327
0.17555337,0.1830368,0.18093348,1.0,0.2687972,0.17256759,0.29863718,0.3808012,0.30720538,0.69577444,0.2720658,0.3858987,0.3180536,0.64270574,0.26464665,0.3561935,0.1068108,0.18152213,0.3929654,0.21248737,0.6792824,0.17218307,0.14340998,0.19520997
0.21702543,0.3491181,0.20615807,0.2687972,1.0,0.15673403,0.14500546,0.18689238,0.23758915,0.28235856,0.11133743,0.32623896,0.33874926,0.33698264,0.36351272,0.30551437,0.15083534,0.16244434,0.21158583,0.10965137,0.21496478,0.21424878,0.46061045,0.48701176
0.2735262,0.1757549,0.28336555,0.17256759,0.15673403,1.0,0.13110107,0.10697414,0.30540684,0.1434462,0.15217158,0.10579947,0.18041751,0.09256604,0.25870112,0.083152264,0.47711068,0.39058822,0.2959876,0.37639755,0.13283953,0.47968978,0.092172556,0.22965379
0.17239901,0.443462,0.20397547,0.29863718,0.14500546,0.13110107,1.0,0.19701639,0.15769221,0.2686038,0.26037014,0.24610518,0.35650015,0.15711188,0.10724331,0.34437537,0.1130341,0.12535919,0.23057859,0.41565534,0.3157513,0.08691046,0.06970516,0.07618933
0.1281862,0.18016514,0.23369677,0.3808012,0.18689238,0.10697414,0.19701639,1.0,0.105586134,0.294012,0.15414643,0.5517326,0.099991575,0.19548276,0.21485084,0.33741552,0.13597667,0.26541674,0.55429476,0.15021096,0.29698306,0.17007026,0.12857503,0.13356872
0.4097277,0.26921055,0.47379747,0.30720538,0.23758915,0.30540684,0.15769221,0.105586134,1.0,0.31400222,0.54617715,0.17997885,0.4613882,0.28066987,0.11926836,0.111061625,0.12970984,0.5475986,0.1671046,0.18624726,0.3111872,0.14916874,0.21093015,0.4157123
0.23182124,0.22486445,0.12619202,0.69577444,0.28235856,0.1434462,0.2686038,0.294012,0.31400222,1.0,0.32372266,0.36202103,0.40174478,0.62133867,0.27734938,0.2901734,0.11696795,0.18748707,0.26138952,0.1530109,0.61841106,0.17878927,0.18246794,0.2182
