Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.051552635,0.16809516,0.11960123,0.102179155,0.33011687,-0.01290543,0.2594636,0.26094955,0.28629863,0.32659268,-0.24512887,-0.21981761,0.15878952,0.14255212,0.16700198,0.20755643,0.3839905,-0.21603373,0.35088867,0.19913924,-0.11902827,0.36340567,0.1125442
0.051552635,1.0,0.028332347,-0.46474284,-0.41847426,0.31003222,0.6777349,0.5283787,0.39018744,-0.41143298,0.29205918,-0.6743616,0.52683234,-0.07880388,0.4296505,0.10681292,0.35967964,-0.19477619,-0.14136195,0.2636025,0.036154218,0.2339907,-0.01018815,-0.21590981
0.16809516,0.028332347,1.0,-0.046341535,0.025763044,0.206283,0.16405669,0.1277269,0.415767,-0.042132825,0.38139525,-0.23133063,0.07111755,0.051098302,0.11382551,0.18567362,0.08386728,0.2868315,-0.28571767,0.12803367,0.019373616,0.10964181,0.17477801,0.32946092
0.11960123,-0.46474284,-0.046341535,1.0,0.5560436,-0.15756872,-0.47813308,-0.27099374,-0.1591309,0.6248215,-0.036908433,0.43701896,-0.55306023,0.18057416,-0.39650887,0.07950229,-0.28631067,0.37022716,0.060943782,0.007881716,0.11611002,-0.3282995,0.12515146,0.11203615
0.102179155,-0.41847426,0.025763044,0.5560436,1.0,-0.21246818,-0.3418269,-0.28726572,-0.23509744,0.44947386,-0.11158997,0.43979484,-0.46793422,0.2688766,-0.09525266,0.042140808,-0.3943035,0.25512236,-0.0059473775,-0.06790277,0.04114923,-0.29314148,0.2886039,0.32201344
0.33011687,0.31003222,0.206283,-0.15756872,-0.21246818,1.0,0.19184536,0.50169176,0.49841988,-0.011897293,0.4722519,-0.41308612,0.16854113,-0.09678519,0.42116052,0.17254679,0.6002531,0.108528584,-0.24161941,0.39551514,0.028056119,0.18217638,0.20490214,-0.070190355
-0.01290543,0.6777349,0.16405669,-0.47813308,-0.3418269,0.19184536,1.0,0.32221198,0.21467659,-0.36145967,0.24275309,-0.53197783,0.4263607,-0.0034564817,0.34303623,0.15874445,0.29061246,-0.12103392,-0.1240546,0.27808666,0.1605788,0.1930129,-0.015388353,-0.13311793
0.2594636,0.5283787,0.1277269,-0.27099374,-0.28726572,0.50169176,0.32221198,1.0,0.5031591,-0.209072,0.39410532,-0.62506616,0.32859367,-0.064411886,0.486907,0.182309,0.50282323,-0.011942668,-0.24261779,0.3823867,0.056170747,0.10845757,0.1804353,-0.06078656
0.26094955,0.39018744,0.415767,-0.1591309,-0.23509744,0.49841988,0.21467659,0.5031591,1.0,-0.111704394,0.46755248,-0.49194485,0.1615268,-0.0039830673,0.33117938,0.13276196,0.46140933,0.07468502,-0.19515264,0.32851055,0.036997553,0.027880773,0.21219416,0.023419842
0.28629863,-0.41143298,-0.042132825,0.6248215,0.44947386,-0.011897293,-0.36145967,-0.209072,-0.111704394,1.0,0.050380327,0.31545648,-0.48527,0.15436453,-0.2741784,0.017884297,-0.23355171,0.5644822,-0.013214401,0.14395863,0.06626086,-0.31234354,0.1607238,0.026750576
0.32659268,0.29205918,0.38139525,-0.036908433,-0.11158997,0.4722519,0.24275309,0.39410532,0.46755248,0.050380327,1.0,-0.40342402,0.110118,-0.053987123,0.22571877,0.19147775,0.4400462,0.25969353,-0.14302859,0.34217942,0.13631962,-0.01316843,0.26233417,0.044503883
-0.24512887,-0.6743616,-0.23133063,0.43701896,0.43979484,-0.41308612,-0.53197783,-0.62506616,-0.49194485,0.31545648,-0.40342402,1.0,-0.3995295,-0.02654047,-0.32216156,-0.18839435,-0.46782786,0.04118082,0.25643235,-0.25665948,-0.067915894,-0.1147886,-0.13550635,0.1405482
-0.21981761,0.52683234,0.07111755,-0.55306023,-0.46793422,0.16854113,0.4263607,0.32859367,0.1615268,-0.48527,0.110118,-0.3995295,1.0,-0.39155352,0.3723665,-0.08213028,0.23900473,-0.35483143,-0.20836379,0.06733131,-0.15924165,0.31697127,-0.11386023,-0.14938515
0.15878952,-0.07880388,0.051098302,0.18057416,0.2688766,-0.09678519,-0.0034564817,-0.064411886,-0.0039830673,0.15436453,-0.053987123,-0.02654047,-0.39155352,1.0,-0.04620293,0.18011014,-0.048357096,0.046960622,0.11440361,0.09808979,0.059767652,-0.31453758,0.15300684,0.14882556
0.14255212,0.4296505,0.11382551,-0.39650887,-0.09525266,0.42116052,0.34303623,0.486907,0.33117938,-0.2741784,0.22571877,-0.32216156,0.3723665,-0.04620293,1.0,0.13671732,0.30215216,-0.039048247,-0.111799955,0.27056193,0.0022457838,0.0371178,0.3621415,0.06755926
0.16700198,0.10681292,0.18567362,0.07950229,0.042140808,0.17254679,0.15874445,0.182309,0.13276196,0.017884297,0.19147775,-0.18839435,-0.08213028,0.18011014,0.13671732,1.0,0.20285821,0.04826481,-0.07073568,0.119973645,0.09828724,-0.05193758,0.19875553,0.051411714
0.2075564,0.35967958,0.0838673,-0.28631064,-0.39430344,0.6002533,0.29061243,0.5028231,0.46140933,-0.23355171,0.4400462,-0.46782792,0.23900476,-0.04835709,0.30215216,0.20285818,1.0,-0.17893666,-0.1094646,0.34350583,0.044294477,0.081154816,0.029909492,-0.20581405
0.3839905,-0.19477627,0.28683156,0.3702271,0.25512242,0.10852858,-0.12103395,-0.011942675,0.07468504,0.5644823,0.2596935,0.041180823,-0.35483146,0.046960622,-0.039048236,0.048264828,-0.17893666,1.0,-0.123881236,0.24643938,0.11896965,-0.17771661,0.31399548,0.24660939
-0.21603367,-0.1413619,-0.28571767,0.060943786,-0.005947378,-0.24161941,-0.124054596,-0.24261779,-0.19515264,-0.013214389,-0.14302862,0.2564324,-0.2083638,0.11440365,-0.11179993,-0.07073569,-0.1094646,-0.123881236,1.0,-0.15483984,0.05324644,-0.4137671,-0.118348025,-0.23839076
0.35088876,0.26360244,0.1280337,0.007881725,-0.067902766,0.39551508,0.2780867,0.3823868,0.32851046,0.14395866,0.34217942,-0.25665948,0.0673313,0.098089814,0.270562,0.119973674,0.34350583,0.24643938,-0.15483984,1.0,0.18803723,-0.020329682,0.15010108,0.08639921
0.19913925,0.03615421,0.019373596,0.11611003,0.04114924,0.028056122,0.16057876,0.05617074,0.03699753,0.06626087,0.13631961,-0.067915894,-0.15924168,0.05976765,0.0022457726,0.09828724,0.044294477,0.11896965,0.05324644,0.18803723,1.0,-0.11358117,0.040237226,-0.011359579
-0.11902824,0.23399068,0.10964178,-0.32829946,-0.29314142,0.1821764,0.1930129,0.10845758,0.027880784,-0.31234354,-0.013168432,-0.114788584,0.3169712,-0.31453758,0.037117805,-0.0519376,0.081154816,-0.17771661,-0.4137671,-0.020329682,-0.11358117,1.0,-0.22162038,0.00896009
0.36340564,-0.010188144,0.17477801,0.12515149,0.2886039,0.20490211,-0.015388344,0.18043533,0.2121942,0.16072384,0.26233417,-0.13550636,-0.113860205,0.15300685,0.3621415,0.19875555,0.029909492,0.31399548,-0.118348025,0.15010108,0.040237226,-0.22162038,1.0,0.22161563
0.11254422,-0.21590984,0.32946092,0.112036124,0.32201347,-0.070190355,-0.13311794,-0.06078657,0.023419853,0.02675056,0.04450388,0.14054817,-0.14938518,0.14882557,0.067559235,0.051411703,-0.20581405,0.24660939,-0.23839076,0.08639921,-0.011359579,0.00896009,0.22161563,1.0
