Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.11897424,-0.36663496,-0.055495437,-0.06835465,0.09771898,-0.008832626,0.13518427,0.050652366,-0.07587978,0.14310569,-0.06468867,0.10309282,-0.28124338,0.1503943,-0.10893279,0.08971919,0.04328584,0.007914431,-0.09206315,-0.03185397,0.0685917,0.54877496,0.029522974
0.11897424,1.0,-0.0711055,-0.9684267,-0.9633127,0.96809834,0.9593134,0.98378134,0.97161984,-0.9687244,0.88799036,-0.9689748,0.917421,-0.1488472,0.98210835,0.85054696,0.98099667,-0.93434197,0.09169691,0.8359662,0.016748846,0.06612594,0.045286328,-0.8278099
-0.36663496,-0.0711055,1.0,0.0065127686,0.022027075,-0.030263051,0.07855041,-0.07685165,0.015690647,0.015485711,-0.034320123,-0.043609962,-0.04446502,0.44420135,-0.10531498,0.19549996,-0.024643965,0.026398323,-0.12050676,0.18112548,0.24509004,-0.35451043,-0.27618805,-0.038661163
-0.055495437,-0.9684267,0.0065127686,1.0,0.97191215,-0.95403945,-0.97217673,-0.95037687,-0.9572612,0.9629017,-0.8286695,0.97494626,-0.9261615,0.056150656,-0.9514556,-0.87510264,-0.9632374,0.9156733,-0.06113171,-0.8599533,-0.04159323,-0.018851079,0.038083695,0.83426255
-0.06835465,-0.9633127,0.022027075,0.97191215,1.0,-0.94413364,-0.9586513,-0.9434834,-0.96041393,0.9546987,-0.8472127,0.97060674,-0.9219622,0.056111135,-0.94248414,-0.87997615,-0.9647497,0.9065213,-0.11337784,-0.8376013,-0.034046084,-0.0034003183,0.03125392,0.8624725
0.09771898,0.96809834,-0.030263051,-0.95403945,-0.94413364,1.0,0.9455089,0.9701768,0.9683428,-0.9386327,0.8995776,-0.95383775,0.9275517,-0.15962237,0.97367036,0.8463857,0.9733182,-0.9237622,0.10485445,0.8666035,0.011984751,0.07138179,0.07086145,-0.82090974
-0.008832626,0.9593134,0.07855041,-0.97217673,-0.9586513,0.9455089,1.0,0.94296104,0.9547883,-0.9503308,0.8293513,-0.96698344,0.91198504,-0.003898345,0.9383564,0.894691,0.95958817,-0.91900945,0.062089615,0.8911481,0.0991828,-0.029209383,-0.077313416,-0.83762
0.13518427,0.98378134,-0.07685165,-0.95037687,-0.9434834,0.9701768,0.94296104,1.0,0.96835244,-0.95324326,0.9101501,-0.95214415,0.9093318,-0.2051566,0.98415196,0.8254307,0.97897613,-0.92941576,0.10097569,0.81819516,0.025805555,0.10107455,0.104739055,-0.8181973
0.050652366,0.97161984,0.015690647,-0.9572612,-0.96041393,0.9683428,0.9547883,0.96835244,1.0,-0.95047617,0.90335095,-0.96255153,0.91148144,-0.104762465,0.9630937,0.8605965,0.97761554,-0.93724567,0.0931804,0.8497567,0.053759243,0.043251306,0.032216333,-0.83280146
-0.07587978,-0.9687244,0.015485711,0.9629017,0.9546987,-0.9386327,-0.9503308,-0.95324326,-0.95047617,1.0,-0.8635485,0.9500385,-0.8856257,0.12677048,-0.9505825,-0.8510905,-0.9639499,0.9342835,-0.09718216,-0.80050707,-0.08728176,-0.015652597,0.0017256513,0.8165467
0.14310569,0.88799036,-0.034320123,-0.8286695,-0.8472127,0.8995776,0.8293513,0.9101501,0.90335095,-0.8635485,1.0,-0.86190766,0.8259685,-0.24828057,0.890928,0.7267717,0.8974676,-0.8634559,0.17957021,0.70998967,0.06559306,0.10183564,0.20398428,-0.7252135
-0.06468867,-0.9689748,-0.043609962,0.97494626,0.97060674,-0.95383775,-0.96698344,-0.95214415,-0.96255153,0.9500385,-0.86190766,1.0,-0.9234376,-0.015672535,-0.94712853,-0.888265,-0.9654771,0.9126535,-0.046659507,-0.8757117,-0.057026148,0.043011315,0.0217724,0.8572198
0.10309282,0.917421,-0.04446502,-0.9261615,-0.9219622,0.9275517,0.91198504,0.9093318,0.91148144,-0.8856257,0.8259685,-0.9234376,1.0,-0.14502111,0.9078892,0.8156735,0.9037422,-0.8498387,0.07374044,0.840963,-0.032028668,0.058606282,0.06420394,-0.79854965
-0.28124338,-0.1488472,0.44420135,0.056150656,0.056111135,-0.15962237,-0.003898345,-0.2051566,-0.104762465,0.12677048,-0.24828057,-0.015672535,-0.14502111,1.0,-0.21920495,0.14922713,-0.11966614,0.109026074,-0.19092983,0.10993223,0.11974287,-0.52545875,-0.43918315,-0.078944504
0.1503943,0.98210835,-0.10531498,-0.9514556,-0.94248414,0.97367036,0.9383564,0.98415196,0.9630937,-0.9505825,0.890928,-0.94712853,0.9078892,-0.21920495,1.0,0.8117181,0.97551477,-0.92377007,0.12808129,0.82384986,-0.009367511,0.106355324,0.12202269,-0.7992529
-0.10893279,0.85054696,0.19549996,-0.87510264,-0.87997615,0.8463857,0.894691,0.8254307,0.8605965,-0.8510905,0.7267717,-0.888265,0.8156735,0.14922713,0.8117181,1.0,0.8616135,-0.8336909,0.012746782,0.8151872,0.15123528,-0.16033947,-0.13592969,-0.8112043
0.08971919,0.98099655,-0.024643935,-0.9632373,-0.96475005,0.97331804,0.95958817,0.978976,0.9776158,-0.9639499,0.8974675,-0.9654769,0.9037422,-0.11966618,0.97551477,0.8616135,1.0,-0.9332175,0.12362232,0.84294236,0.04173297,0.03587988,0.036846235,-0.83904517
0.043285806,-0.93434215,0.026398323,0.9156735,0.9065214,-0.9237623,-0.9190093,-0.92941535,-0.93724585,0.93428373,-0.8634559,0.9126537,-0.8498387,0.10902609,-0.9237704,-0.8336909,-0.9332175,1.0,-0.08611514,-0.8120697,-0.04030997,-0.032940045,0.024285357,0.815461
0.007914431,0.09169693,-0.12050676,-0.06113171,-0.113377854,0.10485448,0.06208961,0.10097566,0.09318042,-0.09718217,0.1795702,-0.04665951,0.07374043,-0.19092983,0.12808132,0.012746777,0.12362232,-0.08611514,1.0,0.034654114,-0.14053416,-0.007357424,0.1785931,0.061647147
-0.09206313,0.8359662,0.18112548,-0.8599533,-0.8376014,0.8666033,0.89114815,0.81819534,0.8497567,-0.800507,0.7099899,-0.8757116,0.8409629,0.10993223,0.82384986,0.81518734,0.84294236,-0.8120697,0.034654114,1.0,0.106437735,-0.11242941,-0.077843696,-0.72914034
-0.031853963,0.016748883,0.24509,-0.041593265,-0.03404607,0.011984706,0.09918281,0.02580554,0.053759247,-0.087281756,0.06559308,-0.05702613,-0.032028653,0.11974286,-0.0093675405,0.15123525,0.04173297,-0.04030997,-0.14053416,0.106437735,1.0,-0.23051372,-0.11783405,0.02507343
0.068591654,0.066125885,-0.3545104,-0.018851072,-0.0034003556,0.071381845,-0.029209375,0.10107454,0.04325127,-0.01565265,0.10183564,0.043011375,0.058606267,-0.5254588,0.10635537,-0.16033949,0.03587988,-0.032940045,-0.007357424,-0.11242941,-0.23051372,1.0,0.13095865,0.051631145
0.54877484,0.045286283,-0.27618808,0.03808369,0.031253926,0.070861526,-0.077313416,0.104739085,0.032216318,0.0017256066,0.20398429,0.02177244,0.06420394,-0.43918324,0.12202268,-0.13592969,0.036846235,0.024285357,0.1785931,-0.077843696,-0.11783405,0.13095865,1.0,0.109623656
0.029522993,-0.82780993,-0.03866115,0.83426285,0.86247253,-0.82091,-0.8376199,-0.81819713,-0.8328014,0.81654674,-0.7252135,0.85721993,-0.7985497,-0.07894452,-0.7992526,-0.8112042,-0.83904517,0.815461,0.061647147,-0.72914034,0.02507343,0.051631145,0.109623656,1.0
