Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,-0.033296444,0.35379627,0.3746981,0.13298056,0.5952618,-0.08591502,0.3798038,0.5593562,0.42820323,0.7033148,-0.40743172,-0.32175338,0.24452884,0.18149179,0.04522467,0.45035166,0.5998764,-0.4439733,0.4603646,0.18047024,0.12978107,0.46352988,0.16967176
-0.033296444,1.0,-0.14470665,-0.48819727,-0.47624978,0.27955094,0.6872454,0.54460484,0.32712656,-0.4712602,0.11248194,-0.69128054,0.53466487,-0.07682027,0.4280373,0.1933997,0.45618606,-0.35698044,0.005172801,0.12570441,0.09290597,0.041355938,-0.13928819,-0.31481034
0.35379627,-0.14470665,1.0,0.08515923,-0.054269757,0.25374138,0.043262042,0.21931948,0.37123004,0.10873133,0.3681704,-0.077652216,-0.0008946791,-0.21443799,0.05883889,0.049478058,0.07445529,0.46161485,-0.18225294,0.23554684,0.0033655614,0.21210141,0.04742053,0.34668005
0.3746981,-0.48819727,0.08515923,1.0,0.5941768,0.11881349,-0.5079054,-0.19031641,0.15337828,0.73897696,0.34151798,0.2413015,-0.7241088,0.53354675,-0.25952917,-0.044858806,-0.11668141,0.5091034,-0.13947889,0.2821621,0.20550641,-0.23707145,0.3763077,0.28571862
0.13298056,-0.47624978,-0.054269757,0.5941768,1.0,-0.10523073,-0.47392055,-0.32696855,-0.12228835,0.44816023,0.01684623,0.41484493,-0.5349628,0.48241794,0.06897998,-0.011164988,-0.34691918,0.2406669,-0.16182494,-0.054174334,-0.05648028,-0.26569635,0.48090446,0.53642654
0.5952618,0.27955094,0.25374138,0.11881349,-0.10523073,1.0,0.16731627,0.5714282,0.6511658,0.1962238,0.67146754,-0.5964361,-0.05326151,0.15345706,0.34373808,0.15379873,0.69606966,0.33960333,-0.4144458,0.51853144,0.10610323,0.11056888,0.3373549,-0.06368029
-0.08591502,0.6872454,0.043262042,-0.5079054,-0.47392055,0.16731627,1.0,0.39038378,0.15600412,-0.36835295,0.0993893,-0.53830683,0.5597333,-0.18563181,0.29918593,0.16241401,0.3092708,-0.22325727,0.120712474,0.1983967,0.21897225,0.08293215,-0.14682972,-0.2473805
0.3798038,0.54460484,0.21931948,-0.19031641,-0.32696855,0.5714282,0.39038378,1.0,0.6063163,-0.10359195,0.4458765,-0.7271261,0.22782362,-0.018227171,0.49632007,0.27044478,0.5631109,0.1180578,-0.27843678,0.44349924,0.10557612,0.0092274165,0.22993028,-0.12156371
0.5593562,0.32712656,0.37123004,0.15337828,-0.12228835,0.6511658,0.15600412,0.6063163,1.0,0.14799216,0.6383029,-0.60068256,-0.10550231,0.24972628,0.32137638,0.20822427,0.57497,0.3196138,-0.25960338,0.5066562,0.14586103,-0.079903185,0.3177599,0.07713313
0.42820323,-0.4712602,0.10873133,0.73897696,0.44816023,0.1962238,-0.36835295,-0.10359195,0.14799216,1.0,0.45203507,0.15856162,-0.58712643,0.42521986,-0.2177262,-0.119038895,-0.080103315,0.69712,-0.17000628,0.39607453,0.17190497,-0.20037767,0.41288054,0.17588034
0.7033148,0.11248194,0.3681704,0.34151798,0.01684623,0.67146754,0.0993893,0.4458765,0.6383029,0.45203507,1.0,-0.5335204,-0.21505585,0.25414872,0.18083638,0.02178834,0.5575717,0.62324214,-0.2771834,0.5986999,0.1926683,0.01759869,0.45820415,0.04393753
-0.40743172,-0.69128054,-0.077652216,0.2413015,0.41484493,-0.5964361,-0.53830683,-0.7271261,-0.60068256,0.15856162,-0.5335204,1.0,-0.28477785,-0.032478224,-0.39866853,-0.24607515,-0.6595409,-0.08187892,0.23463327,-0.40742254,-0.13513723,0.032366175,-0.21271029,0.2881899
-0.32175338,0.53466487,-0.0008946791,-0.7241088,-0.5349628,-0.05326151,0.5597333,0.22782362,-0.10550231,-0.58712643,-0.21505585,-0.28477785,1.0,-0.5849827,0.25877193,0.019857815,0.09930468,-0.42665458,0.13418159,-0.124234326,-0.12073295,0.2517318,-0.32413954,-0.19293305
0.24452884,-0.07682027,-0.21443799,0.53354675,0.48241794,0.15345706,-0.18563181,-0.018227171,0.24972628,0.42521986,0.25414872,-0.032478224,-0.5849827,1.0,0.11224898,0.1374231,0.12076542,0.20873201,-0.11232017,0.28268254,0.17811465,-0.36518303,0.32630196,0.17495008
0.18149179,0.4280373,0.05883889,-0.25952917,0.06897998,0.34373808,0.29918593,0.49632007,0.32137638,-0.2177262,0.18083638,-0.39866853,0.25877193,0.11224898,1.0,0.24498472,0.3203174,-0.079139054,-0.1887109,0.23720722,-0.0046132323,-0.049979676,0.35059398,0.21617644
0.04522467,0.1933997,0.049478058,-0.044858806,-0.011164988,0.15379873,0.16241401,0.27044478,0.20822427,-0.119038895,0.02178834,-0.24607515,0.019857815,0.1374231,0.24498472,1.0,0.18857583,-0.013546474,0.03447447,0.10290031,0.09307834,-0.19469695,0.16229355,-0.034630094
0.45035157,0.456186,0.07445529,-0.11668143,-0.34691912,0.69606966,0.30927086,0.5631107,0.5749699,-0.08010335,0.55757165,-0.6595409,0.099304676,0.1207654,0.3203174,0.18857583,1.0,0.019124657,-0.20376554,0.41882896,0.037364706,0.08863589,0.12772663,-0.26024726
0.5998764,-0.35698044,0.4616148,0.5091033,0.24066688,0.33960336,-0.2232573,0.11805781,0.3196138,0.69711995,0.62324226,-0.08187892,-0.42665452,0.20873196,-0.079139054,-0.013546456,0.019124657,1.0,-0.2794178,0.4784272,0.1585073,0.014819455,0.39583004,0.24675289
-0.44397327,0.0051728087,-0.18225294,-0.13947892,-0.16182493,-0.41444576,0.12071248,-0.2784368,-0.25960335,-0.17000623,-0.27718335,0.23463325,0.1341816,-0.112320185,-0.18871093,0.034474462,-0.20376554,-0.2794178,1.0,-0.24656546,-0.010711208,-0.2889951,-0.30500683,-0.3164348
0.46036476,0.12570442,0.23554683,0.28216207,-0.054174334,0.5185314,0.19839665,0.44349924,0.50665605,0.39607462,0.5986999,-0.40742248,-0.12423429,0.28268254,0.23720722,0.10290028,0.41882896,0.4784272,-0.24656546,1.0,0.26037332,-0.0016614804,0.25219488,0.12636892
0.18047027,0.092905976,0.0033655595,0.20550643,-0.056480285,0.10610324,0.21897227,0.10557611,0.14586103,0.17190498,0.19266832,-0.13513725,-0.120732956,0.17811467,-0.0046132198,0.09307833,0.037364706,0.1585073,-0.010711208,0.26037332,1.0,-0.038833134,0.054320164,-0.010162965
0.12978105,0.041355938,0.21210146,-0.23707142,-0.26569638,0.11056891,0.08293213,0.00922742,-0.07990319,-0.2003777,0.017598687,0.032366175,0.2517318,-0.36518312,-0.04997968,-0.19469693,0.08863589,0.014819455,-0.2889951,-0.0016614804,-0.038833134,1.0,-0.28643742,0.076158375
0.46352968,-0.13928816,0.047420554,0.37630764,0.48090452,0.33735484,-0.14682972,0.22993031,0.3177599,0.41288048,0.4582041,-0.21271026,-0.32413962,0.32630196,0.35059398,0.16229352,0.12772663,0.39583004,-0.30500683,0.25219488,0.054320164,-0.28643742,1.0,0.26298055
0.16967177,-0.3148104,0.34668002,0.28571865,0.53642654,-0.063680306,-0.24738048,-0.12156371,0.077133104,0.17588027,0.04393754,0.2881898,-0.19293304,0.17495008,0.21617639,-0.034630097,-0.26024726,0.24675289,-0.3164348,0.12636892,-0.010162965,0.076158375,0.26298055,1.0
