Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,-0.02208497,0.19399211,0.1419741,0.11636777,0.30731314,-0.089423135,0.20925897,0.24523968,0.29795787,0.3114165,-0.19865519,-0.2841617,0.13287516,0.090872996,0.062198892,0.19220047,0.38583073,-0.17615752,0.348485,0.2079987,-0.13633001,0.3064927,0.11174318
-0.02208497,1.0,0.010679009,-0.34597275,-0.3375691,0.21335253,0.61560357,0.46174386,0.34499696,-0.39149377,0.17553775,-0.60658836,0.4014293,-0.021755569,0.33160242,0.14291137,0.22773351,-0.2761585,-0.13904247,0.1619871,0.022653831,0.2251912,-0.010674428,-0.2309731
0.19399211,0.010679009,1.0,-0.11626293,-0.049280867,0.22060406,0.053050436,0.11836498,0.3961467,-0.12946564,0.30159792,-0.21822758,0.0728622,-0.023197202,0.13609299,0.12624359,0.10972774,0.23409994,-0.27058733,0.0925974,-0.02855497,0.17572936,0.11804193,0.23442711
0.1419741,-0.34597275,-0.11626293,1.0,0.48715067,-0.08638871,-0.4358825,-0.19445044,-0.12726851,0.5547548,0.048430976,0.36437058,-0.43173814,0.13883498,-0.34987003,-0.0038435217,-0.15403819,0.31528002,0.094286576,0.06947611,0.15002987,-0.34803426,0.06294426,0.0765189
0.11636777,-0.3375691,-0.049280867,0.48715067,1.0,-0.19211443,-0.31571567,-0.20972781,-0.25715214,0.39204526,-0.057790577,0.38636327,-0.3527432,0.23798148,-0.041926555,-0.088197075,-0.38633573,0.21054834,0.08208873,-0.057048127,-0.010747228,-0.36942628,0.24182907,0.34340942
0.30731314,0.21335253,0.22060406,-0.08638871,-0.19211443,1.0,0.06968709,0.4430359,0.51320577,0.04591839,0.46135733,-0.3544976,0.078348495,-0.117332235,0.3640573,0.10078528,0.55459625,0.17459773,-0.24109565,0.38458675,0.048532814,0.16793731,0.18140244,-0.043890025
-0.089423135,0.61560357,0.053050436,-0.4358825,-0.31571567,0.06968709,1.0,0.24410252,0.1281474,-0.36736375,0.107168,-0.4420774,0.31754774,0.022948436,0.29173183,0.20428926,0.2050927,-0.23235348,-0.06733309,0.123352334,0.103447415,0.14891204,0.0044897795,-0.13499063
0.20925897,0.46174386,0.11836498,-0.19445044,-0.20972781,0.4430359,0.24410252,1.0,0.4827978,-0.17098269,0.32043445,-0.5996423,0.24792457,-0.077128276,0.40510273,0.1640002,0.3946167,-0.05409599,-0.21818198,0.26994193,0.042826034,0.10435884,0.12986338,-0.10659556
0.24523968,0.34499696,0.3961467,-0.12726851,-0.25715214,0.51320577,0.1281474,0.4827978,1.0,-0.13202386,0.42186642,-0.49298573,0.045367092,0.008280482,0.31477213,0.15170786,0.4661837,0.04050954,-0.20566346,0.30442375,0.020622998,0.07653187,0.14012888,-0.049990036
0.29795787,-0.39149377,-0.12946564,0.5547548,0.39204526,0.04591839,-0.36736375,-0.17098269,-0.13202386,1.0,0.10149142,0.31406793,-0.4174803,0.06064469,-0.24899295,-0.08424068,-0.15004028,0.52890074,0.06045624,0.1758964,0.11312434,-0.32655108,0.10536253,0.04522324
0.3114165,0.17553775,0.30159792,0.048430976,-0.057790577,0.46135733,0.107168,0.32043445,0.42186642,0.10149142,1.0,-0.32104364,0.0005882159,-0.054243084,0.14408483,0.0752223,0.40925783,0.2519469,-0.106605485,0.27197695,0.13158259,-0.052681837,0.22431031,0.023121472
-0.19865519,-0.60658836,-0.21822758,0.36437058,0.38636327,-0.3544976,-0.4420774,-0.5996423,-0.49298573,0.31406793,-0.32104364,1.0,-0.26486447,-0.026356433,-0.26101732,-0.21135834,-0.38291413,0.07704911,0.27256405,-0.15352108,-0.055723324,-0.13278559,-0.1274385,0.1838848
-0.2841617,0.4014293,0.0728622,-0.43173814,-0.3527432,0.078348495,0.31754774,0.24792457,0.045367092,-0.4174803,0.0005882159,-0.26486447,1.0,-0.4033026,0.29319957,-0.07360262,0.061748765,-0.34004888,-0.24739364,-0.019909196,-0.22277176,0.34458438,-0.06401716,-0.07054491
0.13287516,-0.021755569,-0.023197202,0.13883498,0.23798148,-0.117332235,0.022948436,-0.077128276,0.008280482,0.06064469,-0.054243084,-0.026356433,-0.4033026,1.0,-0.05397632,0.16590205,0.0005962886,-0.06594433,0.18509024,0.09794038,0.12976135,-0.33650488,0.09173447,0.11614909
0.090872996,0.33160242,0.13609299,-0.34987003,-0.041926555,0.3640573,0.29173183,0.40510273,0.31477213,-0.24899295,0.14408483,-0.26101732,0.29319957,-0.05397632,1.0,0.14461228,0.20788644,-0.042146496,-0.10375496,0.20688447,-0.03714453,0.031027926,0.37430725,0.0687419
0.062198892,0.14291137,0.12624359,-0.0038435217,-0.088197075,0.10078528,0.20428926,0.1640002,0.15170786,-0.08424068,0.0752223,-0.21135834,-0.07360262,0.16590205,0.14461228,1.0,0.23326407,-0.09953646,0.03936882,0.041332304,0.12567765,-0.08221584,0.077896476,-0.07976922
0.19220045,0.22773351,0.10972773,-0.15403819,-0.38633567,0.5545964,0.20509276,0.39461684,0.46618372,-0.15004031,0.40925783,-0.38291407,0.061748788,0.00059626997,0.2078864,0.23326406,1.0,-0.13968027,-0.061135866,0.26624656,0.07941644,0.062292214,0.0039493847,-0.2697547
0.3858307,-0.2761585,0.23409997,0.31527996,0.21054833,0.1745977,-0.23235351,-0.05409599,0.040509522,0.5289007,0.25194684,0.07704912,-0.34004873,-0.06594433,-0.042146493,-0.099536434,-0.13968027,1.0,-0.090721525,0.22995992,0.0914282,-0.19429642,0.23659495,0.23322111
-0.17615747,-0.13904248,-0.27058735,0.09428655,0.08208874,-0.24109565,-0.06733308,-0.21818194,-0.20566343,0.060456224,-0.106605485,0.272564,-0.24739364,0.18509018,-0.10375497,0.0393688,-0.061135866,-0.090721525,1.0,-0.13776149,0.11715244,-0.46472675,-0.067018956,-0.23635554
0.34848505,0.16198708,0.092597395,0.06947611,-0.057048135,0.3845867,0.123352334,0.26994193,0.30442375,0.1758964,0.271977,-0.15352108,-0.019909192,0.097940385,0.20688447,0.041332304,0.26624656,0.22995992,-0.13776149,1.0,0.1670685,-0.046280913,0.12852111,0.17865507
0.20799877,0.022653826,-0.028554961,0.15002987,-0.010747219,0.048532788,0.10344742,0.04282603,0.020623012,0.11312437,0.13158259,-0.05572333,-0.22277164,0.12976137,-0.037144534,0.12567766,0.07941644,0.0914282,0.11715244,0.1670685,1.0,-0.16877683,0.01845262,-0.049836498
-0.13633001,0.2251912,0.1757294,-0.34803432,-0.36942625,0.16793728,0.14891204,0.10435881,0.07653189,-0.326551,-0.05268185,-0.13278556,0.34458435,-0.33650482,0.031027917,-0.08221581,0.062292214,-0.19429642,-0.46472675,-0.046280913,-0.16877683,1.0,-0.20253457,-0.0127225835
0.3064927,-0.01067442,0.11804198,0.06294426,0.24182902,0.18140244,0.004489782,0.12986337,0.14012887,0.10536252,0.2243104,-0.1274385,-0.06401716,0.091734484,0.37430722,0.07789649,0.0039493847,0.23659495,-0.067018956,0.12852111,0.01845262,-0.20253457,1.0,0.17715207
0.11174321,-0.23097312,0.23442711,0.076518886,0.34340942,-0.043890044,-0.13499063,-0.10659556,-0.049990036,0.04522325,0.02312146,0.18388487,-0.07054494,0.116149075,0.06874189,-0.079769254,-0.2697547,0.23322111,-0.23635554,0.17865507,-0.049836498,-0.0127225835,0.17715207,1.0
