Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.11465751,-0.031803787,-0.044042073,-0.09755512,0.20086779,-0.055766325,0.26205486,0.18769334,-0.042410195,0.16620946,-0.23104343,0.029717207,0.039272886,0.23634353,-0.014791345,0.13671461,-0.018157251,-0.13755377,0.13047698,-0.06168741,-0.09277839,0.30129212,0.04792372
0.11465751,1.0,-0.030525915,-0.4615792,-0.58386177,0.3651222,0.55762446,0.5415081,0.44281685,-0.4441448,0.16714482,-0.56325734,0.3305717,-0.074916564,0.3693233,0.09136946,0.4131657,-0.34063238,-0.06477623,0.17564285,-0.12202507,0.035559677,-0.08040987,-0.21803692
-0.031803787,-0.030525915,1.0,0.047359344,-0.057121977,0.116671756,0.18396959,-0.041812856,0.0578482,0.049993575,0.08977753,-0.088538535,-0.1259722,0.25746077,0.025836702,0.16364482,0.06124851,0.27177727,0.062375337,0.17441529,0.0036912598,0.04785631,-0.02252241,0.059483096
-0.044042073,-0.4615792,0.047359344,1.0,0.54202724,-0.28957587,-0.38428247,-0.27534437,-0.24909961,0.51634985,-0.12848967,0.38323137,-0.3840167,0.0043279342,-0.35382783,0.013181139,-0.35197085,0.31155854,-0.05677236,-0.119410574,-0.068899475,-0.086051874,0.16056356,0.14084987
-0.09755512,-0.58386177,-0.057121977,0.54202724,1.0,-0.31883663,-0.47624743,-0.33007017,-0.38399407,0.52428085,-0.11950451,0.411834,-0.40730828,0.12385609,-0.29720592,-0.109889194,-0.40228117,0.3268937,-0.043356426,-0.17348795,0.04638546,-0.042292297,0.15050176,0.22425003
0.20086779,0.3651222,0.116671756,-0.28957587,-0.31883663,1.0,0.24046536,0.49209183,0.40160728,-0.29856336,0.2860635,-0.3993581,0.17977954,0.070971675,0.39376253,0.038754754,0.52195287,-0.14884031,-0.012886889,0.27855286,-0.037504017,0.06882953,0.16193873,-0.11746019
-0.055766325,0.55762446,0.18396959,-0.38428247,-0.47624743,0.24046536,1.0,0.33264273,0.2834447,-0.36537254,0.03328287,-0.44760495,0.15797776,0.16687393,0.22671117,0.21178292,0.3626243,-0.20353958,-0.010277558,0.26401454,-0.05406456,-0.065453544,-0.24742159,-0.15200506
0.26205486,0.5415081,-0.041812856,-0.27534437,-0.33007017,0.49209183,0.33264273,1.0,0.46607232,-0.37372065,0.3535745,-0.5044193,0.19869058,-0.015205549,0.4223665,0.13364206,0.51714754,-0.22004256,-0.16423264,0.13373649,-0.019832764,-0.05690465,0.19440016,-0.19852948
0.18769334,0.44281685,0.0578482,-0.24909961,-0.38399407,0.40160728,0.2834447,0.46607232,1.0,-0.250037,0.27445823,-0.43259922,0.2311778,0.024706567,0.35849836,0.11936787,0.3970699,-0.25240538,-0.0072656907,0.2976904,-0.03825429,-0.13166535,0.16945441,-0.17668602
-0.042410195,-0.4441448,0.049993575,0.51634985,0.52428085,-0.29856336,-0.36537254,-0.37372065,-0.250037,1.0,-0.14898582,0.3518604,-0.3585397,0.10702592,-0.4534605,-0.1747859,-0.45404875,0.3653799,-0.008586539,-0.0789693,-0.062215317,0.014210128,0.00943877,0.02262219
0.16620946,0.16714482,0.08977753,-0.12848967,-0.11950451,0.2860635,0.03328287,0.3535745,0.27445823,-0.14898582,1.0,-0.2609992,0.15533103,-0.09299657,0.15778008,0.03581574,0.37794182,-0.067931846,0.049298503,0.074340835,0.05700221,-0.00496619,0.20066673,0.00086635444
-0.23104343,-0.56325734,-0.088538535,0.38323137,0.411834,-0.3993581,-0.44760495,-0.5044193,-0.43259922,0.3518604,-0.2609992,1.0,-0.2729193,-0.12036092,-0.3250926,-0.2144907,-0.4013655,0.18003526,0.1070254,-0.26952782,0.1065882,0.053467087,-0.02418762,0.26328224
