Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.51189363,0.47495747,0.49651802,0.57585865,0.49466205,0.41538274,0.46723372,0.4997731,0.53248644,0.43801427,0.42502576,0.5845585,0.47753197,0.358213,0.51069075,0.48341343,0.5749866,0.46548423,0.41374987,0.47339946,0.5102961,0.4557094,0.42160082
0.51189363,1.0,0.61805975,0.67074186,0.58811927,0.54404175,0.59933627,0.65974414,0.5725402,0.6640231,0.5732577,0.6222404,0.53250587,0.5903553,0.52631485,0.5545349,0.5018095,0.68018687,0.6053353,0.5233477,0.6171502,0.5526799,0.5269915,0.48759896
0.47495747,0.61805975,1.0,0.72617996,0.6075537,0.5845952,0.5799513,0.562855,0.6423012,0.65903807,0.6883384,0.5928242,0.63320434,0.6958407,0.51245254,0.49589014,0.5535782,0.7877755,0.59119976,0.5920946,0.59777975,0.5830016,0.5509784,0.5102215
0.49651802,0.67074186,0.72617996,1.0,0.68997514,0.59008694,0.538116,0.5843574,0.5582632,0.81671274,0.6297043,0.657141,0.61380386,0.6868271,0.6611589,0.58261687,0.532811,0.72191614,0.6794723,0.52299976,0.7292796,0.6049623,0.6170027,0.56601006
0.57585865,0.58811927,0.6075537,0.68997514,1.0,0.6353082,0.4593156,0.47881603,0.5215629,0.7250817,0.5067804,0.6018654,0.7097397,0.6142155,0.608935,0.6395725,0.47909573,0.5899689,0.4822607,0.46037486,0.6042492,0.59001696,0.65763783,0.631075
0.49466205,0.54404175,0.5845952,0.59008694,0.6353082,1.0,0.42749858,0.49895698,0.5731566,0.65473276,0.5316635,0.4773478,0.6246492,0.512373,0.5185776,0.43511373,0.6445576,0.6190298,0.55983835,0.49345428,0.47664207,0.61728674,0.5356231,0.5025453
0.41538274,0.59933627,0.5799513,0.538116,0.4593156,0.42749858,1.0,0.4455011,0.45940137,0.52364933,0.49895096,0.451824,0.59321964,0.63036096,0.38492084,0.4251181,0.437636,0.52725446,0.45169216,0.57904947,0.52077067,0.48263904,0.3537408,0.3043068
0.46723372,0.65974414,0.562855,0.5843574,0.47881603,0.49895698,0.4455011,1.0,0.5914098,0.5687245,0.60064614,0.6423362,0.42841107,0.48328415,0.5774769,0.5796608,0.602877,0.64329803,0.71407574,0.61430776,0.54046357,0.6012256,0.6124604,0.5344825
0.4997731,0.5725402,0.6423012,0.5582632,0.5215629,0.5731566,0.45940137,0.5914098,1.0,0.5357735,0.592152,0.50526834,0.55384463,0.5842283,0.47964704,0.4316509,0.48350325,0.62586474,0.5747448,0.50381637,0.46375227,0.5161016,0.55993986,0.5932025
0.53248644,0.6640231,0.65903807,0.81671274,0.7250817,0.65473276,0.52364933,0.5687245,0.5357735,1.0,0.6098274,0.63923186,0.68755686,0.7408124,0.67918503,0.57594347,0.58180904,0.72218,0.6168229,0.4972378,0.64694095,0.63884485,0.62358546,0.6108135
