Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.9564146,0.9575901,0.959876,0.9516772,0.96085626,0.9618223,0.96904117,0.9535885,0.95858186,0.9631021,0.94999707,0.953012,0.9324326,0.94841003,0.9699624,0.9665973,0.9730196,0.94100857,0.9655837,0.95598483,0.9608823,0.95991373,0.95025706
0.9564146,1.0,0.96612215,0.97526133,0.9576982,0.96467626,0.9663869,0.9684208,0.9560484,0.9741217,0.9669218,0.97206604,0.96327484,0.95270383,0.9656004,0.96511245,0.9586729,0.9775917,0.9650444,0.9579264,0.9817243,0.96678066,0.95528686,0.9545193
0.9575901,0.96612215,1.0,0.97139955,0.9611658,0.9633126,0.96466076,0.9584831,0.96909046,0.97312826,0.9697978,0.95995116,0.96105814,0.9574082,0.9502347,0.96141446,0.9592442,0.9781512,0.9533773,0.95869714,0.9704114,0.9609869,0.9596038,0.95206666
0.959876,0.97526133,0.97139955,1.0,0.97295284,0.9722159,0.97024393,0.96102804,0.9540422,0.9822677,0.9679806,0.97753406,0.9704691,0.9557041,0.96428454,0.9715947,0.95603454,0.97425723,0.9712408,0.9575892,0.9848021,0.9715878,0.95517635,0.95451206
0.9516772,0.9576982,0.9611658,0.97295284,1.0,0.9685939,0.95642394,0.9461924,0.9418098,0.96645594,0.9604587,0.9697397,0.9720268,0.95122826,0.9668164,0.9709557,0.94578433,0.96260196,0.9563091,0.9470704,0.9628874,0.958019,0.96376354,0.96787095
0.96085626,0.96467626,0.9633126,0.9722159,0.9685939,1.0,0.9630064,0.96723264,0.96019477,0.97219133,0.9661652,0.959142,0.9690889,0.946411,0.9694503,0.96127737,0.9720823,0.9740519,0.9563533,0.96750414,0.9600465,0.9650636,0.9613582,0.9595571
0.9618223,0.9663869,0.96466076,0.97024393,0.95642394,0.9630064,1.0,0.9569504,0.95409495,0.9706124,0.96967494,0.9550452,0.9765363,0.9644595,0.950399,0.96566236,0.961483,0.9679822,0.9507382,0.9682391,0.9680021,0.9640123,0.9509709,0.9483659
0.96904117,0.9684208,0.9584831,0.96102804,0.9461924,0.96723264,0.9569504,1.0,0.959754,0.95982265,0.96617806,0.95252705,0.9524532,0.94222736,0.95638955,0.9631944,0.9737074,0.97350585,0.957371,0.97202706,0.96195996,0.9655076,0.9491447,0.9482802
0.9535885,0.9560484,0.96909046,0.9540422,0.9418098,0.96019477,0.95409495,0.959754,1.0,0.95301926,0.96039885,0.93922114,0.95329046,0.954787,0.9465452,0.94403917,0.94762427,0.96458364,0.9444257,0.95292044,0.95205027,0.9513749,0.95192206,0.95031655
0.95858186,0.9741217,0.97312826,0.9822677,0.96645594,0.97219133,0.9706124,0.95982265,0.95301926,1.0,0.9722478,0.9723786,0.97291946,0.9627467,0.9610175,0.97034204,0.9584609,0.97707915,0.963401,0.95531356,0.98137903,0.9701499,0.9586514,0.96064466
0.9631021,0.9669218,0.9697978,0.9679806,0.9604587,0.9661652,0.96967494,0.96617806,0.96039885,0.9722478,1.0,0.9705425,0.9630382,0.9563401,0.95313597,0.9674734,0.96315503,0.98137957,0.9629755,0.9644359,0.96947455,0.9696819,0.95968014,0.9569334
0.94999707,0.97206604,0.95995116,0.97753406,0.9697397,0.959142,0.9550452,0.95252705,0.93922114,0.9723786,0.9705425,1.0,0.9588275,0.9420824,0.9591161,0.97355473,0.94243217,0.9677088,0.97288835,0.9463532,0.9755484,0.9706191,0.9503937,0.956286
0.953012,0.96327484,0.96105814,0.9704691,0.9720268,0.9690889,0.9765363,0.9524532,0.95329046,0.97291946,0.9630382,0.9588275,1.0,0.9699278,0.95992744,0.9630562,0.95520014,0.9645903,0.9584155,0.95691025,0.9652616,0.9612957,0.9607578,0.96119094
0.9324326,0.95270383,0.9574082,0.9557041,0.95122826,0.946411,0.9644595,0.94222736,0.954787,0.9627467,0.9563401,0.9420824,0.9699278,1.0,0.9435555,0.94881016,0.9341508,0.95263326,0.9481615,0.9384886,0.9664365,0.951195,0.9424742,0.9499463
0.94841003,0.9656004,0.9502347,0.96428454,0.9668164,0.9694503,0.950399,0.95638955,0.9465452,0.9610175,0.95313597,0.9591161,0.95992744,0.9435555,1.0,0.96020347,0.95167506,0.96254325,0.946985,0.94891304,0.9541713,0.95200235,0.9726486,0.97144747
0.9699624,0.96511245,0.96141446,0.9715947,0.9709557,0.96127737,0.96566236,0.9631944,0.94403917,0.97034204,0.9674734,0.97355473,0.9630562,0.94881016,0.96020347,1.0,0.9529892,0.96829367,0.9626587,0.9549793,0.97286916,0.9682022,0.9635875,0.9606052
0.9665973,0.95867276,0.95924395,0.9560343,0.9457843,0.9720824,0.9614829,0.97370744,0.9476244,0.9584609,0.9631549,0.9424323,0.9552002,0.93415105,0.95167494,0.95298916,1.0,0.9708216,0.9426918,0.98454905,0.9531647,0.9623544,0.9485587,0.94033563
0.9730196,0.9775919,0.9781512,0.9742573,0.96260226,0.974052,0.96798205,0.97350585,0.96458364,0.9770793,0.9813795,0.9677088,0.9645903,0.95263326,0.96254295,0.9682938,0.9708216,1.0,0.964301,0.9688066,0.9719599,0.97147846,0.964483,0.95683813
0.9410088,0.9650444,0.9533771,0.97124064,0.9563091,0.9563534,0.9507383,0.95737094,0.9444258,0.96340114,0.9629756,0.97288823,0.9584155,0.94816154,0.94698507,0.96265864,0.9426918,0.964301,1.0,0.94763553,0.97329575,0.9740654,0.9351315,0.9417893
0.9655835,0.9579264,0.95869684,0.95758915,0.9470701,0.96750414,0.96823895,0.9720274,0.9529204,0.95531356,0.96443605,0.9463531,0.95691055,0.9384887,0.9489129,0.9549795,0.98454905,0.9688066,0.94763553,1.0,0.9529753,0.9610715,0.9467542,0.9384141
0.95598483,0.98172426,0.9704114,0.984802,0.9628873,0.9600465,0.9680022,0.96195996,0.9520501,0.9813793,0.9694743,0.9755486,0.9652617,0.9664364,0.9541713,0.9728693,0.9531647,0.9719599,0.97329575,0.9529753,1.0,0.9731407,0.9502483,0.951981
0.9608821,0.9667807,0.96098715,0.9715878,0.95801896,0.9650638,0.96401227,0.9655076,0.95137495,0.97014964,0.9696819,0.9706192,0.96129555,0.9511949,0.9520024,0.9682022,0.9623544,0.97147846,0.9740654,0.9610715,0.9731407,1.0,0.9458802,0.9431736
0.9599137,0.9552871,0.959604,0.955176,0.96376336,0.9613584,0.95097077,0.9491447,0.9519224,0.95865154,0.9596803,0.95039356,0.96075785,0.942474,0.9726484,0.96358746,0.9485587,0.964483,0.9351315,0.9467542,0.9502483,0.9458802,1.0,0.96631163
0.95025706,0.95451915,0.9520669,0.95451224,0.96787083,0.9595569,0.94836605,0.94828,0.95031655,0.96064496,0.9569332,0.9562861,0.96119094,0.94994617,0.9714473,0.96060526,0.94033563,0.95683813,0.9417893,0.9384141,0.951981,0.9431736,0.96631163,1.0
