Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.3369674,0.4933176,0.5448245,0.5990606,0.4576418,0.48809308,0.39594,0.50032973,0.5900001,0.4475274,0.44038504,0.5567222,0.45113716,0.43493694,0.40409875,0.4196943,0.5219007,0.3639655,0.32874456,0.53100145,0.40581998,0.4349888,0.3878222
0.3369674,1.0,0.4521032,0.42009145,0.35044605,0.27289137,0.6531555,0.34213102,0.32280725,0.47093508,0.5133889,0.4635417,0.4225543,0.3786904,0.27921724,0.27928603,0.31990328,0.4078938,0.38426393,0.3483266,0.42099243,0.4002574,0.3126709,0.27010685
0.4933176,0.4521032,1.0,0.70462525,0.5543331,0.5457659,0.60019225,0.5583435,0.6012987,0.68572897,0.6770725,0.6552861,0.5342969,0.5507565,0.41959608,0.3969593,0.5089613,0.68541056,0.5114207,0.42863584,0.516085,0.5723399,0.5173019,0.46207184
0.5448245,0.42009145,0.70462525,1.0,0.70882654,0.5386386,0.6996352,0.5303626,0.6214432,0.8927298,0.64559215,0.73403054,0.65079117,0.65888023,0.6258669,0.57385546,0.514975,0.62865055,0.58706915,0.44178846,0.7722835,0.5260218,0.5807456,0.6589946
0.5990606,0.35044605,0.5543331,0.70882654,1.0,0.52856547,0.5449691,0.4252514,0.50625265,0.7251867,0.5175058,0.6737539,0.64230925,0.58485615,0.5411942,0.64561665,0.41842857,0.51688635,0.41660696,0.3079117,0.67500293,0.39954355,0.5927593,0.61658525
0.4576418,0.27289137,0.5457659,0.5386386,0.52856547,1.0,0.53350186,0.44064063,0.4581663,0.54514414,0.45411652,0.41509724,0.5126827,0.5213056,0.52777666,0.37556046,0.5764379,0.52190524,0.4782747,0.44265303,0.43562153,0.53885263,0.4717147,0.4494388
0.48809308,0.6531555,0.60019225,0.6996352,0.5449691,0.53350186,1.0,0.4494388,0.5527475,0.70124507,0.6110208,0.5781702,0.64891064,0.6236862,0.46064627,0.41370732,0.49562883,0.56312805,0.5083592,0.5505064,0.6211269,0.47860262,0.44377095,0.48935997
0.39594,0.34213102,0.5583435,0.5303626,0.4252514,0.44064063,0.4494388,1.0,0.43761283,0.5191415,0.48912853,0.53591394,0.4511268,0.44749275,0.48461097,0.3756066,0.5433268,0.5353726,0.5300372,0.4926325,0.4153353,0.49669927,0.41648024,0.40429622
0.50032973,0.32280725,0.6012987,0.6214432,0.50625265,0.4581663,0.5527475,0.43761283,1.0,0.6007835,0.46939403,0.48567697,0.60107213,0.5167414,0.3988983,0.29084593,0.44985184,0.4987543,0.40217698,0.38703185,0.4483997,0.42051682,0.46252742,0.5944712
0.5900001,0.47093508,0.68572897,0.8927298,0.7251867,0.54514414,0.70124507,0.5191415,0.6007835,1.0,0.6618011,0.72781086,0.7000345,0.7167836,0.60883427,0.5308714,0.5229862,0.6972467,0.5237062,0.43633613,0.75232124,0.5459634,0.578006,0.6571816
0.4475274,0.5133889,0.6770725,0.64559215,0.5175058,0.45411652,0.6110208,0.48912853,0.46939403,0.6618011,1.0,0.6379267,0.49506092,0.6185709,0.4915049,0.39833382,0.54846525,0.6060526,0.49739546,0.47518617,0.6002829,0.56608075,0.524873,0.4809146
0.44038504,0.4635417,0.6552861,0.73403054,0.6737539,0.41509724,0.5781702,0.53591394,0.48567697,0.72781086,0.6379267,1.0,0.5125171,0.48815387,0.51695293,0.5458072,0.43687776,0.6200442,0.62145436,0.36648706,0.6514808,0.51875174,0.51604235,0.60324097
0.5567222,0.4225543,0.5342969,0.65079117,0.64230925,0.5126827,0.64891064,0.4511268,0.60107213,0.7000345,0.49506092,0.5125171,1.0,0.7275476,0.5099212,0.44263667,0.46860075,0.48353922,0.4173471,0.3899871,0.57601774,0.3869777,0.53353715,0.56016135
0.45113716,0.3786904,0.5507565,0.65888023,0.58485615,0.5213056,0.6236862,0.44749275,0.5167414,0.7167836,0.6185709,0.48815387,0.7275476,1.0,0.59116834,0.42296606,0.45763105,0.47360525,0.4357313,0.4001009,0.61061716,0.37818247,0.53764325,0.54924583
0.43493694,0.27921724,0.41959608,0.6258669,0.5411942,0.52777666,0.46064627,0.48461097,0.3988983,0.60883427,0.4915049,0.51695293,0.5099212,0.59116834,1.0,0.44975185,0.48111507,0.40630868,0.44873238,0.43600467,0.5382797,0.3967141,0.7204875,0.6905051
0.40409875,0.27928603,0.3969593,0.57385546,0.64561665,0.37556046,0.41370732,0.3756066,0.29084593,0.5308714,0.39833382,0.5458072,0.44263667,0.42296606,0.44975185,1.0,0.28656015,0.38985738,0.4544791,0.30272996,0.64902747,0.31931624,0.42470628,0.4239095
0.4196943,0.31990325,0.50896126,0.514975,0.41842854,0.57643783,0.49562886,0.54332674,0.44985187,0.5229862,0.54846525,0.4368779,0.46860072,0.45763117,0.48111516,0.28656012,1.0,0.506614,0.44088817,0.5643916,0.43152773,0.58482504,0.47349387,0.44452822
0.5219008,0.40789384,0.6854106,0.6286507,0.5168864,0.52190506,0.5631281,0.53537244,0.4987542,0.6972468,0.60605264,0.6200441,0.48353925,0.47360525,0.40630865,0.38985735,0.506614,1.0,0.5517899,0.39779228,0.5068876,0.50624704,0.45319232,0.51455194
0.36396548,0.38426393,0.51142055,0.5870691,0.41660693,0.47827476,0.5083592,0.53003716,0.40217698,0.5237062,0.4973954,0.6214544,0.4173471,0.43573123,0.44873244,0.4544791,0.44088817,0.5517899,1.0,0.43416023,0.54943943,0.6179165,0.41152674,0.42007375
0.32874453,0.34832647,0.42863584,0.44178852,0.3079116,0.44265318,0.5505066,0.49263263,0.38703182,0.4363362,0.4751861,0.3664871,0.38998717,0.40010095,0.43600476,0.30272987,0.5643916,0.39779228,0.43416023,1.0,0.3962748,0.5167378,0.39920115,0.32092482
0.53100145,0.4209923,0.51608497,0.7722833,0.6750029,0.4356216,0.6211268,0.41533536,0.44839972,0.7523213,0.60028297,0.65148085,0.576018,0.6106172,0.53827965,0.64902747,0.43152773,0.5068876,0.54943943,0.3962748,1.0,0.465449,0.51534534,0.50847924
0.4058199,0.40025747,0.5723399,0.5260217,0.3995435,0.5388527,0.4786026,0.49669924,0.42051676,0.5459634,0.5660807,0.5187517,0.38697773,0.37818247,0.3967141,0.31931624,0.58482504,0.50624704,0.6179165,0.5167378,0.465449,1.0,0.4346598,0.32818073
0.4349888,0.3126709,0.5173018,0.5807456,0.59275943,0.47171462,0.443771,0.41648027,0.4625273,0.5780059,0.52487296,0.5160424,0.53353703,0.5376434,0.7204875,0.42470628,0.47349387,0.45319232,0.41152674,0.39920115,0.51534534,0.4346598,1.0,0.58842635
0.3878222,0.27010682,0.46207175,0.6589946,0.6165854,0.44943875,0.48936006,0.40429616,0.59447134,0.6571815,0.48091453,0.60324085,0.56016135,0.5492458,0.6905051,0.4239095,0.44452822,0.51455194,0.42007375,0.32092482,0.50847924,0.32818073,0.58842635,1.0
