Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.24147052,0.23180228,0.15178359,0.29274696,0.27490175,0.1449566,0.10111132,0.36670217,0.26539126,0.114272565,0.17227206,0.38099366,0.22279386,0.124229476,0.2317707,0.15418655,0.3513658,0.16542798,0.07106999,0.17984821,0.2523968,0.19822504,0.21010317
0.24147052,1.0,0.17656898,0.16217758,0.22558486,0.08183221,0.33233094,0.10944401,0.122339785,0.240133,0.14672372,0.23791188,0.30328655,0.12913328,0.07047228,0.17933561,0.07654837,0.05998751,0.16207615,0.10404674,0.15644774,0.13245553,0.057650264,0.06974184
0.23180228,0.17656898,1.0,0.18253705,0.21818915,0.28797287,0.14851825,0.28639075,0.41784322,0.15630189,0.45574915,0.19398098,0.1698926,0.21351925,0.07487062,0.11548411,0.101263374,0.6111057,0.30937248,0.080825046,0.10187109,0.21578708,0.11285959,0.091216736
0.15178359,0.16217758,0.18253705,1.0,0.36105108,0.1366196,0.25673506,0.22497815,0.28606677,0.62872183,0.16066962,0.3678492,0.37545148,0.61076486,0.31138444,0.3250264,0.10497069,0.15396117,0.3222333,0.13534829,0.59741175,0.10274176,0.17852315,0.24140364
0.29274696,0.22558486,0.21818915,0.36105108,1.0,0.18639655,0.10336516,0.17270371,0.19711882,0.3921459,0.032145713,0.37294585,0.42118567,0.45389876,0.25572222,0.33322996,0.15296355,0.21307078,0.19099416,0.055571444,0.2408725,0.19075081,0.3327361,0.42084634
0.27490175,0.08183221,0.28797287,0.1366196,0.18639655,1.0,0.18810047,0.13157058,0.23357959,0.18348095,0.12901363,0.06492309,0.16166921,0.15281096,0.15378556,0.06258177,0.3062777,0.3331655,0.17804323,0.31941938,0.10826836,0.40633816,0.08147931,0.16009617
0.1449566,0.33233094,0.14851825,0.25673506,0.10336516,0.18810047,1.0,0.12933168,0.17691496,0.23120412,0.16892442,0.20263802,0.2739016,0.19166109,0.09897123,0.24199069,0.1536797,0.0841942,0.17169774,0.40931308,0.32191718,0.11487071,0.07859666,0.050785072
0.10111132,0.10944401,0.28639075,0.22497815,0.17270371,0.13157058,0.12933168,1.0,0.12282242,0.21521115,0.10444016,0.4624225,0.11911966,0.1728641,0.20229863,0.2515284,0.100007735,0.26921758,0.45158976,0.14414382,0.18503246,0.12270706,0.10982105,0.09396635
0.36670217,0.122339785,0.41784322,0.28606677,0.19711882,0.23357959,0.17691496,0.12282242,1.0,0.31680623,0.37507918,0.12646756,0.44662428,0.3981875,0.08990469,0.101465456,0.11662023,0.37191254,0.109947786,0.11330628,0.25846455,0.12481813,0.16137102,0.29615024
0.26539126,0.240133,0.15630189,0.62872183,0.3921459,0.18348095,0.23120412,0.21521115,0.31680623,1.0,0.15096365,0.32963416,0.45671764,0.5849234,0.27758327,0.24804427,0.15431206,0.18995786,0.21974373,0.1538387,0.46593574,0.1359598,0.18332876,0.2516358
