Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.50964284,0.45866457,0.42705578,0.6081953,0.47697663,0.412264,0.48633683,0.46877265,0.46313214,0.44686168,0.45362148,0.54292834,0.40677887,0.3995356,0.43011004,0.47400248,0.60796547,0.44992304,0.36444518,0.42882848,0.5317557,0.40296453,0.35974923
0.50964284,1.0,0.6294607,0.56986046,0.5922164,0.54959583,0.5975631,0.61424536,0.5836064,0.6116295,0.60546446,0.6510705,0.59898615,0.4686708,0.54591024,0.49053025,0.49146068,0.7074823,0.57469225,0.47000074,0.56584436,0.5969596,0.5414872,0.5635809
0.45866457,0.6294607,1.0,0.65931356,0.61513364,0.5715016,0.5735038,0.5060584,0.6575352,0.6431252,0.6559252,0.6457007,0.62410486,0.62482494,0.48711166,0.46450472,0.53006595,0.7633918,0.6111982,0.48053142,0.55210036,0.63012636,0.54814756,0.52338076
0.42705578,0.56986046,0.65931356,1.0,0.6621314,0.4946804,0.52776426,0.5324519,0.5229568,0.79365486,0.5811237,0.616301,0.57190794,0.6704519,0.63069,0.5934802,0.45421198,0.62421644,0.61816555,0.45646054,0.77544785,0.6452922,0.5800376,0.5312232
0.6081953,0.5922164,0.61513364,0.6621314,1.0,0.5610356,0.5073694,0.48167557,0.581311,0.65511084,0.5490717,0.6432154,0.69227487,0.59114945,0.58892703,0.6409914,0.466985,0.5978098,0.5292138,0.41528073,0.6270853,0.6043588,0.68992716,0.6163208
0.47697663,0.54959583,0.5715016,0.4946804,0.5610356,1.0,0.37041873,0.4340821,0.4933985,0.5196337,0.40363073,0.4546072,0.47434092,0.39925265,0.5266953,0.39586586,0.5633892,0.5695156,0.5157274,0.4319313,0.40593538,0.5732045,0.4835709,0.4578438
0.412264,0.5975631,0.5735038,0.52776426,0.5073694,0.37041873,1.0,0.37361455,0.5229168,0.52722937,0.54415107,0.49300522,0.6908729,0.6256511,0.388159,0.40298498,0.4220423,0.56775755,0.42511213,0.59170526,0.5411597,0.46902883,0.41295308,0.38536757
0.48633683,0.61424536,0.5060584,0.5324519,0.48167557,0.4340821,0.37361455,1.0,0.44860527,0.4839402,0.477264,0.5881721,0.4012416,0.38716924,0.514882,0.53894913,0.503519,0.5827751,0.6305863,0.5150386,0.42621338,0.5855789,0.5029793,0.4887196
0.46877265,0.5836064,0.6575352,0.5229568,0.581311,0.4933985,0.5229168,0.44860527,1.0,0.5152203,0.5572204,0.5189945,0.6523919,0.59261715,0.38008377,0.36294585,0.41700163,0.59630233,0.560238,0.42109552,0.4389739,0.5256918,0.5095681,0.63391113
0.46313214,0.6116295,0.6431252,0.79365486,0.65511084,0.5196337,0.52722937,0.4839402,0.5152203,1.0,0.60049975,0.63004327,0.62585163,0.75395465,0.5905764,0.5211457,0.5043446,0.66142845,0.52682924,0.4515096,0.68320453,0.6442244,0.55338943,0.536381
0.44686168,0.60546446,0.6559252,0.5811237,0.5490717,0.40363073,0.54415107,0.477264,0.5572204,0.60049975,1.0,0.6109706,0.51249117,0.5737077,0.36680517,0.43850338,0.51138145,0.74643385,0.52557766,0.49007007,0.5840775,0.64636505,0.5119426,0.50033116
0.45362148,0.6510705,0.6457007,0.616301,0.6432154,0.4546072,0.49300522,0.5881721,0.5189945,0.63004327,0.6109706,1.0,0.5031246,0.4911582,0.48283103,0.57698494,0.4314273,0.719342,0.704308,0.38561684,0.58001447,0.6771815,0.51556945,0.5664307
0.54292834,0.59898615,0.62410486,0.57190794,0.69227487,0.47434092,0.6908729,0.4012416,0.6523919,0.62585163,0.51249117,0.5031246,1.0,0.7224597,0.51208127,0.45558584,0.4816543,0.6105402,0.45582083,0.46260673,0.5419242,0.49673903,0.60363954,0.5667473
0.40677887,0.4686708,0.62482494,0.6704519,0.59114945,0.39925265,0.6256511,0.38716924,0.59261715,0.75395465,0.5737077,0.4911582,0.7224597,1.0,0.4582376,0.46030965,0.41410762,0.54160905,0.39695185,0.41533893,0.6460344,0.45638132,0.5257163,0.50661695
0.3995356,0.54591024,0.48711166,0.63069,0.58892703,0.5266953,0.388159,0.514882,0.38008377,0.5905764,0.36680517,0.48283103,0.51208127,0.4582376,1.0,0.48531497,0.44149727,0.47533765,0.44863927,0.43347245,0.4833027,0.4609328,0.666193,0.5689574
0.43011004,0.49053025,0.46450472,0.5934802,0.6409914,0.39586586,0.40298498,0.53894913,0.36294585,0.5211457,0.43850338,0.57698494,0.45558584,0.46030965,0.48531497,1.0,0.36217314,0.4416189,0.4616276,0.36272654,0.6564652,0.47896722,0.53338313,0.4446479
