Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.08456911,0.19513099,0.071568996,0.07184391,0.404734,0.060702916,0.33750895,0.21309671,0.1538205,0.4594512,-0.21594392,-0.023859205,0.036484558,0.18491344,-0.07848096,0.31660938,0.37301743,-0.31815866,0.28289977,0.09817418,0.09344593,0.36746043,0.09196956
0.08456911,1.0,-0.036429152,-0.3757267,-0.37669235,0.3230584,0.5776441,0.51728404,0.46313447,-0.3426236,0.2333415,-0.5638664,0.37714672,-0.18851483,0.43403295,0.04062643,0.4132012,-0.29061374,-0.009205159,0.28072512,-0.10814023,0.12422143,-0.02616816,-0.11887196
0.19513099,-0.036429152,1.0,0.044412293,-0.049064472,0.19844651,0.063903615,0.16221799,0.23581982,-0.0065239025,0.23431724,-0.07237703,0.12412037,-0.09768943,0.063384116,0.03920266,0.06338152,0.26371783,-0.16154154,0.14752838,0.0051673995,0.1310128,0.059690867,0.20308205
0.071568996,-0.3757267,0.044412293,1.0,0.5730903,-0.20224205,-0.36759174,-0.2612511,-0.24023414,0.6036067,-0.029715862,0.44666594,-0.4269508,0.14960933,-0.37293035,-0.034485824,-0.28457302,0.3426999,-0.009340037,-0.068827175,0.17994958,-0.1645185,0.11098786,0.115140684
0.07184391,-0.37669235,-0.049064472,0.5730903,1.0,-0.15778697,-0.3494263,-0.20175347,-0.29784906,0.42076182,-0.0935207,0.36914828,-0.4258433,0.25493556,-0.058378942,0.0022665355,-0.31196126,0.24359135,-0.036504455,-0.10550663,0.083080426,-0.19643162,0.31425866,0.29043007
0.404734,0.3230584,0.19844651,-0.20224205,-0.15778697,1.0,0.2549181,0.47941494,0.36795694,-0.14324091,0.36477238,-0.38019788,0.16503504,-0.0023514815,0.32649404,-0.011301698,0.45280588,0.14137438,-0.2461682,0.33602548,-0.05933936,0.25681013,0.21567535,-0.05049754
0.060702916,0.5776441,0.063903615,-0.36759174,-0.3494263,0.2549181,1.0,0.40386146,0.4139705,-0.2466633,0.22232543,-0.5520325,0.27464634,-0.10920429,0.34427053,0.107013755,0.40010843,-0.17053142,0.01046549,0.4231866,0.030093445,0.06455189,0.014357065,-0.10917136
0.33750895,0.51728404,0.16221799,-0.2612511,-0.20175347,0.47941494,0.40386146,1.0,0.39609835,-0.23594068,0.35493407,-0.51783967,0.28859463,-0.06907976,0.47217155,0.14315246,0.4615065,0.050014436,-0.25063708,0.35678837,-0.077030465,0.109332986,0.3254373,0.03400858
0.21309671,0.46313447,0.23581982,-0.24023414,-0.29784906,0.36795694,0.4139705,0.39609835,1.0,-0.18696216,0.3865406,-0.4470741,0.23781723,-0.10340974,0.24656707,0.00043351203,0.41427433,-0.0014831433,-0.049663942,0.39071634,-0.046414606,0.014574558,0.0757494,-0.021578604
0.1538205,-0.3426236,-0.0065239025,0.6036067,0.42076182,-0.14324091,-0.2466633,-0.23594068,-0.18696216,1.0,0.01621785,0.35361242,-0.30393296,0.24645458,-0.35890782,-0.14869338,-0.30330303,0.3853285,-0.12228284,0.038432144,0.09902818,-0.0617045,0.14730687,0.01796034
