Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,-0.015843324,0.37649524,0.1699351,0.11203705,0.29784557,-0.0059750676,0.17320646,0.21921283,0.21523625,0.44093007,-0.13824205,-0.25861585,0.24177867,0.11021517,0.122545354,0.11313303,0.44947594,-0.28839904,0.35732773,0.17576611,-0.13323143,0.44201547,0.22989783
-0.015843324,1.0,-0.06986715,-0.839926,-0.8475567,0.7720079,0.9047459,0.898823,0.8301115,-0.85284364,0.6136441,-0.9298044,0.69178873,-0.11679998,0.87052083,0.68894094,0.88851595,-0.7017233,-0.014979985,0.59199065,-0.1095208,0.040344283,-0.003576547,-0.64847124
0.37649524,-0.06986715,1.0,0.08737441,0.09908892,0.18598317,0.014479794,0.038753867,0.20415846,0.1276125,0.23543859,-0.01339337,-0.13939275,0.078993656,0.036817085,0.003016783,-0.0045660585,0.39885157,-0.19388092,0.16912493,0.008525465,0.09609476,0.21347356,0.31344825
0.1699351,-0.839926,0.08737441,1.0,0.85982275,-0.6333272,-0.811111,-0.7645955,-0.66409594,0.84914047,-0.41714773,0.81182885,-0.79797095,0.29104775,-0.77365214,-0.5361942,-0.7683531,0.72500926,-0.015176095,-0.37223297,0.24319468,-0.2250258,0.1800139,0.6362075
0.11203705,-0.8475567,0.09908892,0.85982275,1.0,-0.6696412,-0.77159244,-0.7847717,-0.73315406,0.81475985,-0.4947469,0.8209189,-0.7505497,0.25989136,-0.74331015,-0.5886341,-0.80746174,0.69461155,-0.08357658,-0.47752327,0.13800621,-0.19740494,0.19295734,0.689239
0.29784557,0.7720079,0.18598317,-0.6333272,-0.6696412,1.0,0.72913605,0.82944626,0.8684105,-0.6266713,0.74682236,-0.82665646,0.44532353,-0.02104674,0.80744463,0.64131284,0.84988445,-0.39818588,-0.13474452,0.6738662,-0.014973821,0.06401059,0.17536888,-0.4581859
-0.0059750676,0.9047459,0.014479794,-0.811111,-0.77159244,0.72913605,1.0,0.8418884,0.77660143,-0.77914953,0.572377,-0.8703833,0.61874795,-0.07204304,0.83061624,0.6844389,0.83619654,-0.60512984,-0.025908496,0.6043132,-0.05143475,0.029797941,0.00562327,-0.56760967
0.17320646,0.898823,0.038753867,-0.7645955,-0.7847717,0.82944626,0.8418884,1.0,0.864355,-0.78762376,0.7020025,-0.9256561,0.6036481,-0.058022484,0.89594966,0.70904756,0.9100271,-0.56070936,-0.1066298,0.6681809,-0.04655208,-0.023816077,0.15530905,-0.5730959
0.21921283,0.8301115,0.20415846,-0.66409594,-0.73315406,0.8684105,0.77660143,0.864355,1.0,-0.67856,0.74465036,-0.85924315,0.47719005,-0.00028870627,0.82895005,0.69511396,0.86527973,-0.45815492,-0.05889962,0.7014115,0.019289877,-0.02520089,0.15636148,-0.46895194
0.21523625,-0.85284364,0.1276125,0.84914047,0.81475985,-0.6266713,-0.77914953,-0.78762376,-0.67856,1.0,-0.41532335,0.80454904,-0.72967875,0.21345472,-0.80145127,-0.6189091,-0.80441314,0.79416347,-0.027658788,-0.3920405,0.11250125,-0.08930132,0.13889691,0.62319815
0.44093007,0.6136441,0.23543859,-0.41714773,-0.4947469,0.74682236,0.572377,0.7020025,0.74465036,-0.41532335,1.0,-0.670242,0.29348028,0.02408231,0.6507009,0.52343833,0.7163608,-0.18038642,-0.08827215,0.72112453,0.119653404,-0.14218652,0.3058624,-0.25745803
-0.13824205,-0.9298044,-0.01339337,0.81182885,0.8209189,-0.82665646,-0.8703833,-0.9256561,-0.85924315,0.80454904,-0.670242,1.0,-0.64240557,0.05477126,-0.8676528,-0.71175647,-0.8978986,0.5836499,0.11232905,-0.62585175,0.097581476,-0.016936526,-0.08950121,0.6000446
-0.25861585,0.69178873,-0.13939275,-0.79797095,-0.7505497,0.44532353,0.61874795,0.6036481,0.47719005,-0.72967875,0.29348028,-0.64240557,1.0,-0.45489383,0.60017854,0.41138232,0.56771624,-0.64293927,-0.0017809779,0.3168458,-0.27956048,0.22967198,-0.14427137,-0.5301162
0.24177867,-0.11679998,0.078993656,0.29104775,0.25989136,-0.02104674,-0.07204304,-0.058022484,-0.00028870627,0.21345472,0.02408231,0.05477126,-0.45489383,1.0,-0.053933978,0.13249084,-0.024080435,0.22258624,0.014720751,0.14163196,0.25198698,-0.33255115,0.23339975,0.12482193
0.11021517,0.87052083,0.036817085,-0.77365214,-0.74331015,0.80744463,0.83061624,0.89594966,0.82895005,-0.80145127,0.6507009,-0.8676528,0.60017854,-0.053933978,1.0,0.7182705,0.88035226,-0.5497958,-0.069396436,0.6250149,-0.015419686,-0.028711079,0.16438165,-0.55588067
0.122545354,0.68894094,0.003016783,-0.5361942,-0.5886341,0.64131284,0.6844389,0.70904756,0.69511396,-0.6189091,0.52343833,-0.71175647,0.41138232,0.13249084,0.7182705,1.0,0.73361456,-0.44061399,-0.031158453,0.52064276,0.10707897,-0.16970353,0.18569137,-0.47328115
0.11313303,0.8885159,-0.004566055,-0.7683534,-0.80746186,0.8498845,0.8361966,0.91002744,0.8652797,-0.8044133,0.7163608,-0.8978987,0.5677161,-0.024080463,0.8803523,0.73361456,1.0,-0.6265621,-0.031653248,0.6547182,-0.0077968654,-0.030564293,0.095890164,-0.61900973
0.44947594,-0.7017232,0.3988515,0.7250093,0.69461155,-0.3981858,-0.60512996,-0.56070936,-0.45815486,0.7941633,-0.18038648,0.5836499,-0.64293927,0.22258629,-0.5497958,-0.44061396,-0.6265621,1.0,-0.13170189,-0.18092231,0.17235088,-0.10180913,0.3057543,0.6545688
-0.28839904,-0.014979993,-0.19388092,-0.015176101,-0.08357659,-0.13474451,-0.025908496,-0.1066298,-0.058899615,-0.02765878,-0.08827215,0.11232905,-0.0017809771,0.014720745,-0.06939643,-0.031158447,-0.031653248,-0.13170189,1.0,-0.10662389,0.015899925,-0.16075715,-0.19084172,-0.13146296
0.3573278,0.59199077,0.16912492,-0.3722331,-0.4775233,0.67386633,0.60431314,0.6681808,0.7014114,-0.39204043,0.72112453,-0.62585187,0.31684583,0.14163198,0.62501496,0.5206428,0.6547182,-0.18092231,-0.10662389,1.0,0.15192133,-0.10391274,0.23433001,-0.22516838
0.17576611,-0.1095208,0.008525465,0.24319464,0.1380062,-0.014973804,-0.051434748,-0.04655207,0.019289877,0.112501234,0.11965341,0.097581476,-0.2795604,0.25198695,-0.015419688,0.107078955,-0.0077968654,0.17235088,0.015899925,0.15192133,1.0,-0.24746382,0.122070804,0.15972905
-0.13323146,0.040344294,0.09609477,-0.22502577,-0.19740494,0.0640106,0.029797949,-0.023816088,-0.025200896,-0.08930132,-0.14218655,-0.016936526,0.22967201,-0.33255118,-0.028711058,-0.16970348,-0.030564293,-0.10180913,-0.16075715,-0.10391274,-0.24746382,1.0,-0.3313745,-0.046306003
0.4420155,-0.00357656,0.21347357,0.18001387,0.19295734,0.17536883,0.005623281,0.15530904,0.15636145,0.13889693,0.30586243,-0.08950122,-0.14427136,0.23339975,0.16438164,0.18569137,0.095890164,0.3057543,-0.19084172,0.23433001,0.122070804,-0.3313745,1.0,0.17798981
0.22989783,-0.6484713,0.31344825,0.6362078,0.689239,-0.45818585,-0.56760967,-0.5730959,-0.46895203,0.6231983,-0.25745797,0.6000446,-0.53011614,0.12482193,-0.55588067,-0.4732812,-0.61900973,0.6545688,-0.13146296,-0.22516838,0.15972905,-0.046306003,0.17798981,1.0
