Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.5283992,0.5006035,0.4432445,0.5884106,0.55071855,0.42986268,0.5055427,0.5579268,0.5232446,0.41314027,0.5180301,0.58322644,0.49833292,0.3737504,0.5482731,0.42028624,0.6127933,0.41545916,0.3992752,0.43900323,0.5354581,0.268645,0.41583818
0.5283992,1.0,0.5927474,0.6109471,0.46309668,0.4275905,0.63863885,0.6048058,0.48635274,0.65846384,0.5734333,0.69735867,0.4651605,0.4990443,0.45754892,0.4832268,0.28586972,0.63198733,0.52840656,0.38657886,0.6586132,0.51298505,0.35534313,0.4786655
0.5006035,0.5927474,1.0,0.64072984,0.51623076,0.5347632,0.5890939,0.5800124,0.59760475,0.6585316,0.6560079,0.64277905,0.6389594,0.6829059,0.49512982,0.44870496,0.5636593,0.76954806,0.48861337,0.49414623,0.55013245,0.5728822,0.4522509,0.5347751
0.4432445,0.6109471,0.64072984,1.0,0.5397658,0.4642859,0.5767463,0.51238877,0.48924494,0.7570569,0.6031856,0.65641534,0.5404747,0.65519595,0.59194803,0.55486345,0.39407954,0.6492648,0.6406041,0.4671714,0.74071705,0.6459391,0.49642065,0.48827055
0.5884106,0.46309668,0.51623076,0.5397658,1.0,0.64002085,0.390931,0.54475826,0.4975282,0.5861768,0.44476897,0.5499332,0.6706222,0.56637394,0.6099776,0.67661154,0.45836157,0.57995915,0.47011906,0.37016395,0.47624946,0.59358513,0.55080724,0.6039667
0.55071855,0.4275905,0.5347632,0.4642859,0.64002085,1.0,0.42433894,0.48732972,0.59108764,0.5797525,0.5045234,0.50089085,0.569433,0.50393176,0.4721911,0.45536613,0.6579944,0.5711354,0.48898876,0.49689797,0.3815671,0.55199873,0.3867402,0.46638
0.42986268,0.63863885,0.5890939,0.5767463,0.390931,0.42433894,1.0,0.41179454,0.39267534,0.6186665,0.5725104,0.4946496,0.6240777,0.6355821,0.4030891,0.38646778,0.41769785,0.5486045,0.38049716,0.5897266,0.63182783,0.46606568,0.34536684,0.34569415
0.5055427,0.6048058,0.5800124,0.51238877,0.54475826,0.48732972,0.41179454,1.0,0.5838039,0.51053745,0.5473829,0.72649735,0.5060572,0.5304774,0.552479,0.6218786,0.48420727,0.6804073,0.67444885,0.5001408,0.49017084,0.60111356,0.47829318,0.5538534
0.5579268,0.48635274,0.59760475,0.48924494,0.4975282,0.59108764,0.39267534,0.5838039,1.0,0.5389911,0.5378741,0.6151953,0.59762335,0.60294074,0.4654227,0.51423,0.4989051,0.64023614,0.5939683,0.42870495,0.42286208,0.4938245,0.4540787,0.6468799
0.5232446,0.65846384,0.6585316,0.7570569,0.5861768,0.5797525,0.6186665,0.51053745,0.5389911,1.0,0.62502754,0.6207468,0.619514,0.76252234,0.5558105,0.5597357,0.44881952,0.6700728,0.53802145,0.48257887,0.71579874,0.648836,0.45579338,0.59437317
0.41314027,0.5734333,0.6560079,0.6031856,0.44476897,0.5045234,0.5725104,0.5473829,0.5378741,0.62502754,1.0,0.6567477,0.5493166,0.5590173,0.45533693,0.45207527,0.60433656,0.7198747,0.5594902,0.53621215,0.5871277,0.6463752,0.43440458,0.46470273
0.5180301,0.69735867,0.64277905,0.65641534,0.5499332,0.50089085,0.4946496,0.72649735,0.6151953,0.6207468,0.6567477,1.0,0.5212798,0.5643205,0.49195325,0.60659826,0.45309645,0.7373581,0.7439587,0.40443903,0.60292864,0.6659,0.43104625,0.5394113
0.58322644,0.4651605,0.6389594,0.5404747,0.6706222,0.569433,0.6240777,0.5060572,0.59762335,0.619514,0.5493166,0.5212798,1.0,0.773294,0.5958796,0.51013696,0.55745757,0.68149513,0.4520638,0.47961125,0.47359172,0.6121037,0.6485707,0.5700568
0.49833292,0.4990443,0.6829059,0.65519595,0.56637394,0.50393176,0.6355821,0.5304774,0.60294074,0.76252234,0.5590173,0.5643205,0.773294,1.0,0.5232101,0.50802946,0.4863008,0.64575315,0.4840151,0.49535325,0.6308475,0.5722512,0.54971075,0.54555404
0.3737504,0.45754892,0.49512982,0.59194803,0.6099776,0.4721911,0.4030891,0.552479,0.4654227,0.5558105,0.45533693,0.49195325,0.5958796,0.5232101,1.0,0.5302093,0.49302435,0.5850594,0.4830742,0.47546157,0.44565448,0.4899485,0.64166176,0.69329965
0.5482731,0.4832268,0.44870496,0.55486345,0.67661154,0.45536613,0.38646778,0.6218786,0.51423,0.5597357,0.45207527,0.60659826,0.51013696,0.50802946,0.5302093,1.0,0.38806865,0.51903176,0.5319033,0.37931752,0.6253941,0.56268996,0.50276756,0.54636776
0.4202863,0.2858697,0.5636592,0.39407957,0.45836157,0.6579944,0.4176978,0.48420733,0.498905,0.44881946,0.6043366,0.45309645,0.5574575,0.4863009,0.49302435,0.38806865,1.0,0.6068026,0.42000684,0.5901553,0.35098618,0.5613378,0.41268733,0.43336728
0.61279327,0.6319874,0.7695482,0.6492647,0.57995915,0.57113546,0.5486044,0.6804075,0.64023626,0.6700727,0.71987474,0.7373581,0.6814951,0.645753,0.5850595,0.5190318,0.6068026,1.0,0.67255247,0.5648139,0.5577112,0.6894087,0.51058716,0.5616587
0.41545916,0.5284064,0.48861337,0.640604,0.47011906,0.48898888,0.38049716,0.6744488,0.5939683,0.5380216,0.55949014,0.74395865,0.45206374,0.48401505,0.4830742,0.5319034,0.42000684,0.67255247,1.0,0.42266226,0.5221063,0.65580297,0.43660426,0.50797606
0.3992752,0.38657886,0.49414635,0.46717137,0.37016398,0.49689788,0.58972675,0.5001408,0.42870492,0.4825788,0.53621215,0.40443906,0.4796112,0.49535322,0.4754615,0.37931752,0.5901553,0.5648139,0.42266226,1.0,0.45186457,0.50272197,0.38897157,0.3758613
0.43900317,0.6586131,0.5501324,0.74071705,0.47624946,0.38156712,0.6318278,0.49017084,0.4228621,0.7157986,0.5871277,0.60292864,0.4735917,0.6308476,0.44565445,0.625394,0.35098618,0.5577112,0.5221063,0.45186457,1.0,0.58108586,0.40049508,0.41396785
0.5354581,0.5129851,0.5728822,0.6459392,0.59358513,0.55199873,0.46606556,0.60111356,0.49382436,0.64883596,0.6463752,0.6659,0.6121037,0.5722513,0.4899484,0.5626899,0.5613378,0.6894087,0.65580297,0.50272197,0.58108586,1.0,0.47820807,0.4068281
0.26864505,0.35534304,0.4522508,0.49642068,0.55080724,0.3867402,0.34536684,0.47829318,0.45407882,0.45579332,0.43440455,0.43104625,0.64857066,0.54971075,0.64166194,0.50276756,0.41268733,0.51058716,0.43660426,0.38897157,0.40049508,0.47820807,1.0,0.6370021
0.41583806,0.4786655,0.5347751,0.48827064,0.6039667,0.46638,0.34569412,0.5538535,0.64688003,0.59437305,0.4647028,0.5394112,0.5700569,0.54555404,0.69329965,0.54636765,0.43336728,0.5616587,0.50797606,0.3758613,0.41396785,0.4068281,0.6370021,1.0
