Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.9121463,0.9012989,0.9100479,0.92384905,0.90722996,0.88666606,0.9189186,0.9028969,0.9075172,0.9019087,0.90630174,0.9187902,0.88757426,0.88954103,0.9151007,0.91013956,0.926263,0.9067216,0.89059013,0.8923212,0.913339,0.8822092,0.8986122
0.9121463,1.0,0.9359801,0.9385483,0.9155363,0.91650975,0.91520816,0.9436368,0.9104538,0.9450966,0.93559647,0.9465294,0.913765,0.90526056,0.91402996,0.9034725,0.90590626,0.95424867,0.93496275,0.89324456,0.91545975,0.9290888,0.89988405,0.9128678
0.9012989,0.9359801,1.0,0.9478718,0.9272807,0.93213546,0.9177332,0.92271775,0.93742555,0.9382721,0.94314486,0.9353645,0.93403035,0.93842363,0.9064306,0.9015392,0.92379606,0.9666329,0.9251455,0.90212953,0.90385544,0.92615145,0.9061762,0.91709816
0.9100479,0.9385483,0.9478718,1.0,0.9361962,0.92274815,0.92434025,0.9328141,0.9166635,0.96536905,0.93882453,0.93998814,0.934937,0.9493281,0.9362905,0.927541,0.92000765,0.9481799,0.9332636,0.9114456,0.95792484,0.935256,0.9198004,0.9212252
0.92384905,0.9155363,0.9272807,0.9361962,1.0,0.9249842,0.8796126,0.9163321,0.91096437,0.9356053,0.90285444,0.92811203,0.93271285,0.91438913,0.9231441,0.927351,0.905932,0.92430633,0.9098937,0.8816212,0.90450644,0.92359,0.9319813,0.9279865
0.90722996,0.91650975,0.93213546,0.92274815,0.9249842,1.0,0.8816384,0.9173391,0.92087,0.92788154,0.916548,0.920786,0.91632664,0.8899909,0.91687036,0.9006143,0.93959975,0.93712455,0.9226173,0.9054912,0.879883,0.9298096,0.9021422,0.9079157
0.88666606,0.91520816,0.9177332,0.92434025,0.8796126,0.8816384,1.0,0.8946034,0.88957226,0.91514814,0.90673745,0.8892268,0.93255705,0.92682946,0.8792317,0.88350034,0.89832556,0.91333306,0.8845563,0.91981375,0.9075345,0.89335346,0.87086344,0.87198234
0.9189186,0.9436368,0.92271775,0.9328141,0.9163321,0.9173391,0.8946034,1.0,0.9187444,0.9324298,0.92915756,0.94600594,0.9115088,0.89882624,0.9283385,0.93210673,0.93324494,0.94313693,0.9523967,0.9261329,0.9083217,0.94120014,0.914405,0.9206313
0.9028969,0.9104538,0.93742555,0.9166635,0.91096437,0.92087,0.88957226,0.9187444,1.0,0.90736216,0.9128355,0.91579413,0.9205166,0.9188616,0.8917402,0.8903289,0.9033871,0.92797637,0.9233021,0.88397324,0.87566704,0.90194315,0.90147984,0.92299086
0.9075172,0.9450966,0.9382721,0.96536905,0.9356053,0.92788154,0.91514814,0.9324298,0.90736216,1.0,0.93688226,0.9362973,0.9303011,0.9509999,0.9337364,0.910923,0.92502123,0.9459047,0.9212967,0.9086934,0.9345614,0.9395524,0.91518545,0.91880125
0.9019087,0.93559647,0.94314486,0.93882453,0.90285444,0.916548,0.90673745,0.92915756,0.9128355,0.93688226,1.0,0.9337227,0.90753806,0.9199605,0.89559436,0.8999742,0.92819494,0.96094894,0.92647064,0.9103496,0.91574615,0.9369171,0.89067984,0.8991623
0.90630174,0.9465294,0.9353645,0.93998814,0.92811203,0.920786,0.8892268,0.94600594,0.91579413,0.9362973,0.9337227,1.0,0.90087414,0.8974042,0.9072342,0.9268857,0.90861803,0.955375,0.9557803,0.88338876,0.9135894,0.9468238,0.9059463,0.9196246
0.9187902,0.913765,0.93403035,0.934937,0.93271285,0.91632664,0.93255705,0.9115088,0.9205166,0.9303011,0.90753806,0.90087414,1.0,0.9475614,0.91925293,0.8956671,0.9218173,0.93447864,0.907621,0.9067249,0.8959993,0.9188179,0.9227686,0.9167266
0.88757426,0.90526056,0.93842363,0.9493281,0.91438913,0.8899909,0.92682946,0.89882624,0.9188616,0.9509999,0.9199605,0.8974042,0.9475614,1.0,0.8968274,0.8927268,0.8921586,0.9228566,0.89156646,0.887502,0.9301718,0.90142787,0.9026432,0.90364814
0.88954103,0.91402996,0.9064306,0.9362905,0.9231441,0.91687036,0.8792317,0.9283385,0.8917402,0.9337364,0.89559436,0.9072342,0.91925293,0.8968274,1.0,0.90774953,0.92422545,0.9121963,0.9014412,0.90200984,0.8875036,0.90708655,0.94313097,0.9248637
0.9151007,0.9034725,0.9015392,0.927541,0.927351,0.9006143,0.88350034,0.93210673,0.8903289,0.910923,0.8999742,0.9268857,0.8956671,0.8927268,0.90774953,1.0,0.90190494,0.9126313,0.91221344,0.8801376,0.92823976,0.91137356,0.9081118,0.904222
0.9101399,0.9059063,0.9237958,0.92000777,0.90593195,0.93959963,0.89832574,0.93324506,0.90338725,0.9250214,0.9281951,0.9086182,0.9218173,0.8921588,0.92422545,0.9019048,1.0,0.9314145,0.9136758,0.94227046,0.88515854,0.9347559,0.90074956,0.89759874
0.9262633,0.95424855,0.9666329,0.94817996,0.9243063,0.9371245,0.9133333,0.94313693,0.92797625,0.9459047,0.9609493,0.9553751,0.93447876,0.9228566,0.91219616,0.9126312,0.9314145,1.0,0.9561668,0.90945375,0.916234,0.9434029,0.9091854,0.92605597
0.9067213,0.93496263,0.92514575,0.9332635,0.9098936,0.9226171,0.8845562,0.952397,0.9233017,0.9212966,0.9264705,0.9557802,0.9076208,0.89156604,0.9014413,0.91221356,0.9136758,0.9561668,1.0,0.89130926,0.9026749,0.948395,0.89651287,0.9169035
0.89059,0.8932445,0.90212965,0.91144574,0.8816213,0.9054914,0.9198137,0.9261329,0.88397324,0.90869355,0.9103495,0.8833889,0.906725,0.88750196,0.9020097,0.88013744,0.94227046,0.90945375,0.89130926,1.0,0.88030005,0.9147785,0.88303316,0.8767979
0.8923213,0.91545975,0.9038555,0.9579247,0.9045063,0.8798834,0.90753454,0.90832174,0.8756672,0.9345613,0.91574633,0.91358936,0.89599925,0.93017185,0.88750374,0.9282397,0.88515854,0.916234,0.9026749,0.88030005,1.0,0.90583515,0.8797507,0.8785687
0.91333896,0.9290887,0.92615145,0.93525606,0.92359006,0.9298096,0.89335346,0.94120026,0.9019431,0.9395526,0.9369172,0.9468239,0.9188177,0.9014278,0.9070866,0.9113737,0.9347559,0.9434029,0.948395,0.9147785,0.90583515,1.0,0.9007308,0.8967449
0.8822088,0.899884,0.9061765,0.9198005,0.9319811,0.90214217,0.8708635,0.914405,0.90147996,0.9151855,0.89067984,0.9059463,0.9227687,0.90264326,0.9431309,0.9081118,0.90074956,0.9091854,0.89651287,0.88303316,0.8797507,0.9007308,1.0,0.9366951
0.89861214,0.9128678,0.9170984,0.9212251,0.92798644,0.9079156,0.87198246,0.9206314,0.9229909,0.9188011,0.8991622,0.9196247,0.91672647,0.9036481,0.9248642,0.904222,0.89759874,0.92605597,0.9169035,0.8767979,0.8785687,0.8967449,0.9366951,1.0
