Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.38457745,0.33916643,0.35231823,0.4625547,0.44991598,0.3349209,0.3092747,0.37985277,0.38993096,0.29080606,0.3581035,0.40037337,0.33910447,0.20464265,0.43456173,0.27079934,0.5368146,0.30961207,0.25795734,0.32975808,0.46868786,0.09987133,0.20564508
0.38457745,1.0,0.44945762,0.5703582,0.24580899,0.265408,0.6218084,0.34349334,0.30598375,0.5852317,0.5273576,0.58895886,0.36626709,0.45127273,0.27302265,0.36538172,0.11529161,0.5260102,0.45428976,0.2649004,0.6240227,0.44841874,0.19386804,0.3155407
0.33916643,0.44945762,1.0,0.5929304,0.3242203,0.48155642,0.5628679,0.44505858,0.4690137,0.5625026,0.6575093,0.5233229,0.53729564,0.6573889,0.37097025,0.33644575,0.48837095,0.7263292,0.40412688,0.4243646,0.45536256,0.5139824,0.34552312,0.42424366
0.35231823,0.5703582,0.5929304,1.0,0.3662487,0.43009657,0.60105413,0.3725701,0.37980208,0.7017511,0.556821,0.59205455,0.46942997,0.6571052,0.4611355,0.42542976,0.29812354,0.6106298,0.59366167,0.33331972,0.6999457,0.57334936,0.37520456,0.3218785
0.4625547,0.24580899,0.3242203,0.3662487,1.0,0.58635986,0.2963326,0.32792842,0.3004042,0.3834846,0.30333322,0.37257087,0.5053439,0.39212847,0.4228623,0.6256749,0.3512831,0.34861806,0.3244301,0.24402164,0.34252787,0.4687628,0.34043387,0.3897234
0.44991598,0.265408,0.48155642,0.43009657,0.58635986,1.0,0.40452892,0.36508375,0.4743143,0.48411942,0.46000847,0.3984362,0.48186815,0.47006693,0.35106242,0.43159932,0.5488516,0.46447638,0.40672934,0.39048114,0.33669785,0.5997948,0.2196734,0.35954162
0.3349209,0.6218084,0.5628679,0.60105413,0.2963326,0.40452892,1.0,0.3225677,0.3069811,0.4950732,0.5804031,0.4536776,0.6258879,0.64966476,0.40498704,0.34133726,0.49345636,0.5556694,0.37232417,0.5564177,0.5452924,0.46631652,0.35298488,0.3347877
0.3092747,0.34349334,0.44505858,0.3725701,0.32792842,0.36508375,0.3225677,1.0,0.34693325,0.33054313,0.43542054,0.56045693,0.32406753,0.41799176,0.46518642,0.4787944,0.38437796,0.5085699,0.6244315,0.4445758,0.34975576,0.4492833,0.2948064,0.38629538
0.37985277,0.30598375,0.4690137,0.37980208,0.3004042,0.4743143,0.3069811,0.34693325,1.0,0.36659676,0.3605067,0.44098637,0.4223568,0.5051325,0.27790678,0.35282457,0.35170257,0.3602232,0.4224786,0.21386108,0.2911817,0.3850419,0.25293908,0.47366834
0.38993096,0.5852317,0.5625026,0.7017511,0.3834846,0.48411942,0.4950732,0.33054313,0.36659676,1.0,0.5880279,0.5334554,0.41935745,0.6314358,0.36039108,0.40213877,0.25862518,0.59016216,0.45654166,0.31359237,0.66916376,0.6153203,0.3071927,0.4147917
0.29080606,0.5273576,0.6575093,0.556821,0.30333322,0.46000847,0.5804031,0.43542054,0.3605067,0.5880279,1.0,0.5408524,0.46878105,0.5620441,0.34895244,0.33710986,0.5402862,0.6311077,0.43874434,0.47794986,0.5317597,0.5763444,0.3264956,0.42786837
0.3581035,0.58895886,0.5233229,0.59205455,0.37257087,0.3984362,0.4536776,0.56045693,0.44098637,0.5334554,0.5408524,1.0,0.3925354,0.48975998,0.33886465,0.47486603,0.29504645,0.57214534,0.65210927,0.28410554,0.5367583,0.5397173,0.25978214,0.36921388
0.40037337,0.36626709,0.53729564,0.46942997,0.5053439,0.48186815,0.6258879,0.32406753,0.4223568,0.41935745,0.46878105,0.3925354,1.0,0.74328613,0.53457993,0.39326337,0.55453324,0.57743806,0.31985986,0.39747828,0.37188512,0.50641316,0.59358084,0.47709373
0.33910447,0.45127273,0.6573889,0.6571052,0.39212847,0.47006693,0.64966476,0.41799176,0.5051325,0.6314358,0.5620441,0.48975998,0.74328613,1.0,0.5101081,0.40764952,0.46777922,0.6083975,0.4472105,0.41646868,0.55341554,0.51466,0.51717436,0.5424829
0.20464265,0.27302265,0.37097025,0.4611355,0.4228623,0.35106242,0.40498704,0.46518642,0.27790678,0.36039108,0.34895244,0.33886465,0.53457993,0.5101081,1.0,0.42879,0.40298396,0.43983066,0.37161124,0.47666186,0.3474735,0.40122294,0.5888195,0.5717781
0.43456173,0.36538172,0.33644575,0.42542976,0.6256749,0.43159932,0.34133726,0.4787944,0.35282457,0.40213877,0.33710986,0.47486603,0.39326337,0.40764952,0.42879,1.0,0.31412774,0.38112456,0.42847878,0.28448838,0.4932812,0.45256442,0.35598713,0.41143042
0.27079934,0.115291625,0.488371,0.29812354,0.35128316,0.5488516,0.4934566,0.38437796,0.35170257,0.25862515,0.5402862,0.29504645,0.55453324,0.46777925,0.4029839,0.3141278,1.0,0.46216124,0.26003444,0.5543544,0.2589649,0.5088173,0.34172964,0.34505436
0.5368146,0.52601016,0.7263292,0.61062974,0.34861806,0.46447632,0.5556693,0.5085701,0.36022323,0.5901623,0.6311078,0.57214534,0.57743806,0.6083976,0.4398306,0.38112462,0.46216124,1.0,0.493588,0.44838154,0.47315866,0.6412983,0.34301895,0.31969723
0.30961215,0.4542897,0.40412685,0.59366167,0.3244301,0.40672937,0.3723241,0.6244314,0.42247856,0.45654166,0.43874437,0.6521094,0.31985974,0.44721052,0.37161124,0.42847884,0.26003444,0.493588,1.0,0.30820948,0.4564225,0.48363882,0.28140718,0.3603521
0.2579574,0.26490036,0.4243647,0.3333198,0.24402162,0.3904812,0.55641747,0.44457567,0.21386102,0.31359237,0.47794992,0.2841055,0.3974783,0.41646874,0.4766618,0.28448832,0.5543544,0.44838154,0.30820948,1.0,0.33447444,0.42281342,0.2783401,0.33101714
0.32975817,0.6240229,0.4553625,0.69994587,0.34252778,0.33669788,0.5452925,0.34975576,0.29118177,0.6691638,0.5317596,0.5367583,0.37188518,0.5534155,0.34747344,0.49328116,0.2589649,0.47315866,0.4564225,0.33447444,1.0,0.49931195,0.2995509,0.33810067
0.4686879,0.4484187,0.51398224,0.57334936,0.46876273,0.59979475,0.46631637,0.44928327,0.38504177,0.61532044,0.5763443,0.5397175,0.50641316,0.51466,0.40122294,0.45256445,0.5088173,0.6412983,0.48363882,0.42281342,0.49931195,1.0,0.35015586,0.2803351
0.09987132,0.19386801,0.34552318,0.37520465,0.34043387,0.21967337,0.35298488,0.2948064,0.25293913,0.30719262,0.3264956,0.25978217,0.5935807,0.51717424,0.5888196,0.3559872,0.34172964,0.34301895,0.28140718,0.2783401,0.2995509,0.35015586,1.0,0.53562737
0.20564504,0.31554067,0.4242435,0.3218785,0.3897233,0.35954165,0.33478773,0.3862954,0.47366837,0.4147917,0.42786843,0.36921382,0.47709382,0.5424829,0.571778,0.41143033,0.34505436,0.31969723,0.3603521,0.33101714,0.33810067,0.2803351,0.53562737,1.0
