Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.792102,0.81167555,0.80869097,0.8455239,0.8108231,0.82266104,0.78597975,0.80389905,0.80760175,0.82834864,0.8212656,0.8321202,0.79122084,0.76511973,0.82463175,0.7938528,0.8495413,0.83292544,0.7659539,0.79189605,0.8259252,0.7379134,0.8038787
0.792102,1.0,0.8433882,0.8302798,0.7869537,0.7697178,0.8512962,0.8007703,0.8152513,0.8626598,0.8428628,0.86012936,0.77006906,0.8000411,0.7766746,0.7628152,0.7344538,0.83953476,0.8318777,0.73308897,0.8182876,0.815574,0.73017347,0.76713204
0.81167555,0.8433882,1.0,0.8576615,0.829448,0.8464917,0.8361175,0.78928447,0.85489357,0.83356524,0.8849034,0.85333425,0.8201732,0.8522217,0.76566696,0.79401225,0.80033153,0.88391674,0.8620887,0.7455549,0.80106103,0.830384,0.7707355,0.79560494
0.80869097,0.8302798,0.8576615,1.0,0.8553169,0.82471985,0.85887253,0.8022938,0.82070386,0.92040014,0.86669177,0.86532336,0.8353555,0.9042432,0.82266676,0.8392649,0.8069471,0.84919083,0.8551767,0.77024907,0.8867574,0.83487856,0.79238665,0.8137791
0.8455239,0.7869537,0.829448,0.8553169,1.0,0.8250685,0.78776526,0.78721374,0.8072088,0.8500563,0.8206773,0.844644,0.84445524,0.8190783,0.81876826,0.8586977,0.7864116,0.8190293,0.8189447,0.73062754,0.8237184,0.83925784,0.8215569,0.8361623
0.8108231,0.7697178,0.8464917,0.82471985,0.8250685,1.0,0.8131745,0.7647899,0.83325696,0.8176831,0.816965,0.80617774,0.82689166,0.81538475,0.78703874,0.80208683,0.83188355,0.8520951,0.84696895,0.7554187,0.7678308,0.8659227,0.7676809,0.8047739
0.82266104,0.8512962,0.8361175,0.85887253,0.78776526,0.8131745,1.0,0.7792436,0.8154559,0.83845496,0.8376341,0.8189832,0.8523025,0.86613667,0.76600975,0.8007734,0.8098297,0.8151138,0.8131068,0.8184415,0.8113454,0.80172986,0.7428062,0.770304
0.78597975,0.8007703,0.78928447,0.8022938,0.78721374,0.7647899,0.7792436,1.0,0.78784156,0.799341,0.8309865,0.84896326,0.7745074,0.7682376,0.7946949,0.8258798,0.8014864,0.81785166,0.86231536,0.82126504,0.78712094,0.8250371,0.74031854,0.7913124
0.80389905,0.8152513,0.85489357,0.82070386,0.8072088,0.83325696,0.8154559,0.78784156,1.0,0.8019471,0.8154079,0.8009861,0.81838405,0.8434676,0.7621096,0.77626115,0.7569604,0.8147263,0.8260777,0.7436644,0.77584535,0.7840097,0.7806293,0.83433497
0.80760175,0.8626598,0.83356524,0.92040014,0.8500563,0.8176831,0.83845496,0.799341,0.8019471,1.0,0.8685282,0.8857908,0.81638217,0.8731115,0.8318989,0.8003974,0.7952118,0.8552861,0.826372,0.75468993,0.8508771,0.8535372,0.77912146,0.8181665
0.82834864,0.8428628,0.8849034,0.86669177,0.8206773,0.816965,0.8376341,0.8309865,0.8154079,0.8685282,1.0,0.86412287,0.7994995,0.83661735,0.7863107,0.8097155,0.83194304,0.8725174,0.8292607,0.8042428,0.8275193,0.8493725,0.7557293,0.8206521
0.8212656,0.86012936,0.85333425,0.86532336,0.844644,0.80617774,0.8189832,0.84896326,0.8009861,0.8857908,0.86412287,1.0,0.8025725,0.801407,0.797313,0.8498259,0.7871592,0.8777906,0.8965143,0.7426691,0.83149683,0.8742727,0.76850444,0.80884063
