Fear,Depe,Expr,Gent,Prud,Crea,Sent,Gree,Live,Flex,Soci,Sinc,Anxi,Pati,Perf,Fair,Inqu,SocB,Mode,AesA,Forg,Unco,Orga,Dili
1.0,0.22295526,0.20790876,0.25874436,0.24329044,0.22806865,0.18367612,0.17756832,0.19829169,0.27964967,0.15862304,0.0957639,0.30154774,0.20988178,0.12308416,0.25980622,0.23081127,0.3611438,0.15333717,0.19702005,0.20842561,0.21709728,0.09875104,0.18238986
0.22295526,1.0,0.29509094,0.43812603,0.371418,0.26854682,0.41146323,0.4020465,0.34006372,0.44045758,0.33056945,0.44980884,0.25890505,0.29068685,0.27832115,0.3081096,0.2626555,0.37880588,0.2709918,0.2680562,0.3535048,0.31915173,0.26496464,0.2965927
0.20790876,0.29509094,1.0,0.3634808,0.33407885,0.3151409,0.28223866,0.31402338,0.35715103,0.3848923,0.41326472,0.37966403,0.37340605,0.3792463,0.2883742,0.22557819,0.30949187,0.4222818,0.36223495,0.28603905,0.31343162,0.38106078,0.24616341,0.31121272
0.25874436,0.43812603,0.3634808,1.0,0.41159388,0.38015616,0.37102494,0.29029125,0.2758493,0.61599064,0.3213338,0.40538308,0.37853265,0.49323285,0.4508868,0.3141626,0.29746765,0.48134786,0.3776984,0.2846952,0.5536736,0.35670102,0.3641094,0.30465347
0.24329044,0.371418,0.33407885,0.41159388,1.0,0.33134708,0.22678468,0.26198798,0.2707008,0.4600128,0.36226553,0.46535197,0.44811532,0.3677093,0.36001867,0.36850274,0.23268479,0.34190953,0.24758291,0.3133246,0.31166065,0.43906134,0.51284325,0.3866569
0.22806865,0.26854682,0.3151409,0.38015616,0.33134708,1.0,0.31482622,0.28629017,0.29367724,0.38704538,0.24968365,0.18213955,0.45854327,0.27136597,0.32144234,0.17724746,0.43653685,0.41191113,0.3876858,0.3031639,0.1838453,0.45243,0.2477004,0.3550594
0.18367612,0.41146323,0.28223866,0.37102494,0.22678468,0.31482622,1.0,0.2529825,0.3366319,0.40670586,0.3324511,0.20848133,0.42233458,0.47985265,0.305082,0.2422826,0.27899465,0.26872048,0.14480647,0.4064018,0.28507903,0.25688988,0.19619575,0.1846803
0.17756832,0.4020465,0.31402338,0.29029125,0.26198798,0.28629017,0.2529825,1.0,0.34309667,0.2929424,0.43322378,0.42529845,0.23613042,0.20784222,0.43029916,0.35263908,0.45580032,0.34728545,0.44621938,0.36440468,0.2742421,0.37455624,0.31548762,0.36392745
0.19829169,0.34006372,0.35715103,0.2758493,0.2707008,0.29367724,0.3366319,0.34309667,1.0,0.3019846,0.43281424,0.33345,0.35353035,0.34838402,0.22117916,0.21102747,0.19415791,0.28541097,0.32762778,0.29289037,0.19856209,0.33246768,0.18914506,0.40394855
0.27964967,0.44045758,0.3848923,0.61599064,0.4600128,0.38704538,0.40670586,0.2929424,0.3019846,1.0,0.41473943,0.4265285,0.45436832,0.5851756,0.40756404,0.31584525,0.30264965,0.5266638,0.38533074,0.3380717,0.4787782,0.4373651,0.3418649,0.36503476
0.15862304,0.33056945,0.41326472,0.3213338,0.36226553,0.24968365,0.3324511,0.43322378,0.43281424,0.41473943,1.0,0.39175636,0.22066078,0.27567965,0.28176725,0.35628825,0.37442213,0.3904423,0.41177255,0.39143407,0.33378905,0.41578454,0.22835469,0.37079018
0.0957639,0.44980884,0.37966403,0.40538308,0.46535197,0.18213955,0.20848133,0.42529845,0.33345,0.4265285,0.39175636,1.0,0.1306712,0.22562893,0.37951446,0.35687387,0.18030459,0.33270407,0.3738437,0.2642648,0.30946842,0.37245616,0.3163492,0.33749455
0.30154774,0.25890505,0.37340605,0.37853265,0.44811532,0.45854327,0.42233458,0.23613042,0.35353035,0.45436832,0.22066078,0.1306712,1.0,0.5196867,0.36598903,0.22302152,0.2897305,0.3614422,0.22723244,0.3253759,0.23941019,0.40479958,0.40450352,0.2786703
