Facet,item1,sign1,item2,sign2,item3,sign3,item4,sign4,item5,sign5,item6,sign6,item7,sign7,item8,sign8,item9,sign9,item10,sign10
A1 Flexibility,I adjust easily.,+,I am good at taking advice.,+,"I when interacting with a group of people, am often bothered by at least one of them.",-,I react strongly to criticism.,-,I get upset if others change the way that I have arranged things.,-,I am hard to convince.,-,I am annoyed by others' mistakes.,-,I can't stand being contradicted.,-,I am hard to satisfy.,-,I am hard to reason with.,-
A2 Forgiveness,I love my enemies.,+,I try to forgive and forget.,+,I am inclined to forgive others.,+,I am nice to people I should be angry at.,+,I find it hard to forgive others.,-,I hold a grudge.,-,I get back at people who insult me.,-,I get even with others.,-,I distrust people.,-,I feel that most people can't be trusted.,-
A3 Gentleness,I rarely complain.,+,I take things as they come.,+,I accept people as they are.,+,I have a good word for everyone.,+,I become frustrated and angry with people when they don't live up to my expectations.,-,I am quick to judge others.,-,I find fault with everything.,-,I speak ill of others.,-,I have a sharp tongue.,-,I criticize others' shortcomings.,-
A4 Patience,I find that it takes a lot to make me feel angry at someone.,+,I rarely feel angry with people.,+,I am usually a patient person.,+,I rarely get irritated.,+,I seldom get mad.,+,I am easily annoyed.,-,I get angry easily.,-,I get irritated easily.,-,I lose my temper.,-,I get upset easily.,-
C1 Diligence,I push myself very hard to succeed.,+,I get started quickly on doing a job.,+,I am exacting in my work.,+,I work hard.,+,I complete tasks successfully.,+,I do just enough work to get by.,-,I stop when work becomes too difficult.,-,I do too little work.,-,I hang around doing nothing.,-,I quickly lose interest in the tasks I start.,-
C2 Organization,I keep things tidy.,+,I get chores done right away.,+,I like order.,+,I like to tidy up.,+,I want everything to be just right.,+,I leave a mess in my room.,-,I leave my belongings around.,-,I don't finish the things that I start.,-,I often forget to put things back in their proper place.,-,I am not bothered by disorder.,-
C3 Perfectionism,I pay attention to details.,+,I continue until everything is perfect.,+,I have an eye for detail.,+,I want every detail taken care of.,+,I dislike imperfect work.,+,I want everything to add up perfectly.,+,I detect mistakes.,+,I demand quality.,+,I pay too little attention to details.,-,I prefer to just let things happen.,-
C4 Prudence,I avoid mistakes.,+,I make plans and stick to them.,+,I do things according to a plan.,+,I jump into things without thinking.,-,I do things without thinking of the consequences.,-,I make rash decisions.,-,I act impulsively when something is bothering me.,-,I make careless mistakes.,-,I don't know why I do some of the things I do.,-,I make a fool of myself.,-
E1 Anxiety,I often worry about things that turn out to be unimportant.,+,I worry about things.,+,I get stressed out easily.,+,I get upset by unpleasant thoughts that come into my mind.,+,I panic easily.,+,I rarely worry.,-,I rarely feel depressed.,-,I am not easily disturbed by events.,-,I remain calm under pressure.,-,I don't worry about things that have already happened.,-
E2 Dependence,I need reassurance.,+,I let myself be influenced by others.,+,I need the approval of others.,+,I need protection.,+,I often need help.,+,I show my sadness.,+,I suspect that my facial expressions give me away when I feel sad.,+,I seek support.,+,I can't do without the company of others.,+,I want to be liked.,+
