X,Facet,key,num,content,Sign,,,
167,A,Gent,3,I accept people as they are.,+,,,
234,C,Prud,7,I act impulsively when something is bothering me.,-,,,
197,H,Sinc,8,I act like different people in different situations.,-,,,
103,A,Flex,1,I adjust easily.,+,,,
64,H,Fair,6,I admire a really clever scam.,-,,,
151,E,Fear,1,I am a physical coward.,+,,,
224,A,Flex,7,I am annoyed by others' mistakes.,-,,,
85,O,Unco,1,I am considered to be kind of eccentric.,+,,,
99,E,Sent,5,I am deeply moved by others' misfortunes.,+,,,
236,A,Pati,6,I am easily annoyed.,-,,,
169,C,Dili,3,I am exacting in my work.,+,,,
239,O,Crea,4,I am full of ideas.,+,,,
27,X,SocB,1,I am good at making impromptu speeches.,+,,,
143,A,Flex,2,I am good at taking advice.,+,,,
100,A,Flex,6,I am hard to convince.,-,,,
135,X,Soci,9,I am hard to get to know.,-,,,
79,A,Flex,10,I am hard to reason with.,-,,,
86,A,Flex,9,I am hard to satisfy.,-,,,
186,A,Forg,3,I am inclined to forgive others.,+,,,
228,O,Inqu,1,I am interested in science.,+,,,
211,H,Mode,3,I am just an ordinary person.,+,,,
188,H,Mode,9,I am likely to show off if I get the chance.,-,,,
69,H,Gree,6,I am mainly interested in money.,-,,,
217,H,Mode,8,I am more capable than most others.,-,,,
120,X,Expr,2,I am never at a loss for words.,+,,,
201,A,Forg,4,I am nice to people I should be angry at.,+,,,
193,C,Orga,10,I am not bothered by disorder.,-,,,
190,E,Anxi,8,I am not easily disturbed by events.,-,,,
119,H,Gree,10,I am out for my own personal gain.,-,,,
3,A,Gent,6,I am quick to judge others.,-,,,
220,E,Sent,8,I am seldom bothered by the apparent suffering of strangers.,-,,,
23,E,Sent,4,I am sensitive to the needs of others.,+,,,
2,X,Expr,3,I am the life of the party.,+,,,
33,A,Pati,3,I am usually a patient person.,+,,,
144,X,Live,3,I am usually active and full of energy.,+,,,
104,E,Fear,10,I am willing to take risks.,-,,,
207,O,Inqu,8,I avoid difficult reading material.,-,,,
171,C,Prud,1,I avoid mistakes.,+,,,
212,A,Gent,5,I become frustrated and angry with people when they don't live up to my expectations.,-,,,
208,E,Fear,2,I begin to panic when there is danger.,+,,,
105,O,AesA,1,I believe in the importance of art.,+,,,
168,H,Mode,6,I believe that I am better than others.,-,,,
36,H,Mode,10,I boast about my virtues.,-,,,
114,X,Expr,9,I bottle up my feelings.,-,,,
66,E,Depe,9,I can't do without the company of others.,+,,,
219,A,Flex,8,I can't stand being contradicted.,-,,,
192,O,Crea,3,I carry the conversation to a higher level.,+,,,
205,H,Fair,9,I cheat on people who have trusted me.,-,,,
152,H,Fair,7,I cheat to get ahead.,-,,,
7,O,Crea,2,I come up with something new.,+,,,
227,C,Dili,5,I complete tasks successfully.,+,,,
184,H,Mode,4,I consider myself an average person.,+,,,
126,C,Perf,2,I continue until everything is perfect.,+,,,
142,A,Gent,10,I criticize others' shortcomings.,-,,,
221,E,Sent,3,I cry during movies.,+,,,
19,C,Perf,8,I demand quality.,+,,,
158,C,Perf,7,I detect mistakes.,+,,,
170,C,Perf,5,I dislike imperfect work.,+,,,
65,A,Forg,9,I distrust people.,-,,,
198,C,Dili,6,I do just enough work to get by.,-,,,
115,O,AesA,10,I do not enjoy watching dance performances.,-,,,
82,O,Crea,7,I do not have a good imagination.,-,,,
37,O,AesA,6,I do not like art.,-,,,
237,O,AesA,9,I do not like concerts.,-,,,
156,O,AesA,8,I do not like poetry.,-,,,
230,C,Prud,3,I do things according to a plan.,+,,,
121,O,Unco,3,I do things that others find strange.,+,,,
29,C,Prud,5,I do things without thinking of the consequences.,-,,,
178,C,Dili,8,I do too little work.,-,,,
235,O,Inqu,9,I don't bother worrying about political and social problems.,-,,,
61,C,Orga,8,I don't finish the things that I start.,-,,,
25,O,Inqu,7,I don't know much about history.,-,,,
71,C,Prud,9,I don't know why I do some of the things I do.,-,,,
177,X,Expr,7,I don't like to draw attention to myself.,-,,,
182,X,SocB,2,I don't mind being the center of attention.,+,,,
238,H,Sinc,1,I don't pretend to be more than I am.,+,,,
107,H,Gree,2,I don't strive for elegance in my appearance.,+,,,
93,X,Expr,6,I don't talk a lot.,-,,,
38,H,Mode,1,I don't think that i'm better than other people.,+,,,
87,E,Sent,9,I don't understand people who get emotional.,-,,,
77,E,Anxi,10,I don't worry about things that have already happened.,-,,,
159,X,Soci,5,I enjoy being part of a group.,+,,,
189,O,Unco,7,I enjoy being thought of as a normal mainstream person.,-,,,
50,O,AesA,4,I enjoy feeling close to the earth.,+,,,
68,O,Inqu,3,I enjoy intellectual games.,+,,,
10,E,Fear,7,I face danger confidently.,-,,,
39,X,SocB,3,I feel comfortable around people.,+,,,
83,X,Live,5,I feel healthy and vibrant most of the time.,+,,,
6,E,Sent,1,I feel others' emotions.,+,,,
149,X,Live,7,I feel that I have a lot of inner strength.,+,,,
194,A,Forg,10,I feel that most people can't be trusted.,-,,,
162,A,Gent,7,I find fault with everything.,-,,,
62,X,SocB,8,I find it difficult to approach others.,-,,,
70,A,Forg,5,I find it hard to forgive others.,-,,,
147,H,Sinc,9,I find it necessary to please the people who have power.,-,,,
166,O,Inqu,5,I find political discussions interesting.,+,,,
88,A,Pati,1,I find that it takes a lot to make me feel angry at someone.,+,,,
110,A,Pati,7,I get angry easily.,-,,,
47,A,Forg,7,I get back at people who insult me.,-,,,
213,C,Orga,2,I get chores done right away.,+,,,
113,O,AesA,2,I get deeply immersed in music.,+,,,
216,A,Forg,8,I get even with others.,-,,,
132,A,Pati,8,I get irritated easily.,-,,,
183,C,Dili,2,I get started quickly on doing a job.,+,,,
155,E,Anxi,3,I get stressed out easily.,+,,,
111,E,Anxi,4,I get upset by unpleasant thoughts that come into my mind.,+,,,
41,A,Pati,10,I get upset easily.,-,,,
185,A,Flex,5,I get upset if others change the way that I have arranged things.,-,,,
150,C,Dili,9,I hang around doing nothing.,-,,,
131,X,SocB,9,I hate being the center of attention.,-,,,
56,A,Gent,4,I have a good word for everyone.,+,,,
215,X,Live,8,I have a lot of fun.,+,,,
49,O,Inqu,6,I have a rich vocabulary.,+,,,
136,A,Gent,9,I have a sharp tongue.,-,,,
157,H,Gree,4,I have a strong need for power.,-,,,
55,X,SocB,5,I have a strong personality.,+,,,
73,O,Crea,1,I have a vivid imagination.,+,,,
31,C,Perf,3,I have an eye for detail.,+,,,
133,X,Expr,5,"I have an intense, boisterous laugh.",+,,,
84,O,Crea,8,I have difficulty imagining things.,-,,,
32,O,Crea,6,I have excellent ideas.,+,,,
58,X,Live,2,I have great stamina.,+,,,
222,X,SocB,4,I have leadership abilities.,+,,,
148,X,SocB,10,I have little to say.,-,,,
91,O,AesA,5,I have read the great literary classics.,+,,,
191,O,Crea,9,I have trouble guessing how others will react.,-,,,
202,A,Forg,6,I hold a grudge.,-,,,
225,E,Sent,2,I immediately feel sad when hearing of an unhappy event.,+,,,
214,C,Prud,4,I jump into things without thinking.,-,,,
130,X,SocB,7,I keep in the background.,-,,,
12,X,Soci,10,I keep others at a distance.,-,,,
154,C,Orga,1,I keep things tidy.,+,,,
46,O,Unco,2,I know that my ideas sometimes surprise people.,+,,,
139,X,Live,6,I laugh a lot.,+,,,
223,C,Orga,6,I leave a mess in my room.,-,,,
137,C,Orga,7,I leave my belongings around.,-,,,
128,E,Depe,2,I let myself be influenced by others.,+,,,
89,H,Sinc,10,I let people push me around to help them feel important.,-,,,
229,C,Orga,3,I like order.,+,,,
72,H,Mode,7,I like to attract attention.,-,,,
206,O,Unco,9,I like to be thought of as a normal kind of person.,-,,,
160,O,Unco,8,I like to be viewed as proper and conventional.,-,,,
175,E,Fear,6,I like to do frightening things.,-,,,
124,C,Orga,4,I like to tidy up.,+,,,
233,A,Pati,9,I lose my temper.,-,,,
0,E,Fear,8,I love dangerous situations.,-,,,
59,H,Gree,3,I love luxury.,-,,,
53,A,Forg,1,I love my enemies.,+,,,
122,X,Soci,3,I love to chat.,+,,,
173,O,Inqu,4,I love to read challenging material.,+,,,
80,O,Crea,5,I love to think up new ways of doing things.,+,,,
30,X,Live,1,I maintain high energy throughout the day.,+,,,
45,C,Prud,10,I make a fool of myself.,-,,,
4,C,Prud,8,I make careless mistakes.,-,,,
51,X,Soci,4,I make friends easily.,+,,,
200,C,Prud,2,I make plans and stick to them.,+,,,
163,C,Prud,6,I make rash decisions.,-,,,
161,E,Depe,4,I need protection.,+,,,
35,E,Depe,1,I need reassurance.,+,,,
1,E,Depe,3,I need the approval of others.,+,,,
153,X,Live,10,I often feel blue.,-,,,
146,C,Orga,9,I often forget to put things back in their proper place.,-,,,
164,E,Depe,5,I often need help.,+,,,
16,E,Anxi,1,I often worry about things that turn out to be unimportant.,+,,,
196,E,Anxi,5,I panic easily.,+,,,
118,C,Perf,1,I pay attention to details.,+,,,
28,C,Perf,9,I pay too little attention to details.,-,,,
180,H,Sinc,6,I play a role in order to impress people.,-,,,
14,H,Gree,9,I prefer to eat at expensive restaurants.,-,,,
20,C,Perf,10,I prefer to just let things happen.,-,,,
15,H,Sinc,7,I pretend to be concerned for others.,-,,,
101,C,Dili,1,I push myself very hard to succeed.,+,,,
210,H,Sinc,4,I put on a show to impress people.,-,,,
226,C,Dili,10,I quickly lose interest in the tasks I start.,-,,,
48,A,Gent,1,I rarely complain.,+,,,
75,E,Sent,6,I rarely cry during sad movies.,-,,,
179,X,Soci,7,I rarely enjoy being with people.,-,,,
54,A,Pati,2,I rarely feel angry with people.,+,,,
106,E,Anxi,7,I rarely feel depressed.,-,,,
18,A,Pati,4,I rarely get irritated.,+,,,
117,E,Anxi,6,I rarely worry.,-,,,
11,A,Flex,4,I react strongly to criticism.,-,,,
109,O,Unco,4,I rebel against authority.,+,,,
195,E,Anxi,9,I remain calm under pressure.,-,,,
112,H,Fair,3,I return extra change when a cashier makes a mistake.,+,,,
24,X,Expr,8,I say little.,-,,,
140,O,AesA,3,I see beauty in things that others might not notice.,+,,,
74,H,Mode,2,I see myself as an average person.,+,,,
98,H,Gree,5,I seek status.,-,,,
138,E,Depe,8,I seek support.,+,,,
13,X,Soci,6,I seem to derive less enjoyment from interacting with people than others do.,-,,,
5,O,Crea,10,I seldom experience sudden intuitive insights.,-,,,
94,E,Sent,7,I seldom feel weepy while reading the sad part of a story.,-,,,
