"","H_emp","E_emp","X_emp","A_emp","C_emp","O_emp","H_item_distilroberta","E_item_distilroberta","X_item_distilroberta","A_item_distilroberta","C_item_distilroberta","O_item_distilroberta","H_item_miniLM","E_item_miniLM","X_item_miniLM","A_item_miniLM","C_item_miniLM","O_item_miniLM","H_item_mpnet","E_item_mpnet","X_item_mpnet","A_item_mpnet","C_item_mpnet","O_item_mpnet","H_item_t5","E_item_t5","X_item_t5","A_item_t5","C_item_t5","O_item_t5","H_item_psych","E_item_psych","X_item_psych","A_item_psych","C_item_psych","O_item_psych","H_item_use_dan","E_item_use_dan","X_item_use_dan","A_item_use_dan","C_item_use_dan","O_item_use_dan","H_item_avg_trans","E_item_avg_trans","X_item_avg_trans","A_item_avg_trans","C_item_avg_trans","O_item_avg_trans"
"Sinc",0.209,0,0,0,0,0,0.843,0,0,0,0,0,0.973,0,0,0,0,0,0.727,0,0,0,0,0,0.966,0,0,0,0,0,0.924,0,0,0,0,0,0.712,0,0,0,0,0,0.886,0,0,0,0,0
"Fair",0.353,0,0,0,0,0,-0.219,0,0,0,0,0,-0.863,0,0,0,0,0,-0.086,0,0,0,0,0,-0.744,0,0,0,0,0,-0.25,0,0,0,0,0,-0.2,0,0,0,0,0,-0.489,0,0,0,0,0
"Gree",0.217,0,0,0,0,0,-0.748,0,0,0,0,0,-0.981,0,0,0,0,0,-0.736,0,0,0,0,0,-0.957,0,0,0,0,0,-0.795,0,0,0,0,0,-0.732,0,0,0,0,0,-0.851,0,0,0,0,0
"Mode",0.481,0,0,0,0,0,0.296,0,0,0,0,0,-0.114,0,0,0,0,0,0.19,0,0,0,0,0,0.072,0,0,0,0,0,0.251,0,0,0,0,0,0.095,0,0,0,0,0,0.108,0,0,0,0,0
"Fear",0,0.632,0,0,0,0,0,-0.028,0,0,0,0,0,0.088,0,0,0,0,0,0.195,0,0,0,0,0,0.005,0,0,0,0,0,0.101,0,0,0,0,0,-0.184,0,0,0,0,0,-0.035,0,0,0,0
"Anxi",0,0.62,0,0,0,0,0,-0.637,0,0,0,0,0,0.928,0,0,0,0,0,0.474,0,0,0,0,0,-0.716,0,0,0,0,0,-0.706,0,0,0,0,0,-0.425,0,0,0,0,0,-0.709,0,0,0,0
"Depe",0,0.39,0,0,0,0,0,-0.877,0,0,0,0,0,0.989,0,0,0,0,0,0.78,0,0,0,0,0,-0.979,0,0,0,0,0,-0.853,0,0,0,0,0,-0.82,0,0,0,0,0,-0.897,0,0,0,0
"Sent",0,0.276,0,0,0,0,0,-0.734,0,0,0,0,0,0.971,0,0,0,0,0,0.694,0,0,0,0,0,-0.919,0,0,0,0,0,-0.761,0,0,0,0,0,-0.615,0,0,0,0,0,-0.823,0,0,0,0
"Expr",0,0,0.508,0,0,0,0,0,0.463,0,0,0,0,0,-0.006,0,0,0,0,0,0.314,0,0,0,0,0,0.065,0,0,0,0,0,0.381,0,0,0,0,0,-0.074,0,0,0,0,0,0.193,0,0,0
"SocB",0,0,0.549,0,0,0,0,0,0.222,0,0,0,0,0,-0.946,0,0,0,0,0,0.301,0,0,0,0,0,-0.532,0,0,0,0,0,0.631,0,0,0,0,0,0.352,0,0,0,0,0,-0.204,0,0,0
"Soci",0,0,0.407,0,0,0,0,0,0.711,0,0,0,0,0,0.91,0,0,0,0,0,0.705,0,0,0,0,0,0.776,0,0,0,0,0,0.904,0,0,0,0,0,-0.395,0,0,0,0,0,0.757,0,0,0
"Live",0,0,0.364,0,0,0,0,0,0.741,0,0,0,0,0,0.991,0,0,0,0,0,0.586,0,0,0,0,0,0.911,0,0,0,0,0,0.74,0,0,0,0,0,-0.653,0,0,0,0,0,0.834,0,0,0
"Forg",0,0,0,0.241,0,0,0,0,0,0.099,0,0,0,0,0,0.04,0,0,0,0,0,0.195,0,0,0,0,0,0.172,0,0,0,0,0,0.167,0,0,0,0,0,0.001,0,0,0,0,0,0.117,0,0
"Gent",0,0,0,0.466,0,0,0,0,0,0.868,0,0,0,0,0,-0.986,0,0,0,0,0,0.82,0,0,0,0,0,0.931,0,0,0,0,0,0.907,0,0,0,0,0,-0.71,0,0,0,0,0,0.917,0,0
