"","H_emp","E_emp","X_emp","A_emp","C_emp","O_emp","H_item_distilroberta","E_item_distilroberta","X_item_distilroberta","A_item_distilroberta","C_item_distilroberta","O_item_distilroberta","H_item_miniLM","E_item_miniLM","X_item_miniLM","A_item_miniLM","C_item_miniLM","O_item_miniLM","H_item_mpnet","E_item_mpnet","X_item_mpnet","A_item_mpnet","C_item_mpnet","O_item_mpnet","H_item_t5","E_item_t5","X_item_t5","A_item_t5","C_item_t5","O_item_t5","H_item_psych","E_item_psych","X_item_psych","A_item_psych","C_item_psych","O_item_psych","H_item_use_dan","E_item_use_dan","X_item_use_dan","A_item_use_dan","C_item_use_dan","O_item_use_dan","H_item_avg_trans","E_item_avg_trans","X_item_avg_trans","A_item_avg_trans","C_item_avg_trans","O_item_avg_trans"
"Sinc",0.209,0,0,0,0,0,0.857,0,0,0,0,0,0.985,0,0,0,0,0,0.852,0,0,0,0,0,0.944,0,0,0,0,0,0.619,0,0,0,0,0,0.638,0,0,0,0,0,0.901,0,0,0,0,0
"Fair",0.353,0,0,0,0,0,0.62,0,0,0,0,0,0.985,0,0,0,0,0,0.627,0,0,0,0,0,0.902,0,0,0,0,0,0.961,0,0,0,0,0,0.516,0,0,0,0,0,0.79,0,0,0,0,0
"Gree",0.217,0,0,0,0,0,0.738,0,0,0,0,0,0.978,0,0,0,0,0,0.671,0,0,0,0,0,0.906,0,0,0,0,0,0.947,0,0,0,0,0,0.652,0,0,0,0,0,0.825,0,0,0,0,0
"Mode",0.481,0,0,0,0,0,0.835,0,0,0,0,0,0.98,0,0,0,0,0,0.716,0,0,0,0,0,0.945,0,0,0,0,0,0.755,0,0,0,0,0,0.653,0,0,0,0,0,0.885,0,0,0,0,0
"Fear",0,0.632,0,0,0,0,0,0.506,0,0,0,0,0,0.976,0,0,0,0,0,0.654,0,0,0,0,0,0.901,0,0,0,0,0,0.965,0,0,0,0,0,0.391,0,0,0,0,0,0.806,0,0,0,0
"Anxi",0,0.62,0,0,0,0,0,0.748,0,0,0,0,0,0.982,0,0,0,0,0,0.786,0,0,0,0,0,0.907,0,0,0,0,0,0.947,0,0,0,0,0,0.67,0,0,0,0,0,0.871,0,0,0,0
"Depe",0,0.39,0,0,0,0,0,0.725,0,0,0,0,0,0.985,0,0,0,0,0,0.608,0,0,0,0,0,0.898,0,0,0,0,0,0.934,0,0,0,0,0,0.544,0,0,0,0,0,0.846,0,0,0,0
"Sent",0,0.276,0,0,0,0,0,0.797,0,0,0,0,0,0.982,0,0,0,0,0,0.847,0,0,0,0,0,0.92,0,0,0,0,0,0.92,0,0,0,0,0,0.589,0,0,0,0,0,0.909,0,0,0,0
"Expr",0,0,0.508,0,0,0,0,0,0.834,0,0,0,0,0,0.985,0,0,0,0,0,0.842,0,0,0,0,0,0.938,0,0,0,0,0,0.926,0,0,0,0,0,0.614,0,0,0,0,0,0.906,0,0,0
"SocB",0,0,0.549,0,0,0,0,0,0.88,0,0,0,0,0,0.993,0,0,0,0,0,0.786,0,0,0,0,0,0.934,0,0,0,0,0,0.915,0,0,0,0,0,0.657,0,0,0,0,0,0.906,0,0,0
"Soci",0,0,0.407,0,0,0,0,0,0.807,0,0,0,0,0,0.987,0,0,0,0,0,0.79,0,0,0,0,0,0.935,0,0,0,0,0,0.973,0,0,0,0,0,0.649,0,0,0,0,0,0.903,0,0,0
"Live",0,0,0.364,0,0,0,0,0,0.551,0,0,0,0,0,0.974,0,0,0,0,0,0.678,0,0,0,0,0,0.894,0,0,0,0,0,0.807,0,0,0,0,0,0.552,0,0,0,0,0,0.784,0,0,0
"Forg",0,0,0,0.241,0,0,0,0,0,0.822,0,0,0,0,0,0.992,0,0,0,0,0,0.81,0,0,0,0,0,0.911,0,0,0,0,0,0.982,0,0,0,0,0,0.637,0,0,0,0,0,0.911,0,0
"Gent",0,0,0,0.466,0,0,0,0,0,0.875,0,0,0,0,0,0.991,0,0,0,0,0,0.936,0,0,0,0,0,0.966,0,0,0,0,0,0.979,0,0,0,0,0,0.761,0,0,0,0,0,0.947,0,0
"Flex",0,0,0,0.355,0,0,0,0,0,0.853,0,0,0,0,0,0.99,0,0,0,0,0,0.946,0,0,0,0,0,0.947,0,0,0,0,0,0.995,0,0,0,0,0,0.809,0,0,0,0,0,0.946,0,0
"Pati",0,0,0,0.576,0,0,0,0,0,0.81,0,0,0,0,0,0.971,0,0,0,0,0,0.751,0,0,0,0,0,0.934,0,0,0,0,0,0.937,0,0,0,0,0,0.71,0,0,0,0,0,0.884,0,0
"Orga",0,0,0,0,0.313,0,0,0,0,0,0.736,0,0,0,0,0,0.983,0,0,0,0,0,0.772,0,0,0,0,0,0.898,0,0,0,0,0,0.927,0,0,0,0,0,0.696,0,0,0,0,0,0.87,0
"Dili",0,0,0,0,0.463,0,0,0,0,0,0.753,0,0,0,0,0,0.983,0,0,0,0,0,0.795,0,0,0,0,0,0.914,0,0,0,0,0,0.967,0,0,0,0,0,0.616,0,0,0,0,0,0.887,0
"Perf",0,0,0,0,0.604,0,0,0,0,0,0.759,0,0,0,0,0,0.986,0,0,0,0,0,0.807,0,0,0,0,0,0.911,0,0,0,0,0,0.748,0,0,0,0,0,0.642,0,0,0,0,0,0.837,0
"Prud",0,0,0,0,0.451,0,0,0,0,0,0.627,0,0,0,0,0,0.984,0,0,0,0,0,0.789,0,0,0,0,0,0.924,0,0,0,0,0,0.79,0,0,0,0,0,0.684,0,0,0,0,0,0.826,0
"AesA",0,0,0,0,0,0.588,0,0,0,0,0,0.629,0,0,0,0,0,0.986,0,0,0,0,0,0.671,0,0,0,0,0,0.868,0,0,0,0,0,0.892,0,0,0,0,0,0.562,0,0,0,0,0,0.83
"Inqu",0,0,0,0,0,0.546,0,0,0,0,0,0.717,0,0,0,0,0,0.986,0,0,0,0,0,0.778,0,0,0,0,0,0.909,0,0,0,0,0,0.921,0,0,0,0,0,0.58,0,0,0,0,0,0.865
"Crea",0,0,0,0,0,0.458,0,0,0,0,0,0.77,0,0,0,0,0,0.985,0,0,0,0,0,0.734,0,0,0,0,0,0.918,0,0,0,0,0,0.885,0,0,0,0,0,0.628,0,0,0,0,0,0.845
