,MR1_emp,MR3_emp,MR6_emp,MR2_emp,MR5_emp,MR4_emp,MR3_item_distilroberta,MR1_item_distilroberta,MR2_item_distilroberta,MR4_item_distilroberta,MR5_item_distilroberta,MR6_item_distilroberta,MR2_item_miniLM,MR6_item_miniLM,MR3_item_miniLM,MR1_item_miniLM,MR5_item_miniLM,MR4_item_miniLM,MR1_item_mpnet,MR3_item_mpnet,MR2_item_mpnet,MR4_item_mpnet,MR5_item_mpnet,MR6_item_mpnet,MR1_item_t5,MR3_item_t5,MR2_item_t5,MR4_item_t5,MR5_item_t5,MR6_item_t5,MR3_item_psych,MR2_item_psych,MR1_item_psych,MR5_item_psych,MR4_item_psych,MR6_item_psych,MR1_item_use_dan,MR2_item_use_dan,MR3_item_use_dan,MR6_item_use_dan,MR4_item_use_dan,MR5_item_use_dan,MR1_item_avg_trans,MR2_item_avg_trans,MR3_item_avg_trans,MR4_item_avg_trans,MR5_item_avg_trans,MR6_item_avg_trans
Fear,0.139,0.046,0.694,0.077,-0.126,-0.192,0.109,0.825,-0.041,-0.098,0.016,0.165,0.69,0.091,0.172,0.098,-0.013,0.023,0.759,-0.03,0.236,0.068,-0.187,0.005,0.648,0.177,0.048,-0.003,0.175,0.007,-0.021,0.156,0.226,0.32,0.03,0.43,0.648,-0.104,0.113,-0.052,0.244,0.034,0.843,0.08,0.078,-0.081,0.017,0.031
Depe,-0.064,0.061,0.305,0.181,0.072,-0.042,0.12,0.237,0.211,-0.107,0.509,-0.13,0.486,0.177,0.251,0.145,0.011,-0.013,0.074,-0.115,0.549,0.165,-0.07,0.193,0.211,0.285,0.038,0.089,0.373,0.16,0.124,-0.17,0.767,-0.133,0.237,0.115,-0.037,0.006,0.207,0.051,0.668,0.111,0.214,0.267,0.282,-0.093,-0.108,0.376
Expr,0.169,-0.087,0.665,-0.183,0.135,-0.03,-0.172,0.674,0.119,0.208,0.091,0.026,0.308,0.235,0.205,0.295,0.068,0.017,0.477,-0.232,0.055,0.219,0.247,0.03,0.429,0.222,-0.008,0.248,0.153,0.038,0.097,0.153,0.53,0.193,0.08,-0.071,0.349,-0.088,0.342,-0.122,0.146,0.495,0.494,0.019,0.159,0.192,-0.077,0.165
Gent,-0.048,0.153,0.56,-0.096,-0.016,0.128,0.065,0.773,0.042,0.054,-0.07,0.038,0.532,0.234,0.103,0.174,0.031,0.022,0.897,-0.149,0.032,0.089,-0.016,-0.057,0.649,0.14,0.039,0.092,0.104,0.033,0.212,-0.044,0.345,0.433,-0.022,0.091,0.826,-0.113,-0.022,0.051,0.06,0.084,0.764,0.096,0.043,0.005,-0.004,0.041
Prud,0.099,0.377,0.062,0.073,-0.096,0.131,0.036,0.03,-0.264,0.027,0.739,0.293,0.313,0.23,0.246,0.278,0.004,0.009,0.128,0.091,-0.013,-0.164,-0.016,0.781,0.279,0.173,0.136,0.196,0.168,0.207,0.274,0.138,0.673,-0.048,-0.125,-0.061,0.02,0.104,0.022,0.436,0.173,0.064,0.144,0.066,-0.131,0.13,0.154,0.635
Crea,0.024,0.306,-0.026,0.169,0.064,0.069,0.308,-0.311,0.261,0.102,0.288,0.413,0.266,0.406,0.238,0.168,-0.017,-0.021,-0.238,0.705,0.011,0.207,0.031,0.296,0.07,0.298,0.439,0.193,0.012,0.1,0.768,-0.004,0.13,0.045,0.179,-0.224,-0.337,0.559,0.233,0.516,-0.065,0.004,-0.195,0.364,0.17,0.057,0.455,0.263
Sent,-0.195,0.771,0.125,-0.223,0.001,-0.045,0.332,0.555,-0.047,-0.176,0.092,0.152,0.318,0.328,0.203,0.174,0.105,0,0.408,0.15,0.027,0.147,0.093,0.102,0.498,0.139,0.194,0.095,0.136,-0.018,0.329,0.201,0.222,0.085,-0.04,0.258,0.3,0.322,0.105,-0.056,0.16,0.157,0.499,0.229,0.039,0.055,0.073,0.098
Gree,-0.211,-0.091,0.067,0.55,-0.039,0.054,0.8,-0.074,-0.074,0.138,-0.074,0.136,0.342,0.351,0.141,0.245,-0.028,-0.006,-0.026,0.598,0.134,-0.154,0.31,0.029,0.098,-0.004,0.482,0.306,0.151,0.05,0.886,0.204,-0.018,-0.078,-0.146,0.021,-0.03,0.814,-0.222,-0.021,0.103,0.265,0.007,0.613,-0.151,0.248,0.236,0.045
Live,0.072,0.097,-0.118,0.581,-0.018,-0.109,0.343,0.197,0.077,0.16,-0.062,0.314,0.298,0.365,0.216,0.174,0.017,0.064,0.479,0.349,0.051,0.045,0.055,-0.031,0.453,0.15,0.386,0.085,-0.022,-0.012,0.17,0.302,-0.087,0.408,0.056,0.273,0.471,0.464,0.069,0.031,-0.164,0.034,0.452,0.16,0.092,0.154,0.27,-0.082
Flex,-0.04,0.123,-0.095,0.499,0.055,0.012,0.193,0.391,0,0.219,-0.004,0.294,0.334,0.274,0.22,0.228,0.026,0.056,0.767,0.201,-0.044,-0.127,0.019,0.143,0.598,0.086,0.236,0.105,0.031,-0.001,0.228,0.294,0.047,0.401,-0.033,0.182,0.662,0.186,0.063,0.165,-0.179,0.02,0.615,0.09,-0.034,0.166,0.206,0.014
Soci,0.235,-0.058,0.091,0.33,-0.108,0.033,0.369,0.351,-0.014,0.19,-0.157,0.191,0.442,0.245,0.182,0.197,-0.027,0.088,0.542,0.299,0.14,-0.14,0.079,-0.051,0.5,0.02,0.256,0.199,0.093,-0.035,0.101,0.473,-0.086,0.272,0.036,0.283,0.753,0.046,-0.093,0.09,0.003,0.074,0.518,0.186,0.009,0.233,0.149,-0.111
Sinc,-0.216,0.119,-0.012,-0.014,-0.051,0.639,-0.112,0.349,0.155,-0.033,0.042,0.56,0.201,0.391,0.268,0.196,0.006,0.082,0.344,0.523,-0.241,0.279,-0.087,0.03,0.414,0.259,0.295,0.064,-0.049,0.084,-0.109,0.114,-0.091,0.72,0.252,-0.025,0.29,0.177,0.331,0.083,-0.182,0.168,0.403,-0.099,0.241,0.013,0.416,0.017
Anxi,0.548,0.032,0.083,0.24,-0.112,-0.121,0.919,0.215,-0.083,-0.089,0.097,-0.22,0.427,0.345,0.123,0.135,0.08,0,0.101,0.164,0.815,-0.112,-0.096,0.034,0.155,0.04,0.329,0.042,0.507,0.038,0.891,-0.191,0.146,-0.175,-0.055,0.328,0.28,0.389,-0.074,-0.101,0.491,-0.067,0.216,0.817,-0.018,-0.06,-0.072,0.071
Pati,0.551,-0.073,0.185,-0.06,0.182,-0.014,0.747,0.284,0.093,-0.086,-0.014,-0.112,0.41,0.304,0.191,0.14,0.06,-0.022,0.219,0.104,0.671,0.136,0.033,-0.185,0.23,0.22,0.328,0.079,0.256,-0.044,0.767,-0.112,0.04,0.032,0.118,0.156,0.474,0.311,0.217,-0.055,0.118,-0.147,0.267,0.673,0.175,-0.008,-0.032,-0.087
Perf,0.807,0.066,-0.011,-0.249,0.266,-0.092,0.572,0.138,0.072,-0.037,0.174,0.106,0.372,0.343,0.194,0.154,0.013,0,0.15,0.269,0.506,0.08,0.05,-0.065,0.26,0.244,0.31,0.123,0.176,-0.072,0.601,0.082,0.028,-0.088,0.162,0.31,0.305,0.238,0.264,0.193,0.093,-0.168,0.216,0.521,0.172,0.061,0.073,-0.01
Fair,0.031,0.389,-0.118,0.278,0.011,-0.104,0.63,-0.194,0.23,-0.062,0.088,0.314,0.176,0.551,0.191,0.135,0.014,0.028,-0.167,0.705,0.418,0.065,0.014,-0.091,0.068,0.187,0.638,0.021,0.151,0.003,0.899,-0.187,-0.148,0.257,0.169,-0.045,0.012,0.788,0.079,-0.024,0.086,-0.033,-0.077,0.634,0.159,-0.056,0.408,-0.001
Inqu,-0.021,0.38,0.033,0.05,0.294,0.035,0.104,-0.08,0.865,0.038,-0.118,0.072,0.275,0.241,0.389,0.159,0.003,0.036,-0.038,0.1,0.116,0.676,0.051,-0.011,0.105,0.655,0.138,0.082,0.055,0.001,0.046,0.18,0.006,0.207,0.577,-0.066,-0.154,-0.012,0.856,0.034,0.081,0.16,-0.004,0.072,0.723,0.097,0.142,-0.055
SocB,0.077,0.295,0.105,0.169,0.269,-0.085,-0.174,0.192,0.721,-0.152,0.015,0.349,0.27,0.244,0.415,0.136,-0.008,0.034,0.233,0.214,-0.133,0.809,-0.116,-0.197,0.304,0.531,0.16,-0.001,0.017,0.035,0.133,-0.002,0.116,0.22,0.529,0.013,0.194,-0.158,0.701,0.041,0.008,0.002,0.212,-0.021,0.659,-0.091,0.245,-0.014
Mode,0.163,-0.022,0.011,0,0.606,0.026,0.03,0.084,0.66,0.189,0.011,-0.076,0.248,0.233,0.379,0.183,0.075,-0.029,-0.158,-0.087,0.23,0.693,0.234,-0.054,0.079,0.619,0.065,0.239,0.082,-0.073,-0.006,0.393,0.023,-0.079,0.59,0.069,0.036,0.064,0.668,-0.035,0.056,0.06,-0.027,0.095,0.737,0.287,-0.077,-0.074
AesA,0.316,0.568,-0.005,-0.203,-0.095,0.173,-0.005,-0.027,0.273,0.053,0.689,-0.019,0.397,0.195,0.354,0.121,0.007,-0.016,-0.017,0.179,0.269,0.322,-0.191,0.444,0.211,0.45,0.174,0.018,0.152,0.111,0.23,0.132,0.337,-0.066,0.36,0.098,-0.102,0.098,0.4,0.393,0.285,-0.146,0.066,0.124,0.384,-0.01,0.117,0.38
Forg,0.107,-0.126,-0.001,0.291,0.073,0.006,0.302,-0.019,0.031,0.637,-0.101,-0.097,0.282,0.209,0.146,0.431,-0.003,0.009,-0.011,0.159,-0.069,0.055,0.837,-0.136,0.1,0.097,0.166,0.619,0.055,0.024,0.416,0.746,-0.128,-0.144,0.022,-0.111,0.093,0.283,-0.002,0.18,-0.019,0.463,-0.045,0.246,0.047,0.729,-0.028,-0.039
Unco,0,-0.134,0.034,0.223,0.149,0.216,-0.145,0.008,0.017,0.928,0.051,0.012,0.222,0.221,0.21,0.412,0.016,-0.002,0.131,0.054,-0.068,0.01,0.544,0.159,0.244,0.204,0.079,0.507,0.003,0.028,-0.163,0.931,0.013,0.076,0.084,-0.061,0.191,-0.029,-0.02,0.525,-0.005,0.274,0.078,-0.114,0.123,0.813,-0.015,0.057
Orga,0.137,-0.033,-0.104,0.022,0.101,0.48,-0.097,0.08,-0.005,0.454,0.369,0.156,0.269,0.252,0.286,0.263,0.003,-0.004,0.197,0.012,-0.067,0.23,0.211,0.227,0.393,0.279,0.112,0.251,-0.018,0.036,-0.239,0.74,0.104,0.02,0.198,0.12,0.243,-0.077,0.102,0.668,-0.093,-0.008,0.2,-0.137,0.234,0.459,0.056,0.154
