"","MR1_emp","MR3_emp","MR6_emp","MR2_emp","MR5_emp","MR4_emp","MR1_item_distilroberta","MR6_item_distilroberta","MR4_item_distilroberta","MR2_item_distilroberta","MR3_item_distilroberta","MR5_item_distilroberta","MR1_item_miniLM","MR2_item_miniLM","MR3_item_miniLM","MR4_item_miniLM","MR6_item_miniLM","MR5_item_miniLM","MR1_item_mpnet","MR4_item_mpnet","MR2_item_mpnet","MR6_item_mpnet","MR3_item_mpnet","MR5_item_mpnet","MR1_item_t5","MR4_item_t5","MR3_item_t5","MR5_item_t5","MR2_item_t5","MR6_item_t5","MR1_item_psych","MR2_item_psych","MR3_item_psych","MR5_item_psych","MR6_item_psych","MR4_item_psych","MR3_item_use_dan","MR1_item_use_dan","MR6_item_use_dan","MR4_item_use_dan","MR5_item_use_dan","MR2_item_use_dan","MR1_item_avg_trans","MR2_item_avg_trans","MR3_item_avg_trans","MR4_item_avg_trans","MR5_item_avg_trans","MR6_item_avg_trans"
"Fear",0.139,0.046,0.694,0.077,-0.126,-0.192,0.486,0.272,-0.154,-0.042,0.051,0.397,0.614,0.144,0.261,0.028,0.028,-0.036,-0.166,0.709,-0.054,0.256,0.132,0.089,0.702,0.164,0.067,0.009,-0.028,0.125,0.177,0.616,0.475,-0.117,-0.016,0.069,-0.153,0.581,0.197,0.174,-0.1,-0.015,0.234,0.467,0.107,-0.126,0.413,0.022
"Depe",-0.064,0.061,0.305,0.181,0.072,-0.042,0.144,-0.125,-0.082,0.173,0.612,0.168,0.412,0.243,0.289,0.069,0.124,-0.046,-0.014,-0.012,0.032,0.814,0.011,-0.065,0.381,0.132,0.208,-0.002,0.022,0.312,1.136,-0.006,-0.075,-0.128,0.014,0.259,-0.123,0.161,0.414,0.21,-0.021,0.035,0.602,-0.172,0.11,-0.018,0.17,0.419
"Expr",0.169,-0.087,0.665,-0.183,0.135,-0.03,-0.064,0.056,0.288,0.126,0.029,0.651,0.274,0.51,0.167,0.066,0.015,0.063,0.014,0.242,0.467,0.002,0.093,-0.028,0.556,-0.045,0.197,-0.074,0.351,0.01,0.665,-0.137,0.289,0.144,0.063,0.403,-0.014,0.353,0.03,0.116,-0.035,0.453,0.4,-0.015,0.051,0.232,0.246,0.185
"Gent",-0.048,0.153,0.56,-0.096,-0.016,0.128,0.321,0.199,0,0.021,-0.038,0.521,0.599,0.217,0.127,0.12,-0.041,0.004,-0.225,0.315,0.429,0.237,0.024,0.061,0.635,-0.059,0.116,0.22,0.039,0.095,0.21,0.248,0.751,-0.122,0.035,0.132,0.448,0.411,0.107,-0.069,-0.299,0.042,0.281,0.291,0.048,0.058,0.38,0.055
"Prud",0.099,0.377,0.062,0.073,-0.096,0.131,0.09,0.193,0.058,-0.199,0.483,-0.027,0.193,0.485,0.231,0.052,0.163,0.019,0.545,0.022,0.148,0.245,-0.153,-0.058,0.324,0.072,0.081,0.271,0.105,0.194,0.981,0.051,-0.019,0.086,-0.078,0.211,0.345,-0.02,0.11,-0.064,0.07,0.036,0.603,0.192,-0.164,0.031,-0.022,0.347
"Crea",0.024,0.306,-0.026,0.169,0.064,0.069,0.127,0.354,0.134,0.341,0.183,-0.27,0.244,0.221,0.288,0.339,-0.012,-0.035,0.734,-0.142,-0.041,0.095,0.047,0.203,-0.039,0.203,0.273,0.349,0.134,0.138,0.971,-0.173,-0.108,0.101,0.084,0.001,0.442,-0.155,-0.14,0.317,0.381,-0.041,0.814,0.035,0.085,0.045,-0.247,0.171
"Sent",-0.195,0.771,0.125,-0.223,0.001,-0.045,0.9,-0.07,-0.114,-0.079,-0.006,0.137,0.432,0.277,0.205,0.133,-0.017,0.046,-0.017,0.131,0.039,-0.022,-0.097,0.669,0.551,0.382,0.02,0.119,0.028,-0.144,0.74,-0.045,0.224,0.12,-0.09,-0.051,-0.03,0.328,0.239,-0.021,0.193,0.079,0.742,0.061,-0.083,0.074,0.184,-0.07
"Gree",-0.211,-0.091,0.067,0.55,-0.039,0.054,0.65,-0.098,0.443,0.045,-0.102,-0.15,0.248,0.349,0.131,0.323,0.05,-0.016,0.314,-0.033,0.074,-0.006,-0.059,0.701,0.112,0.453,-0.046,0.26,0.265,-0.022,0.752,0.151,-0.004,0.187,-0.05,-0.111,-0.134,0.136,0.118,-0.171,0.787,0.162,0.751,0.122,-0.041,0.254,-0.08,-0.104
"Live",0.072,0.097,-0.118,0.581,-0.018,-0.109,0.296,0.503,0.16,0.06,-0.155,0.05,0.286,0.286,0.19,0.245,0.032,0.103,0.311,0.57,0.215,-0.108,-0.135,0.055,0.384,0.211,0.019,0.452,-0.017,-0.023,0.009,0.803,0.282,-0.065,-0.032,-0.079,0.274,0.355,0.037,-0.025,0.086,-0.026,0.151,0.82,0.007,-0.07,0.109,-0.088
"Flex",-0.04,0.123,-0.095,0.499,0.055,0.012,0.415,0.386,0.175,-0.092,-0.04,0.119,0.319,0.38,0.197,0.118,0.041,0.073,0.235,0.559,0.224,-0.03,-0.112,-0.017,0.578,0.061,0.006,0.366,-0.017,0.037,0.053,0.438,0.519,0.024,0.065,0.007,0.647,0.124,0.181,-0.112,-0.127,0.065,0.281,0.648,-0.065,-0.034,0.188,-0.005
"Soci",0.235,-0.058,0.091,0.33,-0.108,0.033,0.435,0.246,0.197,0.024,-0.109,0.154,0.34,0.327,0.18,0.169,0.049,0.051,0.029,0.337,0.2,-0.029,0.094,0.308,0.409,0.26,0.009,0.17,0.187,-0.003,0.097,0.57,0.08,0.309,0.109,0.029,0.031,0.623,0.041,-0.117,0.1,0.116,0.272,0.481,0.082,0.115,0.157,-0.104
"Sinc",-0.216,0.119,-0.012,-0.014,-0.051,0.639,-0.069,0.757,-0.179,0.129,-0.03,0.129,0.142,0.332,0.215,0.3,-0.014,0.193,0.63,0.288,0.039,-0.218,0.026,0.001,0.227,0.136,0.267,0.433,0.016,-0.087,-0.202,0.834,0.034,0.064,0.088,-0.055,0.019,0.715,-0.212,-0.069,0.29,-0.131,0.021,0.725,0.168,-0.07,0.008,-0.01
"Anxi",0.548,0.032,0.083,0.24,-0.112,-0.121,0.984,-0.334,-0.013,0.033,0.154,0.001,0.544,0.181,0.118,0.206,0.007,0.023,0.089,0.04,-0.018,0.63,0.024,0.217,0.283,0.522,0.127,-0.095,0.037,0.141,1.169,0.022,-0.122,-0.123,-0.033,-0.04,0.044,-0.057,0.858,-0.1,0.048,-0.019,0.862,-0.147,0.056,0.01,0.134,0.095
"Pati",0.551,-0.073,0.185,-0.06,0.182,-0.014,0.864,0.044,-0.088,0.049,0.013,-0.037,0.484,0.219,0.211,0.153,0.001,-0.012,0.263,0.355,-0.043,0.243,0.136,0.111,0.206,0.595,0.093,0.038,0.009,0.123,1.061,-0.071,0.071,-0.19,0.005,-0.044,0.282,-0.083,0.524,0.074,0.101,0.021,0.864,0.029,0.039,-0.089,0.092,0.052
"Perf",0.807,0.066,-0.011,-0.249,0.266,-0.092,0.82,0.097,-0.126,-0.011,0.093,-0.033,0.41,0.218,0.219,0.209,0.012,0.01,0.39,0.332,-0.076,0.179,0.085,0.158,0.328,0.515,0.114,0.011,0.003,0.066,0.977,-0.025,0.039,-0.053,0.034,-0.042,0.333,0.072,0.383,0.041,0.175,-0.073,0.845,0.104,0.015,-0.101,0.081,0.047
"Fair",0.031,0.389,-0.118,0.278,0.011,-0.104,0.468,0.358,0.008,0.336,-0.074,-0.192,0.269,0.125,0.19,0.472,-0.04,0.076,0.473,-0.098,-0.019,0.052,0.241,0.263,-0.112,0.619,0.235,0.252,0.047,-0.006,0.792,0.003,-0.071,0.135,0.113,-0.162,0.107,-0.017,0.335,0.115,0.458,-0.207,0.809,0.082,0.177,0.016,-0.176,-0.031
"Inqu",-0.021,0.38,0.033,0.05,0.294,0.035,0,0.096,0.017,0.758,-0.024,0.013,0.121,0.242,0.512,0.125,0.075,0.048,0.122,0.055,0.145,0.061,0.54,-0.073,0.003,0.055,0.746,0.1,0.034,0.047,0.199,0.57,-0.007,0.042,0.354,0.013,-0.066,-0.072,-0.004,0.959,-0.09,-0.047,0.132,0.132,0.625,0.072,0.016,0.023
"SocB",0.077,0.295,0.105,0.169,0.269,-0.085,-0.074,0.335,-0.158,0.629,0.053,0.111,0.199,0.149,0.52,0.161,0.02,0.04,0.246,0.328,-0.172,-0.079,0.617,-0.101,0.229,0.017,0.583,0.183,-0.014,0.006,0.241,0.375,0.08,0.099,0.428,0.043,0.119,0.3,-0.13,0.427,-0.068,0.005,0.231,0.195,0.548,-0.068,0.049,0.064
"Mode",0.163,-0.022,0.011,0,0.606,0.026,-0.009,-0.158,0.25,0.631,0.078,0.146,0.232,0.234,0.544,0.059,-0.044,0.011,-0.133,-0.125,0.175,0.057,0.999,-0.057,0.106,0.142,0.629,-0.062,0.151,0.031,-0.117,0.924,-0.005,-0.082,0.186,-0.072,-0.041,-0.127,0.155,0.501,0.109,0.293,-0.126,0.229,0.678,0.156,0.083,-0.019
"AesA",0.316,0.568,-0.005,-0.203,-0.095,0.173,0.011,-0.122,-0.081,0.166,0.946,-0.044,0.347,0.148,0.43,0.14,0.028,-0.053,0.476,0.114,-0.105,0.553,0.028,-0.149,0.237,0.145,0.337,0.128,-0.079,0.314,0.912,0.086,-0.044,-0.041,0.163,0.14,0.139,0.159,0.053,0.487,-0.007,-0.092,0.566,0.076,0.136,-0.131,0.022,0.447
"Forg",0.107,-0.126,-0.001,0.291,0.073,0.006,0.069,-0.297,0.931,0.06,-0.096,0.157,0.169,0.627,0.121,0.125,0.023,-0.004,-0.018,-0.165,0.637,-0.048,0.111,0.229,0.032,0.058,0.043,-0.007,0.916,-0.061,0.106,0.425,-0.144,0.675,0.062,0.058,0.066,0.233,-0.132,0.03,0.296,0.281,0.112,0.126,0.12,0.69,0.008,-0.071
"Unco",0,-0.134,0.034,0.223,0.149,0.216,-0.304,0.257,0.735,-0.008,0.109,0.063,0.15,0.664,0.153,0.078,0.014,-0.009,0.194,-0.02,0.684,-0.111,0.106,-0.047,0.079,0.032,0.064,0.189,0.537,0.145,0.02,0.908,-0.132,0.303,-0.142,0.079,0.488,-0.111,-0.013,-0.133,0.045,0.607,-0.148,0.632,0.051,0.4,-0.031,0.071
"Orga",0.137,-0.033,-0.104,0.022,0.101,0.48,-0.12,0.389,0.248,-0.04,0.428,-0.019,0.235,0.397,0.32,0.12,-0.03,0.008,0.391,-0.083,0.527,0.076,0.038,-0.149,0.209,-0.003,0.111,0.467,0.085,0.196,0.002,1.108,-0.136,-0.061,-0.08,-0.081,0.643,-0.071,-0.151,0.113,0.025,0.206,-0.143,0.842,0.067,0.06,-0.018,0.142
"Dili",0.151,0.108,0.111,0.204,-0.092,0.158,0.375,0.094,0.271,-0.147,0.267,0.127,0.478,0.345,0.109,0.116,0.013,-0.005,-0.084,0.22,0.714,0.062,-0.107,0.012,0.442,0.057,-0.006,0.137,0.193,0.247,0.676,0.187,0.264,0.057,-0.091,0.057,0.432,0.28,-0.054,0.118,-0.084,0.083,0.419,0.306,-0.138,0.179,0.19,0.133
