"","H_emp","E_emp","X_emp","A_emp","C_emp","O_emp","ML4_item_distilroberta","ML5_item_distilroberta","ML1_item_distilroberta","ML6_item_distilroberta","ML3_item_distilroberta","ML2_item_distilroberta","ML1_item_miniLM","ML5_item_miniLM","ML6_item_miniLM","ML4_item_miniLM","ML2_item_miniLM","ML3_item_miniLM","ML4_item_mpnet","ML6_item_mpnet","ML1_item_mpnet","ML5_item_mpnet","ML2_item_mpnet","ML3_item_mpnet","ML5_item_t5","ML1_item_t5","ML4_item_t5","ML6_item_t5","ML3_item_t5","ML2_item_t5","ML4_item_psych","ML3_item_psych","ML2_item_psych","ML5_item_psych","ML1_item_psych","ML6_item_psych","ML5_item_use_dan","ML1_item_use_dan","ML4_item_use_dan","ML3_item_use_dan","ML2_item_use_dan","ML6_item_use_dan","ML4_item_avg_trans","ML3_item_avg_trans","ML1_item_avg_trans","ML5_item_avg_trans","ML6_item_avg_trans","ML2_item_avg_trans"
"Sinc",1,0,0,0,0,0,-0.011,-0.063,0.694,-0.095,0.426,0.135,0.849,0.117,-0.061,-0.081,0.031,0.208,0.091,-0.004,0.616,0.016,0.181,0.313,0.085,0.63,0.041,-0.066,0.278,0.11,0.248,0.13,0.064,0.419,0.669,-0.331,0.138,0.541,0.06,0.307,-0.154,-0.005,0.008,0.109,0.792,0.128,-0.189,0.074
"Fair",1,0,0,0,0,0,0.262,0.449,0.418,0.013,-0.359,0.076,0.386,0.26,0.042,0.087,0.234,0.093,0.084,-0.228,0.6,0.55,-0.086,0.067,0.253,0.64,0.24,0.114,-0.197,-0.152,0.302,-0.041,0.032,0.381,0.481,-0.138,0.29,0.647,0.109,-0.346,0.254,-0.129,0.187,-0.313,0.591,0.358,-0.043,0.084
"Gree",1,0,0,0,0,0,-0.194,0.189,0.608,0.216,0.23,-0.092,0.167,0.033,0.348,0.168,0.036,0.4,-0.192,0.426,0.478,0.249,-0.058,0.07,0.144,0.504,-0.092,0.401,0.018,0.105,0.255,0.224,-0.281,0.271,0.802,-0.228,0.164,0.748,-0.098,-0.101,-0.065,0.512,-0.079,-0.019,0.719,0.138,0.159,-0.04
"Mode",1,0,0,0,0,0,0.003,0.026,0.609,0.029,0.34,-0.023,0.518,-0.2,0.116,0.3,0.207,0.206,0.002,0.288,0.569,-0.073,0.057,0.236,-0.01,0.602,-0.125,0.139,0.353,0.148,0.216,0.402,-0.331,0.29,0.636,0.052,-0.054,0.463,0.128,0.423,-0.148,0.208,-0.046,0.194,0.734,-0.052,0.129,-0.066
"Fear",0,1,0,0,0,0,-0.006,-0.131,0.17,0.173,0.044,0.62,0.158,0.178,0.415,0.017,0.148,0.202,-0.214,0.069,0.329,0.23,0.439,0.291,0.058,0.402,-0.084,0.374,0.242,0.044,-0.019,0.358,0.461,0.261,-0.146,0.177,0.134,0.128,-0.169,0.12,0.475,0.345,-0.063,0.294,0.015,0.215,0.224,0.16
"Anxi",0,1,0,0,0,0,0.138,0.232,-0.294,0,0.33,0.663,-0.07,0.235,0.192,0.399,0.629,-0.238,0.124,-0.048,-0.198,0.414,0.765,0.327,0.324,-0.234,0.198,0.246,0.401,0.216,0.23,0.168,0.914,0.173,-0.305,-0.004,0.317,-0.424,0.177,0.097,0.666,0.366,0.167,0.262,-0.354,0.39,-0.031,0.507
"Depe",0,1,0,0,0,0,0.26,-0.033,0.492,-0.125,0.251,0.162,0.133,0.083,-0.088,0.549,0.129,0.378,-0.077,0.181,0.349,0.166,0.347,0.327,0.056,0.333,0.201,0.046,0.284,0.231,0.054,0.301,0.839,0.38,-0.172,-0.307,0.027,0.298,0.301,0.129,0.141,0.142,-0.127,0.197,0.354,0.174,-0.093,0.419
"Sent",0,1,0,0,0,0,0.563,-0.217,-0.243,0.113,0.303,0.423,0.153,-0.152,0.428,0.317,0.513,-0.104,0.129,0.156,-0.174,0.033,0.449,0.713,-0.217,-0.146,0.501,0.416,0.325,0.325,0.377,0.205,0.476,0.052,-0.109,-0.186,-0.344,-0.029,0.41,0.152,0.574,0.253,-0.072,-0.044,0.039,-0.175,0.04,1.133
"Expr",0,0,1,0,0,0,0.145,-0.025,0.051,0.15,0.475,0.266,0.181,0.155,0.057,0.377,-0.017,0.394,0.297,0.212,0.105,-0.084,0.335,0.358,0.034,-0.015,0.184,0.04,0.645,0.36,-0.179,0.948,0.119,-0.2,0.326,0.046,-0.104,-0.063,0.354,0.526,0.213,0.215,0.01,0.831,0.002,-0.147,0.014,0.209
"SocB",0,0,1,0,0,0,-0.002,-0.078,0.234,0.2,0.522,0.258,0.254,0.18,0.196,0.148,-0.094,0.445,0.086,0.283,0.335,-0.231,0.385,0.5,-0.088,0.271,0.035,0.114,0.582,0.321,-0.247,1.021,0.094,-0.138,0.286,0.256,-0.014,0.035,0.186,0.624,0.048,0.32,-0.121,0.98,0.089,-0.183,0.074,0.106
"Soci",0,0,1,0,0,0,0.185,-0.135,0.145,0.222,0.437,0.129,0.521,0.053,0.191,0.07,-0.239,0.509,0.269,0.183,0.202,-0.233,0.228,0.542,-0.226,0.201,0.236,0.238,0.428,0.368,0.046,0.757,0.304,-0.415,0.23,0.002,-0.204,0.331,0.058,0.587,0.059,0.234,0.177,0.739,0.042,-0.252,-0.014,0.19
"Live",0,0,1,0,0,0,-0.161,0.144,0.223,-0.076,0.548,0.27,0.035,0.33,0.101,0.325,-0.102,0.441,0.021,0.093,0.019,0.15,0.65,0.306,0.211,0.105,-0.078,0.1,0.598,0.193,0.001,0.527,0.54,-0.076,0.001,0.254,0.119,0.101,-0.02,0.281,0.193,0.448,0.041,0.642,-0.149,0.233,-0.09,0.212
"Forg",0,0,0,1,0,0,0.904,-0.07,0.105,0.081,-0.178,0.118,0.314,-0.201,-0.131,0.693,0.251,0.277,0.765,-0.256,0.268,0.116,-0.198,0.261,-0.14,0.357,1.042,-0.13,-0.164,0.053,0.83,-0.027,0.069,-0.257,0.343,0.144,-0.108,0.381,0.714,-0.078,0.238,-0.366,0.934,-0.063,0.238,-0.174,-0.033,-0.028
"Gent",0,0,0,1,0,0,0.697,0.089,0.164,-0.006,-0.002,0.076,0.214,0.083,-0.049,0.455,0.4,0.064,0.908,0.092,0.097,0.095,-0.332,-0.025,0.204,0.093,0.716,-0.08,0.005,0.187,0.908,-0.098,0.031,-0.158,0.407,0.22,0.226,0.047,0.721,0.272,-0.104,-0.272,0.944,-0.057,0.218,-0.093,0.023,-0.118
"Flex",0,0,0,1,0,0,0.525,0.103,0.074,0.079,0.061,0.234,0.195,0.06,0.075,0.413,0.349,0.063,0.921,0.131,-0.101,0.014,-0.116,0.034,0.262,-0.009,0.6,-0.014,0.065,0.257,0.788,-0.1,0.246,-0.12,0.254,0.199,0.375,-0.071,0.54,0.226,0.032,-0.117,0.889,0.058,-0.025,0.006,0.065,-0.07
"Pati",0,0,0,1,0,0,0.516,0.168,-0.275,-0.127,0.268,0.509,-0.127,-0.01,-0.058,0.909,0.38,0.11,0.875,-0.085,-0.401,0.078,0.268,0.259,0.148,-0.333,0.846,-0.155,0.392,0.272,0.747,-0.166,0.322,-0.184,0.125,0.199,-0.063,-0.184,0.759,0.052,0.48,-0.041,0.927,0.157,-0.359,0.112,-0.072,0.121
"Orga",0,0,0,0,1,0,0.152,0.937,-0.057,-0.111,0.041,-0.138,0.066,0.811,0.031,-0.075,-0.042,0.276,0.016,0.144,0.163,0.692,0.233,-0.253,0.928,0.045,0.086,0.024,-0.111,-0.004,-0.251,-0.216,0.202,0.797,0.409,0.136,0.745,0.188,0.044,-0.222,0.026,0.172,-0.088,-0.098,0.107,0.816,-0.045,0.197
"Dili",0,0,0,0,1,0,-0.074,0.835,0.225,-0.191,0.174,-0.094,0.055,0.894,0.007,-0.107,-0.024,0.227,-0.008,0.098,0.169,0.514,0.394,-0.157,0.71,0.17,-0.024,-0.073,0.188,0.039,-0.268,-0.092,0.282,0.794,0.347,0.263,0.644,0.215,-0.073,0.055,-0.094,0.099,-0.188,0.097,0.135,0.823,-0.162,0.202
"Perf",0,0,0,0,1,0,0.102,0.825,0.121,0.195,-0.112,-0.306,-0.094,0.759,0.028,0.045,0.243,0.121,0.229,0.334,0.059,0.679,-0.13,-0.486,0.935,-0.006,0.178,0.222,-0.395,0.083,0.034,-0.212,-0.078,0.588,0.311,0.395,0.755,0.079,0.39,-0.171,-0.243,-0.052,0.058,-0.275,0.153,0.604,0.272,0.059
"Prud",0,0,0,0,1,0,0.046,0.509,0.255,0.14,-0.288,0.276,0.178,0.691,-0.008,-0.055,0.284,-0.017,0.077,-0.13,0.325,0.598,0.37,0.011,0.58,0.227,0.154,-0.051,0.093,-0.016,-0.038,-0.127,0.373,0.706,0.338,0.047,0.637,0.028,0.07,-0.027,0.316,-0.042,0.063,-0.091,0.175,0.676,-0.034,0.142
"AesA",0,0,0,0,0,1,0.192,-0.014,-0.18,0.741,0.087,-0.127,0.117,-0.222,0.997,-0.164,0.279,0.12,-0.172,0.91,-0.186,0.171,-0.1,0.32,-0.09,-0.01,-0.001,1.006,-0.033,0.333,0.332,0.088,0.006,0.115,-0.29,0.459,-0.1,0.23,-0.084,0.206,0.326,0.579,-0.032,-0.172,-0.047,-0.097,0.848,0.31
"Inqu",0,0,0,0,0,1,-0.265,0.008,-0.117,1.125,0.139,-0.158,-0.011,0.018,0.872,-0.151,0.258,0.139,-0.044,0.624,0.006,0.118,0.037,0.169,0.098,0.096,-0.168,0.826,0.048,0.29,0.144,0.108,-0.142,0.334,-0.307,0.709,0.079,0.178,-0.173,0.274,0.248,0.546,-0.07,-0.056,-0.157,0.02,1.118,-0.044
"Crea",0,0,0,0,0,1,-0.171,0.092,0.107,0.652,0.045,0.151,0.003,0.409,0.435,-0.073,0.312,0.014,-0.017,0.404,0.153,0.266,0.148,-0.065,0.259,0.181,-0.165,0.392,0.251,0.229,0.177,0.25,-0.18,0.242,-0.391,0.949,0.307,-0.062,-0.135,0.388,0.231,0.384,-0.045,0.084,-0.091,0.119,0.821,-0.041
"Unco",0,0,0,0,0,1,0.175,-0.069,0.265,0.363,0.115,0.169,0.39,-0.095,0.329,0.132,0.282,0.093,0.144,0.384,0.422,-0.102,-0.026,0.269,-0.022,0.403,-0.002,0.366,0.191,0.209,0.172,0.16,-0.195,0.358,-0.071,0.569,-0.018,0.322,-0.101,0.353,0.261,0.324,0.089,0.073,0.311,-0.046,0.576,-0.123
